tagCode,labelAR,labelDV,labelEN,aliasesAR,aliasesDV,aliasesEN
NEW,جديد,އާ,New,أحدث,އައު,"Recent,Latest"

QRN,قرآن,ގުރްއާން,Quran,,,
HDT,حديث,ޙަދީޘް,Hadith,,,
AQD,عقيدة,އަގީދާ,Aqidah,,,Creed
FQH,فقه,ފިގްހު,Fiqh,,,Jurisprudence
LNG,لغة,ބަސް,Language,,ބަސްތައް,Linguistics
ZKR,ذكر,ޒިކުރު,Zikr,,ދުޢާ,"Adhkar,Azkar,Dua,Remembrance"

AKLQ,أخلاق,އަޚްލާގު,Akhlaq,,,"Morals,Ethics,Character"
ATHR,آثار,އާޘާރު,Athar,"أثر,خبر,أخبار","ޚަބަރު,ޢަޚްބާރު","Khabar,Akhbar"
RDF,معجم,ރަދީފު,Dictionary,"قاموس,راديف",ބަސްފޮތް,"Radheef,Lexicon"
QRUL,علوم القرآن,ގުރްއާނުގެ އިލްމު,Quran Sciences,علوم القرآن الكريم,,Ulum al-Quran

DFK,دفك,ދފކ,DFK,دار فتية الكهف,ދާރު ފިތްޔަތިލް ކަހްފި,Dar Fityatil Kahf
IH,دار الإسلام,އިސްލާމް ހައުސް,Islam House,إسلام هاوس,,
KNSH,كناشة,ކުންނާޝާ,Kunnaasha,,ނޯޓުފޮތް,Notebook

RAW,خام,⚠️ ރޯ,Raw,غير مدقق,,"Unedited,Unreviewed"
INC,غير مكتمل,⚠️ ނުނިމޭ,Incomplete,ناقص,,"Unfinished,Partial"
DRFT,مسودة,⚠️ ޑްރާފްޓު,Draft,قيد الإعداد,ތައްޔާރުވަމުން ދަނީ,In Progress
REV,مراجعة,މުރާޖާ,Revision,منقح,ބަލަމުން ދަނީ,In Review
