surahNo,nameAR,nameDV,nameEN,ayahCount,basmalah
1,الفَاتِحَة,ފާތިޙާ,Fatihah,7
2,البَقَرَة,ބަގަރާ,Baqarah,286,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
3,آل عِمرَان,އާލްޢިމްރާން,Aal-Imran,200,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
4,النِّسَاء,ނިސާ,Nisa,176,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
5,المَائِدَة,މާއިދާ,Maidah,120,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
6,الأَنعَام,އަންއާމް,An'aam,165,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
7,الأَعرَاف,އައުރާފް,A'raaf,206,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
8,الأَنفَال,އަންފާލް,Anfaal,75,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
9,التَّوبَة,ތައުބާ,Tawbah,129
10,يُونُس,ޔޫނުސް,Yunus,109,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
11,هُود,ހޫދު,Hud,123,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
12,يُوسُف,ޔޫސުފް,Yusuf,111,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
13,الرَّعد,ރައުދު,Ra'd,43,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
14,إِبرَاهِيم,އިބްރާހީމް,Ibrahim,52,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
15,الحِجر,ޙިޖްރު,Hijr,99,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
16,النَّحل,ނަޙްލު,Nahl,128,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
17,الإِسرَاء,އިސްރާ,Isra,111,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
18,الكَهف,ކަހްފު,Kahf,110,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
19,مَريَم,މަރްޔަމް,Maryam,98,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
20,طٰه,ޠާހާ,Ta-Ha,135,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
21,الأَنبِيَاء,އަންބިޔާ,Anbiya,112,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
22,الحَجّ,ޙައްޖު,Hajj,78,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
23,المُؤمِنُون,މުއުމިނޫން,Mu'minun,118,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
24,النُّور,ނޫރު,Nur,64,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
25,الفُرقَان,ފުރްޤާން,Furqan,77,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
26,الشُّعَرَاء,ޝުއަރާ,Shu'ara,227,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
27,النَّمل,ނަމްލު,Naml,93,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
28,القَصَص,ގަޞަޞް,Qasas,88,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
29,العَنكَبُوت,އަންކަބޫތު,Ankabut,69,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
30,الرُّوم,ރޫމް,Rum,60,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
31,لقمَان,ލުގްމާން,Luqman,34,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
32,السَّجدَة,ސަޖްދާ,Sajdah,30,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
33,الأَحزَاب,އަޙްޒާބު,Ahzab,73,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
34,سَبَأ,ސަބާ,Saba,54,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
35,فَاطِر,ފާޠިރު,Fatir,45,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
36,يٰس,ޔާސީން,Ya-Sin,83,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
37,الصَّافَّات,ޞާއްފާތު,Saffat,182,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
38,صٓ,ޞާދު,Sad,88,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
39,الزُّمَر,ޒުމަރު,Zumar,75,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
40,غَافِر,ޣާފިރު,Ghafir,85,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
41,فُصِّلَت,ފުއްޞިލަތު,Fussilat,54,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
42,الشُّورَىٰ,ޝޫރާ,Shura,53,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
43,الزُّخرُف,ޒުޚްރުފް,Zukhruf,89,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
44,الدُّخَان,ދުޚާން,Dukhan,59,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
45,الجَاثِيَة,ޖާޘިޔާ,Jathiyah,37,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
46,الأَحْقَاف,އަޙްޤާފް,Ahqaf,35,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
47,مُحَمَّد,މުޙައްމަދު,Muhammad,38,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
48,الفَتْح,ފަތްޙު,Fath,29,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
49,الحُجُرَات,ޙުޖުރާތު,Hujurat,18,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
50,قٓ,ޤާފް,Qaf,45,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
51,الذَّارِيَات,ޛާރިޔާތު,Dhariyat,60,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
52,الطُّور,ޠޫރު,Tur,49,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
53,النَّجم,ނަޖްމް,Najm,62,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
54,القَمَر,ޤަމަރު,Qamar,55,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
55,الرَّحمٰن,ރަޙްމާން,Rahman,78,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
56,الوَاقِعَة,ވާޤިއާ,Waqi'ah,96,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
57,الحَدِيد,ޙަދީދު,Hadid,29,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
58,المُجَادَلَة,މުޖާދަލާ,Mujadilah,22,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
59,الحَشر,ޙަޝްރު,Hashr,24,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
60,المُمتَحَنَة,މުމްތަޙަނާ,Mumtahanah,13,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
61,الصَّفّ,ޞައްފު,Saff,14,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
62,الجُمُعَة,ޖުމުއާ,Jumu'ah,11,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
63,المُنَافِقُون,މުނާފިޤޫން,Munafiqun,11,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
64,التَّغَابُن,ތަޣާބުން,Taghabun,18,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
65,الطَّلَاق,ޠަލާޤް,Talaq,12,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
66,التَّحرِيم,ތަޙްރީމް,Tahrim,12,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
67,المُلك,މުލްކު,Mulk,30,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
68,القَلَم,ޤަލަމް,Qalam,52,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
69,الحَاقَّة,ޙާއްޤާ,Haqqah,52,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
70,المَعَارِج,މައާރިޖު,Ma'arij,44,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
71,نُوح,ނޫޙް,Nuh,28,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
