sourceBook,sourceCol,displayDV,displayEN
QRN-BASE-STRUCT,0,ޖުޒް,Juz
QRN-BASE-STRUCT,1,ސޫރަތް,Surah
QRN-BASE-STRUCT,2,އާޔަތް #,Ayah #
QRN-BASE-STRUCT,3,ބިސްމި,Basmalah
QRN-DATA-ayahImlai,0,އާޔަތް (އިމްލާއީ ރަސްމު),Ayah (Imlai Script)
QRN-DATA-ayahUthmani,0,އާޔަތް (އުޘްމާނީ ރަސްމު),Ayah (Uthmani Script)
QRN-hadithmv,0,ޙަދީޘްއެމްވީ ތަރުޖަމާ,Hadithmv Translation
QRN-rasmee-alt,0,ރަސްމީ ތަރުޖަމާ (އެއްކޮށް ދިވެހިން),Official Translation (transliterated)
QRN-rasmee-og,0,ރަސްމީ ތަރުޖަމާ (އަސްލު),Official Translation (original)
QRN-bakurube,0,ބަކުރުބެ ލަފުޒީ ތަރުޖަމާ,Bakurube Word-by-Word
QRN-bakurube,1,ބަކުރުބެ ތަރުޖަމާ,Bakurube Translation
QRN-jaufarFaiz,0,ޖަޢުފަރުގެ ތަފްސީރު,Jaufar's Tafsir
QRN-jaufarFaiz,1,ޖަޢުފަރުގެ ފުޓްނޯޓުތައް,Jaufar's Footnotes
QRN-soabuniAshari-HDN,1,ޞގެ ތަފްސީރު,S Tafsir
QRN-soabuniAshari-HDN,2,ޞގެ ނޯޓުގެ ސުރުހީ,S Tafsir Note Title
QRN-soabuniAshari-HDN,3,ޞގެ ނޯޓު,S Tafsir Note
QRN-mukhtasarAR,0,مختصر التفسير,Tafsir Mukhtasar
QRN-muyassarAR,0,التفسير الميسر,Tafsir Muyassar
