authorCode,nameAR,nameDV,nameEN,bornAH,diedAH
malik,مالك بن أنس,މާލިކު ބިން އަނަސް,Malik ibn Anas,93,179
abu-ubayd,أبو عبيد القاسم بن سلام,އަބޫ ޢުބައިދު,Abu Ubayd al-Qasim ibn Sallam,157,224
abu-khaythama,أبو خيثمة زهير بن حرب,އަބޫ ޚައިޘަމާ,Abu Khaythama,160,234
ahmad-ibn-hanbal,أحمد بن حنبل,އަޙްމަދު ބިން ޙަންބަލް,Ahmad ibn Hanbal,164,241
bukhari,محمد بن إسماعيل البخاري,ބުޚާރީ,al-Bukhari,194,256
muslim,مسلم بن الحجاج,މުސްލިމް ބިން ޙައްޖާޖް,Muslim ibn al-Hajjaj,204,261
ibn-majah,ابن ماجه,އިބްނު މާޖާ,Ibn Majah,209,273
abu-dawud,أبو داود السجستاني,އަބޫ ދާވުދު,Abu Dawud,202,275
tirmidhi,محمد بن عيسى الترمذي,ތިރްމިޛީ,al-Tirmidhi,209,279
nasai,أحمد بن شعيب النسائي,ނަސާއީ,al-Nasa'i,215,303
barbahari,أبو محمد الحسن بن علي البربهاري,ބަރުބަހާރީ,al-Barbahari,,329
ajurri,أبو بكر محمد بن الحسين الآجري,އާޖުރީ,al-Ajurri,,360
sabuni-abu-uthman,أبو عثمان إسماعيل الصابوني,ޞާބޫނީ,Abu Uthman al-Sabuni,373,449
samani,أبو المظفر منصور بن محمد السمعاني,ސަމްޢާނީ,Abu al-Muzaffar al-Sam'ani,426,489
maqdisi,عبد الغني بن عبد الواحد المقدسي,މަގްދިސީ,Abd al-Ghani al-Maqdisi,541,600
nawawi,يحيى بن شرف النووي,ނަވަވީ,al-Nawawi,631,676
ibn-rajab,عبد الرحمن بن أحمد ابن رجب الحنبلي,އިބްނު ރަޖަބު,Ibn Rajab,736,795
ibn-hajar,أحمد بن علي بن حجر العسقلاني,އިބްނު ޙަޖަރު,Ibn Hajar,773,852
ibn-abdul-wahhab,محمد بن عبد الوهاب,އިބްނު ޢަބްދުލްވައްހާބް,Muhammad ibn Abd al-Wahhab,1115,1206
albani,محمد ناصر الدين الألباني,އަލްބާނީ,al-Albani,1332,1420
qahtani,سعيد بن علي بن وهف القحطاني,ޤަޙްޠާނީ,Sa'id ibn Wahf al-Qahtani,,1440
sabuni-muhammad-ali,محمد علي الصابوني,މުޙައްމަދު ޢަލީ ޞާބޫނީ,Muhammad Ali al-Sabuni,1347,1442
maniku,حسن أحمد مانيك,ޙަސަން އަޙްމަދު މާނިކު,Hassan Ahmed Maniku,,1440
