bodyAR,bodyDV
"مختصر في توحيد الأسماء والصفات
أولا: توحيد الأسماء والصفات:
هو إثبات ما أثبت الله لنفسه، وأثبته له رسوله صلى الله عليه وسلم، ونفي ما نفى الله عن نفسه، ونفاه عنه رسوله صلى الله عليه وسلم من الأسماء والصفات والإقرار لله تعالى بمعانيها الصحيحة ودلالاتها واستشعار آثارها ومقتضياتها في الخلق.","އިސްމުފުޅުތަކާއި ސިފަފުޅުތަކުގައި އެއްކައުވަންތަކުރުމުގެ ޚުލާސާ
ފުރަތަމައީ: އިސްމުފުޅުތަކާއި ސިފަފުޅުތަކުގައި އެއްކައުވަންތަކުރުން:
އެއީ ﷲ، އެ އިލާހުގެ އަމިއްލަ ނަފްސުފުޅަށް ސާބިތުކުރައްވާފައިވާ، އަދި  އެ އިލާހުގެ ރަސޫލު ﷺ އެ އިލާހަށް ސާބިތުކުރައްވާފައިވާ އެންމެހާ ކަމެއް ސާބިތުކުރުމެވެ. އަދި ﷲ، އެ އިލާހުގެ އަމިއްލަ ނަފްސުފުޅުން ނަފީކުރައްވާފައިވާ، އަދި އެ އިލާހުގެ ރަސޫލު ﷺ އެ އިލާހުގެ ކިބައިން ނަފީކުރައްވާފައިވާ އެންމެހާ ކަމެއް ނަފީކުރުމެވެ. އަދި އެ އިސްމުފުޅުތަކާއި ސިފަފުޅުތަކުގެ ސައްހަ މާނަތަކާއި، އެއިން ދަލީލުކުރާ ކަންކަން ﷲ ތަޢާލާއަށް ވާކަމަށް އިގްރާރުވުމެވެ. އަދި ޚަލްގުތަކުންގެ މެދުގައި އޭގެ އަސަރުތަކާއި، އެއިން ލާޒިމުކުރާ ކަންކަން ދަނެ، ހިތަށް ގެނައުމެވެ."
"ثانيًا: المنهج في إثباته:
يقوم المنهج الحق في باب الأسماء والصفات على الإيمان الكامل والتصديق الجازم بما وصف الله به نفسه ووصفه به رسوله صلى الله عليه وسلم من غير تحريف ولا تعطيل، ومن غير تكييف ولا تمثيل.","ދެވަނައީ: އިސްމުފުޅުތަކާއި ސިފަފުޅުތައް ސާބިތުކުރުމުގެ މަންހަޖު:
އިސްމުފުޅުތަކާއި ސިފަފުޅުތައް ބާބުގައި ހައްގު މަންހަޖަކީ: ﷲ، އެ އިލާހުގެ އަމިއްލަ ނަފްސުފުޅު ސިފަކުރައްވާފައިވާ ގޮތަށާއި، އެ އިލާހުގެ ރަސޫލު ﷺ އެ އިލާހު ސިފަކުރައްވާފައިވާ ގޮތަށް ފުރިހަމައަށް އީމާންވެ، އެ ކަން ތެދުކޮށް ގަބޫލުރުކުރުމެވެ. އެއީ ތަޙްރީފުކޮށް، ބަދަލުކުރުމަކާ ނުލައެވެ. އަދި ތަޢްޠީލުކޮށް، ނަފީކުރުމަކާ ނުލައެވެ. އަދި ތަކްޔީފުކޮށް، ވާގޮތަކާ މެދު ސުވާލުކޮށް، ވަކި ގޮތަކަށް ހިނގާކަމަށް ބުނުމަކާ ނުލައެވެ. އަދި ތަމްޘީލުކޮށް، މަޚްލޫގުންނާ ވައްތަރުކުރުމަކާ ނުލައެވެ."
"ثالثًا: ثلاثة أصول من حققها سلم من الانحراف في هذا الباب. وهي:الأصل الأول: تنزيه الله جل وعلا عن أن يشبه شيء من صفاته شيئًا من صفات المخلوقين، قال الله تعالى: ﴿لَيْسَ كَمِثْلِهِ شَيْءٌ وَهُوَ السَّمِيعُ الْبَصِيرُ﴾ [الشورى: ١١].","ތިންވަނައީ: ތިން އުސޫލެއްގައި ހިފަހައްޓައިފި މީހަކު މި ބާބުގައި މަގުފުރެދުމުން ސަލާމަތްވާނެއެވެ.
ފުރަތަމަ އުސޫލު: ﷲ ޖައްލަ ވަޢަލާގެ އެއްވެސް ސިފަފުޅެއް، މަޚްލޫގުންގެ އެއްވެސް ސިފައަކާ ވައްތަރުނުކޮށް އެ އިލާހު ހުސްތާހިރުކުރުމެވެ. ﷲ ތަޢާލާ ވަހީކުރެއްވިއެވެ: ﴿لَيْسَ كَمِثْلِهِ شَيْءٌ ۖ وَهُوَ السَّمِيعُ الْبَصِيرُ﴾ [الشورى: ١١] މާނައީ: ”އެ އިލާހާ އެއްފަދަވެގެންވާ އެއްވެސް އެއްޗެއް ނުވެއެވެ. އަދި އެ އިލާހީ އައްސަމީޢުލް ބަޞީރެވެ. (އައްސަވާވޮޑިގެންވާ، ބައްލަވާވޮޑިގެންވާ އިލާހެވެ.“"
الأصل الثاني: الإيمان بما سمى ووصف الله به نفسه وبما سماه ووصفه به رسوله صلى الله عليه وسلم على الوجه اللائق بجلال الله وعظمته، قال الله تعالى: ﴿هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ عَالِمُ الْغَيْبِ وَالشَّهَادَةِ هُوَ الرَّحْمَنُ الرَّحِيمُ - هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ سُبْحَانَ اللَّهِ عَمَّا يُشْرِكُونَ - هُوَ اللَّهُ الْخَالِقُ الْبَارِئُ الْمُصَوِّرُ لَهُ الْأَسْمَاءُ الْحُسْنَى يُسَبِّحُ لَهُ مَا فِي السَّمَاوَاتِ وَالْأَرْضِ وَهُوَ الْعَزِيزُ الْحَكِيمُ﴾ [الحشر: ٢٢ - ٢٤].,"ދެވަނަ އުސޫލު: ﷲ، އެ އިލާހުގެ އަމިއްލަ ނަފްސުފުޅަށް ދެއްވާފައިވާ އިސްމުފުޅުތަކާއި ސިފަކުރައްވާފައިވާ ސިފަފުޅުތަކަށާއި، އެ އިލާހުގެ ރަސޫލު ﷺ، އެ އިލާހަށް ދެއްވާފައިވާ އިސްމުފުޅުތަކާއި ސިފަކުރައްވާފައިވާ ސިފަފުޅުތަކަށް، އެ އިލާހުގެ ޖަލާލުވަންތަކަމާއި މަތިވެރިވަންތަކަމާ އެކަށީގެންވާ ގޮތުގެ މަތިން އީމާންވުން. ﷲ ތަޢާލާ ވަހީކުރެއްވިއެވެ:
﴿هُوَ اللَّهُ الَّذِي لَا إِلَـٰهَ إِلَّا هُوَ ۖ عَالِمُ الْغَيْبِ وَالشَّهَادَةِ ۖ هُوَ الرَّحْمَـٰنُ الرَّحِيمُ ۝ هُوَ اللَّهُ الَّذِي لَا إِلَـٰهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ ۚ سُبْحَانَ اللَّهِ عَمَّا يُشْرِكُونَ ۝‏ هُوَ اللَّهُ الْخَالِقُ الْبَارِئُ الْمُصَوِّرُ ۖ لَهُ الْأَسْمَاءُ الْحُسْنَىٰ ۚ يُسَبِّحُ لَهُ مَا فِي السَّمَاوَاتِ وَالْأَرْضِ ۖ وَهُوَ الْعَزِيزُ الْحَكِيمُ﴾ [الحشر: ٢٢ - ٢٤]
މާނައީ: ""އެއީ ﷲ އެވެ. އެ އިލާހީ، އެ އިލާހު ފިޔަވާ (އަޅުކަންކުރުން ހައްގުވާ) އިލާހަކު ނުވާ އިލާހެވެ. ނުފެންނަ ކަންތަކާއި، ފެންނަ ކަންތައް ދެނެވޮޑިގެންވާ އިލާހެވެ. އެ އިލާހީ އައްރަޙްމާން، އައްރަޙީމެވެ. އެއީ ﷲ އެވެ. އެއީ އެ އިލާހު ފިޔަވާ (އަޅުކަންކުރުން ހައްގުވާ) އިލާހަކު ނުވާ އިލާހެވެ. އެއީ އަލްމަލިކުލް ގުއްދޫސުއް ސަލާމުލް މުއްމިނުލް މުހައިމިނުލް ޢަޒީޒުލް ޖައްބާރުލް މުތަކައްބިރެވެ. (ރަސްވަންތަ، މުގައްދަސްވަންތަ، ހުރިހާ އުނިކަމަކުން ސަލާމަތްވެވޮޑިގެންވާ، އަމާންކަން ދެއްވާ، ރައްކާތެރިކުރައްވާ ބަލަހައްޓަވާ، ޢަޒީޒުވަންތަ، ޖައްބާރުވަންތަ، ކިބްރިޔާވަންތަ އިލާހެވެ.) އެ މީހުން ޝަރީކުކުރާ ތަކެތިން ﷲ ހުސްތާހިރުވަންތަވެ ވޮޑިގެންވެއެވެ. އެއީ ﷲ އެވެ. އެއި އަލްޚާލިގުލް ބާރިއުލް މުޞައްވިރެވެ. (ޚަލްގުކުރައްވާ، ވުޖޫދުކުރައްވާ، ސޫރަކުރައްވާ އިލާހެވެ.) އެންމެ ރިވެތި ނަންފުޅުތައް ވަނީ އެ އިލާހަށެވެ. އުޑުތަކާއި، ބިމުގައި ވާހާ ތަކެއްޗެއް އެ އިލާހަށް ތަސްބީހަ ދަންނަވައެވެ. އަދި އެ އިލާހީ އަލްއަޒީޒުލް ޙަކީމެވެ. (ޢަޒީޒުވަންތަ، ޙަކީމްވަންތަ އިލާހެވެ.)"""
"الأصل الثالث: قطع الطمع عن إدراك حقيقة كيفية صفات الله تعالى لأن إدراك المخلوق لذلك مستحيل.فمن حقق هذه الأصول الثلاثة فقد حقق الإيمان الواجب في باب الأسماء والصفات على ما قرره الأئمة المحققون في هذا الباب، قال الله تعالى: ﴿يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ وَلَا يُحِيطُونَ بِهِ عِلْمًا﴾ [طه: ١١٠].","ތިންވަނަ އުސޫލު: ﷲ ތަޢާލާގެ ސިފަފުޅުތަކަކީ ކިހިނެތް ހިނގާކަމެއްތޯ ދެނެ ނުގަނެވޭނެކަމަށާއި އެކަމުގެ ޙަޤީޤަތް ދެނެ ނުގަނެވޭނެކަމަށް ޤަބޫލުކުރުން. އެހެނީ މަޚްލޫޤުންނަށް (އޭގެ މާނަ އެނގުނަސް) އެކަން ހިނގާ ގޮތުގެ ޙަޤީޤަތް ދެނެގަތުމަކީ ވާނޭކަމެއް ނޫނެވެ.މި ތިން އުސޫލާ އެއްގޮތަށް ޢަމަލުކޮށްފި މީހަކު ދަންނައެވެ. އިސްމުފުޅުތަކާއި ސިފަފުޅުތަކާ ގުޅޭ ކަންކަމުގައި އެމީހަކު އީމާންވުން ވާޖިބު މިންވަރު އެމީހަކަށް ހާސިލުވެގެން ދާނެއެވެ. އެއީ މިކަމުގައި އިމާމުވެރި ބޭކަލުން ބަޔާންކުރައްވާފައިވާ ގޮތުގެ މަތިންނެވެ. ﷲ ތަޢާލާ ވަޙީކުރެއްވިއެވެ. ﴿يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ وَلَا يُحِيطُونَ بِهِ عِلْمًا﴾ [طه: ١١٠] މާނައީ: ""އެބައިމީހުންގެ ކުރިމަތީގައިވާ ކަންތައްތަކާއި (އެބަހީ: ޤިޔާމަތްދުވަހާއި މުސްތަޤުބަލުގައި އެބައިމީހުންނަށް މެދުވެރިވާނޭ ކަންތައްތަކާއި) އެބައިމީހުންގެ ފަހަތުގައިވާ ކަންތައްތައް (އެބަހީ: ދުނިޔޭގައި އެބައިމީހުން ކުރި ކަންތައްތައް) އެއިލާހު ދެނެވޮޑިގެންވެއެވެ. އަދި އެބައިމީހުންނަށް އެއިލާހުގެ ހުރިހާ ކަމެއް (އެބަހީ: ﷲ ތަޢާލާގެ ޛާތުފުޅާއި ސިފަފުޅުތަކާ ގުޅުން ހުރި ހުރިހާ ކަމެއް) އެނގިގެނެއް ނުވެއެވެ."""
"رابعًا: قواعد في باب الأسماء والصفات:
• القاعدة الأولى: أسماء الله وصفاته توقيفية لا مجال للعقل فيها:
وعلى هذا فيجب الوقوف فيها على ما جاء به الكتاب والسنة فلا يزاد فيها ولا ينقص لأن العقل لا يمكنه إدراك ما يستحقه الله تعالى من الأسماء والصفات فوجب الوقوف على النص. قال تعالى: ﴿وَلَا تَقْفُ مَا لَيْسَ لَكَ بِهِ عِلْمٌ إِنَّ السَّمْعَ وَالْبَصَرَ وَالْفُؤَادَ كُلُّ أُولَئِكَ كَانَ عَنْهُ مَسْئُولًا﴾ [الإسراء: ٣٦].","ހަތަރުވަނައީ: ﷲ ތަޢާލާގެ އިސްމުފުޅުތަކާއި ސިފަފުޅުތައް ދެނެގަތުމުގައި އެނގުން މުހިންމު ގަވާއިދުތަކެއް:•	ފުރަތަމަ ގަވާއިދު: ﷲ ތަޢާލާގެ އިސްމުފުޅުތަކާއި ސިފަފުޅުތަކަކީ ހަމައެކަނި ބުއްދީގެ ޒަރީއާއިން ދެނެ ނުގަނެވޭނެ، ތައުޤީފީ (އެބަހީ: ދަލީލެއް ނެތި އެއާ މެދު ވާހަކަ ނުދެއްކޭނެ) ކަމެއް އެހެންކަމުން ކީރިތި ޤުރުއާނާއި ނަބަވީ ސުންނަތުގައި އައިސްފައިވާ މިންވަރަށް އެކަމުގައި އަޅުގަނޑުމެން ޤަބޫލުކޮށް، އެއަށް ވުރެ އިތުރަށް އެކަމުގައި ވާހަކަދެއްކުމުން އެއްކިބާވާން ޖެހޭނެއެވެ. އަދި އެ މިންވަރަށް ވުރެ އުނިކުރުމެއްވެސް ނެތެވެ. އެހެނީ ﷲ ތަޢާލާއަށް ޙައްޤުވެގެންވާ އިސްމުފުޅުތަކާއި ސިފަފުޅުތައް ހަމައެކަނި ބުއްދީގެ ޒަރީއާއިން ދެނެ ނުގަނެވޭނެއެވެ. އެހެންކަމުން ނައްޞުތަކުގައި އައިސްފައިވާ މިންވަރަށް އިޤުރާރުވެ، އެ މިންވަރު ފަހަނަ އަޅާ ދިޔުމުން އެއްކިބާވާން ޖެހޭނެއެވެ. ﷲ ތަޢާލާ ވަޙީކުރެއްވިއެވެ. ﴿وَلَا تَقْفُ مَا لَيْسَ لَكَ بِهِ عِلْمٌ إِنَّ السَّمْعَ وَالْبَصَرَ وَالْفُؤَادَ كُلُّ أُولَئِكَ كَانَ عَنْهُ مَسْئُولًا﴾ [الإسراء: ٣٦] މާނައީ: ""އަދި ތިބާއަށް އެކަމަކާމެދު އެނގުމެއް ނުވާކަމަކަށް، ތަބާ ނުވާށެވެ! ހަމަކަށަވަރުން އިވުމާއި ފެނުމާއި ހިތާއި، މިއިން ކޮންމެ ކަމަކީ އެއާމެދު ސުވާލުވެވޭނެ ކަންކަމެވެ."""
"• القاعدة الثانية: أسماء الله كلها حسنى أي بالغة في الحسن غايته:
قال تعالى: ﴿وَلِلَّهِ الْأَسْمَاءُ الْحُسْنَى﴾ [الأعراف: ١٨٠] وذلك لدلالتها على أحسن مسمى وأشرف مدلول وهو الله عز وجل ولأنها متضمنة لصفات كاملة لا نقص فيها بوجه من الوجوه لا احتمالا ولا تقديرًا.","• ދެވަނަ ގަވާއިދު: ﷲ ތަޢާލާގެ އެންމެހާ އިސްމުފުޅުތަކާއި ސިފަފުޅުތައް ކޮޅުނެތްކޮޅަށް ރިވެތިވެގެންވޭ:
ﷲ ތަޢާލާ ވަޙީކުރެއްވިއެވެ. ﴿وَلِلَّهِ الْأَسْمَاءُ الْحُسْنَى﴾ [الأعراف: ١٨٠] މާނައީ: ""އެންމެ ރިވެތިވެގެންވާ އިސްމުފުޅުތައް ވަނީ ﷲ އަށެވެ."" އެހެނީ އެ އިސްމުފުޅުތަކުން ދަލާލަތު ކުރަނީ އެންމެ ޝަރަފުވެރިވެވޮޑިގެންވާ ފަރާތަށެވެ. ފަހެ، އެއީ ﷲ عز وجل ގެ ޛާތުފުޅެވެ. އެހެނީ އެއިލާހުގެ ސިފަފުޅުތަކަކީ ފުރިހަމަ ސިފަފުޅުތަކެކެވެ. އަދި އެއްވެސް ގޮތަކުން އޭގައި އުނިކަމެއް ނުވާ އަދި ނުބައި މާނަތަކެއްވެސް ދޭހަނުވާފަދަ ސިފަފުޅުތަކެކެވެ."
"• القاعدة الثالثة: القول في الصفات كالقول في الذات:
وبيانها: أن الله تعالى ليس كمثله شيء لا في ذاته ولا صفاته، ولا أفعاله. فإذا كان لله ذات حقيقية لا تماثل الذوات بلا خلاف فكذلك الصفات الثابتة له في الكتاب والسنة، هي صفات حقيقية لا تماثل سائر الصفات فالقول في الذات والصفات من باب واحد.","• ތިންވަނަ ގަވާއިދު: ﷲ ތަޢާލާގެ ޛާތުފުޅު ސާބިތުކުރާ ފަދައިން އެއިލާހުގެ ސިފަފުޅުތައްވެސް ސާބިތުކުރަން ޖެހޭ
މިކަމުގެ ތަފުސީލަކީ: ހަމަކަށަވަރުން ﷲ ތަޢާލާގެ ޛާތުފުޅާ އެއްފަދަ ނުވަތަ އެއްގޮތް އެހެން ފަރާތެއް ނުވާ ފަދައިން، އެއިލާހުގެ ސިފަފުޅުތަކާ އަދި ޢަމަލުފުޅުތަކާ އެއްފަދަ ނުވަތަ އެއްގޮތް އެހެން ފަރާތެއްވެސް އަދި ކަމެއްވެސް ނުވެއެވެ. ފަހެ ﷲ ތަޢާލާގެ ޛާތުފުޅު އެހެން އެއްޗަކާ އެއްގޮތް ނުވާކަމާ މެދުގައި މުސްލިމުންގެ މެދުގައި އެއްވެސް ޚިލާފެއް ނުވެއެވެ. ހަމަ އެފަދައިން ކީރިތި ޤުރުއާނާއި ނަބަވީ ސުންނަތުގައި ސާބިތުވެފައިވާ ސިފަފުޅުތަކަކީވެސް އެއިލާހަށް ނިސްބަތްކުރެވޭ، ޙަޤީޤީ ސިފަފުޅުތަކެކެވެ. އަދި އެއިލާހުގެ ސިފަފުޅުތައް އެހެން އެއްޗެހީގެ ސިފަތަކާ ވައްތަރުވެގެން ނުވެއެވެ. އެހެންކަމުން ސިފަފުޅުތަކާ މެދުގައި ދެކެން ޖެހޭނީ އެއިލާހުގެ ޛާތުފުޅާ މެދުގައިވެސް ދެކޭ ގޮތަށެވެ. އެއީ އެހެން ފަރާތްތަކާ އެއްގޮތް ނުވާ މަތިވެރިވެގެންވާ ޛާތުފުޅެއް ﷲ އަށް ލިބިވޮޑިގެންވާ ފަދައިން، އެހެން ފަރާތްތަކާ އެއްގޮތްވެގެން ނުވާ މަތިވެރި ސިފަފުޅުތަކެއްވެސް އެއިލާހަށް ލިބިވޮޑިގެންވާކަމެވެ."
"• القاعدة الرابعة: القول في بعض الصفات كالقول في بعضها الآخر:
وشرحها: أن القول في بعض صفات الله من حيث الإثبات والنفي كالقول في البعض الآخر.","• ހަތަރުވަނަ ގަވާއިދު: ﷲ ތަޢާލާގެ ބައެއް ސިފަފުޅުތައް ޤަބޫލުކުރާ ގޮތަށް، އެއިލާހުގެ އެހެން ސިފަފުޅުތައްވެސް ޤަބޫލުކުރުން
މި ގަވާއިދުގެ ޝަރަހައަކީ: (ކީރިތި ޤުރުއާނާއި ނަބަވީ ސުންނަތުގައި) ﷲ ތަޢާލާއަށް ސާބިތުކޮށްފައިވާ ބައެއް ސިފަފުޅުތައް ސާބިތުކުރާ ފަދައިން އަދި (ކީރިތި ޤުރުއާނާއި ނަބަވީ ސުންނަތުގައި) އެއިލާހަށް ލިބިގެންވާކަން ނަފީކޮށްފައިވާ ސިފަތައް ނަފީކުރާ ފަދައިން، (ކީރިތި ޤުރުއާނާއި ނަބަވީ ސުންނަތުގައި) ވާރިދުވެފައިވާ އެހެން ސިފަފުޅުތަކުގައިވެސް އެފަދައިން ޤަބޫލުކުރަން ޖެހެއެވެ."
• القاعدة الخامسة: صفات الله تعالى تنقسم إلى قسمين: ثبوتية، وسلبية: فالثبوتية: ما أثبته الله تعالى لنفسه في كتابه، أو على لسان رسوله صلى الله عليه وسلم، وكلها صفات كمال لا نقص فيها بوجه من الوجوه؛ كالحياة، والعلم، والقدرة، والاستواء على العرش، والنزول إلى السماء الدنيا، والوجه، واليدين، ونحو ذلك. فيجب إثباتها لله تعالى حقيقة على الوجه اللائق به، قال تعالى: ﴿يَا أَيُّهَا الَّذِينَ آمَنُوا آمِنُوا بِاللَّهِ وَرَسُولِهِ وَالْكِتَابِ الَّذِي نَزَّلَ عَلَى رَسُولِهِ وَالْكِتَابِ الَّذِي أَنْزَلَ مِنْ قَبْلُ وَمَنْ يَكْفُرْ بِاللَّهِ وَمَلائِكَتِهِ وَكُتُبِهِ وَرُسُلِهِ وَالْيَوْمِ الْآخِرِ فَقَدْ ضَلَّ ضَلالا بَعِيداً﴾[النساء: 136].,"• ފަސްވަނަ ގަވާއިދު: ﷲ ތަޢާލާގެ ސިފަފުޅުތައް ދެނެގަތުމުގައި، ޢިލްމުވެރިން އެ ސިފަފުޅުތައް ދެ ބަޔަކަށް ބައްސަވާ: އެއީ އެއިލާހަށް ސާބިތުކުރައްވާފައިވާ ސިފަފުޅުތަކާއި ނަފީކުރައްވާފައިވާ ސިފަތައް
އެއިލާހަށް ސާބިތުކުރައްވާފައިވާ ސިފަފުޅުތައް: އެއީ ﷲ ތަޢާލާ، އެއިލާހުގެ ފޮތުގައި އެއިލާހަށް ސާބިތުކުރައްވާފައިވާ ސިފަފުޅުތަކެވެ. ނުވަތަ އެއިލާހުގެ ރަސޫލާ صلى الله عليه وسلم، ﷲ އަށް ނިސްބަތްކޮށް ބަޔާންކުރައްވާފައިވާ ސިފަފުޅުތަކެވެ. އެ ހުރިހާ ސިފަފުޅުތަކަކީވެސް ފުރިހަމަ ސިފަފުޅުތަކެކެވެ. އަދި އެއްވެސް ގޮތަކަށް އުނިކަމެއް ނުވާ ސިފަފުޅުތަކެވެ. އެ ސިފަފުޅުތަކުގެ ތެރޭގައި؛ ދިރިދެމިވޮޑިގެންވުމާއި ޢިލްމުފުޅާއި ކުޅަދުންވަންތަކަމާއި ޢަރުޝީގެ މައްޗަށް އިސްތަވާވެވޮޑިގެންވުމާއި ދުނިޔޭގެ އުޑަށް ފައިބައިވޮޑިގެންނެވުމާއި ވަޖުހުފުޅާއި ދެއަތްޕުޅާ އަދި އެނޫނަސް އެފަދައިން ކީރިތި ޤުރުއާނާއި ނަބަވީ ސުންނަތުގައި ސާބިތުވެފައިވާ ސިފަފުޅުތައް ހިމެނެއެވެ. އެ ސިފަފުޅުތަކަކީ ޙަޤީޤަތުގައިވެސް ﷲ ތަޢާލާއަށް ލިބިވޮޑިގެންވާ ސިފަފުޅުތަކެކެވެ. އެހެންކަމުން އެއިލާހަށް ލާއިޤުވެވޮޑިގެންވާ ގޮތުގައި އެ ސިފަފުޅުތައް ސާބިތުކުރަން ޖެހެއެވެ. އެއިލާހު ވަޙީކުރެއްވިއެވެ. ﴿يَا أَيُّهَا الَّذِينَ آمَنُوا آمِنُوا بِاللَّهِ وَرَسُولِهِ وَالْكِتَابِ الَّذِي نَزَّلَ عَلَى رَسُولِهِ وَالْكِتَابِ الَّذِي أَنْزَلَ مِنْ قَبْلُ وَمَنْ يَكْفُرْ بِاللَّهِ وَمَلائِكَتِهِ وَكُتُبِهِ وَرُسُلِهِ وَالْيَوْمِ الْآخِرِ فَقَدْ ضَلَّ ضَلالا بَعِيداً﴾ [النساء: 136] މާނައީ: ""އޭ އީމާންވެއްޖެ މީސްތަކުންނޭވެ! ﷲ އަށާއި އެއިލާހުގެ ރަސޫލާއަށާއި އެއިލާހުގެ ރަސޫލާއަށް ބާވައިލެއްވި ފޮތަށާ އަދި ކުރިން ބާވައިލެއްވި ފޮތްތަކަށް އީމާންވުން މަތީ ތިޔަބައިމީހުން ދެމިތިބޭށެވެ! އަދި ﷲ އަށާއި އެއިލާހުގެ މަލާއިކަތުންނަށާއި (ބާވައިލެއްވި) ފޮތްތަކަށާއި (ފޮނުއްވި) ރަސޫލުންނަށާ އަދި އާޚިރަތް ދުވަހަށް ކާފިރުވާ މީހާ (ދަންނައެވެ!) ފަހެ ދުރުވެގެންވާ މަގުފުރެދުމަކުން އެމީހަކު މަގުފުރެދިއްޖެކަން ކަށަވަރެވެ."""
