#,headAR,bodyAR,headDV,bodyDV,footAR,footDV,headEN-HDN,bodyEN-HDN
1,١ - أَذْكَارُ الاسْتِيقَاظِ مِنَ النَّومِ,١ - الْحَمْدُ للَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا، وَإِلَيْهِ النُّشُورُ,𝟣 - ހޭލައިގެން ކިޔާ ޒިކުރުތައް,އެންމެހާ ހަމްދު ތައުރީފެއް ހައްގުވެގެންވަނީ ﷲ އަށެވެ. އެ އިލާހީ އަޅަމެން މަރުގެންނެވުމަށްފަހު، އަޅަމެންނަށް ދިރުން ދެއްވި އިލާހެވެ. އަދި (ކައްވަޅުތަކުން) ތެދުވެގެން ދިޔުންވަނީ އެ އިލާހުގެ ހަޒްރަތަށެވެ.,البخاري 6314، ومسلم 2711,ބުޚާރީ 6314، މުސްލިމް 2711,𝟣 When waking up,Praise is to Allah Who gives us life after He has caused us to die and to Him is the return.
2,١ - أَذْكَارُ الاسْتِيقَاظِ مِنَ النَّومِ,٢ - لَا إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ لَا شَريكَ لَهُ، لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ، وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ، سُبْحَانَ اللَّهِ، وَالْحَمْدُ للَّهِ، وَلَا إِلَهَ إِلاَّ اللَّهُ، وَاللَّهُ أَكبَرُ، وَلَا حَوْلَ وَلَا قُوَّةَ إِلاَّ بِاللَّهِ الْعَلِيِّ الْعَظِيمِ، رَبِّ اغْفرْ لِي,𝟣 - ހޭލައިގެން ކިޔާ ޒިކުރުތައް,ﷲ މެނުވީ އަޅުކަންވެވުން ހައްގުވެގެންވާ އެހެން އެއްވެސް އިލާހަކުނުވެއެވެ. އެ އިލާހީ އެ އިލާހަށް އެއްވެސް ޝަރީކަކުނުވާ އެއްކައުވަންތަ އިލާހެވެ. އެންމެހާ ވެރިކަމެއްވަނީ އެ އިލާހަށެވެ. އަދި އެންމެހާ ހަމްދު ތައުރީފެއްވެސްވަނީ އެ އިލާހަށެވެ. އަދި އެ އިލާހީ ކޮންމެކަމެއްގެ މައްޗަށް ކުޅަދުންވަންތަ އިލާހެވެ. ﷲ ހުރިހާ ޢައިބަކުން ހުސްތާހިރުވެ ވޮޑިގެންވެއެވެ. އަދި އެންމެހާ ހަމްދު ތައުރީފެއް ލިބިވޮޑިގެންވަނީ ﷲ އަށެވެ. އަދި ﷲ މެނުވީ އަޅުކަންވެވުން ހައްގުވެގެންވާ އެހެން އެއްވެސް އިލާހަކުނުވެއެވެ. އަދި އެންމެބޮޑީ ﷲ އެވެ. އަދި ހެޔޮކަމެއް ކުރުމުގެ ބާރެއްވެސް އަދި ނުބައިކަމަކުން ސަލާމަތްވުމުގެ ބާރެއްވެސް، މަތިވެރި ﷲ ގެ ހަޒްރަތުން މެނުވީ ނުވެއެވެ. އަޅުގެ ރައްބެވެ! މި އަޅާގެ ފާފަފުއްސަވާނދޭވެ!,البخاري 1154، وغيره، واللفظ لابن ماجه,,𝟣 When waking up,"There is none worthy of worship but Allah alone, Who has no partner, His is the dominion and to Him belongs all praise, and He is able to do all things. Glory is to Allah. Praise is to Allah. There is none worthy of worship but Allah. Allah is the Most Great. There is no might and no power except by Allah's leave, the Exalted, the Mighty. My Lord, forgive me."
3,١ - أَذْكَارُ الاسْتِيقَاظِ مِنَ النَّومِ,٣ - الْحَمْدُ لِلَّهِ الَّذِي عَافَانِي فِي جَسَدِي، وَرَدَّ عَلَيَّ رُوحِي، وَأَذِنَ لي بِذِكْرِهِ,𝟣 - ހޭލައިގެން ކިޔާ ޒިކުރުތައް,އެންމެހާ ހަމްދު ތައުރީފެއް ހައްގުވެގެންވަނީ ﷲ އަށެވެ. އެ އިލާހީ މި އަޅާގެ ހަށިގަނޑަށް ފުރިހަމަ އާފިޔަތު ދެއްވައި އަދި މި އަޅާގެ ފުރާނަ އަލުން މި އަޅާއަށް ދެއްވައި އަދި އެ އިލާހަށް ޒިކުރުކުރުމުގެ ހުއްދަ މި އަޅާއަށް ދެއްވި އިލާހެވެ.,الترمذي 3401,,𝟣 When waking up,Praise is to Allah Who gave strength to my body and returned my soul to me and permitted me to remember Him.
4,١ - أَذْكَارُ الاسْتِيقَاظِ مِنَ النَّومِ,٤ - إِنَّ فِي خَلْقِ السَّمَوَاتِ وَالأَرْضِ وَاخْتِلاَفِ اللَّيْلِ وَالنَّهَارِ لَآيَاتٍ لأُوْلِي الألْبَابِ * الَّذِينَ يَذْكُرُونَ اللَّهَ قِيَاماً وَقُعُوداً وَعَلَىَ جُنُوبِهِمْ وَيَتَفَكَّرُونَ فِي خَلْقِ السَّمَوَاتِ وَالأَرْضِ رَبَّنَا مَا خَلَقْتَ هَذا بَاطِلاً سُبْحَانَكَ فَقِنَا عَذَابَ النَّارِ* رَبَّنَا إِنَّكَ مَن تُدْخِلِ النَّارَ فَقَدْ أَخْزَيْتَهُ وَمَا لِلظَّالِمِينَ مِنْ أَنصَارٍ* رَّبَّنَا إِنَّنَا سَمِعْنَا مُنَادِياً يُنَادِي لِلإِيمَانِ أَنْ آمِنُواْ بِرَبِّكُمْ فَآمَنَّا رَبَّنَا فَاغْفِرْ لَنَا ذُنُوبَنَا وَكَفِّرْ عَنَّا سَيِّئَاتِنَا وَتَوَفَّنَا مَعَ الأبْرَارِ* رَبَّنَا وَآتِنَا مَا وَعَدتَّنَا عَلَى رُسُلِكَ وَلَا تُخْزِنَا يَوْمَ الْقِيَامَةِ إِنَّكَ لَا تُخْلِفُ الْمِيعَادَ * فَاسْتَجَابَ لَهُمْ رَبُّهُمْ أَنِّي لَا أُضِيعُ عَمَلَ عَامِلٍ مِّنكُم مِّن ذَكَرٍ أَوْ أُنثَى بَعْضُكُم مِّن بَعْضٍ فَالَّذِينَ هَاجَرُواْ وَأُخْرِجُواْ مِن دِيَارِهِمْ وَأُوذُواْ فِي سَبِيلِي وَقَاتَلُواْ وَقُتِلُواْ لأُكَفِّرَنَّ عَنْهُمْ سَيِّئَاتِهِمْ وَلأُدْخِلَنَّهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الأَنْهَارُ ثَوَاباً مِّن عِندِ اللَّهِ وَاللَّهُ عِندَهُ حُسْنُ الثَّوَابِ * لَا يَغُرَّنَّكَ تَقَلُّبُ الَّذِينَ كَفَرُواْ فِي الْبِلاَدِ * مَتَاعٌ قَلِيلٌ ثُمَّ مَأْوَاهُمْ جَهَنَّمُ وَبِئْسَ الْمِهَادُ * لَكِنِ الَّذِينَ اتَّقَوْاْ رَبَّهُمْ لَهُمْ جَنَّاتٌ تَجْرِي مِنْ تَحْتِهَا الأَنْهَارُ خَالِدِينَ فِيهَا نُزُلاً مِّنْ عِندِ اللَّهِ وَمَا عِندَ اللَّهِ خَيْرٌ لِّلأَبْرَارِ * وَإِنَّ مِنْ أَهْلِ الْكِتَابِ لَمَن يُؤْمِنُ بِاللَّهِ وَمَا أُنزِلَ إِلَيْكُمْ وَمَآ أُنزِلَ إِلَيْهِمْ خَاشِعِينَ لِلَّهِ لَا يَشْتَرُونَ بِآيَاتِ اللَّهِ ثَمَناً قَلِيلاً أُوْلَئِكَ لَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ إِنَّ اللَّهَ سَرِيعُ الْحِسَابِ*يَا أَيُّهَا الَّذِينَ آمَنُواْ اصْبِرُواْ وَصَابِرُواْ وَرَابِطُواْ وَاتَّقُواْ اللَّهَ لَعَلَّكُمْ تُفْلِحُونَ,𝟣 - ހޭލައިގެން ކިޔާ ޒިކުރުތައް,ހަމަކަށަވަރުން އުޑުތަކާއި ބިން ހެއްދެވުމުގައްޔާއި، އަދި ރޭދުވާ ތަފާތުވުމުގައި ބުއްދިވެރީންނަށް ހުރި ހެކިތަކެއްވެއެވެ. އެބައިމީހުންނަކީ ކޮޅަށް ތިބެގެންނާއި، އިށީނދެ ތިބެގެންނާއި، އަރިމައްޗަށް އޮށޯވެ ތިބެގެން ﷲ ހަނދުމަކޮށް، އަދި އުޑުތަކާއި ބިން ހެއްދެވުމާމެދު ފިކުރުކުރާ މީހުންނެވެ. (އެބައިމީހުން ދަންނަވަތެވެ.) އޭ އަޅަމެން ހައްދަވައި ބޮޑުކުރެއްވި ރަސްކަލާކޮ! އިބަ އިލާހު މި ތަކެތި ހައްދަވާފައިވަނީ ބާތިލުގޮތެއްގައެއް ނޫނެވެ. އިބަ އިލާހު ހުސްތާހިރުވަންތަވެ ވޮޑިގެންވެއެވެ. ފަހެ ނަރަކައިގެ އަޒާބުން އަޅަމެން ދިންނަވާނދޭވެ! އޭ އަޅަމެން ހައްދަވައި ބޮޑުކުރެއްވި ރަސްކަލާކޮ! ހަމަކަށަވަރުން އިބަ އިލާހު ނަރަކައަށް ވައްދަވައިފި މީހާ، ފަހެ އިބަ އިލާހު އެ މީހާ ނިކަމެތިކުރައްވައިފިކަން ކަށަވަރެވެ. އަދި އަނިޔާވެރިންނަށް މަދަދެއްކުރާނެ އެއްވެސް ފަރާތެއް ނުވެއެވެ. އޭ އަޅަމެން ހައްދަވައި ބޮޑުކުރެއްވި ރަސްކަލާކޮ! ހަމަކަށަވަރުން އީމާންވުމަށް ގޮވައިލައްވާ ބޭކަލަކު (އެބަހީ: ރަސޫލަކު) ތިޔަބައިމީހުން، ތިޔަބައިމީހުންގެ ރައްބަށް އިމާންވާށޭ ގޮވައިލައްވާ އަޑު އަޅަމެން އެހީމުއެވެ. ދެން އަޅަމެން އީމާންވީމުއެވެ. އޭ އަޅަމެން ހައްދަވައި ބޮޑުކުރެއްވި ރަސްކަލާކޮ! އަޅަމެންނަށް އަޅަމެންގެ ފާފަތައް ފުއްސަވާނދޭވެ! އަދި އަޅަމެންގެ ކިބައިން އަޅަމެންގެ ކުށްތައް އަފޫ ކުރައްވާނދޭވެ! އަދި ހެޔޮލަފާ މީހުންނާ އެކުގައި އަޅަމެން މަރުގަންނަވާނދޭވެ! އޭ އަޅަމެން ހައްދަވައި ބޮޑުކުރެއްވި ރަސްކަލާކޮ! އިބަ އިލާހުގެ ރަސޫލުންގެ ދޫފުޅު މަތިން އަޅަމެންނަށް ވައުދު ކުރެއްވި އެއްޗެއް އަޅަމެންނަށް ދެއްވާނދޭވެ! އަދި ގިޔާމަތް ދުވަހުގައި އަޅަމެން ނިކަމެތި ނުކުރައްވާނދޭވެ! ހަމަކަށަވަރުން އިބަ އިލާހުގެ ވައުދުފުޅާ ޚިލާފުވެ ވޮޑިއެއް ނުގަންނަވަމުއެވެ. ދެން އެބައިމީހުންގެ ރައްބު އެބައިމީހުންނަށް (އެބައިމީހުންގެ) ދުއާ އިޖާބަކުރެއްވިއެވެ. ތިޔަބައިމީހުންގެ ތެރެއިން ފިރިހެނުންކުރެ ނުވަތަ އަންހެނުންކުރެ، އަމަލުކުރާ މީހެއްގެ އަމަލު ހަމަކަށަވަރުން ތިމަން ﷲ ގެއްލެނި ނުކުރައްވާހުށީމެވެ. ތިޔަބައިމީހުންކުރެ އެއްބަޔަކީ އަނެއްބަޔެއްގެ ކިބައިންވާ ބަޔެކެވެ. ފަހެ ހިޖުރަކޮށް އަދި ގެދޮރުން ނެރެވި އަދި ތިމަން ﷲ ގެ މަގުގައި އުނދަގޫތައްޖެހި އަދި ހަނގުރާމަކޮށް ޝަހީދުވީ މީހުންގެ ކިބައިން އެބައިމީހުންގެ ކުށްފާފަތައް ހަމަކަށަވަރުން ތިމަން ﷲ އަފޫކުރައްވާހުށީމެވެ. އަދި އެ ތަންތާނގެ ދަށުން އާރުތައް ހިނގަހިނގައި ހުންނަ ސުވަރުގެތަކަށް ހަމަކަށަވަރުން ތިމަން ﷲ އެބައިމީހުން ވައްދަވާހުށީމެވެ. އެއީ ﷲ ގެ ހަޒްރަތުންވާ ސަވާބެއްގެ ގޮތުގައެވެ. ކާފިރުވި މީސްތަކުން ރަށްރަށުގައި އެގޮތް މިގޮތަށް އެ އުޅޭއުޅުން ކަލޭގެފާނު ހެއްލުންތެރިކުރިޔަ ނުދޭހުށިކަމެވެ. (އެބަހީ އެމީހުން އެ އުޅޭއުޅުން އެއީ) ވަގުތީ ކުޑަކުޑަ އަރާމެކެވެ. ދެން އެބައިމީހުންގެ ނިމުންވާ ތަނަކީ ނަރަކައެވެ. އެ ތަންމަތީގެ ހުރި ނުބައިކަމާއެވެ! އެކަމަކު އެބައިމީހުންގެ ރައްބަށް ތަގްވާވެރިވި މީހުންނަށްޓަކައި އެތަންތާނގެ ދަށުން އާރުތައް ހިނގަހިގައި ހުންނަ ސުވަރުގެތައް ވެއެވެ. އެތާނގައި އެމީހުން ދެމިތިބޭނެތެވެ. އެއީ ﷲ ގެ ހަޒްރަތުންވާ މެހުމާންދާރީއެއްގެ ގޮތުގައެވެ. ﷲ ގެ ހަޒްރަތުގައިވާ ތަކެތި ހެޔޮލަފާ މީހުންނަށް މާ ހެޔޮވެގެން ވެއެވެ. އަދި ހަމަކަށަވަރުން އަހުލުކިތާބީންގެ ތެރެއިން ﷲ އަށާއި، ތިޔަބައިމީހުންނަށް ބާވައިލެއްވުނު ގުރްއާނަށާއި، އަދި އެބައިމީހުންނަށް ބާވައިލެއްވުނު ތައުރާތަށާއި، އިންޖީލަށް، ﷲ އަށް މަޑުމޮޅިވެގެންވާ ޙާލު، އީމާންވާ މީހުންވެއެވެ. އެބައިމީހުން ﷲ ގެ އާޔަތްތައް ކުޑަކުޑަ އަގަކަށް ވިއްކައެއްނުލައެވެ. އެބައިމީހުންގެ ރައްބުގެ ހަޒްރަތުން އެބައިމީހުންގެ އަޖުރު އެބައިމީހުންނަށް ހުއްޓެވެ. ހަމަކަށަވަރުން ﷲ އީ ހިސާބު ބެއްލެވުން އަވަސްވެވޮޑިގެންވާ އިލާހެވެ. އޭ އީމާންވެއްޖެ މީސްތަކުންނޭވެ! ތިޔަބައިމީހުން ކެތްކުރާށެވެ. އަދި ދުޝްމިނުންނާ ކުރިމަތިލައި ހަނގުރާމަކުރާއިރު ކެތްކުރާށެވެ. އަދި ދުޝްމިނުން ހަނގުރާމައަށް އަތުވެދާނެކަމަށް ތައްޔާރުވާށެވެ. އަދި ތިޔަބައިމީހުން ﷲ އަށް ތަގްވާވެރިވާށެވެ. އެއީ ތިޔަބައިމީހުންނަށް ކާމިޔާބުލިބޭތޯއެވެ.,سورة آل عمران 190-200، البخاري 4569، ومسلم 256,,𝟣 When waking up,"Indeed, in the creation of the heavens and the earth and the alternation of the day and night there are signs for people of reason. ˹They are˺ those who remember Allah while standing, sitting, and lying on their sides, and reflect on the creation of the heavens and the earth ˹and pray˺, “Our Lord! You have not created ˹all of˺ this without purpose. Glory be to You! Protect us from the torment of the Fire. Our Lord! Indeed, those You commit to the Fire will be ˹completely˺ disgraced! And the wrongdoers will have no helpers. Our Lord! We have heard the caller to ˹true˺ belief, ˹proclaiming,˺ ‘Believe in your Lord ˹alone˺,’ so we believed. Our Lord! Forgive our sins, absolve us of our misdeeds, and allow us ˹each˺ to die as one of the virtuous. Our Lord! Grant us what You have promised us through Your messengers and do not put us to shame on Judgment Day—for certainly You never fail in Your promise.” So their Lord responded to them: “I will never deny any of you—male or female—the reward of your deeds. Both are equal in reward. Those who migrated or were expelled from their homes, and were persecuted for My sake and fought and ˹some˺ were martyred—I will certainly forgive their sins and admit them into Gardens under which rivers flow, as a reward from Allah. And with Allah is the finest reward!” Do not be deceived by the prosperity of the disbelievers throughout the land. It is only a brief enjoyment. Then Hell will be their home—what an evil place to rest! But those who are mindful of their Lord will be in Gardens under which rivers flow, to stay there forever—as an accommodation from Allah. And what is with Allah is best for the virtuous. Indeed, there are some among the People of the Book who truly believe in Allah and what has been revealed to you ˹believers˺ and what was revealed to them. They humble themselves before Allah—never trading Allah’s revelations for a fleeting gain. Their reward is with their Lord. Surely Allah is swift in reckoning. O believers! Patiently endure, persevere, stand on guard, and be mindful of Allah, so you may be successful."
5,٢ - دُعَاءُ لُبْسِ الثَّوْبِ,٥ - الْحَمْدُ للَّهِ الَّذِي كَسَانِي هَذَا (الثَّوْبَ) وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلَا قُوَّة ...,𝟤 - ހެދުން ލަމުން ކިޔާ ދުއާ,އެންމެހާ ހަމްދު ތައުރީފެއް ހައްގުވެގެންވަނީ ﷲ އަށެވެ. އެ އިލާހީ މި ހެދުން މި އަޅާ ލެއްވެވި އިލާހެވެ. އަދި މި އަޅާގެ އެއްވެސް ބާރަކާނުލައި މި ހެދުން މި އަޅާއަށް ދެއްވި އިލާހެވެ.,أبو داود 4023، والترمذي 3458، وابن ماجه 3285,,𝟤 When wearing a garment,"Praise is to Allah Who has clothed me with this (garment) and provided it for me, though I was powerless myself and incapable"
6,٣ - دُعَاءُ لُبْسِ الثَّوْبِ الجَدِيدِ,٦ - اللَّهُمَّ لَكَ الْحَمْدُ أَنْتَ كَسَوْتَنِيهِ، أَسْأَلُكَ مِنْ خَيْرِهِ وَخَيْرِ مَا صُنِعَ لَهُ، وَأَعُوذُ بِكَ مِنْ شَرِّهِ وَشَرِّ مَا صُنِعَ لَهُ,𝟥 - އާ ހެދުން ލަމުން ކިޔާ ދުއާ,ޔާ ﷲ! އެންމެހާ ހަމްދު ތައުރީފެއް ހައްގުވެގެންވަނީ އިބަ ﷲ އަށެވެ. މިހެދުން މި އަޅާ ލެއްވެވީ އިބަ ﷲ އެވެ. މިހެދުމުގައިވާ ހެޔޮކަމާއި އަދި އެކަމަކަށްޓަކައި މިހެދުން އުފެއްދެވުނުކަމުގެ ހެޔޮކަން ދެއްވުމަށްއެދި މި އަޅާ އިބަ ﷲ ގެ ހަޒްރަތުން ދަންނަވަމެވެ. އަދި މިހެދުމުގައިވާ ނުބައިކަމަކާ އަދި އެކަމަކަށްޓަކައި މިހެދުން އުފެއްދެވުނުކަމުގެ ނުބައިކަމުން ރައްކައުތެރިކޮށްދެއްވުމަށްއެދި މި އަޅާ އިބަ ﷲ ގެ ހަޒްރަތުން ދަންނަވަމެވެ. ދަންނަވަމެވެ.,أبو داود 4020، والترمذي 1767,,𝟥 When wearing a new garment,"O Allah, praise is to You. You have clothed me. I ask You for its goodness and the goodness of what it has been made for, and I seek Your protection from the evil of it and the evil of what it has been made for."
7,٤ - الدُّعَاءُ لِمَنْ لَبِسَ ثَوْباً جَدِيداً,٧ - تُبْلِي وَيُخْلِفُ اللَّهُ تَعَالَى,𝟦 - އާ ހެދުމެއް ލީ މީހަކަށް ކޮށްދޭ ދުއާ,ތިބާ އެ ބާކުރެއެވެ. އަދި ﷲ ތަޢާލާ އޭގެ ބަދަލު އަލުން ދެއްވަތެވެ.,أبو داود 4020,,𝟦 To someone wearing a new garment,May Allah replace it when it is worn out.
8,٤ - الدُّعَاءُ لِمَنْ لَبِسَ ثَوْباً جَدِيداً,٨ - اِلْبَسْ جَدِيداً وَعِشْ حَمِيداً وَمُتْ شَهِيداً,𝟦 - އާ ހެދުމެއް ލީ މީހަކަށް ކޮށްދޭ ދުއާ,އައު ހެދުންލާށެވެ. އަދި ހަމްދުކުރާ މީހެއްގެ ގޮތުގައި ދިރިއުޅޭށެވެ. އަދި ޝަހީދެއްގެ ގޮތުގައި މަރުވާށެވެ.,ابن ماجه 3558,,𝟦 To someone wearing a new garment,"Put on new clothes, live a praise-worthy life and die as a martyr."
9,٥ - مَا يَقُولُ إِذَا وَضَعَ ثَوْبَهُ,٩ - بِسْمِ اللَّهِ,𝟧 - ހެދުން ބާލަމުން ކިޔާ ދުއާ,ﷲ ގެ އިސްމުފުޅުގެ ބަރަކާތުން މި ހެދުން ބައިލަމެވެ.,الترمذي 606، وغيره,,𝟧 Before undressing,In the Name of Allah.
10,٦ - دُعَاءُ دُخُولِ الْخَلاءِ,١٠ - [بِسْمِ اللَّهِ] اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبْثِ وَالْخَبائِث,𝟨 - ފާހާނާއަށް ވަނުމުގެ ކުރިން ކިޔާ ދުއާ,(މާތް ﷲ ގެ އިސްމުފުޅުގެ ބަރަކާތުން ވަންނަމެވެ.) ޔާ ﷲ! ހަމަކަށަވަރުން ނުބައިވެގެންވާ ފިރިހެން ޝައިތާނުންނާއި އަންހެން ޝައިތާނުންގެ ކިބައިން، މި އަޅާ ރައްކާތެރި ކޮށްދެއްވުން އެދި އިބަ އިލާހުގެ ހަޒްރަތަށް ދަންނަވަމެވެ.,البخاري 142، ومسلم 375، وزيادة: (بسم الله) في أوله أخرجها سعيد بن منصور.,,𝟨 Before entering the bathroom,"[In the Name of Allah]. O Allah, I seek protection in You from evil and the evil ones (or, from the evil male and female Jinn)."
