source,#,bodyAR,bodyDV,takhrij
جامع الترمذي,241,حَدَّثَنَا عُقْبَةُ بْنُ مُكْرَمٍ وَنَصْرُ بْنُ عَلِيٍّ، قَالَا: حَدَّثَنَا سَلْمُ بْنُ قُتَيْبَةَ، عَنْ طُعْمَةَ بْنِ عَمْرٍو، عَنْ حَبِيبِ بْنِ أَبِي ثَابِتٍ، عَنْ أَنَسِ بْنِ مَالِكٍ، قَالَ: قَالَ رَسُولُ اللهِ ﷺ: مَنْ صَلَّى لِلهِ أَرْبَعِينَ يَوْمًا فِي جَمَاعَةٍ يُدْرِكُ التَّكْبِيرَةَ الْأُولَى كُتِبَتْ لَهُ بَرَاءَتَانِ: بَرَاءَةٌ مِنَ النَّارِ، وَبَرَاءَةٌ مِنَ النِّفَاقِ. وَقَدْ رُوِيَ هَذَا الْحَدِيثُ عَنْ أَنَسٍ مَوْقُوفًا، وَلَا أَعْلَمُ أَحَدًا رَفَعَهُ إِلَّا مَا رَوَى سَلْمُ بْنُ قُتَيْبَةَ، عَنْ طُعْمَةَ بْنِ عَمْرٍو، وَإِنَّمَا يُرْوَى هَذَا عَنْ حَبِيبِ بْنِ أَبِي حَبِيبٍ الْبَجَلِيِّ، عَنْ أَنَسِ بْنِ مَالِكٍ قَوْلَهُ.,އަނަސް ބިން މާލިކު ރިވާ ކުރެއްވިއެވެ: ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރެއްވިއެވެ: ”ފުރަތަމަ ތަކްބީރު ލިބޭގޮތަށް ﷲ އަށްޓަކައި ސާޅީސް ދުވަސްވާންދެން ޖަމާއަތުގައި ނަމާދުކޮށްފި މީހާ، އޭނާ ދެ ކަމަކުން ބަރީއަވާނޭ ކަމަށް ލިޔެވޭނެއެވެ. އެއީ ނަރަކައިން ބަރީއަވުމާއި، މުނާފިގުކަމުން ބަރީއަވުމެވެ.“,
جامع الترمذي,241,حَدَّثَنَا عُقْبَةُ بْنُ مُكْرَمٍ وَنَصْرُ بْنُ عَلِيٍّ، قَالَا: حَدَّثَنَا سَلْمُ بْنُ قُتَيْبَةَ، عَنْ طُعْمَةَ بْنِ عَمْرٍو، عَنْ حَبِيبِ بْنِ أَبِي ثَابِتٍ، عَنْ أَنَسِ بْنِ مَالِكٍ، قَالَ: قَالَ رَسُولُ اللهِ ﷺ: مَنْ صَلَّى لِلهِ أَرْبَعِينَ يَوْمًا فِي جَمَاعَةٍ يُدْرِكُ التَّكْبِيرَةَ الْأُولَى كُتِبَتْ لَهُ بَرَاءَتَانِ: بَرَاءَةٌ مِنَ النَّارِ، وَبَرَاءَةٌ مِنَ النِّفَاقِ. وَقَدْ رُوِيَ هَذَا الْحَدِيثُ عَنْ أَنَسٍ مَوْقُوفًا، وَلَا أَعْلَمُ أَحَدًا رَفَعَهُ إِلَّا مَا رَوَى سَلْمُ بْنُ قُتَيْبَةَ، عَنْ طُعْمَةَ بْنِ عَمْرٍو، وَإِنَّمَا يُرْوَى هَذَا عَنْ حَبِيبِ بْنِ أَبِي حَبِيبٍ الْبَجَلِيِّ، عَنْ أَنَسِ بْنِ مَالِكٍ قَوْلَهُ.,އަނަސް ބިން މާލިކު ރިވާ ކުރެއްވިއެވެ: ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރެއްވިއެވެ: ”ފުރަތަމަ ތަކްބީރު ލިބޭގޮތަށް ﷲ އަށްޓަކައި ސާޅީސް ދުވަސްވާންދެން ޖަމާއަތުގައި ނަމާދުކޮށްފި މީހާ، އޭނާ ދެ ކަމަކުން ބަރީއަވާނޭ ކަމަށް ލިޔެވޭނެއެވެ. އެއީ ނަރަކައިން ބަރީއަވުމާއި، މުނާފިގުކަމުން ބަރީއަވުމެވެ.“,
جامع الترمذي,413,إِنَّ أَوَّلَ مَا يُحَاسَبُ بِهِ الْعَبْدُ يَوْمَ الْقِيَامَةِ مِنْ عَمَلِهِ صَلَاتُهُ فَإِنْ صَلُحَتْ فَقَدْ أَفْلَحَ وَأَنْجَحَ وَإِنْ فَسَدَتْ فَقَدْ خَابَ وَخَسِرَ,ހަމަކަށަވަރުން އަޅާގެ އަމަލުތަކުގެ ތެރެއިން، ގިޔާމާތް ދުވަހު އެންމެ ފުރަތަމަ ޙިސާބު ބެއްލެވޭނީ އެމީހެއްގެ ނަމާދާ ބެހޭގޮތުންނެވެ. ފަހެ ނަމާދު ރަނގަޅުވެއްޖެނަމަ، ނަޖާވެ ކާމިޔާބުވެއްޖެއެވެ. ނަމާދު ފަސާދަވެއްޖެނަމަ ގެއްލި ހަލާކުވެއްޖެއެވެ.,
جامع الترمذي,414,من ثابرَ على ثنتي عشرةَ رَكعةً منَ السُّنَّةِ بنى اللَّهُ لَهُ بيتًا في الجنَّةِ أربعِ رَكعاتٍ قبلَ الظُّهرِ ورَكعتينِ بعدَها ورَكعتينِ بعدَ المغربِ ورَكعتينِ بعدَ العشاءِ ورَكعتينِ قبلَ الفجرِ.,ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރެއްވިއެވެ: ”ސުންނަތުގެ ތެރެއިންވާ ބާރަ ރަކުޢަތުގެ މަތީ ކެތްތެރިވެ ދެމިހުރެއްޖެ މީހާކަށް، ސުވަރުގޭގައި ގެއެއް ބިނާކުރެވޭނެއެވެ. (އެ ރަކުޢަތްތަކަކީ:) މެންދުރު ނަމާދު ކުރިން ހަތަރު ރަކުޢަތެވެ. އަދި މެންދުރު ނަމާދު ފަހުން ދެ ރަކުޢަތެވެ. އަދި މަޢްރިބް ނަމާދު ފަހުން ދެ ރަކުޢަތެވެ. އަދި ޢިޝާ ނަމާދު ފަހުން ދެ ރަކުޢަތެވެ. އަދި ފަތިސް ނަމާދު ކުރިން ދެ ރަކުޢަތެވެ.“,
جامع الترمذي,415,مَن صلَّى في يومٍ وليلةٍ ثِنْتَيْ عَشْرةَ ركعةٍ ، بَنَي له بيتٌ في الجنَّةِ : أرْبَعًا قبلَ الظُّهرِ ، وركعتيْنِ بعدَها، وركعتيْنِ بعدَ المغرِبِ ، وركعتَيْنِ بعدَ العِشاءِ ، وركعتيْنِ قبلَ الفَجرِ - صلاةِ الغَداةِ,ޢުއްމު ހަބީބާބިންތް އަބޫ ސުފްޔާން ވިދާޅުވިއެވެ. ރަސޫލު صلي الله عليه وسلم ހަދީޘް ކުރެއްވިއެވެ. “ރެއާއި ދުވާލު ސުއްނަތް 12 ރަކްޢަތް އަދާ ކޮށްފި މީހާއަށް ﷲތަޢާލާ ސުވަރުގެއިން ގަނޑުވަރެއް ބިނާކޮށްދެއްވާނެއެވެ.” އެއީ: *މެންދުރު ނަމާދުގެ ކުރީގެ 4 ރަކްޢަށް އަދި ފަހުގެ 2 ރަކުޢްތެވެ. *މަޢްރިބް ނަމާދުގެ ފަހުގެ 2 ރަކުޢަތެވެ. *ޢިޝާ ނަމާދުގެ ފަހުގެ 2 ރަކުޢަތެވެ. *އަދި ފަތިސް ނަމާދުގެ ކުރީގެ 2 ރަކުޢަތެވެ.,
جامع الترمذي,473,مَن صلَّى الضُّحى ثنتي عشرةَ رَكعةً بنى اللَّهُ لَه قصرًا من ذَهبٍ في الجنَّةِ,ޟުޙާ ނަމާދުގައި ބާރަ ރަކްޢަތް ކޮށްފިމީހާއަށް ﷲ ސުވަރުގޭގައި ރަނުން ގަނޑުވަރެއް ބިނާކޮށްދެއްވާނެއެވެ.,
جامع الترمذي,484,"حَدَّثَنَا مُحَمَّدُ بْنُ بَشَّارٍ، بُنْدَارٌ حَدَّثَنَا مُحَمَّدُ بْنُ خَالِدِ ابْنُ عَثْمَةَ، حَدَّثَنِي مُوسَى بْنُ يَعْقُوبَ الزَّمْعِيُّ، حَدَّثَنِي عَبْدُ اللَّهِ بْنُ كَيْسَانَ، أَنَّ عَبْدَ اللَّهِ بْنَ شَدَّادٍ، أَخْبَرَهُ عَنْ عَبْدِ اللَّهِ بْنِ مَسْعُودٍ، أَنَّ رَسُولَ اللَّهِ صلى الله عليه وسلم قَالَ "" أَوْلَى النَّاسِ بِي يَوْمَ الْقِيَامَةِ أَكْثَرُهُمْ عَلَىَّ صَلاَةً "" . قَالَ أَبُو عِيسَى هَذَا حَدِيثٌ حَسَنٌ غَرِيبٌ . وَرُوِيَ عَنِ النَّبِيِّ صلى الله عليه وسلم أَنَّهُ قَالَ "" مَنْ صَلَّى عَلَىَّ صَلاَةً صَلَّى اللَّهُ عَلَيْهِ بِهَا عَشْرًا وَكَتَبَ لَهُ بِهَا عَشْرَ حَسَنَاتٍ "" .",ޢަބްދު ﷲ ބިން މަސްޢޫދުގެ އަރިހުން ރިވާވެގެނެވެއެވެ: ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރެއްވިއެވެ: ”މީސްތަކުންގެ ތެރެއިން ގިޔާމަތް ދުވަހު ތިމަން ނަބިއްޔާއާ އެންމެ އައުލާވާނެ ބަޔަކީ، އެބައިމީހުންގެ ތެރެއިން އެންމެ ގިނައިން ތިމަން ނަބިއްޔާގެ މައްޗަށް ޞަލަވާތް ލެއްވި މީހުންނެވެ.“...,
جامع الترمذي,614,حَدَّثَنَا عَبْدُ اللهِ بْنُ أَبِي زِيَادٍ الْقَطَوَانِيُّ الْكُوفِيُّ، قَالَ: حَدَّثَنَا عُبَيْدُ اللهِ بْنُ مُوسَى، قَالَ: حَدَّثَنَا غَالِبٌ أَبُو بِشْرٍ، عَنْ أَيُّوبَ بْنِ عَائِذٍ الطَّائِيِّ، عَنْ قَيْسِ بْنِ مُسْلِمٍ، عَنْ طَارِقِ بْنِ شِهَابٍ، عَنْ كَعْبِ بْنِ عُجْرَةَ قَالَ: قَالَ لِي رَسُولُ اللهِ ﷺ: أُعِيذُكَ بِاللهِ يَا كَعْبُ بْنَ عُجْرَةَ مِنْ أُمَرَاءَ يَكُونُونَ مِنْ بَعْدِي فَمَنْ غَشِيَ أَبْوَابَهُمْ فَصَدَّقَهُمْ فِي كَذِبِهِمْ وَأَعَانَهُمْ عَلَى ظُلْمِهِمْ فَلَيْسَ مِنِّي وَلَسْتُ مِنْهُ، وَلَا يَرِدُ عَلَيَّ الْحَوْضَ، وَمَنْ غَشِيَ أَبْوَابَهُمْ أَوْ لَمْ يَغْشَ وَلَمْ يُصَدِّقْهُمْ فِي كَذِبِهِمْ، وَلَمْ يُعِنْهُمْ عَلَى ظُلْمِهِمْ فَهُوَ مِنِّي، وَأَنَا مِنْهُ وَسَيَرِدُ عَلَيَّ الْحَوْضَ، يَا كَعْبُ بْنَ عُجْرَةَ! الصَّلَاةُ بُرْهَانٌ وَالصَّوْمُ جُنَّةٌ حَصِينَةٌ، وَالصَّدَقَةُ تُطْفِئُ الْخَطِيئَةَ كَمَا يُطْفِئُ الْمَاءُ النَّارَ، يَا كَعْبُ بْنَ عُجْرَةَ! إِنَّهُ لَا يَرْبُو لَحْمٌ نَبَتَ مِنْ سُحْتٍ إِلَّا كَانَتِ النَّارُ أَوْلَى بِهِ. هَذَا حَدِيثٌ حَسَنٌ غَرِيبٌ مِنْ هَذَا الْوَجْهِ، لَا نَعْرِفُهُ إِلَّا مِنْ حَدِيثِ عُبَيْدِ اللهِ بْنِ مُوسَى. وَأَيُّوبُ بْنُ عَائِذٍ يُضَعَّفُ وَيُقَالُ: كَانَ يَرَى رَأْيَ الْإِرْجَاءِ. وَسَأَلْتُ مُحَمَّدًا عَنْ هَذَا الْحَدِيثِ فَلَمْ يَعْرِفْهُ إِلَّا مِنْ حَدِيثِ عُبَيْدِ اللهِ بْنِ مُوسَى وَاسْتَغْرَبَهُ جِدًّا.,ކަޢުބް ބިން ޢުޖްރާ ރިވާ ކުރެއްވިއެވެ: ރަސޫލު ﷲ ﷺ ތިމަންނައަށް ޙަދީޘް ކުރެއްވިއެވެ: ”(ނުބައި) ވެރިންތަކެއްގެ ކިބައިން ﷲގެ ހަޒްރަތުން ތިބާއަށް ރައްކާތެރިކޮށް ދެއްވުމަށް އެދި ތިމަން ނަބިއްޔާ ދަންނަވަމެވެ. އެ ވެރިންގެ ދޮރުތަކަށް އެއްވެ، އެ ބަޔެއްގެ ދޮގުތައް ތެދުކޮށް، އަދި އެ ބަޔެއްގެ އަނިޔާވެރިކަމުގައި އެހީތެރިވެއްޖެ މީހާ، ފަހެ އޭނާއީ ތިމަން ނަބިއްޔާގެ (މީސްތަކުންގެ) ތެރެއިންވާ މީހެއް ނޫނެވެ. އަދި ތިމަން ނަބިއްޔާއީ އޭނާގެ (މީސްތަކުންގެ) ތެރެއިންވާ މީހެއް ނޫނެވެ. އަދި (ތިމަން ނަބިއްޔާގެ) ޙައުޟުގައި އޭނާ ތިމަން ނަބިއްޔާއާ ބައްދަލެއް ނުވާނެއެވެ. އަދި އެ ވެރިންގެ ދޮރުތަކަށް އެއްވެ، ނޫނީ އެއްނުވި ކަމުގައި ވިޔަސް، އެ ބަޔެއްގެ ދޮގުތައް ތެދުނުކޮށް، އަދި އެ ބަޔެއްގެ އަނިޔާވެރިކަމުގައި އެހީތެރިނުވާ މީހާ، ފަހެ އޭނާއީ ތިމަން ނަބިއްޔާގެ (މީސްތަކުންގެ) ތެރެއިންވާ މީހެކެވެ. އަދި ތިމަން ނަބިއްޔާއީ އޭނާގެ (މީސްތަކުންގެ) ތެރެއިންވާ މީހަކީމެވެ. އަދި (ތިމަން ނަބިއްޔާގެ) ޙައުޟުގައި އޭނާ ތިމަން ނަބިއްޔާއާ ބައްދަލު ވާނެއެވެ. އޭ ކަޢުބު ބިން ޢުޖްރާއެވެ. ނަމާދަކީ (އީމާންކަމުގެ) ބުރުހާނެކެވެ. އަދި ރޯދައަކީ ވަރުގަދަ އައްޑަނައެކެވެ. (އެބަހީ: ރައްކާތެރި ކަމެކެވެ.) އަދި ފެނުން އަލިފާން ނިވޭ ފަދައިން، ޞަދަގާތުން ފާފަ ފޮހެވިގެންދެއެވެ. އޭ ކަޢުބު ބިން ޢުޖްރާއެވެ. ހަމަކަށަވަރުން ޙަރާމް ތަކެތި ކައިގެން ހަށިގަނޑުގައި މަސްޖަހައިފި ނަމަ، އެ ހަށިގަނޑެއް އެންމެ އައުލާވާނީ ނަރަކައަށް ކަމުގައި މެނުވީ ވެގެން ނުދާނެއެވެ.“,
جامع الترمذي,614,حَدَّثَنَا عَبْدُ اللهِ بْنُ أَبِي زِيَادٍ الْقَطَوَانِيُّ الْكُوفِيُّ، قَالَ: حَدَّثَنَا عُبَيْدُ اللهِ بْنُ مُوسَى، قَالَ: حَدَّثَنَا غَالِبٌ أَبُو بِشْرٍ، عَنْ أَيُّوبَ بْنِ عَائِذٍ الطَّائِيِّ، عَنْ قَيْسِ بْنِ مُسْلِمٍ، عَنْ طَارِقِ بْنِ شِهَابٍ، عَنْ كَعْبِ بْنِ عُجْرَةَ قَالَ: قَالَ لِي رَسُولُ اللهِ ﷺ: أُعِيذُكَ بِاللهِ يَا كَعْبُ بْنَ عُجْرَةَ مِنْ أُمَرَاءَ يَكُونُونَ مِنْ بَعْدِي فَمَنْ غَشِيَ أَبْوَابَهُمْ فَصَدَّقَهُمْ فِي كَذِبِهِمْ وَأَعَانَهُمْ عَلَى ظُلْمِهِمْ فَلَيْسَ مِنِّي وَلَسْتُ مِنْهُ، وَلَا يَرِدُ عَلَيَّ الْحَوْضَ، وَمَنْ غَشِيَ أَبْوَابَهُمْ أَوْ لَمْ يَغْشَ وَلَمْ يُصَدِّقْهُمْ فِي كَذِبِهِمْ، وَلَمْ يُعِنْهُمْ عَلَى ظُلْمِهِمْ فَهُوَ مِنِّي، وَأَنَا مِنْهُ وَسَيَرِدُ عَلَيَّ الْحَوْضَ، يَا كَعْبُ بْنَ عُجْرَةَ! الصَّلَاةُ بُرْهَانٌ وَالصَّوْمُ جُنَّةٌ حَصِينَةٌ، وَالصَّدَقَةُ تُطْفِئُ الْخَطِيئَةَ كَمَا يُطْفِئُ الْمَاءُ النَّارَ، يَا كَعْبُ بْنَ عُجْرَةَ! إِنَّهُ لَا يَرْبُو لَحْمٌ نَبَتَ مِنْ سُحْتٍ إِلَّا كَانَتِ النَّارُ أَوْلَى بِهِ. هَذَا حَدِيثٌ حَسَنٌ غَرِيبٌ مِنْ هَذَا الْوَجْهِ، لَا نَعْرِفُهُ إِلَّا مِنْ حَدِيثِ عُبَيْدِ اللهِ بْنِ مُوسَى. وَأَيُّوبُ بْنُ عَائِذٍ يُضَعَّفُ وَيُقَالُ: كَانَ يَرَى رَأْيَ الْإِرْجَاءِ. وَسَأَلْتُ مُحَمَّدًا عَنْ هَذَا الْحَدِيثِ فَلَمْ يَعْرِفْهُ إِلَّا مِنْ حَدِيثِ عُبَيْدِ اللهِ بْنِ مُوسَى وَاسْتَغْرَبَهُ جِدًّا.,ކަޢުބް ބިން ޢުޖްރާ ރިވާ ކުރެއްވިއެވެ: ރަސޫލު ﷲ ﷺ ތިމަންނައަށް ޙަދީޘް ކުރެއްވިއެވެ: ”(ނުބައި) ވެރިންތަކެއްގެ ކިބައިން ﷲ ގެ ހަޒްރަތުން ތިބާއަށް ރައްކާތެރިކޮށް ދެއްވުމަށް އެދި ތިމަން ނަބިއްޔާ ދަންނަވަމެވެ. އެ ވެރިންގެ ދޮރުތަކަށް އެއްވެ، އެ ބަޔެއްގެ ދޮގުތައް ތެދުކޮށް، އަދި އެ ބަޔެއްގެ އަނިޔާވެރިކަމުގައި އެހީތެރިވެއްޖެ މީހާ، ފަހެ އޭނާއީ ތިމަން ނަބިއްޔާގެ މީސްތަކުންގެ ތެރެއިންވާ މީހެއް ނޫނެވެ. އަދި ތިމަން ނަބިއްޔާއީ އޭނާގެ މީސްތަކުންގެ ތެރެއިންވާ މީހެއް ނޫނެވެ. އަދި (ތިމަން ނަބިއްޔާގެ) ޙައުޟުގައި އޭނާ ތިމަން ނަބިއްޔާއާ ބައްދަލެއް ނުވާނެއެވެ. އަދި އެ ވެރިންގެ ދޮރުތަކަށް އެއްވެ، ނޫނީ އެއްނުވި ކަމުގައި ވިޔަސް، އެ ބަޔެއްގެ ދޮގުތައް ތެދުނުކޮށް، އަދި އެ ބަޔެއްގެ އަނިޔާވެރިކަމުގައި އެހީތެރިނުވާ މީހާ، ފަހެ އޭނާއީ ތިމަން ނަބިއްޔާގެ މީސްތަކުންގެ ތެރެއިންވާ މީހެކެވެ. އަދި ތިމަން ނަބިއްޔާއީ އޭނާގެ މީސްތަކުންގެ ތެރެއިންވާ މީހަކީމެވެ. އަދި (ތިމަން ނަބިއްޔާގެ) ޙައުޟުގައި އޭނާ ތިމަން ނަބިއްޔާއާ ބައްދަލު ވާނެއެވެ. އޭ ކަޢުބު ބިން ޢުޖްރާއެވެ! ނަމާދަކީ (އީމާންކަމުގެ) ބުރުހާނެކެވެ. އަދި ރޯދައަކީ ވަރުގަދަ އައްޑަނައެކެވެ. (އެބަހީ: ރައްކާތެރި ކަމެކެވެ.) އަދި ފެނުން އަލިފާން ނިވޭ ފަދައިން، ޞަދަގާތުން ފާފަ ފޮހެވިގެންދެއެވެ. އޭ ކަޢުބު ބިން ޢުޖްރާއެވެ! ހަމަކަށަވަރުން ޙަރާމް ތަކެތި ކައިގެން ހަށިގަނޑުގައި މަސްޖަހައިފި ނަމަ، އެ ހަށިގަނޑެއް އެންމެ އައުލާވާނީ ނަރަކައަށް ކަމުގައި މެނުވީ ވެގެން ނުދާނެއެވެ.“,
جامع الترمذي,641,"""مَنْ وَلِيَ يَتِيمًا لَهُ مَالٌ فَلْيَتَّجِرْ لَهُ وَلَا يَتْرُكْهُ حَتَّى تَأْكُلَهُ الصَّدَقَةُ""","""އެކުއްޖަކަށް މުދާލިބިފައިވާ ޔަތީމުކުއްޖަކު ބަލަހަށްޓާ ވަލީވެރިޔާ އެމުދަލުން ވިޔަފާރިކުރާށެވެ! އަދި ވިޔަފާރިފަދަ އަގުހުރި މަސައްކަތެއްނުކޮށް ޒަކާތަށް އެމުދާދީ ހުސްކޮށްލުމަށް ދޫނުކުރާށެވެ!""",
