date,bodyDV
02.10.2022 23:07:57,بسم الله
02.10.2022 23:08:11,"(وَلَقَدۡ أَرۡسَلۡنَا رُسُلࣰا مِّن قَبۡلِكَ مِنۡهُم مَّن قَصَصۡنَا عَلَیۡكَ وَمِنۡهُم مَّن لَّمۡ نَقۡصُصۡ عَلَیۡكَۗ)
[Surah Ghafir 78]

ހަމަކަށަވަރުން، ކަލޭގެފާނުގެ ކުރިން ތިމަންރަސްކަލާނގެ رسول ން ފޮނުއްވީމެވެ. އެ رسول ންގެ ވާހަކަ ތިމަންރަސްކަލާނގެ، ކަލޭގެފާނަށް ކިޔައިދެއްވާފައިވާ رسول ން، އޭގެތެރެއިންވެއެވެ. އަދި އެ رسول ންގެ ވާހަކަ، ތިމަންރަސްކަލާނގެ ކަލޭގެފާނަށް ކިޔައިދެއްވާފައިނުވާ رسول ންވެސް އޭގެތެރެއިންވެއެވެ."
02.10.2022 23:14:12,"ﷲ އަށްޓަކައި ތިމާގެ އިޒާރު ތަނބިކަށްޓާއި ހަމައަށް ހިއްލާލަން ބޮޑުކަމަކަށްވެ ބަހަނާ ދައްކާ މީހާ، ދެން އެކަލާނގެ ދީނުގެ ދިފާޢުގައި ހަތިޔާރެއް އުފުއްލާލުން އަދި ކިހާ ބޮޑުކަމަކަށްވާނޭ ހެއްޔެވެ؟؟

#تأملات"
02.10.2022 23:15:06,"""ފާޙިޝް ނުބައި ކަންތައް ފަތުރާ ދައްކަމުންދާ ޗެނަލްތަކުގެ މިލްކުވެރިން، އެމީހުންގެ އަމިއްލަ ނަފްސުތަކުން ކޮންމެ ދުވަހަކު ބޮޑެތި ފާފަތައް ކުރާ ޙާލު ﷲ އާއި ބައްދަލުކުރުންވެސް، އެތައް މިލިޔަން އިންސާނުންނަށް ފާޙިޝް ކަންތައް ފަތުރާ ދެއްކުމަށްވުރެ ﷲ ގެ ޙަޟްރަތުގައި ލުއިވެގެންވެއެވެ."" 

- ޝެއިޚު ޠަރީފީ-

އިސްތިހާރެއްގެ ނަމުގައި ދޫކޮށްލާ 30 ސިކުންތުގެ ވީޑިއޯއެއް، ނުވަތަ ފޮޓޯއެއް އެއީ މަރުވުމަށްފަހުވެސް ތިބާގެ ނުބައިކަމުގެ ފަތް ހުއްޓުމެއްނެތި ބަރުކުރަމުންދާ އެއްޗަކަށް ވެދާނެއެވެ.

#الطريفي"
02.10.2022 23:16:12,"'ހުދުހުދު ދޫންޏަށް ސަބާގެ ރަސްކަމުގެ ޙަޟާރަތު ފެނި ޢަޖައިބުވެ އަންތަރީސްވުން،  އެމީހުންގެ ކާފަރުކަން އެސޮރަށް ފެނުމުން ފަރުދާއެއް ނުކުރިއެވެ.
""އެތާނގެ މީހުންގެ މައްޗަށް ރަނިކަންކުރައްވާ އަންހެނަކު ހަމަކަށަވަރުން، ތިމަންދުށީމެވެ. ހުރިހާ އެއްޗެއް އެކަމަނާއަށް ލިބިވަޑައިގެންފައިވެއެވެ. އަދި އެކަމަނާއަށް ބޮޑުވެގެންވާ تخت އެއް ވެއެވެ. އެއަންހެނާއާއި، އެއަންހެނާގެ قوم ގެމީހުން، اللَّه ފިޔަވައި އިރަށް سجدة ކޮށް އުޅޭތީ ތިމަންދުށީމެވެ. އަދި شيطان އާ އެއުރެންނަށް އެއުރެންގެ عمل ތައް ޒީނަތްތެރިކޮށް ދެއްކިއެވެ. އަދި ތެދުމަގުން އެއުރެން އެއްކިބާކުރިއެވެ. ފަހެ، އެއުރެންނަކަށް ތެދުމަގެއް ނުލިބެއެވެ."" (النمل-٢٣-٢٤)
-ޝެއިޚު ޠަރީފީ-

އަދި އެއްވެސް ދޫދިނުމެއްނެތި އެސޮރު އެމީހުންގެ ކުފުރާއި މަގުފުރެދުމުގެ ވާހަކަ ޞަރީޙަކޮށް ބަޔާންކުރިއެވެ.

#الطريفي"
02.10.2022 23:19:34,#تفكر
02.10.2022 23:51:50,މިޞްރުގެ އަޒުހަރު ޔުނިވަރސިޓީއިން ދީނާ ދެކޮޅަށް ހިންގަމުންދާ ޖަރީމާތަކުގެ ތެރެއިން އިތުރު ބޮޅެއް: ޢިލްމުވެރިންގެ އިޖްމާޢުން ޙަރާމްވެގެންވާ ޝިރުކުގެ ޢީދު ތަކުގައި ބައިވެރިވުން ހުއްދަކޮށް ފަތުވާ ނެރުމަށް ފަހު އެތަނުގެ ބޮޑު އެތި އަޙްމަދު އައްޠައްޔިބު ޢަމަލުންވެސް އެކަން ދައްކާ، ނަޞާރާއިންގެ ފާދިރީން ކައިރިއަށް ކުރިސްޓުމަސް ޒިޔާރަތްކޮށް ތަހުނިޔާ ކިޔުމަކީ ވާޖިބެއް ކަމަށްވެސް ބުނެފި. ފާޅުގައި ދީނުގެ ޝިޢާރުތައް މުގުރާލާ ލާދީނީ މީހުންނަށް ބާރު ދިނުމުގެ އެންމެ ކުރީ ސަފުގައި އުޅުމުގެ ތާރީޚެއް އޮންނަ ތަނެއް އަޒުހަރަކީ. އެކަމަކުވެސް އިސްލާމްދީނަށް ޚިދުމަތްކުރުމުގެ ޝަރަފު އެތަނަށް އަރުވާ، ފަޚުރުވެރިވާ މީހުންގެ ޢަޖައިބު ކަމާއެވެ.
03.10.2022 00:00:17,"▪️ޓުއަރިޒަމް ދާއިރާއަކީ އަލިފުން ޔާއަށް ހުސް މުންކަރާތްތަކާއި ކުފުރުވެސް ހިމެނޭ ދާއިރާއެއް. ރިސޯޓުތައް އެޅުމުގައާއި އަދި އެތަނުގައި އެއްވެސް ކަހަލަ ގޮތަކަށް މަސައްކަތް ކުރުމާއި، އުޅުން ހުއްދަ ނުވާނެކަމަށް ޢިލްމުވެރިންވަނީ ބަޔާންކުރައްވާފައި.

 ޒިނޭއާއި ލިވާޠާއި ބަނގުރަލާއި އޫރުމަހާ ލަވަޔާއި މިއުޒިކާއި ފާޙިޝް ކަންތަކާއި، ދީނުގެ އަސާސްތަކާއި އަލްވަލާއު ވަލްބަރާއު ފުނޑާލާ ކުފުރުގެ ޢަމަލުތައް ވެސް ރޯމާދުވާލު ކޮށް އެފަދަ އެތައް ފިތުނައެއް ފުނިޖެހި ޖަމަޢަވެގެންވާ އަދި އެކަމަށް ތައްޔާރުކޮށް އަޅާފައިވާ ތަންތަން އެއީ. އެކަމުގައި ބައިވެރި ނުވިޔަސް ކުޑަ މިނުން އެފަދަ ބޮޑެތި މުންކަރާތްތައް ކުރިމަތީގައި ހިނގާ އަޑުއިވިއިވި ހުންނައިރު ޙާޟިރުވެ އިންކާރު ނުކޮށް ހުރުމުގެ ފާފަ އެޅޭނެ. އަދި އަބަދު ލޯމަތިން ފެނި އަޑުއިވުމުން އެކަންކަން ނޯރމަލައިޒްވެ، ހިތުގައި އޮންނަންޖެހޭ އިންކާރުކުރުމާއި ނަފްރަތު ވެސް ފިލާދާނެ.

ހިތާމަޔަކީ މިކަންކަން މިހާ ސާފުއިރުވެސް ގިނަ ބަޔަކު އެ ވަޒީފާތަކުގައި އުޅެ، ބަރޯސާވެ އެންމެ ބޮޑު ދުނިޔަވީ ފައިދާ ލިބޭ ކަމަށްޓަކައި ޢިލްމުވެރިންވެސް ޞަރީޙަކޮށް މިކަމަށް އިންކާރު ނުކޮށް ވަކި ދާއިރާއެއް މިސާލަކަށް ލޯކަލް ޓުއަރިޒަމް ނޫނީ ހޯމް ސްޓޭފަދަ ވަކި ހަނި ދާއިރާތަކަށް އިންކާރުކޮށް މުޅި މިއިންޑަސްޓުރީއަށް އިންކާރު ނުކުރާކަން. އެކަމަކު ޙަޤީޤަތަކީ މުޅި މިދާއިރާއަކީ ކޮންމެ ނަމެއް ކިޔަސް އުޅުން ހުއްދަ ނުވާނެ އެތައް މުންކަރާތްތަކެއް ހިމެނިފައިވާ ދާއިރާއެއް. މަސްވެރިކަމާއި ދަނޑުވެރިކަން ފަދަ ޙަލާލު ރިޒްޤަށް ބިނާވެފައި އޮތް ބިމެއް، ދުނިޔަވީ މަދު އުފާކޮޅަކަށްޓަކައި މިކަން ގެނެސް މިތަނުގައި ދިރުވި މީހުންގެ ނުބައިކަމާއެވެ! 
 والله المستعان

#ޓުއަރިޒަމްއުވާލާ

https://islamqa.info/en/answers/47513/ruling-on-taking-part-in-building-a-resort-village

https://islamqa.info/en/answers/82292/working-in-the-construction-and-finishing-of-hotels-and-resorts"
03.10.2022 00:01:15,"The author of Sunan: Imam Abu Dawûd al-Sijstani was asked:

'Who do you order us to sit after you?'

He said: ""Books.""

- Al-Fawaaid Al-Munthakhaba Ibn Bashkwal: 1/413-"
03.10.2022 00:07:21,"-ރަޙިމްގެ ގުޅުން ދެމެހުއްޓުމަކީ ބަދަލަށް ބަދަލު ދިނުމެއް ނޫން-

ރަޙިމްގެ ގުޅުން ދެމެހުއްޓުމުގެ ވާޖިބުކަމާއި، ގުޅުން ކަނޑާލާ މީހާގެ މައްޗަށް އައިސްފައިވާ ވަޢީދުގެ ބަސްތައް އެއީ ނުހަނު ގިނަވެގެންވާ އެންމެންނަށްވެސް އެނގޭ ކަމެކެވެ.

ޙަދީޘްގައިވެއެވެ: ""ﷲ އާއި އާޚިރަތް ދުވަހަށް އީމާންވާ މީހާ ފަހެ ރަޙިމްގެ ގުޅުން ދަމަހައްޓާށެވެ.""

ކޮންމެ މީހެއްވެސް ރެޔާއި ދުވާލު މަސައްކަތް ކުރަނީ މުދަލާއި ރިޒްޤު އިތުރުކޮށް ހޯދާ، ޞިއްޙަތު ސަލާމަތުން ދުނިޔޭގައި ހުރެ ރަނގަޅު މަރަކުން މަރުވުމަށެވެ. އެކަމަކު އެ ކަމަށްވާ ސަބަބު ދޫކޮށްލާފައި ކިތަންމެ މަސައްކަތެއް ކުރިޔަސް އޭގެ ފައިދާއެއް ނެތެވެ. އެހެނީ ޙަދީޘްގައިވެއެވެ:
""އެމީހެއްގެ ރިޒްޤު އިތުރުކުރެވި، ޢުމުރު ދިގުކުރެވި، އަދި ނުބައި މަރަކުން ސަލާމަތްވާން ބޭނުންވާ މީހާ ފަހެ ރަޙިމްގެ ގުޅުން ދަމަހައްޓާށެވެ."" 

‼️އަދި ރަޙިމްގެ ގުޅުން ކަނޑައިފި މީހާގެ ކިބައިން ﷲ ގެ ރަޙްމަތް ކަނޑުއްވާނޭކަމަށް އެންގެވިއެވެ. އެކަލާނގެ ރަޙްމަތް ކެނޑިގެން ދިޔުމަށް ވުރެ ބިރުވެރިކަމެއް ކޮބައިހެއްޔެވެ!

‼️އަދި ރަޙިމްގެ ގުޅުން ކަނޑާ މީހާއަށް ދުނިޔެ މަތީގައިވެސް ޢުޤޫބާތް އަވަސްވެގެން އަންނާނެކަމަށް ރަސޫލާ އެންގެވިއެވެ. 

‼️އަދި ރަޙިމްގެ ގުޅުން ކަނޑައިގެން ހުންނަ މީހާ ކުރާ އެއްވެސް ހެޔޮ ޢަމަލެއް ﷲ ގެ ޙަޟްރަތަށް ނުއުފުއްލެވޭނެކަމަށް އެންގެވިއެވެ. 

‼️އަދި ރަޙިމްގެ ގުޅުން ކަނޑާ މީހާ ސުވަރުގެވެސް ނުވަންނާނޭކަމަށް އެންގެވިއެވެ. 

މިނޫންވެސް އެތައް ބައިވަރު އާޔަތްތަކާއި ޙަދީޘްތައްވެއެވެ. 

 🔵ގިނަ މީހުންނަށް ރަޙިމްގެ ގުޅުން ދެމެހެއްޓުމުގެ މުހިއްމުކަން އެނގުނަސް އެއީ ކޮބައިކަމެއް ނޭނގެއެވެ.

އެގޮތުން ގިނަ މީހުން ޤަބޫލު ކުރާ ގޮތުގައި ރަޙިމްގެ ގުޅުން ދެމެހެއްޓުމަކީ ބަދަލަށް ބަދަލުދޭ އުޞޫލުން އޮންނަކަމެކެވެ. އެގޮތުން އެމީހުން ދެކޭގޮތުގައި:

⭕ތިމާގެ މީހާ ޒިޔާރަތްކޮށްފިނަމަ މަވެސް އޭނާއަށް ޒިޔާރަތް ކުރާނަމެވެ. ޒިޔާރަތް ނުކުރަންޔާ މަށެއްވެސް ވަކި ނުދާނަމެވެ!

⭕ތިމާގެ މީހާ ނުގުޅާތީ ދެން މަ ވަކި އޭނާއާއި ގުޅާއި ޙާލު ބަލަންވީ ކީއް ކުރަން ހެއްޔެވެ! 

⭕ނޫނީ އޭނާ މަށަކީ ތިމާގެ މީހެއްކަމުގައި ނުބަލަންޏާ ދެން މަ މަތިންބައިން ޖެހިގެން އޭނާ ފައިބުޑަށް ވެއްޓެން ޖެހޭހެއްޔެވެ! 

⭕ނޫނީ ތިމާގެ މީހާ މަ ބަލިވީމަވެސް ޙާލުގައި ޖެހުނު ދުވަހުވެސް އަޅައެއްވެސް ނުލިއެވެ. އެހެންވީމާ ވަކި މަ އޭނާއާއި ގުޅެންވީ ކީއް ކުރަން ހެއްޔެވެ!

⭕ތިމާގެ މީހާ މަށާައިމެދު ކަންތައް ކުރީ ވަރަށް ގޯސްކޮށެވެ. އެހެން ވީމާ މަވެސް އެކަން ދަންނާނަމެވެ!

މިފަދަ އެތައް ވާހަކަ ތަކެކެވެ.

✅އަޚުންނޭވެ! ރަޙިމްގެ ގުޅުން ދެމެހެއްޓުމަކީ އަޅުކަމެކެވެ. ހަތް އުޑު މަތިން ﷲ އަހަރުމެންނަށް އެންގެވީމާ އެކަލާނގެއަށް ކިޔަމަންތެރިވާން ކުރަން ޖެހޭ އަޅުކަމެކެވެ. ނަމާދާއި ރޯދަފަދަ ކުރަން ޖެހޭ އަޅުކަމެކެވެ. އަނެކާ ނުކުރިޔަސް އެ ވާޖިބު ތިބާގެ ބޮލުންނެއް ނުކެނޑޭނެއެވެ. އެކަން ބަޔާން ކުރައްވާ ރަސޫލާ صلى الله عليه وسلم ޙަދީޘް ކުރެއްވިއެވެ:
""ރަޙިމްގެ ގުޅުން ދަމަހައްޓާ މީހަކީ ބަދަލަށް ބަދަލުދޭ މީހާއެއް ނޫނެވެ. އެހެނެއްކަމަކު ރަޙިމްގެ ގުޅުން ދަމަހައްޓާ މީހަކީ އަނެކާ އެމީހާއާއި ގުޅުން ކަނޑާލިޔަސް އޭނާ އަމިއްލައަށް ގުޅުން ޤާއިމް ކުރާ މީހާއެވެ.""

އަދި އެއްފަހަރަކު މީހަކު އައިސް ރަސޫލާގެ  އަރިހުގައި ދެންނެވިއެވެ:
""އޭ ﷲ ގެ ރަސޫލާއެވެ! އަހަރެންނަށް ތިމާގެ މީހުންތަކެއް ވެއެވެ. އެމީހުންނާ އަހަރެން ގުޅުން ދަމަހައްޓާ އިރުވެސް އެމީހުން ގުޅުން ކަނޑަނީއެވެ. އަދި އަހަރެން އެމީހުންނަށް ހެޔޮކޮށް ކަންތައް ކޮށްދޭއިރުވެސް އެމީހުން އަހަރެންނަށް ކަންތައް ކުރަނީ ނުބައިކޮށެވެ. އަދި އަހަރެން އެމީހުންނަށް ދީލަތިވެ މާތްކޮށް ހިތުމުންވެސް އެމީހުން އަހަރެންނަށް ދުއްތުރާކޮށް ހަދައެވެ.' އެހިނދު ރަސޫލާ ޙަދީޘް ކުރެއްވިއެވެ: ""ކަންތައް ހުރީ ތިބާ ތިޔަ ބުނާ ގޮތަށްނަމަ ފަހެ އެމީހުން (ތިބާއަށް ޝުކުރުވެރި ނުވުމުން) އަލިފާން އަޅި ކައި ފަދައެވެ. އަދި ތިބާ ތިޔަ ގޮތަށް ދެމިހުރިހާ ހިނދަކު ﷲ ގެ ޙަޟްރަތުން އެހީތެރިއެއް އެމީހުންގެ މައްޗަށް ތިބާއަށް ލިބިގެން ވާހުއްޓެވެ.""

ްެއެހެންކަމުން އަޚުންނޭވެ. ﷲ އަށްޓަކައި ރަޙިމްގެ ގުޅުން ދަމަހައްޓާށެވެ. ދުނިޔެއަށްޓަކައި އެއް ނޫނެވެ.

ރަޙިމްގެ ގުޅުން ދެމެހުއްޓުމުގެ ތެރޭގައި: ވާހަކަދައްކާ، ޙާލު ބަލާ، ޒިޔާރަތް ކޮށް، އޯގާތެރިވެ ހަދިޔާ ދީ، ޙާޖަތްތައް ފުއްދައިދީ، ނުބައިކޮށް ކަމެއް ހުރިއްޔާ ނަޞޭޙަތްތެރިވެ، އުފަލުގައި ބައިވެރިވެ، ހިތާމާގައި ހިތްވަރު ލައިދީ ހެދުންފަދަ ކަންކަން ހިމެނެއެވެ.

އޭނާގެ ވާޖިބު އޭނާ އަދާ ނުކުރިޔަސް ތިބާގެ ވާޖިބު ތިބާ އަދާކުރާށެވެ.

އޭނާ ތިބާގެ ޙާލު ނުބެލިޔަސް ތިބާ އޭނާގެ ޙާލު ބަލާށެވެ.

އޭނާ ތިބާއަށް ބަދުބަސްބުނެ ހުތުރު އެއްޗެހި ކިޔަސް ތިބާ އޭނާއާއި ރިވެތި ކޮށް ވާހަކަ ދައްކާށެވެ.

އޭނާ ތިބާއަށް ޒިޔާރަތް ނުކުރިޔަސް ތިބާ އޭނާއަށް ޒިޔާރަތް ކުރާށެވެ.
="
