translation,thafseer,title,note
رحمن ވަންތަ رحيم ވަންތަ اللَّه ގެ اسم ފުޅުން ފަށައިގަންނަމެވެ. (1),ބިސްމި (البسملة) ގެ ތަފްސީރު އިސްވެ ހިނގައްޖެއެވެ.,,
حمد ހުރީ، عالم ތަކުގެ ވެރި اللَّه އަށެވެ. (2),ނެތުމުގެ ތެރޭން މިކައުނު އުފެއްދެވި ގަދަކީރިތިވަންތަ الله އަށް ޙަމްދުކޮށް، އެކަލާނގެ ހުސްޠާހިރުވަންތަކަން ޤަބޫލުކޮށް، އެކަލާނގެއަށް ޙައްޤު ގޮތުގައި ޘަނާ ދަންނަވައި، ތަޢުރީފުކުރާނޭ ގޮތް އުގަންނަވައިދެއްވަމުން އެކަލާނގެ ވަޙީކުރައްވަނީ ﴿ ٱلْحَمْدُ لِلَّـهِ رَبِّ ٱلْعَـٰلَمِينَ﴾ މިފަދައިންނެވެ. މާނައީ: އޭ ތިމަންރަސްކަލާނގެ އަޅުތަކުންނޭވެ! ތިޔަބައިމީހުން ތިމަންރަސްކަލާނގެއަށް ޝުކުރުކޮށް ޘަނާ ދަންނަވަން ބޭނުންވާ ހިނދު الْحَمْدُ لِلَّـهِ މިފަދައިން ކިޔާށެވެ. މިބަހުގެ މުރާދަކީ ހުރިހާ ޙަމްދަކާއި ޘަނާއެއް ޙައްޤުވެގެން ވަނީ ހަމަ އެކަނި الله އަށެވެ. އެކަލާނގެ ފިޔަވައި އަޅުކަން ކުރެވޭ ބުދުފަދަ ތަކެއްޗަކަށް ނޫނެވެ. އެހެނީ، އެކަލާނގެ ޚަލްޤުތަކުންގެ މައްޗަށް ގިނަގުނަ ނިޢުމަތްތަކުން ދީލަތިވެވޮޑިގަންނަވާ، ޢާލަމްތަކުގެ ވެރިރަސްކަލާނގެ ފިޔަވައި އެހެން އެއްވެސް ފަރާތަކަށް ޙަމްދާއި ޘަނާ ޙައްޤުވެގެން ނުވެއެވެ. އެކަލާނގެއީ، ޚަލްޤުކުރެއްވުމާއި، އިރާދަކުރައްވާ ގޮތަކަށް އުފެއްދެވުމުގައި ފުރިހަމަ އިޚްތިޔާރާއި، ބާރު ލިބިވޮޑިގެންވާ، މުޅިކައުނުގެ ޚާލިޤުވަންތަ ރަސްކަލާނގެއެވެ. މަލާއިކަތުންނާއި، އިންސާނުންނާއި، ޖިންނީންނާއި، ދޫނިތަކާއި، ވަލުޖަނަވާރާއި، އަދި ހުރިހާ މަޚްލޫޤުންގެ ވެރިރަސްކަލާނގެއެވެ.,,
(އެކަލާނގެއީ) رحمن ވަންތަ رحيم ވަންތަ ރަސްކަލާނގެއެވެ. (3),މިއީ މާތް الله ގެ އިސްމުފުޅުތަކުގެ ތެރެއިން ދެ އިސްމުފުޅެވެ. ﴿ ٱلرَّحْمَـٰنِ﴾ ރަޙްމަތުގެ ސިފައިން ސިފަ ލިބިވޮޑިގެންވާ ރަސްކަލާނގެއެވެ. މިއީ، ޒާތުފުޅުގެ ސިފަފުޅެކެވެ. މާނައީ، އެކަލާނގެއީ، ޚަލްޤުކުރެއްވުމާއި، ރިޒްޤުދެއްވުމާއި، ބާއްޖަވެރިކަމުގެ މަގަށް ހިދާޔަތްދެއްވުމުގައި އަޅުތަކުންގެ މައްޗަށް ދީލަތިވެވޮޑިގަތުމާއެކު އެކަލާނގެ ރަޙްމަތްފުޅު ހުރިހާ ތަކެއްޗަކަށް ޢާއްމުވެގެންވާ ރަސްކަލާނގެއެވެ. ﴿الرَّحِيمِ﴾ ޤިޔާމަތްދުވަހު މުއުމިނު އަޅުތަކުންނަށް ޚާއްޞަކޮށް ރަޙްމަތްލައްވާ ރަސްކަލާނގެއެވެ. މިއީ އަޅުތަކުންނާ ގުޅިފައިވާ ސިފަފުޅެކެވެ.,,
قيامة ދުވަހުގެ ވެރި ރަސްކަލާނގެއެވެ. (4),الله ސުބްޙާނަހޫ ވަތަޢާލާ އަކީ ހިސާބުބެއްލެވުމާ، ޖަޒާދެއްވުމުގެ ދުވަސް ކަމުގައިވާ ޤިޔާމަތް ދުވަހުގެ ވެރި ރަސްކަލާނގެއެވެ. ވެރިއަކަށް އޭނާގެ މިލްކުގެ މައްޗަށް ފުރިހަމަ އިޚްތިޔާރާއި ބާރު ލިބިގެންވާ ފަދައިން، އެދުވަހުގެ ހުރިހާ ކަމެއްގެ ފުރިހަމަ އިޚްތިޔާރު ލިބިވޮޑިގެން ވަނީ އެކަލާނގެއަށެވެ. އެދުވަހުގެ ވާހަކަ ބަޔާންކުރައްވަމުން ކީރިތި ޤުރްއާނުގައި އައިސްފައި ވެއެވެ. ﴿ لِّمَنِ ٱلْمُلْكُ ٱلْيَوْمَ ۖ لِلَّـهِ ٱلْوَٰحِدِ ٱلْقَهَّارِ ﴾ (މިއަދު ވެރިކަންއޮތީ ކާކަށްހެއްޔެވެ؟ (ޚުދު އެކަލާނގެ ޖަވާބުދެއްވާނެތެވެ.) އެއްކައުވަންތަ، ބާރުވެރިވަންތަ اللَّه އަށެވެ.),,
އަޅަމެން އަޅުކަންކުރަނީ، އިބަރަސްކަލާނގެއަށެވެ. އަދި އަޅަމެން ވާގިއެދެނީ، އިބަރަސްކަލާނގެ ޙަޟްރަތުންނެވެ. (5),އަޅަމެންގެ ވެރިރަސްކަލާނކޯއެވެ!އަޅަމެންގެ އަޅުކަން ޚާލިޞްކުރަނީ ހަމައެކަނި އިބަރަސްކަލާނގެ ޙަޟްރަތަށެވެ. އިބަރަސްކަލާނގެ ފިޔަވައި އެހެން އެއްވެސް ފަރާތަކަށް އަޅަމެން އަޅުކަން ނުކުރަމުއެވެ. އަޅަމެން މަދަދަށް އެދެނީވެސް ހަމައެކަނި އިބަރަސްކަލާނގެ ޙަޟްރަތުންނެވެ. އެހެން އެއްވެސް ފަރާތަކުން އަޅަމެން މަދަދަކަށް ނޭދެމުއެވެ. އަޅަމެން ނިކަމެތިކަމާއެކު ބޯލަނބައި ކިޔަމަންވަނީ ހަމައެކަނި އިބަރަސްކަލާނގެއަށެވެ. އެހެންކަމުން، އަޅަމެންނަށް ދީނާއި ދުނިޔޭގެ ކަންކަމުގައި މަދަދާއި އެހީތެރިކަން ދެއްވާނދޭވެ.,,
އަޅަމެންނަށް، ސީދާވެގެންވާ ތެދުމަގަށް މަގު ދައްކަވާނދޭވެ! (6),ސީދާވެގެންވާ ތެދުމަގަށް އަޅަމެނަށް މަގުދައްކަވައިފާނދޭވެ! އެއީ ސަލާމަތާއި ރައްކާތެރިކަމުގެ ގޮވައްޗަށް (ސުވަރުގެއަށް) މަގު ދައްކާ، އެ ދީނަކާއިގެން އިބަރަސްކަލާނގެ ރަސޫލުބޭކަލުންނާއި ނަބީބޭކަލުން ފޮނުއްވި އިސްލާމްދީނުގެ މަގެވެ. އަދި އިބަރަސްކަލާނގެ ކުއްތަންކުރައްވާފައިވާ މީހުންގެ މަގުން ހިނގާ ބަޔަކު ކަމުގައި އަޅަމެން ލައްވައިފާނދޭވެ.,,
(އެއީ) އެއުރެންނަށް އިބަރަސްކަލާނގެ ނިޢުމަތް ދެއްވި މީހުންގެ މަގެވެ. އެއުރެންގެ މައްޗަށް ކޯފާލައްވާފައިވާ މީހުންގެ މަގެއްނޫނެވެ. އަދި މަގުފުރެދިފައިވާ މީހުންގެ މަގެއްވެސް ނުމެނޫންމެއެވެ. (7),"އިބަރަސްކަލާނގެ ހިދާޔަތްދެއްވި އަޅުންގެ މަގެވެ. ނަބިއްޔުންނާއި، ތެދުވެރިންނާއި، ޞާލިޙުންނާއި، ޝަހީދުންގެ މަގެވެ. ބައިވެރީންގެ ގޮތުގައި އެބައިމީހުނީ ހާދަހާ ރަނގަޅު ބައެކެވެ!! ﴿غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ﴾ އިބަރަސްކަލާނގެ ކޯފާލައްވައި، ރާމާމަކުނަށާއި، އޫރަށް ބަދަލުކުރެއްވި ޔަހޫދީންގެ މަގެއް ނޫނެވެ. އަދި އިބަރަސްކަލާނގެ ތެދުމަގުން އެއްކިބާވެ މަގުފުރެދި، މަރްޔަމްގެފާނުގެ ދަރިކަލުން ޢީސާގެފާނަށް އަޅުކަންކުޅަ ނަޞާރާއިންގެ މަގެއް ނުމެ ނޫންމެއެވެ. ރަސޫލުﷲ ﷺ ގެ އަރިއަހުން ވާރިދުވެފައިވާ ޞައްޙަ ޙަދީޘު ""الْيَهُودُ مَغْضُوبٌ عَلَيْهِمْ، وَالنَّصَارَى ضُلَّالٌ"" (سنن الترمذي، أبواب تفسير القرآن) (ޔަހޫދީންނަކީ އެބަޔަކަށް މާތް الله ކޯފާލެއްވި ބައެކެވެ. އަދި ނަޞާރާއިންނަކީ މަގުފުރެދިފައިވާ ބައެކެވެ.) (އައްތިރްމިޛީ، ޙަދީޘު: 2954) ގައި މަގުފުރެދިފައިވާ މީހުންނަކީ ނަޞާރާއިން ކަމުގައި އައިސްފައިވީ ނަމަވެސް، ބުދަށް އަޅުކަންކުރާ މުޝްރިކުންގެ ތެރެއިންނާއި، އަހުލުކިތާބީންގެ ތެރެއިން މަގުފުރެދި، ކާފިރުވެ، الله އަށް ޝަރީކު ކުރާ ކޮންމެ މީހަކަށް މިޙުކުމް ޢާއްމުވެގެން ވެއެވެ. އެހެނީ، ބަލަންޖެހެނީ ޙުކުމް ޚާއްޞަކުރާ ސަބަބަކަށް ނޫނެވެ. އޭގެ ލަފުޒުގެ ޢާއްމު މާނައަށެވެ. آمين އަޅަމެންގެ ވެރިރަސްކަލާކޮ! އަޅަމެންގެ ދުޢާ އިޖާބަކުރައްވައިފާނދޭވެ. މިއީ ޢިލްމުވެރީން އިއްތިފާޤުވެ ވަޑައިގަންނަވާ ގޮތުގައި ޤުރްއާނުގެ ކަލިމައެއް ނޫނެވެ. މުޞްޙަފުގައި މި ކަލިމަ ލިޔެވިފައި ނުވަނީ އެހެންވެއެވެ. އެހެނަސް، މި ކަލިމައިން މި ސޫރަތް ނިންމުމަކީ ސުންނަތެކެވެ. ރަސޫލުالله ﷺ ގެ އަރިއަހުން އަލްއިމާމު އަލްބުޚާރީ ރިވާކުރައްވާފައިވާ މި ޙަދީޘުން އެކަން އެނގޭތީއެވެ. ""إِذَا قَالَ الإِمَامُ ﴿غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ﴾ فَقُولُوا آمِينَ‏.‏ فَمَنْ وَافَقَ قَوْلُهُ قَوْلَ الْمَلاَئِكَةِ غُفِرَ لَهُ مَا تَقَدَّمَ مِنْ ذَنْبِهِ""‏‏ (صحيح البخاري، كتاب التفسير، باب ما جاء في فاتحة الكتاب) ""އިމާމާ ﴿غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ﴾ ކިޔުމުން ތިޔަބައިމީހުން آمين ކިޔާށެވެ. ފަހެ، އެމީހެއްގެ ބަސް މަލާއިކަތުންގެ ބަހާއި އެއްގޮތް ވެއްޖެ މީހާގެ އިސްވެދިޔަ ފާފަ ފުއްސަވައިދެއްވާނެތެވެ."" (ޞަޙީޙުލް ބުޚާރީ، ޙަދީޘު: 4475)",,
ا ل م (މިއަކުރުތަކާއި ބައެއް ސޫރަތް ފެށޭތާނގައިވާ އަލިފުބާގެ މިފަދަ އަކުރުތަކުގެ މާނައާމެދު، ޢިލްމުވެރިންގެމެދުގައި ޚިލާފު ހުށްޓެވެ. ބައެއް ޢިލްމުވެރިން ވިދާޅުވަނީ، ކީރިތި ޤުރްއާން އެކުލެވިގެންވަނީ، ޢަރަބީންގެ އެންމެން ވާހަކަ ދައްކައިއުޅޭ އަލިފުބާގެ މިފަދަ އަކުރުތަކުން ކަމުގައި ވުމާއެކުވެސް، އެ އަކުރުތަކަކީ، ޤުރްއާނުގެ އެންމެ ސޫރަތަކާ އެއްފަދަ އެއްޗެއް ކީއްކުރަންތޯ، އެންމެ އާޔަތަކާ އެއްފަދަ އެއްޗެއްވެސް، އެއުރެންނަށް ގެނެސް ނުގަނެވޭނެކަމަށް ގޮންޖެއްސެވުމުގެ ގޮތުން އައިސްފައިވާ އަކުރުތަކެއް ކަމުގައެވެ.) (1),﴿الٓمٓ﴾ މިފަދަ ވަކި އަކުރުތަކަކީ ކީރިތި ޤުރްއާނަކީ މުޢުޖިޒާތެއްކަން ހާމަކޮށްދެއްވުމަށް ގެންނަވާފައިވާ އަކުރުތަކެކެވެ. އެހެނީ، އެއާ އެއްފަދަ އެއްޗެއް ގެނައުމަށް الله ފިޔަވައި އެހެން ހުރިހާ ފަރާތެއް ނުކުޅެދިފައިވާ މިފޮތް އެކުލެވިގެން ވަނީ މިފަދަ އަކުރުތަކެއްގެ މައްޗަށެވެ. ކީރިތި الله އެވަނީ މިއަކުރުތަކުން އިންސާނުންނަށް ތަޙައްދީ ކުރައްވައިފައެވެ.,,
މިއީ އެ ފޮތެވެ. އެ ފޮތާމެދަކު ޝައްކެއް ނެތެވެ. (މިފޮތަކީ) ތަޤްވާވެރިންނަށްހުރި ހިދާޔަތެކެވެ. (2),މިފޮތަކީ ހުރިހައި ކަމެއް މޮޅަށް ދެނެވޮޑިގެންވާ، ޙިކްމަތްވަންތަ ރަސްކަލާނގެ ޙަޟްރަތުން ބާވައިލެއްވި ފޮތެއް ކަމާމެދު ކުޑަވެސް ޝައްކެއް ނެތެވެ. ﴿هُدًى لِّلْمُتَّقِينَ﴾ الله ގެ ޢަޛާބަށް ބިރުވެތިވެ، އެކަލާނގެ އަމުރުތަކަށް ތަބާވެ، ނަހީތަކާ ދުރުހެލިވާ، އީމާންކަމުގެ އަހުލުވެރީންނަށް މަގުދައްކާ ހިދާޔަތެއް ކަމުގައިވާ ޙާލުގައެވެ.,,
އެއުރެންނީ، ޣައިބަށް އީމާންވާ އަދި ނަމާދު ޤާއިމްކުރާ، އަދި ތިމަންރަސްކަލާނގެ އެއުރެންނަށް ދެއްވި ތަކެތިން ހޭދަކުރާ މީހުންނެވެ. (3),އަދި އެބައިމީހުންނަށް ނުފެންނަ، ޣައިބުގައިވާ ސުވަރުގެއާއި ނަރަކައާއި، މަލާއިކަތުންނާއި ޖިންނީންނާއި، ޞިރާޠުމަގާއި މީޒާނަށް އީމާންވެ ތެދުކުރާ މީހުންނެވެ. ﴿وَيُقِيمُونَ ٱلصَّلَو‌ٰةَ﴾ އަދި ޚުޝޫޢަތްތެރިކަމާ، ބޯލަނބައި ކިޔަމަންގަތުމާއެކު، އެންމެ ފުރިހަމަ ގޮތުގައި ނަމާދުކުރާ މީހުންނެވެ. ﴿وَمِمَّا رَزَقْنَـٰهُمْ يُنفِقُونَ﴾ އަދި ހެޔޮލަފާކަމާ އިޙްސާންތެރިކަމާ އެކު، ފަޤީރުންނާއި މިސްކީނުންނަށް ހޭދަކޮށް، އެބައިމީހުންގެ މުދަލުން ޒަކާތް ދޭ މީހުންނެވެ.,,
