#,headAR,bodyAR,bodyDV,footDV
,,,"شَرْحُ السُّنَّةِ
ސުންނަތުގެ ޝަރަހަ

لِلْإِمَامِ أَبِي إِبْرَاهِيْمَ إِسْمَاعِيْلَ بْنِ يَحْيَى بْنِ إِسْمَاعِيْلَ الْمُزَنِي
-تِلْمِيْذُ الْإِمَامِ الشَّافِعِي-
އަލް-އިމާމު އައް-ޝާފިޢީގެ ދަރިވަރު، އަލް-އިމާމު އަބޫ އިބްރާހީމް އިސްމާޢީލް ބްނު ޔަޙްޔާ ބްނު އިސްމާއީލް އަލް-މުޒަނީ
رَحِمَهُ الله (އަވަހާރަވީ: 264ހ)

ތަރުޖަމާކުރީ:
أَبُو مُحَمَّدٍ عَبْدُ الله شَادُ الْمَالْدِيْفِيْ
އަބޫ މުޙައްމަދު ޢަބްދު ﷲ ޝާދު އަލް-މާލްދީފީ",
,,,"# މުއައްލިފުގެ ކުރު ތަޢާރަފެއް
އެބޭފުޅާއަކީ އަލް-އިމާމު އަބޫ އިބްރާހީމް އިސްމާޢީލު ބްނު ޔަޙްޔާ ބްނު އިސްމާޢީލު ބްނު ޢަމްރު ބްނު މުސްލިމު އަލް-މުޒަނީއެވެ. މަޝްހޫރުވެގެންފައިވަނީ އަލް-މުޒަނީގެ ނަމުންނެވެ. އުފަންވެވަޑައިގަތީ ހިޖުރައިން (175ހ) ވަނަ އަހަރުއެވެ. އަދި އަވަހާރަވީ ހިޖުރައިން (264ހ) ވަނަ އަހަރުއެވެ.
އެބޭފުޅާއަށް ގިނަގުނަ ޢިލްމުވެރިން ޘަނާ ދެންނެވިއެވެ. އޭގެ ތެރެއިން: އައް-ޝާފިޢީ ވިދާޅުވިއެވެ: އަލް-މުޒަނީއަކީ އަހުރެންގެ މަޛްހަބަށް ނަޞްރުދޭ މީހާއެވެ.
އައް-ޝީރާޒީ އަލް-އަޝްޢަރީ ގެންނެވިއެވެ: ފަހެ އައް-ޝާފިޢީ رَحِمَهُ الله ދަންނައެ، އެބޭފުޅާގެ ފިޤުހު އެބޭފުޅާގެ އަޞްޙާބުންނަށް ނަޤުލުވެގެންދިޔައެވެ. ފަހެ އޭގެ ތެރެއިން އަބޫ އިބްރާހީމް އިސްމާޢީލު ބްނު ޔަޙްޔާ އަލް-މުޒަނީ ހިމެނިވަޑައިގަންނަވައެވެ. އެބޭފުޅާވީ ޒުހުދުވެރި، ޢިލްމުވެރި، ބަޙުޘްކުރައްވަވާ، ޙުއްޖަތްދައްކަވާ، ނާޒުކު ކަވި ކުދިކުދި މާނަތަށް ދެނެވަޑައިގަތުމުގައި ފީނެއްވި ބޭފުޅެކެވެ.
އައް-ޛަހަބީ ވިދާޅުވިއެވެ: (އެއީ) އިމާމުވެރި ޢިލްމުވެރި ބޭފުޅާއެވެ. މިއްލަތުގެ ފިޤުހުވެރިއާއެވެ. ޒުހުދުވެރިންގެ މަޝްހޫރުވެރި ބޭފުޅާއެވެ. އެއީ އައް-ޝާފިޢީގެ ދަރިވަރެކެވެ. އަދި އެބޭފުޅާއަކީ ރިވާޔަތް މަދުބޭފުޅެކެވެ. ނަމަވެސް ފިޤުހުގައި އަރާހުންނެވި ބޭފުޅެއް ކަމުގައިވިއެވެ.",
,,,"އަލް-މުޒަނީ رَحِمَهُ الله ވިދާޅުވިއެވެ:
بِسمِ الله الرَّحمَنِ الرَّحِيمِ
عَصَمَنا الله وَإِيَّاكُم بالتَّقوى، وَوَفَّقنَا وَإِيَّاكُم لِمُوَافَقَةِ الهُدَى.
أمَّا بعدُ،
ﷲ އަހުރެމެންނާއި ތިއެންމެން ތަޤުވާވެރިކަމުގައި ރައްކާތެރިކުރައްވާށިއެވެ. އަދި ތެދުމަގާ އެއްގޮތްވުމަށް އަހުރެމެންނަށާއި ތިއެންމެންނަށް ތައުފީޤު ދެއްވާށިއެވެ. ⁽¹⁾
އެއަށްފަހު ދަންނައެވެ.
فَإِنَكَ (أصْلَحَكَ الله) سَأَلْتَنِي أن أُوَضِّحَ لكَ مِنَ السُّنَّةِ أمرًا تُصَبِّر نَفسَكَ عَلَى التَّمَسُّكِ به، وتَدرَأُ به عنكَ شُبَهِ الأَقاوِيلِ، (وَزُخرُفَ الأباطيل)، وزيغَ مُحدثاتِ الضَّالِّين.
ފަހެ ތިބާ (ﷲ ތިބާ އިޞްލާޙުކުރައްވާށި) ސުންނަތުން ކަމެއްގެ މަތީ ޘާބިތުވެ ހުރެ އެކަމުގެ މައްޗަށް ކެތްތެރިވުމަށާއި ޖަރީކުރެވިގެންވާ ބަސްތަކުން އަންނަ ޝުބުހަތަކުން ދިފާޢުވުމަށާއި މަގުފުރެދިފައިވާ މީހުންގެ އަލަށް ދީނަށް ވައްދާކަންތައްތަކުން ދިފާޢުވުމަށް އެކަމަކާބެހޭގޮތުން އަންގައިދިނުމަށް އެދުނީމުއެވެ. 
وقَدْ شَرَحتُ لك مِنهَاجًا مُوضِحًا (مُنيرًا)، لم آلُ نفسِي وَإيَّاكَ فيهِ نُصحًا، بدَأتُ فيهِ بِحَمدِ الله ذي الرُّشدِ والتَّسدِيدِ.
الحَمْدُ لله أَحَقُّ ما بُدِئ، وأولى مَن شُكِر، وعليهِ أُثني.
އަދި އަހުރެން ތިބާއަށް ފާޅުވެ ބަޔާންވާގޮތެއްގައި މަންހަޖެއް ތިބާއަށް ޝަރަޙަކޮށްދިނީމެވެ. އަހުރެންގެ އަމިއްލަ ނަފްސަށާއި ތިބާއަށް ނަޞޭޙަތް ދިނުމަށް އޭގައި ތިމަން ފަރުވާކުޑަ އެއްގޮތަކަށްވެސް ނުކުރަމެވެ. ސީދާކަމާއި ތެދުމަގުގެ ވެރި އިލާހު ﷲ އަށް ޙަމްދުކުރާ ޙާލު އަހުރެން އެ ފެށީމެވެ.
ފެށުމުގައި ޙަމްދުކުރުމަށް ޙައްޤުކަންބޮޑުވެގެންވާ ﷲ އަށް ޙަމްދުހުއްޓެވެ. ޝުކުރުކުރެވޭ ފަރާތަކަށް އެއިލާހުވުން އައުލާކަންބޮޑެވެ. އަދި ޘަނާ ކިޔަނީ އެއިލާހަށެވެ.
",⁽¹⁾ މިފޮތުގެ ޢަރަބި ނައްޞު އަދި ނަމްބަރުތައް ނެގިފައިވަނީ މަކްތަބާ ދާރު މިންހާޖުން ނެރުއްވާފައިވާ ޝަރްޙުއް-ސުންނާ ފޮތުންނެވެ. އަޘަރުތަކުގެ މަތީގައިވާ ބުރެކެޓުގައިވާ ސުރުހީތަކަކީ ނައްޞުގެ ބައެއްނޫނެވެ.
,,,"# [ضرورة إثبات الصفات بلا تمثيل ولا تعطيل] 
# (ﷲ ގެ) ޞިފަފުޅުތަށް ތަޢުޠީލުކުރުމާއި ތަމްޘީލުކުރުމެއްނެތި ޘާބިތުކުރުމުގެ ޟަރޫރަތު
1-        الواحدُ الصَّمدُ الذي ليس لَهُ صاحبةٌ ولا ولد، جلَّ عن المثيلِ؛ فلا شبيهَ له ولا عَديلَ، السَّمِيعُ البصيرُ، العليمُ الخبيرُ، المنيعُ الرفيع.
އެއިލާހުއީ، އެއްކައުވަންތަ އެއިލާހަށް އެންމެހާ ތަކެތި ބޭނުންތެރިވެގެންވާ، އަދި އެއްވެސް އެއްޗަކަށް، އެއިލާހު ބޭނުންވެވޮޑިގެންނުވާ އަދި އެއިލާހަށް އަނބިކަނބަލަކުވެސް، އަދި ދަރިކަލަކުވެސް ނުވާ އިލާހެވެ. އެއިލާހުއީ، އެއިލާހުއާ އެއްމިޘާލެއްގައިވުމަށްވުރެ މާތްވެގެންވާ (ލާމަޘީލު) އިލާހެވެ. ފަހެ އެހެންކަމުން އެއިލާހުއާ ވައްތަރު އަދި އެއިލާހުއާ އެއްގޮތްވެ އެއްހަމަވާ އެއްވެސް އެއްޗެއް ނުވެއެވެ. އެއިލާހުއީ އެންމެ މޮޅަށް އައްސަވާ، އެންމެ މޮޅަށް ބައްލަވާ، އެންމެ މޮޅަށް ދެކެދެނެވޮޑިގެންވާ، ގަދަފަދަވަންތަ މަތިވެރިވަންތަ އިލާހެވެ.
",
,,,"#  [العُلُوّ]
# މަތީގައި ވޮޑިގެންވުން
2-	عالٍ على عَرْشِهِ (في مَجدِهِ بذاتِه)، وهو دانٍ بعلمِهِ مِن خَلْقِهِ.
 އެއިލާހު ވަނީ، އެއިލާހުގެ ޢަރުޝި މަތީގައި މަތިވެރިވެވޮޑިގެންނެވެ. (އެއީ އެއިލާހުގެ ރަސްކަންފުޅުގައި އެއިލާހުގެ ޛާތުފުޅާއެކުގައެވެ.) އަދި އެއިލާހު ވަނީ އެއިލާހުގެ ޚަލްޤު ތަކުންނާމެދު، އެއިލާހުގެ ޢިލްމުފުޅުން ދެނެވޮޑިގެންނެވެ.
",
,,,"#  [القضاءُ والقَدَرُ]
# ޤަޟާއާއި ޤަދަރު
3-        أَحَاطَ عِلمُهُ بالأُمور، وأَنفَذَ في خلقِهِ سابق المقدورِ، (وهو الجَواد الغفور) وﵟيَعۡلَمُ خَآئِنَةَ ٱلۡأَعۡيُنِ وَمَا تُخۡفِي ٱلصُّدُورُ ١٩ﵞ ﵝغَافِر: ﵙﵑﵜ.
فالخلقُ عاملون بسابقِ علمِهِ، ونافذون لِمَا خَلَقَهم له مِن خَيرٍ وشرٍّ، لا يملكون لأنفسهم مِنَ الطَّاعَةِ نفعًا، ولا يجدون إلى صَرفِ المعصيةِ عنهَا دَفعًا. خَلَقَ الخَلقَ بمشيئَتِهِ عن غيرِ حاجة كانت به.
އެންމެހާ ކަންކަމާމެދު އެއިލާހުގެ ޢިލްމުފުޅު ވަނީ ވަށާލައިގެންނެވެ. އަދި އެއިލާހުގެ ޚަލްޤުތަކުންގެ ތެރޭގައި ކުޅަދުންވަންތަވެރިކަން ވަނީ ތަންފީޛުކުރައްވާފައެވެ. (އަދި އެއިލާހުއީ ދީލަތިވަންތަ ގިނަގިނައިން ފާފަފުއްސަވާ އިލާހެވެ.) އަދި ﵟيَعۡلَمُ خَآئِنَةَ ٱلۡأَعۡيُنِ وَمَا تُخۡفِي ٱلصُّدُورُ ١٩ﵞ
މާނައީ: ""ލޮލުގެ ޚިޔާނަތްތެރި ބެލުންތަކާއި، ހިތްތަކުގައި ފޮރުވިފައިވާ ކަންތައް އެއިލާހު ދެނެވޮޑިގެންވެތެވެ.""
ފަހެ އެހެންކަމުން ޚަލްޤުތަކުން ޢަމަލުކުރަނީ އެއިލާހުގެ ކުރީގެ ޢިލްމުފުޅުގެ ދެނެވޮޑިގަތުމުގައެވެ. އަދި އެޚަލްޤު ތަކުން އުފެއްދެވި މަޤުޞަދުތަކުގެ ހެޔޮކަންކަމާއި ނުބައިކަންކަން ތަންފީޛުކުރެއެވެ. އެބައިމީހުންގެ ނަފްސުތަކަށް ކިޔަމަންވުމުގައި އެއްވެސް މަންފާއެއް ލިބުމަށް ކުޅަދާނަވެގެންނުވެއެވެ. އަދި އެބައިމީހުންގެ ނަފްސުތަކުން އުރެދުން ދުރުހެލިކުރުމަށް ވެސް ކުޅަދާނަވެގެންނުވެއެވެ. ﷲ ޚަލްޤުތަކުން އުފެއްދެވީ އެއިލާހުގެ ފުރިހަމަ އިރާދަފުޅުންނެވެ. އެއީ އެއިލާހު އެކަމަށް އެއްވެސް ޙާޖަތެއް ޖެހުމަކާ ނުލައެވެ.",
,,,"#  [الإيمان بالملائكة]
# މަލާއިކަތުންނަށް އީމާންވުން
4-	وَخَلَقَ الملائكَةَ جميعًا لطَاعَتِه، وجبلَهم على عبادتِه؛ فمِنهم ملائكةٌ بقُدرَتِه للعَرْشِ حَامِلون. وطائفةٌ منهم حولَ عَرْشِهِ يُسَبِّحُون. وآخرُونَ بحمدِهِ يُقَدِّسون. واصطفى منهم رُسلاً إلى رُسلِه، وبعضٌ مُدبِّرُونَ لأمره.
އަދި އެންމެހާ މަލާއިކަތުން އުފެއްދެވީ އެއިލާހަށް ކިޔަމަންވުމަށެވެ. އަދި އެއިލާހަށް އަޅުކަންކުރުމުގެ މައްޗަށް އެބޭކަލުންގެ ފިޠުރަތުގައި ލެއްވިއެވެ. ފަހެ އެބޭކަލުންގެ ތެރެއިން ޢަރުޝި އުފުއްލަވާ މަލާއިކަތުން ވެއެވެ. އަދި އޭގެ ތެރެއިން އެއިލާހުގެ ޢަރުޝިކޮޅު ވަށައިގެން ތަސްބީޙަ ކިޔާ މަލާއިކަތުންގެ ބަޔަކުވެއެވެ. އަދި އެހެން ބޭކަލުން އެއިލާހަށް ޙަމްދުކޮށް ޘަނާ ތަޢުރީފުކިޔުއްވައެވެ. އަދި އޭގެ ތެރެއިން ބޭކަލުން އެއިލާހުގެ ރަސޫލު ބޭކަލުންނަށްޓަކައި ރަސޫލު ބޭކަލުން އިޚްތިޔާރުކުރެއްވިއެވެ. އަދި އޭގެ ތެރެއިން ބައެއް ބޭކަލުން އެއިލާހުގެ އަމުރުފުޅު ތަންފީޛުކުރައްވައެވެ.
",
,,,"#  [خلق آدم عليه السلام وابتلاؤه]
# އާދަމްގެފާނު ޚަލްޤުކުރައްވައި އެކަލޭގެފާނު އިމްތިޙާނުކުރެއްވުން
5-	ثُمَّ خلَقَ آدَمَ بِيَدِه، وأسكَنَهُ جَنَّته، وقبلَ ذلِكَ للأرضِ خَلَقَه، ونَهَاهُ عن شجَرَةٍ قد نَفذَ قضاؤه عليهِ بأكْلِها، ثم ابتلاهُ بما نَهَاهُ عَنْهُ مِنها، ثُمَّ سَلَّطَ عَليهِ عَدُوَّه فأغْوَاهُ عليها، وَجَعَلَ أكلَهُ له (إلى إسكانِهِ) الأرض سبَبًا، فما وَجَدَ إلى تَرْكِ أكلِهَا سَبيلاً، وَلاَ عَنْهُ لَها مَذهَبًا.
ދެން އެއިލާހުގެ އަތްޕުޅުން އާދަމްގެފާނު ޚަލްޤުކުރެއްވިއެވެ. އަދި އެއިލާހުގެ ޖަންނަތުގައި އެކަލޭގެފާނު ވަޒަންވެރިކުރެއްވިއެވެ. އަދި އޭގެ ކުރީގައި ބިމަށްޓަކައި އާދަމްގެފާނު ﷲ ޚަލްޤުކުރެއްވިއެވެ. އަދި އެގަހަކުން ކެއުމަށް ނަހީކުރެއްވިއެވެ. އެގަހުން ކެއުމަށް އެއިލާހު ނިޔާކަނޑައަޅުއްވާފައިވާ ހިނދުވެސްމެއެވެ. ދެންފަހެ ﷲ، އެކަލޭގެފާނު ނަހީކުރެއްވި އެގަސް މެދުވެރިކުރައްވާ އިމްތިޙާނު ކުރެއްވިއެވެ.
ދެން އެކަލޭގެފާނު މައްޗަށް އެކަލޭގެފާނުގެ ޢަދުއްވު ފާކުރައްވާ ބާރުވެރިކުރައްވާ އޭގެ މައްޗަށް އެކަލޭގެފާނު އޭނާ ހެއްލުންތެރިކުރުވިއެވެ. އަދި އެކަލޭގެފާނު އެގަހުން ފަރިއްކުޅުއްވުން ބިންމަތީ ވަޒަންވެރިވުމުގެ ސަބަބަކަށް ލެއްވިއެވެ. ދެންފަހެ އެކަލޭގެފާނު އެގަހުން ފަރިއްކުޅުއްވުން ދޫކޮށްލުމަށް އެއްވެސް މަގެއް ދެކެވަޑައިނުގެންނެވިއެވެ. އަދި އޭގެން ދުރުވުމަށް އެއްވެސް މަގެއް ފެނިވަޑައިނުގެންނެވިއެވެ.
",
,,,"#  [أعمال أهل الجنّة والنّار]
# ޖަންނަތުގެ އަހުލުވެރިންނާއި ނަރަކައިގެ އަހުލުވެރިންގެ ޢަމަލުތަށް
6-	ثُمَّ خَلَقَ للجنَّةِ مِن ذُرِّيَّتِهِ أهلاً؛ فهم (يَعمَلونَ بأعمالها، وإنَّمَا بمشيئَتِهِ يَعمَلُون)، وبقدرَتِهِ وبإِرَادَتِهِ ينفُذون.
وخَلقَ مِن ذُرِّيَّتِهِ للنَّارِ أهلاً؛ فخلَقَ لهم أعْيُنًا لا يُبصِرُون بها،وآذانًا لا يسمعُونَ بِها، وقلوبًا لا يَفقهُونَ بِها؛ فَهُم بِذلك عَنِ الهُدى مَحجُوبُون، وَبِأعمَالِ أهلِ النَّارِ بسابقِ قَدَرِهِ يَعمَلونَ.
ދެން ޖަންނަތަށްޓަކައި އެކަލޭގެފާނުގެ ދަރިފަސްކޮޅުން އެޖަންނަތުގެ އަހުލުވެރިންކަމަށްވުމަށް ޚަލްޤުކުރެއްވިއެވެ. ފަހެ އެބައިމީހުން ޢަމަލުކުރާހުށީ އެޖަންނަތަށް ވައްދައިދޭ ޢަމަލުތަކުންނެވެ. އަދި ހަމަކަށަވަރުން އެބައިމީހުން ޢަމަލުކުރާހުށީ ﷲ ގެ އިރާދަފުޅުންނެވެ. އަދި އެބައިމީހުން ތަންފީޛުކުރަނީވެސް އެއިލާހުގެ ކުޅަދުންވަންތަކަމާއި އެއިލާހުގެ އިރާދަފުޅުންނެވެ.

އަދި އެކަލޭގެފާނުގެ ދަރިފަސްކޮޅުން، ނަރަކައަށް އަހުލުވެރިންތަކެއްވުމަށް ބަޔަކު ޚަލްޤުކުރެއްވިއެވެ. ފަހެ އެބައިމީހުންނަށް އެލޯތަކުން ނުފެންނާނެ ލޯތަކެއް ހެއްދެވިއެވެ. އަދި އެބައިމީހުންނަށް އެކަންފަތްތަކުން އަޑުނީވޭ ކަންފަތްތަކެއް އުފެއްދެވިއެވެ. އަދި އެބައިމީހުންނަށް އެހިތްތަކުން (ޙައްޤު ގޮތް) ނުވިސްނޭ ހިތްތަކެއް އުފެއްދެވިއެވެ. ފަހެ އެކަމުގެ ސަބަބުން އެބައިމީހުންވާހުށީ ތެދުމަގުން ފަރުދާވެގެންނެވެ. އަދި އެއިލާހުގެ އިސްވެދިޔަ ޤަދަރުން އެބައިމީހުން ޢަމަލުކުރާހުށީ ނަރަކައިގެ އަހުލުވެރިންގެ ޢަމަލުތަކުންނެވެ.
",
,,,"# [الإيمانُ]
# އީމާންކަން
7-	والإيمَانُ قولٌ وعملٌ (مع اعتقاده بالجِنَانِ، وقَولٌ باللسان، وعَمَلٌ بالجَوَارِحِ والأَركَانِ)، وهما سيانِ، ونظامان، وقَرينَانِ، لا نُفَرِّقُ بينهما، فلا إيمان إلاَّ بِعملٍ، ولا عملَ إلاَّ بإيمَان.
والمُؤمنون في الإيمانِ يَتَفَاضَلُون، وبِصَالِحِ الأعمَالِ هُم مُتَزَايدُون. ولا يَخْرُجُونَ بالذُّنُوبِ مِنَ الإِيمَانِ، ولا يُكَفَّرُونَ برُكوبِ كبيرةٍ ولا عِصيانِ، ولا نُوجبُ لمُحسِنِهم الجِنَانُ (إلا الذين أوجَبَ لهم) النبي صَلَّى الله عَلَيْهِ وَسَلَّمْ، ولا نَشهَدُ على مُسِيئِهم بالنَّارِ.
އަދި އީމާންކަމަކީ ބުނާ ބަހާއި ކުރާ ޢަމަލެވެ. (އެއީ އޭނާ ހިތުން އެކަން އިޢުތިޤާދުކުރުމާއެކު، ދުލުން ބުނާ ބަހަކުންނާއި، ގުނަވަންތަކުން ކުރެވޭ ޢަމަލުންނެވެ.) އަދި އެއީ ދެ އެއްޗެކެވެ. ދެ ނިޒާމެކެވެ. ދެ ޤަރީނާއެކެވެ. އަހުރެމެން އެދޭތި ދެމެދު ފަރަޤެއް ނުކުރަމުއެވެ. ފަހެ އެހެންކަމުން ޢަމަލުކުރުމާ ލައިގެން މެނުވީ އީމާންކަމެއް ނުވެއެވެ. އަދި އީމާންކަމާ އެކު މެނުވީ ޢަމަލުކުރުމެއްނުވެއެވެ.
އަދި މުއުމިނުން އީމާންކަމުގައި، ދަރަޖަތަކުގައި ތަފާތުވެގެންވެއެވެ. އަދި ޞާލިޙު ޢަމަލުތަކުން އެބައިމީހުންވަނީ ގިނަވެގެންނެވެ. އަދި އީމާންކަމުން އެބައިމީހުން ފާފަތަކުގެ ސަބަބުން ނުނިކުމެއެވެ. އަދި އުރެދުމެއް ނުވަތަ ބޮޑު ފާފައެއް ކުރުމުގެ ސަބަބުން އެބައިމީހުން ކާފަރެއް ވެސް ނުކުރެވޭނެއެވެ. އަދި އަހުރެމެން އެބައިމީހުންގެ ތެރެއިން އިޙުސާންތެރިންނަށް ޖަންނަތު ވާޖިބެއް ނުކުރަމުއެވެ.
 ހަމައެކަނި އެބަޔަކަށް ނަބިއްޔާ صَلَّى الله عَلَيْهِ وَسَلَّمْ ޖަންނަތް ވާޖިބުކުރެއްވި ބަޔެއް ފިޔަވައެވެ. އަދި އަހުރެމެން އެބައިމީހުންގެ ތެރެއިން ނުބައި ޢަމަލުކުރިމީހުންނަކީ ނަރަކައިގެ އަހުލުވެރިންކަމަށް ހެކިނުވަމެވެ.
",
