#,headAR,bodyAR,bodyDV,footDV
,,,"أُصُوْلُ السُّنَّةِ
ސުންނަތުގެ އުޞޫލުތައް

لِلْإِمَامِ أَبِيْ بَكْرٍ عَبْدِ اللهِ بْنُ الزُّبَيْرِ الْقُرَشِي الحُمَيْدِي
އަލް-އިމާމު އަބޫ ބަކްރު ޢަބްދު ﷲ ބްނު އައް-ޒުބައިރު އަލް-ޤުރަޝީ އަލް-ޙުމައިދީ
رَحِمَهُ الله (އަވަހާރަވީ: 219ހ)

ތަރުޖަމާކުރީ:
أَبُو مُحَمَّدٍ عَبْدُ اللهِ شَادُ الْمَالْدِيْفِيْ
އަބޫ މުޙައްމަދު ޢަބްދު ﷲ ޝާދު އަލް-މާލްދީފީ",
,,,"# މުއައްލިފުގެ ކުރު ތަޢާރަފެއް
ނަން: ޢަބްދު ﷲ ބްނުއް ޒުބައިރު ބްނު ޢީސާ ބްނު ޢުބައިދު ﷲ ބްނު އުސާމާ ބްނު ޢަބްދު ﷲ ބްނު ޙުމައިދު ބްނު ޒުހައިރު ބްނުލް ޙާރިޘު ބްނު އަސަދު ބްނު ޢަބްދުލް ޢުއްޒާ އަލް-ޤުރަޝީ އަލް-އަސަދީ އެވެ.
ކުންޔާ: އަބޫ ބަކުރު.
މަޝްހޫރުވެފައިވާ ނަން: އަލް-ޙުމައިދީ.
އަވަހާރަވީ: (219ހ) ވަނަ އަހަރު. رَحِمَهُ الله.
އެބޭފުޅާގެ މައްޗަށް ޢިލްމުވެރިން ކިޔުއްވި ޘަނާ:
އަޙްމަދު ބްނު ޙަންބަލް ވިދާޅުވިއެވެ: އަހުރެމެން ގާތު އަލް-ޙުމައިދީ އަކީ އިމާމެކެވެ.
އަދި އަބޫ ޙާތިމް ވިދާޅުވިއެވެ: އިބްނު ޢުޔައިނާގެ ރިވާޔަތްތަކާމެދު އެންމެ ޘާބިތުކަންގަދަ މީހުންގެ ތެރެއިންވާ ބޭކަލަކީ އަލް-ޙުމައިދީއެވެ. އަދި އެބޭފުޅާއަކީ އިބްނު ޢުޔައިނާގެ އަޞްޙާބުންގެ ރައީސެވެ. އަދި އެބޭފުޅާއަކީ އިތުބާރުހުރި އިމާމެކެވެ.
އަދި އިސްޙާޤު ބްނު ރާހަވައިހި ވިދާޅުވިއެވެ: އަހުރެމެންގެ ޒަމާނުގެ އިމާމުންނަކީ: އައް-ޝާފިޢީ އާއި އަލް-ޙުމައިދީ އާއި އަދި އަބޫ ޢުބައިދް އެވެ.
އަދި އަލް-ބުޚާރީ ވިދާޅުވިއެވެ: އަލް-ޙުމައިދީ އަކީ ޙަދީޘްގެ އިމާމެކެވެ.
ތަރުޖަމާގެ މަޞްދަރުތަށް:
އަލް-ޖަރްޙު ވައް-ތަޢްދީލު (5/56) އަދި ތަހްޛީބުލް ކަމާލް (14/512)، އަދި އައް-ސިޔަރް (10/616). ⁽¹⁾
","⁽¹⁾ މިއީ ""އަލް-ޖާމިޢު ފީ ޢަޤާއިދި ވަރަސާއިލި އަހްލިއް-ސުންނަތި ވަލް-އަޘަރި"" ފޮތުގައި ޝެއިޚް ޢާދިލް އާލް ޙަމްދާން ގެނެސްފައިވާ ތަޢާރަފެކެވެ."
,,,"# އިޖުމާލީ ޢަޤީދާ
އަލް-އިމާމުލް-ޙުމައިދީ رَحِمَهُ الله ގެ މިއިޢްތިޤާދުގައި އަހްލު-އްސުންނާ ވަލް-ޖަމާޢަތުގެ މައްސަލާތަކުގެ އުޞޫލުތަށް ޛިކުރުކުރެއްވިއެވެ. އޭގެން އުޞޫލަކާ ޚިލާފުވެއްޖެމީހާ ސުންނަތުގެ އަހުލުވެރިންގެ ތެރެއިން ބޭރުވާހުއްޓެވެ.
އަދި މިޢަޤީދާ ޢިލްމުވެރިންގެ އަރިހުން މަޝްހޫރުވެފައިވަނީ (އުޞޫލުއް ސުންނާ) ގެ ނަމުންނެވެ. އެއީ މުޞަންނިފު އެފަދައިން ނަންދެއްވިގޮތުގައެވެ.
",
,,,"# ޢަޤީދާގެ މަޞްދަރު:
މިޢަޤީދާ ތަޚްރީޖުކުރެވިފައިވަނީ އަލް-ޙުމައިދީ رَحِمَهُ الله ގެ އަލް-މުސްނަދު ފޮތުގެ ނިމޭހިސާބުންނެވެ. ފަހެ އެބޭފުޅާ ﷲ އާ މެދު ދީނެއްގޮތުގައި ޤަބޫލުކުރައްވާ މިއިޢްތިޤާދު ޛިކުރުކުރައްވާ މުސްނަދު ފޮތް ނިންމަވާލެއްވިއެވެ. ⁽²⁾
",⁽²⁾ މިފޮތުގެ ޢަރަބި ނައްޞު އަދި ނަމްބަރުތައް ނެގިފައިވަނީ ދާރު އިބްނުލް-އަޘީރުން ނެރުއްވާފައިވާ އުޞޫލުއް-ސުންނާ ފޮތުންނެވެ. އަޘަރުތަކުގެ މަތީގައިވާ ބުރެކެޓުގައިވާ ސުރުހީތަކަކީ ނައްޞުގެ ބައެއްނޫނެވެ.
,,,"# [الإيمان بالقدر]
# ޤަދަރަށް އީމާންވުން
ޢަބްދު ﷲ ބްނު އައް-ޒުބައިރުލް-ޙުމައިދީ رَحِمَهُ الله ވިދާޅުވިއެވެ:
1-        السنة عندنا: أن يؤمن الرجل بالقدر خيره وشرّه، حُلوِهِ ومُرِّهِ، وأن يعلم أن ما أصابه لم يكن ليُخطِئه وأن ما أخطأه لم يكن ليُصيبَه، وأن ذلك كله قضاء من الله عَزَّ وَجَلَّ.
އަހުރެމެން ގާތު ސުންނަތަކީ:
މީހާ ހެޔޮމިންވަރާއި ނުބައި މިންވަރަށް އީމާންވުމެވެ. އޭގެ ފޮނިމީރުކަމާއި އޭގެ ހިތިކަމަށްވެސް މެއެވެ. އަދި އޭނާއަށް ދިމާވާ ރަނގަޅުކަމެއް ގޯސްނުކުރެވޭނެކަން އެނގުމާއި އޭނާއަށް ދިމާވާ ގޯސްކަމެއް ރަނގަޅެއް ނުކުރެވޭނެކަމާއި އެހުރިހާ ކަމަކީވެސް ﷲ ގެ ޤަޟާ ޤަދަރުން ދިމާވާކަންކަން އެނގުމެވެ.
",
,,,"# [الإيمان: قول وعمل يزيد وينقص]
# އީމާންކަމަކީ: ބުނާ ބަހާއި ކުރާ ޢަމަލެވެ. އެއިތުރުވެ ދަށްވެއެވެ.
2-	وأن الإيمان: قول وعمل، يزيد وينقص، ولا ينفع قول إلا بعمل، ولا عمل وقول إلا بنية، ولا قول وعمل ونية إلا بسنة.
އަދި އީމާންކަމަކީ ދުލުން ބުނާ ބަހަކާއި ކުރާ ޢަމަލެކެވެ. އީމާންކަން އިތުރުވެ ދަށްވެއެވެ.
އަދި ބަހެއް ބުނުން އެއާއެއްގޮތަށް ޢަމަލުކުރުމުން މެނުވީ މަންފާއެއް ނުކުރާނެކަމެވެ.
އަދި ޢަމަލުކުރުމާއި ބަސްބުނުން ނިޔަތާއެކު މެނުވީ ނުވާނެކަމެވެ. އަދި ބަހާއި ޢަމަލާއި ނިޔަތް ސުންނަތާއެކު މެނުވީ ނުވާނެކަމެވެ.
",
,,,"# [الثناء على الصحابة رضوان الله عليهم]
# ﷲ އެބޭކަލުންނަށް ރުއްސުންލެއްވި ޞަޙާބީންނަށް ޘަނާކިޔުން
3-        والترحم على أصحاب محمد صَلَّى الله عَلَيْهِ وَسَلَّمْ كلهم؛ فإن الله عَزَّ وَجَلَّ قال: ﵟوَٱلَّذِينَ جَآءُو مِنۢ بَعۡدِهِمۡ يَقُولُونَ رَبَّنَا ٱغۡفِرۡ لَنَا وَلِإِخۡوَٰنِنَا ٱلَّذِينَ سَبَقُونَا بِٱلۡإِيمَٰنِﵞﵝالحَشۡر : ﵐﵑﵜ، فلن يؤمن إلا بالاستغفار لهم، فمن سبّهم أو تنقّصهم أو أحدًا منهم فليس على السّنة، وليس له في الفَيء حق، أخبرنا بذلك غير واحد عن مالك بن أنس أنه قال: قسّم الله تَعَالَى الفيء فقال: ﵟلِلۡفُقَرَآءِ ٱلۡمُهَٰجِرِينَ ٱلَّذِينَ أُخۡرِجُواْ مِن دِيَٰرِهِمۡﵞﵝالحَشۡر : ﵘﵜ، -ثم قال-: ﵟوَٱلَّذِينَ جَآءُو مِنۢ بَعۡدِهِمۡ يَقُولُونَ رَبَّنَا ٱغۡفِرۡ لَنَا وَلِإِخۡوَٰنِنَاﵞ ﵝالحَشۡر : ﵐﵑﵜ، فمن لم يقل هذا لهم فليس ممن جعل له الفيء.
 އަދި މުޙައްމަދު صَلَّى الله عَلَيْهِ وَسَلَّمْ ގެ ހުރިހާ އަޞްޙާބު ބޭކަލުންނަށް ރަޙުމަތްލެއްވުން އެދި ދުޢާކުރުމެވެ. ފަހެ ހަމަކަށަވަރުން ﷲ عَزَّ وَجَلَّ ވަޙީކުރެއްވިއެވެ. ﵟوَٱلَّذِينَ جَآءُو مِنۢ بَعۡدِهِمۡ يَقُولُونَ رَبَّنَا ٱغۡفِرۡ لَنَا وَلِإِخۡوَٰنِنَا ٱلَّذِينَ سَبَقُونَا بِٱلۡإِيمَٰنِﵞ މާނައީ: ""އަދި އެއުރެންގެ ފަހުން އައި މީހުން ބުނެތެވެ. އަޅަމެންގެ ވެރިރަސްކަލާކޮ! އަޅަމެންނަށާއި، އަދި އަޅަމެންނަށްވުރެ ކުރިން އީމާންވި، އަޅަމެންގެ އަޚުންނަށް ފާފަފުއްސަވާނދޭވެ!""
ފަހެ އެމީހަކު އެބޭކަލުންނަށް ފާފަފުއްސެވުމަށް އިސްތިޣުފާރުކުރުމުން މެނުވީ އީމާނެއް ނުވާނެއެވެ.
 ފަހެ އެބޭކަލުންނަށް ބަދުބަސްބުނެ، ނުވަތަ އެބޭކަލުންކުރެ ބޭކަލެއް ކުޑައިމީސްކޮށްފިމީހާ، ފަހެ އޭނާ ވަނީ ސުންނަތުގެ މައްޗަކު ނޫނެވެ. އަދި އޭނާއަށް ޣަނީމާމުދަލުން ޙައްޤެއް ލިބިގެންނުވެއެވެ.
 އެކަމާބެހޭގޮތުން މާލިކު ބްނު އަނަސްގެ އަރިހުން އެކަކަށްވުރެ ގިނަ ބޭކަލުން އަހުރެމެންނަށް ޚަބަރުދިނެވެ. އެކަލޭގެފާނު ވިދާޅުވިއެވެ. ﷲ تَعَالَى ޣަނީމާ މުދާ ބެއްސެވިއެވެ. ވަޙީކުރައްވާފައިވެއެވެ. ﵟلِلۡفُقَرَآءِ ٱلۡمُهَٰجِرِينَ ٱلَّذِينَ أُخۡرِجُواْ مِن دِيَٰرِهِمۡﵞ މާނައީ: ""އެއުރެންގެ ގެދޮރުންނާއި، އެއުރެންގެ މުދަލުން ނެރެލާފައިވާ ފަޤީރު މުހާޖިރުންނަށް (އެ ފައިއު މުދަލުގައި) ޙައްޤެއްވެއެވެ.""
ދެން ކިޔަވާ ވިދާޅުވިއެވެ. ﵟوَٱلَّذِينَ جَآءُو مِنۢ بَعۡدِهِمۡ يَقُولُونَ رَبَّنَا ٱغۡفِرۡ لَنَا وَلِإِخۡوَٰنِنَاﵞ މާނައީ: ""އަދި އެއުރެންގެ ފަހުން އައި މީހުން ބުނެތެވެ. އަޅަމެންގެ ވެރިރަސްކަލާކޮ! އަޅަމެންނަށާއި، އަދި އަޅަމެންނަށްވުރެ ކުރިން އީމާންވި، އަޅަމެންގެ އަޚުންނަށް ފާފަފުއްސަވާނދޭވެ!""
ފަހެ މިހެން އެބޭކަލުންނަށް ދުޢާނުކޮށްފިމީހާ ފަހެ އެބަޔަކަށް ޣަނީމާ ބެއްސެވުނު މީހުންގެ ތެރެއިން އެމީހާ ނުވެއެވެ. ⁽³⁾",⁽³⁾ ރިވާކުރެއްވީ އަލް-ޚައްލާލް އަދި އައް-ލާލަކާއީއެވެ. އަދި ޝެއިޚް ޢާދިލް އާލް ޙަމްދާން ތަޙްޤީޤު ކުރައްވާފައިވާ، އަލް-އިބާނާ އައް-ޞުޣްރާގެ (206) ފޮތުގެ ތަޢުލީޤުގައި ތަޚްރީޖުކުރެވިފައިވާނެއެވެ.
,,,"# [القرآن كلام الله تَعَالَى]
# ޤުރުއާނަކީ ﷲ تَعَالَى ގެ ކަލާމްފުޅު
4-        والقرآن كلام الله، سمعتُ سفيان يقول: القرآن كلام الله، ومن قال مخلوق فهو مُبتدع، لم نسمع أحدًا يقول هذا.
 އަދި ޤުރުއާނަކީ ﷲ ގެ ކަލާމްފުޅުކަމެވެ. ސުފްޔާނު ވިދާޅުވަނިކޮށް އަހުރެން އަޑުއެހީމެވެ. ޤުރުއާނަކީ ﷲ ގެ ކަލާމްފުޅެވެ. އަދި އެއީ މަޚުލޫޤެއްކަމަށް ބުނެފިމީހާ، ފަހެ އެއީ ބިދުޢަވެރިއެކެވެ. މިބަސްބުނިކަމަށް އެއްވެސް މީހެއްގެ އަޑެއް އަހުރެމެން ނާހަމެވެ. ⁽⁴⁾
",⁽⁴⁾ ރިވާކުރެއްވީ ޙަރްބުލް-ކިރްމާނީ އައް-ސުންނާ ފޮތުގައި (393/ ޝެއިޚް ޢާދިލް އާލް ޙަމްދާން ކުރި ތަޙްޤީޤުގައި) ސުފްޔާނު ބްނު ޢުޔައިނާ رَحِمَهُ الله ގެ އަރިހުންނެވެ.
,,,"# [قول سفيان في الإيمان]
# އީމާންކަމާއި ބެހޭގޮތުން ސުފްޔާނުގެ ބަސްފުޅު
 وسمعت سفيان يقول: الإيمان قول وعمل ويزيد وينقُص.
فقال له أخوه إبراهيم بن عُيينة: يا أبا محمد؛ لا تقول ينقص. فغضب، وقال: اسكُت يا صبي، بل حتى لا يبقى منه شيء.
އަދި ސުފްޔާނު ވިދާޅުވަނިކޮށް އަހުރެން އަޑުއެހީމެވެ. އީމާންކަމަކީ ދުލުން ބުނާ ބަހަކާއި ކުރާ ޢަމަލެކެވެ. އަދި އެއިތުރުވެ އެދަށްވެއެވެ. ދެންފަހެ އެބޭފުޅާގެ އަޚާ އިބްރާހީމު ބްނު ޢުޔައިނާ ދެންނެވިއެވެ. އޭ އަބާ މުޙައްމަދެވެ. އީމާންކަން ދައްވާކަމަށް ވިދާޅުނުވާށެވެ. 
ދެންފަހެ އެހާރުން އެބޭފުޅާ ކޯފާއިސްކުރައްވާ ވިދާޅުވިއެވެ. އޭ ކުއްޖާއެވެ. ހަނުހުންނާށެވެ! ކިއެއްތަ، އެއީ އެއީމާންކަމުން އެއްވެސް މިންވަރެއް ނެތިގެން ދަންދެން އެދަށްވާހުއްޓެވެ. ⁽⁵⁾",⁽⁵⁾ އަލް-އީމާން ލިލް-ޢަދަނީ (28)، އަދި އަލް-ޚައްލާލް (1018 އަދި 1042) އަދި އަލް-އިބާނާ (1149) އަދި އައް-ޝަރީޢާ (240).
,,,"# [رؤية المؤمنين ربهم يوم القيامة]
# މުއުމިނުންނަށް އެބައިމީހުންގެ ވެރިރައްބު ޤިޔާމަތްދުވަހުން ދެކުން
5-	والإقرار بالرؤية بعد الموت.
އަދި މަރުވުމަށްފަހު ﷲ ހަމަލޮލަށް ދެކޭނެކަމަށް އިޤުރާރުވުމެވެ.
",
