source,#,bodyAR,bodyDV,takhrij
الأدب المفرد، البخاري,1,حَدَّثَنَا أَبُو الْوَلِيدِ قَالَ: حَدَّثَنَا شُعْبَةُ قَالَ: الْوَلِيدُ بْنُ الْعَيْزَارِ أَخْبَرَنِي قَالَ: سَمِعْتُ أَبَا عَمْرٍو الشَّيْبَانِيَّ يَقُولُ: حَدَّثَنَا صَاحِبُ هَذِهِ الدَّارِ، وَأَوْمَأَ بِيَدِهِ إِلَى دَارِ عَبْدِ اللَّهِ قَالَ: سَأَلْتُ النَّبِيَّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: أَيُّ الْعَمَلِ أَحَبُّ إِلَى اللَّهِ عَزَّ وَجَلَّ؟ قَالَ: «الصَّلَاةُ عَلَى وَقْتِهَا» ، قُلْتُ: ثُمَّ أَيٌّ؟ قَالَ: «ثُمَّ بِرُّ الْوَالِدَيْنِ» ، قُلْتُ: ثُمَّ أَيٌّ؟ قَالَ: «ثُمَّ الْجِهَادُ فِي سَبِيلِ اللَّهِ» قَالَ: حَدَّثَنِي بِهِنَّ، وَلَوِ اسْتَزَدْتُهُ لَزَادَنِي,"އަބޫ ޢަމްރު އައްޝައިބާނީގެ ކިބައިން ރިވާވެގެންވެއެވެ. އެކަލޭގެފާނު ވިދާޅުވިއެވެ. މިގޭގެ ވެރިފަރާތް ތިމަންކަލޭގެފާނަށް ކިޔައިދެއްވިއެވެ. އަދި އެކަލޭގެފާނުގެ އަތްޕުޅުން ޢަބްދުﷲ (ބިން މަސްޢޫދު ރަޟިޔަﷲ ޢަންހު)ގެ ގެކޮޅަށް އިޝާރާތްކުރެއްވިއެވެ. އެކަލޭގެފާނު ވިދާޅުވިއެވެ. ނަބިއްޔާ ﷺ ގެ އަރިހުގައި ތިމަންކަލޭގެފާނު ސުވާލުކުރެއްވީމެވެ. ""ﷲ ޢައްޒަ ވަޖައްލައަށް އެންމެ ލޮބުވެތިކަން ބޮޑުވެގެންވަނީ ކޮން އަމަލެއްތޯއެވެ؟"" އެކަލޭގެފާނު ޙަދިޘްކުރެއްވިއެވެ: ""ނަމާދު އޭގެ ވަގުތުގައި ކުރުމެވެ."" ތިމަންކަލޭގެފާނު ދެންނެވީމެވެ: ""އެޔަށްފަހު ކޮން އަމަލެއްތޯއެވެ؟"" ޙަދިޘްކުރެއްވިއެވެ. ""އެޔަށްފަހު މައިންބަފައިންނަށް ހެޔޮކޮށް ހިތުމެވެ."" ތިމަންކަލޭގެފާނު ދެންނެވީމެވެ. ""އެޔަށްފަހު ކޮން އަމަލެއްތޯއެވެ؟"". ޙަދިޘްކުރެއްވިއެވެ. ""އެޔަށްފަހު ﷲގެ މަގުގައި ޖިހާދުކުރުމެވެ."" އެޔަށްފަހު އެކަލޭގެފާނު (ޢަބްދުﷲ ބިން މަސްޢޫދު) ވިދާޅުވިއެވެ. އެކަންތައްތައް ތިމަންކަލޭގެފާނަށް ކިޔައިދެއްވީ ނަބިއްޔާ ﷺ އެވެ. އިތުރަށް ތިމަންކަލޭގެފާނު ސުވާލުކުރެއްވިނަމަ އެކަލޭގެފާނު އިތުރުކުރެއްވީހެވެ.",
الأدب المفرد، البخاري,2,حَدَّثَنَا آدَمُ قَالَ: حَدَّثَنَا شُعْبَةُ قَالَ: حَدَّثَنَا يَعْلَى بْنُ عَطَاءٍ، عَنْ أَبِيهِ، عَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ قَالَ: رِضَا الرَّبِّ فِي رِضَا الْوَالِدِ، وَسَخَطُ الرَّبِّ فِي سَخَطِ الْوَالِدِ.,"ޢަބްދުﷲ ބިން ޢުމަރު ރަޟިޔަﷲ ޢަންހު ވިދާޅުވިއެވެ: ""ﷲގެ ރުއްސެވުން ވަނީ ބައްޕަ(އަދި މަންމަގެ) ރުހުމާއެކުގައެވެ. އަދި ﷲގެ ކޯފާއިސްކުރެއްވުން ވަނީ ބައްޕަ(އަދި މަންމަ)ގެ ނުރުހުމާއި އެކުގައެވެ.""",
الأدب المفرد، البخاري,3,حَدَّثَنَا أَبُو عَاصِمٍ، عَنْ بَهْزِ بْنِ حَكِيمٍ، عَنْ أَبِيهِ، عَنْ جَدِّهِ، قُلْتُ: يَا رَسُولَ اللَّهِ، مَنْ أَبَرُّ؟ قَالَ: «أُمَّكَ» ، قُلْتُ: مَنْ أَبَرُّ؟ قَالَ: «أُمَّكَ» ، قُلْتُ: مَنْ أَبَرُّ؟ قَالَ: «أُمَّكَ» ، قُلْتُ: مَنْ أَبَرُّ؟ قَالَ: «أَبَاكَ، ثُمَّ الْأَقْرَبَ فَالْأَقْرَبَ»,"ބަހްޒު ބިން ޙަކީމް އެކަލޭގެފާނުގެ ބައްޕާފުޅުގެ އަރިހުން އަދި އެކަލޭގެފާނުގެ ބައްޕާފުޅު އަދި އެކަލޭގެފާނުގެ ކާފާފުޅުގެ އަރިހުން ރިވާކުރައްވާފައިވެއެވެ. އެކަލޭގެފާނު ދެންނެވިއެވެ. އޭރަސޫލުﷲއެވެ. އެންމެ ބޮޑަށް ހެޔޮކޮށް ހިތާނީ ކާކަށްތޯއެވެ؟ ޙަދިޘްކުރެއްވިއެވެ: ""ތިބާގެ މަންމައެވެ."" ދެންނެވީމެވެ. އެންމެ ބޮޑަށް ހެޔޮކޮށް ހިތާނީ ކާކަށްތޯއެވެ؟ ޙަދީޘްކުރެއްވިއެވެ: ""ތިބާގެ މަންމައެވެ."" ދެންނެވީމެވެ. އެންމެ ބޮޑަށް ހެޔޮކޮށް ހިތާނީ ކާކަށްތޯއެވ؟. ޙަދިޘްކުރެއްވިއެވެ: ""ތިބާގެ މަންމައެވެ."" ދެންނެވީމެވެ. އެންމެ ބޮޑަށް ހެޔޮކޮށް ހިތާނީ ކާކަށްތޯއެވެ؟ ޙަދީޘްކުރެއްވިއެވެ: ""ތިބާގެ ބައްޕައެވެ. އެޔަށްފަހު އެންމެގާތް އެޔާޖެހުނު އަދި އެޔާޖެހުނު އެންމެ ގާތް މީހުންނެވެ.""",
الأدب المفرد، البخاري,4,حَدَّثَنَا سَعِيدُ بْنُ أَبِي مَرْيَمَ قَالَ: أَخْبَرَنَا مُحَمَّدُ بْنُ جَعْفَرِ بْنِ أَبِي كَثِيرٍ قَالَ: أَخْبَرَنِي زَيْدُ بْنُ أَسْلَمَ، عَنْ عَطَاءِ بْنِ يَسَارٍ، عَنِ ابْنِ عَبَّاسٍ، أَنَّهُ أَتَاهُ رَجُلٌ فَقَالَ: إِنِّي خَطَبْتُ امْرَأَةً، فَأَبَتْ أَنْ تَنْكِحَنِي، وَخَطَبَهَا غَيْرِي، فَأَحَبَّتْ أَنْ تَنْكِحَهُ، فَغِرْتُ عَلَيْهَا فَقَتَلْتُهَا، فَهَلْ لِي مِنْ تَوْبَةٍ؟ قَالَ: أُمُّكَ حَيَّةٌ؟ قَالَ: لَا، قَالَ: تُبْ إِلَى اللَّهِ عَزَّ وَجَلَّ، وَتَقَرَّبْ إِلَيْهِ مَا اسْتَطَعْتَ. فَذَهَبْتُ فَسَأَلْتُ ابْنَ عَبَّاسٍ: لِمَ سَأَلْتَهُ عَنْ حَيَاةِ أُمِّهِ؟ فَقَالَ: إِنِّي لَا أَعْلَمُ عَمَلًا أَقْرَبَ إِلَى اللَّهِ عَزَّ وَجَلَّ مِنْ بِرِّ الْوَالِدَةِ.,"އިބުނު ޢައްބާސް ރަޟިޔަﷲ ޢަންހުގެ އަރިހުން ރިވާވެގެންވެއެވެ. އެކަލޭގެފާނުގެ އަރިހަށް މީހަކު އައިސް ދެންނެވިއެވެ. ތިމަންނާ އަންހެނަކާ ކައިވެނިކުރަން އެދުނީމެވެ. އެއަންހެނާ ތިމަންނާއަށް ކައިވެނިކުރުމަށް ދެކޮޅު ހެދިއެވެ. އަދި ތިމަންނޫން އެހެން މީހެއް އެއަންހެނާގެ ކައިވެންޏަށް އެދުމުން، އެއަންހެނާ އޭނާއާ ކައިވެނިކުރުމަށް ރުހިއްޖެއެވެ. ދެން ތިމަންނާ އެކަމަށް ޣީރަތްތެރިވެގެން ގޮސް އެކަމަނާ ގަތުލުކޮށްފީމެވެ. ތިމަންނާއަށް ތައުބާއެއް ވޭ ހެއްޔެވެ؟ އިބުނު ޢައްބާސް ވިދާޅުވިއެވެ: ""ތިބާގެ މަންމަ ދިރި އެބަހުރި ހެއްޔެވެ؟"" އެމީހާ ބުންޏެވެ. ނޫނެކެވެ. އިބުނު ޢައްބާސް ވިދާޅުވިއެވެ: ""ﷲ ޢައްޒަ ވައްޖަލައަށް ތައުބާވާށެވެ. އަދި ތިބާއަށް ކުޅަދާނަވީ މިންވަރަކުން ﷲއަށް ކުއްތަންވާށެވެ."" (ޢަތާ ދެންނެވިއެވެ) ތިމަންކަލޭގެފާނު އިބުނު ޢައްބާސްގެ އަރިހަށް ގޮސް އޭނާގެ މަންމަ ދިރިހުރިތޯ ސުވާލުކުރީ ކީއްވެތޯ ސުވާލުކޮށްފީމެވެ. އެކަލޭގެފާނު ދެންނެވިއެވެ: ""ހަމަކަށަވަރުން މަންމައަށް ހެޔޮކޮށް ހިތުމަށްވުރެ ﷲ ޢައްޒަ ވަޖައްލައަށް ކުއްތަންވެވޭ އަޅުކަމެއް ތިމަންކަލޭގެފާނަކަށް އެނގިގެން ނުވެއެވެ.""",
الأدب المفرد، البخاري,5,حَدَّثَنَا سُلَيْمَانُ بْنُ حَرْبٍ قَالَ: حَدَّثَنَا وُهَيْبُ بْنُ خَالِدٍ، عَنِ ابْنِ شُبْرُمَةَ قَالَ: سَمِعْتُ أَبَا زُرْعَةَ، عَنْ أَبِي هُرَيْرَةَ قَالَ: قِيلَ: يَا رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، مَنْ أَبَرُّ؟ قَالَ: «أُمَّكَ» ، قَالَ: ثُمَّ مَنْ؟ قَالَ: «أُمَّكَ» ، قَالَ: ثُمَّ مَنْ؟ قَالَ: «أُمَّكَ» ، قَالَ: ثُمَّ مَنْ؟ قَالَ: «أَبَاكَ».,"އަބޫ ހުރައިރާ ރަޟިޔަﷲ ޢަންހުގެ ކިބައިން ރިވާވެގެންވެއެވެ. އެކަލޭގެފާނު ވިދާޅުވިއެވެ. ވިދާޅުވެވުނެވެ. އޭ ރަސޫލުﷲ ﷺ އެވެ. އެންމެ ހެޔޮކޮށް ހިތުންވަނީ ކާކަށްތޯއެވެ؟ ޙަދީޘްކުރެއްވިއެވެ: ތިބާގެ މަންމައަށެވެ."" އަދި ދެންނެވިއެވެ: ""އެޔަށްފަހު ކާކުތޯއެވެ؟"" ޙަދީޘްކުރެއްވިއެވެ: ""ތިބާގެ މަންމައެވެ."" އެޔަށްފަހު ވިދާޅުވިއެވެ. ދެން ކާކުތޯއެވެ؟ ޙަދިޘްކުރެއްވިއެވެ: ""ތިބާގެ މަންމައެވެ."" ވިދާޅުވިއެވެ. އެޔަށްފަހު ކާކުތޯއެވެ؟ ޙަދީޘްކުރެއްވިއެވެ: ""ތިބާގެ ބައްޕައެވެ.""",
الأدب المفرد، البخاري,6,حَدَّثَنَا بِشْرُ بْنُ مُحَمَّدٍ قَالَ: أَخْبَرَنَا عَبْدُ اللَّهِ قَالَ: أَخْبَرَنَا يَحْيَى بْنُ أَيُّوبَ قَالَ: حَدَّثَنَا أَبُو زُرْعَةَ، عَنْ أَبِي هُرَيْرَةَ، أَتَى رَجُلٌ نَبِيَّ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ فَقَالَ: مَا تَأْمُرُنِي؟ فَقَالَ: «بِرَّ أُمَّكَ» ، ثُمَّ عَادَ، فَقَالَ: «بِرَّ أُمَّكَ» ، ثُمَّ عَادَ، فَقَالَ: «بِرَّ أُمَّكَ» ، ثُمَّ عَادَ الرَّابِعَةَ، فَقَالَ: «بِرَّ أَبَاكَ»,"މާނައީ: އަބޫ ހުރައިރާ ރަޟިޔަﷲ ޢަންހުގެ ކިބައިން ރިވާވެގެންވެއެވެ. މީހަކު ރަސޫލުﷲ ﷺ ގެ އަރިހަށް އައިސް ދެންނެވިއެވެ. ތިމަންނާއަށް ކަލޭގެފާނު އަމުރުކުރައްވަނީ ކޮންކަމެއް ހެއްޔެވެ؟ ޙަދިޘްކުރެއްވިއެވެ: ""ތިބާގެ މަންމައަށް ހެޔޮކޮށް ހިތުމެވެ"". އެޔަށްފަހު އަނެއްކާވެސް އަހަފިއެވެ. ޙަދިޘްކުރެއްވިއެވެ: ""ތިބާގެ މަންމައަށް ހެޔޮކޮށް ހިތުމެވެ"" އަނެއްކާވެސް އަހައިފިއެވެ. ޙަދީޘްކުރެއްވިއެވެ: ""ތިބާގެ މަންމައަށް ހެޔޮކޮށް ހިތުމެވެ."" އަނެއްކާވެސް ހަތަރުވަނަ ފަހަރަށް އަހައިފިއެވެ. ޙަދިޘްކުރެއްވިއެވެ: ""ތިބާގެ ބައްޕައަށް ހެޔޮކޮށް ހިތުމެވެ.""",
الأدب المفرد، البخاري,7,"حَدَّثَنَا حَجَّاجٌ قَالَ: حَدَّثَنَا حَمَّادٌ هُوَ ابْنُ سَلَمَةَ، عَنْ سُلَيْمَانَ التَّيْمِيِّ، عَنْ سَعِيدٍ الْقَيْسِيِّ، عَنِ ابْنِ عَبَّاسٍ قَالَ: مَا مِنْ مُسْلِمٍ لَهُ وَالِدَانِ مُسْلِمَانِ يُصْبِحُ إِلَيْهِمَا مُحْتَسِبًا، إِلَّا فَتْحَ لَهُ اللَّهُ بَابَيْنِ - يَعْنِي: مِنَ الْجَنَّةِ - وَإِنْ كَانَ وَاحِدًا فَوَاحِدٌ، وَإِنْ أَغْضَبَ أَحَدَهُمَا لَمْ يَرْضَ اللَّهُ عَنْهُ حَتَّى يَرْضَى عَنْهُ ""، قِيلَ: وَإِنْ ظَلَمَاهُ؟ قَالَ: «وَإِنْ ظَلَمَاهُ».","މާނައީ: އިބުނު ޢައްބާސް ރަޟިޔަﷲ ޢަންހުގެ ކިބައިން ރިވާވެގެންވެއެވެ. އެކަލޭގެފާނު ވިދާޅުވިއެވެ. މުސްލިމަކު އޭނާގެ މުސްލިމް މަންމައާއި ބައްޕަވަނިކޮށް، އަޖުރަށް އުއްމީދުކޮށްގެން އެދެމީހުންނަށް ކިޔަމަންތެރިވެއްޖެނަމަ، ދެދޮރެއް ﷲ އެމީހަކަށް ހުޅުވައިދެއްވާނެއެވެ. އެބަހީ ސުވަރުގެއިންނެވެ. އެކަކު ނަމަ އެއްދޮރެވެ. އެއިން މީހަކު އޭނާދެކެ ރުޅިއައިސްފިނަމަ، ﷲ އެމީހެއް ދެކެ އެމީހާ ދެކެ ރުޅިއައި މީހާ ރުހިއްޖައުމަން ދާންދެން ނުރުއްސަވާ ހުއްޓެވެ."" ބުނެވުނެވެ. އެދެމީހުން އޭނާއަށް އަނިޔާވެރިވީ ކަމުގައިވިޔަސް ހެއްޔެވެ؟ އިބުނު ޢައްބާސް ވިދާޅުވިއެވެ: ""އަދި އެދެމީހުން އޭނާއަށް އަނިޔާވެރި ވީ ކަމުގައިވިޔަސް މެއެވެ"".",
الأدب المفرد، البخاري,8,حَدَّثَنَا مُسَدَّدٌ قَالَ: حَدَّثَنَا إِسْمَاعِيلُ بْنُ إِبْرَاهِيمَ قَالَ: حَدَّثَنَا زِيَادُ بْنُ مِخْرَاقٍ قَالَ: حَدَّثَنِي طَيْسَلَةُ بْنُ مَيَّاسٍ قَالَ: كُنْتُ مَعَ النَّجَدَاتِ، فَأَصَبْتُ ذُنُوبًا لَا أَرَاهَا إِلَّا مِنَ الْكَبَائِرِ، فَذَكَرْتُ ذَلِكَ لِابْنِ عُمَرَ قَالَ: مَا هِيَ؟ قُلْتُ: كَذَا وَكَذَا، قَالَ: لَيْسَتْ هَذِهِ مِنَ الْكَبَائِرِ، هُنَّ تِسْعٌ: الْإِشْرَاكُ بِاللَّهِ، وَقَتْلُ نَسَمَةٍ، وَالْفِرَارُ مِنَ الزَّحْفِ، وَقَذْفُ الْمُحْصَنَةِ، وَأَكْلُ الرِّبَا، وَأَكْلُ مَالِ الْيَتِيمِ، وَإِلْحَادٌ فِي الْمَسْجِدِ، وَالَّذِي يَسْتَسْخِرُ، وَبُكَاءُ الْوَالِدَيْنِ مِنَ الْعُقُوقِ. قَالَ لِي ابْنُ عُمَرَ: أَتَفْرَقُ النَّارَ، وَتُحِبُّ أَنْ تَدْخُلَ الْجَنَّةَ؟ قُلْتُ: إِي وَاللَّهِ، قَالَ: أَحَيٌّ وَالِدُكَ؟ قُلْتُ: عِنْدِي أُمِّي، قَالَ: فَوَاللَّهِ لَوْ أَلَنْتَ لَهَا الْكَلَامَ، وَأَطْعَمْتَهَا الطَّعَامَ، لَتَدْخُلَنَّ الْجَنَّةَ مَا اجْتَنَبْتَ الْكَبَائِرَ.,"ތައިސާލާ ބިން މައްޔާސްގެ ކިބައިން ރިވާވެގެންވެއެވެ. ""ތިމަންނާ ނަޖަދާތް(ޚަވާރިޖުންގެ ބަޔަކާއިއެކު) ވީމެވެ. އަދި ބޮޑެތި ފާފަކަމަށް މެނުވީ ތިމަންނާ ނުދެކޭ ފާފަތަކެއް ތިމަންނައަށް ކުރެވުނެވެ. އަދި އެވާހަކަ ތިމަންނާ އިބުނު ޢުމަރުއަށް ދެންނެވީމެވެ. އެކަލޭގެފާނު ވިދާޅުވިއެވެ: އެއީ ކޮންކަމެއް ހެއްޔެވެ؟ ތިމަންނާ ދެންނެވީމެވެ. މިޔަނި އެވެނި ކަމެކެވެ. އިބުނު ޢުމަރު ދެންނެވިއެވެ. ތިޔައީ ބޮޑުފާފައިގެ ތެރެއިން ހިމެނޭ ކަމެއްނޫނެވެ. ބޮޑެތި ފާފަތަކަކީ ނުވަކަމެކެވެ. ""(އެއީ) ﷲއަށް ޝިރުކުކުރުމާއި އަދި ނަފުސެއް ގަތުލުކުރުމާއި، ހަނގުރާމައިގެ މައިދާނުން ފުރަގަސްދީ ފިލުމާއި، އަދި ޢިއްފަތްތެރި އަންހެނަކަށް ޒިނޭގެ ތުހުމަތުކުރުމާއި، އަދި ރިބާ ކެއުމާއި، އަދި ޔަތީމުންގެ މުދާ ކެއުމާއި އަދި މިސްކިތުގައި ﷲ ނޫން ފަރާތަށް އަޅުކަން ކުރުމާއި(ނުވަތަ މިސްކިތުގައި ނުބައި އަމަލެއް ކުރުމާއި)، އަދި މަލާމާތް ކުރާ މީހާއާ، އަދި ނުބައިކޮށް ހިތުމުން އެމީހެއްގެ މައިންބަފައިން ރުއިމެވެ."" އަދި އިބުނު ޢުމަރު ރަޟިޔަﷲ ޢަންހު ތިމަންކަލޭގެފާނަށް ދެންނެވިއެވެ. ނަރަކަޔާ ދުރުވެ، އަދި ސުވަރުގެ ވަނުމަށް ތިބާ ލޯބިކުރަން ހެއްޔެވެ؟ ތިމަންނާ ދެންނެވީމެވެ. ﷲގަންދީފައި ބުނަމެވެ. އާނއެކެވެ. އިބުނު ޢުމަރު ދެންނެވިއެވެ: ""ތިބާގެ ބައްޕަ ދުނިޔޭގައި އެބަހުރި ހެއްޔެވެ؟"" ތިމަންނާ ދެންނެވީމެވެ. އަހަރެންގެ މަންމަ އެބަހުއްޓެވެ. އިބުނު ޢުމަރު ރަޟިޔަﷲ ޢަންހު ދެންނެވިއެވެ: ""ފަހެ ﷲ ގަންދީފައި ބުނަމެވެ. ތިބާ އެކަމަނާގެ މައްޗަށް މަޑުމައިތިރިކަމާއި އޯގާތެރިކަމާއެކު ބަސްބުނެ އަދި އެކަމަނާއަށް ކާންދީފިނަމަ، ބޮޑެތި ފާފަތަކުން ދުރުވެއްޖެނަމަ ސުވަރުގެ ވަދެވޭ ހުއްޓެވެ.""",
الأدب المفرد، البخاري,9,حَدَّثَنَا أَبُو نُعَيْمٍ قَالَ: حَدَّثَنَا سُفْيَانُ، عَنْ هِشَامِ بْنِ عُرْوَةَ، عَنْ أَبِيهِ قَالَ: {وَاخْفِضْ لَهُمَا جَنَاحَ الذُّلِّ مِنَ الرَّحْمَةِ} [الإسراء: 24] ، قَالَ: لَا تَمْتَنِعْ مِنْ شَيْءٍ أَحَبَّاهُ.,"ހިޝާމް ބިން ޢުރްވާ އެކަލޭގެފާނުގެ ބައްޕާފުޅުގެ ކިބައިން ރިވާ ކުރެއްވިއެވެ. އެކަލޭގެފާނު ވިދާޅުވިއެވެ. {وَاخْفِضْ لَهُمَا جَنَاحَ الذُّلِّ مِنَ الرَّحْمَةِ} [الإسراء: 24] މާނައީ: ""މައިންބަފައިންނަށްޓަކައި ރަޙުމަތުންވާ ނިކަމެތިކަމުގެ ފިޔަ އެދެމީހުންނަށް ތިޔަބައިމީހުން ތިރިކޮށްލާށެވެ.""އެކަލޭގެފާނު ވިދާޅުވިއެވެ. ""(އެބަހީ) އެދެމީހުން ލޯބިކުރާ ކަމެއް އެދެމީހުންނަށް މަނާނުކުރާށެވެ)",
الأدب المفرد، البخاري,10,حَدَّثَنَا قَبِيصَةُ قَالَ: حَدَّثَنَا سُفْيَانُ، عَنْ سُهَيْلِ بْنِ أَبِي صَالِحٍ، عَنْ أَبِيهِ، عَنْ أَبِي هُرَيْرَةَ، عَنِ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ قَالَ: «لَا يَجْزِي وَلَدٌ وَالِدَهُ، إِلَّا أَنْ يَجِدَهُ مَمْلُوكًا فَيَشْتَرِيَهُ فَيُعْتِقَهُ».,"އަބޫ ހުރައިރާ ރަޟިޔަﷲ ޢަންހުގެ ކިބައިން ރިވާވެގެންވެއެވެ. ނަބިއްޔާ ﷺ ޙަދީޘްކުރެއްވިއެވެ: ""ދަރިޔަކަށް އޭނާގެ ބައްޕަ(އަދި މަންމައަށް އެމީހުންގެ އަމަލުގެ) ބަދަލު ނުދެވޭ ހުއްޓެވެ. އެއީ އެމީހުން އަޅެއްކަމުގައި ވަނިކޮށް ގަނެ މިނިވަންކޮށްފިކަމުގައި ވާނަމަ މެނުވީއެވެ.""",
