source,#,bodyAR,bodyDV,takhrij
مسند أحمد,170,حَدَّثَنَا سُفْيَانُ، عَنْ يَحْيَى، عَنْ مُحَمَّدِ بْنِ إِبْرَاهِيمَ التَّيْمِيِّ، عَنْ عَلْقَمَةَ بْنِ وَقَّاصٍ قَالَ: سَمِعْتُ عُمَرَ يَقُولُ: سَمِعْتُ رَسُولَ اللهِ ﷺ يَقُولُ: إِنَّمَا الْأَعْمَالُ بِالنِّيَّةِ، وَلِكُلِّ امْرِئٍ مَا نَوَى، فَمَنْ كَانَتْ هِجْرَتُهُ إِلَى اللهِ عَزَّ وَجَلَّ فَهِجْرَتُهُ إِلَى مَا هَاجَرَ إِلَيْهِ، وَمَنْ كَانَتْ هِجْرَتُهُ لِدُنْيَا يُصِيبُهَا، أَوِ امْرَأَةٍ يَنْكِحُهَا، فَهِجْرَتُهُ إِلَى مَا هَاجَرَ إِلَيْهِ.,ޢުމަރު ބިން އަލްޚައްޠާބު ރިވާ ކުރެއްވިއެވެ: ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރައްވަނިކޮށް ތިމަން އަޑު އެހީމެވެ: ”ނިޔަތުގެ މައްޗަށް މެނުވީ އަމަލުތައް ބިނާ ވެގެނެއް ނުވެއެވެ. އަދި ކޮންމެ މީހަކަށް ވަނީ، ހަމައެކަނި އެ މީހަކު ނިޔަތް ގަތް ކަމެކެވެ. ވީމާ، މީހަކު ހިޖުރަ ކުރީ ﷲ ޢައްޒަ ވަޖައްލާއި އެ އިލާހުގެ ރަސޫލާއަށްޓަކައި ނަމަ، ފަހެ އެ މީހެއްގެ ހިޖުރަ ވަނީ، އޭނާ އެ ހިޖުރަ ކުރި ކަމަކަށެވެ. އަދި މީހަކު ހިޖުރަ ކުރީ ދުނިޔެ ހޯދުމަށް ނުވަތަ އަންހެނަކާ އިނުމަށް ކަމުގައި ވަނީ ނަމަ، ފަހެ އެ މީހެއްގެ ހިޖުރަ ވަނީ، އޭނާ އެ ހިޖުރަ ކުރި ކަމަކަށެވެ.“,b1
مسند أحمد,177,وَلَا يَخْلُوَنَّ رَجُلٌ بِامْرَأَةٍ فَإِنَّ ثَالِثَهُمَا الشَّيْطَانُ,އަދި ފިރެހެނަކު އަންހެނަކާ އެކީ އެކަހެރި ނުވާހުށިކަމެވެ. ފަހެ ހަމަކަށަވަރުން އެދެމީހުންގެ ތިންވަނަ ފަރާތަކީ ޝައިތާނާއެވެ.,
مسند أحمد,205,أَخْبَرَنَا عَبْدُ اللهِ بْنُ يَزِيدَ قَالَ: ثَنَا حَيْوَةُ بْنُ شُرَيْحٍ، قَالَ: أَخْبَرَنِي بَكْرُ بْنُ عَمْرٍو أَنَّهُ سَمِعَ عَبْدَ اللهِ بْنَ هُبَيْرَةَ أَنَّهُ سَمِعَ أَبَا تَمِيمٍ الْجَيْشَانِيَّ يَقُولُ: إِنَّهُ سَمِعَ عُمَرَ بْنَ الْخَطَّابِ يَقُولُ: إِنَّهُ سَمِعَ رَسُولَ اللهِ ﷺ يَقُولُ: لَوْ أَنَّكُمْ تَوَكَّلُونَ عَلَى اللهِ حَقَّ تَوَكُّلِهِ لَرَزَقَكُمْ كَمَا يَرْزُقُ الطَّيْرَ تَغْدُو خِمَاصًا وَتَرُوحُ بِطَانًا.,ޢުމަރު ބިން އަލްޚައްޠާބު رَضِيَ اللَّهُ عَنْهُ ރިވާ ކުރެއްވިއެވެ: ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރައްވަނިކޮށް ތިމަން އަޑުއެހީމެވެ: ”ﷲ އާ ވަކީލު ކުރަން ޖެހޭ ޙައްގު ގޮތުގައި ތިޔަބައިމީހުން އެ އިލާހާ ވަކީލު ކުރާ ނަމަ، ﷲ ދޫނިތަކަށް ރިޒުގު ދެއްވާ ފަދައިން އެ އިލާހު ތިޔަބައިމީހުންނަށް ވެސް ރިޒުގު ދެއްވާނެކަން ކަށަވަރެވެ. ހެނދުނު ހެނދުނާ އެ ދޫނިތައް ނުކުމެގެން ދަނީ ހުސް ބަނޑާއެވެ. އަދި ހަވީރު އެނބުރި އަންނަނީ ބަނޑު ފުރައިގެންނެވެ.“,
مسند أحمد,205,أَخْبَرَنَا عَبْدُ اللهِ بْنُ يَزِيدَ قَالَ: ثَنَا حَيْوَةُ بْنُ شُرَيْحٍ، قَالَ: أَخْبَرَنِي بَكْرُ بْنُ عَمْرٍو أَنَّهُ سَمِعَ عَبْدَ اللهِ بْنَ هُبَيْرَةَ أَنَّهُ سَمِعَ أَبَا تَمِيمٍ الْجَيْشَانِيَّ يَقُولُ: إِنَّهُ سَمِعَ عُمَرَ بْنَ الْخَطَّابِ يَقُولُ: إِنَّهُ سَمِعَ رَسُولَ اللهِ ﷺ يَقُولُ: لَوْ أَنَّكُمْ تَوَكَّلُونَ عَلَى اللهِ حَقَّ تَوَكُّلِهِ لَرَزَقَكُمْ كَمَا يَرْزُقُ الطَّيْرَ تَغْدُو خِمَاصًا وَتَرُوحُ بِطَانًا.,ޢުމަރު ބިން އަލްޚައްޠާބު رَضِيَ اللَّهُ عَنْهُ ރިވާ ކުރެއްވިއެވެ: ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރައްވަނިކޮށް ތިމަން އަޑުއެހީމެވެ: ”ﷲ އާ ވަކީލު ކުރަން ޖެހޭ ޙައްގު ގޮތުގައި ތިޔަބައިމީހުން އެ އިލާހާ ވަކީލު ކުރާ ނަމަ، ﷲ ދޫނިތަކަށް ރިޒުގު ދެއްވާ ފަދައިން އެ އިލާހު ތިޔަބައިމީހުންނަށް ވެސް ރިޒުގު ދެއްވާނެކަން ކަށަވަރެވެ. ހެނދުނު ހެނދުނާ އެ ދޫނިތައް ނުކުމެގެން ދަނީ ހުސް ބަނޑާއެވެ. އަދި ހަވީރު އެނބުރި އަންނަނީ ބަނޑު ފުރައިގެންނެވެ.“,
مسند أحمد,306,"حَدَّثَنَا يَزِيدُ، أَخْبَرَنَا يَحْيَى بْنُ سَعِيدٍ أَنَّ مُحَمَّدَ بْنَ إِبْرَاهِيمَ أَخْبَرَهُ أَنَّهُ سَمِعَ عَلْقَمَةَ بْنَ وَقَّاصٍ اللَّيْثِيَّ يَقُولُ:
إِنَّهُ سَمِعَ عُمَرَ بْنَ الْخَطَّابِ وَهُوَ يَخْطُبُ النَّاسَ وَهُوَ يَقُولُ: سَمِعْتُ رَسُولَ اللهِ ﷺ يَقُولُ: إِنَّمَا الْعَمَلُ بِالنِّيَّةِ، وَإِنَّمَا لِامْرِئٍ مَا نَوَى فَمَنْ كَانَتْ هِجْرَتُهُ إِلَى اللهِ وَإِلَى رَسُولِهِ، فَهِجْرَتُهُ إِلَى اللهِ وَإِلَى رَسُولِهِ، وَمَنْ كَانَتْ هِجْرَتُهُ لِدُنْيَا يُصِيبُهَا، أَوِ امْرَأَةٍ يَتَزَوَّجُهَا فَهِجْرَتُهُ إِلَى مَا هَاجَرَ إِلَيْهِ.",ޢުމަރު ބިން އަލްޚައްޠާބު މީސްތަކުންނަށް ޚުތުބާ ދެއްވަމުން ރިވާ ކުރެއްވިއެވެ: ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރައްވަނިކޮށް ތިމަން އަޑު އެހީމެވެ: ”ނިޔަތުގެ މައްޗަށް މެނުވީ އަމަލު ބިނާ ވެގެނެއް ނުވެއެވެ. އަދި މީހަކަށް ވަނީ، ހަމައެކަނި އެ މީހަކު ނިޔަތް ގަތް ކަމެކެވެ. ވީމާ، މީހަކު ހިޖުރަ ކުރީ ﷲ އަށް އަދި އެ އިލާހުގެ ރަސޫލާއަށްޓަކައި ނަމަ، ފަހެ އޭނާގެ ހިޖުރަ ވަނީ ﷲ އަށް އަދި އެ އިލާހުގެ ރަސޫލާއަށެވެ. އަދި މީހަކު ހިޖުރަ ކުރީ ދުނިޔެ ހޯދުމަށް ނުވަތަ އަންހެނަކާ އިނުމަށް ކަމުގައި ވަނީ ނަމަ، ފަހެ އެ މީހެއްގެ ހިޖުރަ ވަނީ، އޭނާ އެ ހިޖުރަ ކުރި ކަމަކަށެވެ.“,b1
مسند أحمد,452,(اللَّهُمَّ إِنِّي عَبْدُكَ ابْنُ عَبْدِكَ ابْنُ أَمَتِكَ، نَاصِيَتِي بِيَدِكَ، مَاضٍ فِيَّ حُكْمُكَ، عَدْلٌ فِيَّ قَضَاؤُكَ، أَسْأَلُكَ بِكُلِّ اسْمٍ هُوَ لَكَ سَمَّيْتَ بِهِ نَفْسَكَ، أَوْ أَنْزَلْتَهُ فِي كِتَابِكَ، أَوْ عَلَّمْتَهُ أَحَدًا مِنْ خَلْقِكَ، أَوِ اسْتَأْثَرْتَ بِهِ فِي عِلْمِ الْغَيْبِ عِنْدَكَ، أَنْ تَجْعَلَ الْقُرْآنَ رَبِيعَ قَلْبِي، وَنُورَ صَدْرِي، وَجَلَاءَ حُزْنِي، وَذَهَابَ هَمِّي,އޭ الله! ހަމަކަށަވަރުން މިއަޅާއީ އިބަ اللهގެ އަޅަކީމެވެ. އިބަﷲގެ އަޅުފިރިހެނާގެ ދަރިޔަކީމެވެ. އިބަﷲގެ އަޅުއަންހެނާގެ ދަރިޔަކީމެވެ. މިއަޅާގެ ލަގަން ވަނީ އިބަﷲގެ އަތްޕުޅުގައެވެ. (އެބަހީ މިއަޅާގެ ފުރިހަމަ ކޮންޓްރޯލުވަނީ އިބަﷲގެ އަތްޕުޅުގައެވެ.) އިބަﷲގެ ޙުކުމްފުޅު މިއަޅާގެ މައްޗަށް ތަންފީޛުވެގެންވެއެވެ. އިބަﷲގެ ނިންމެވުން މިއަޅާއާމެދު ޢަދުލުވެރިވެގެންވެއެވެ. އިބަﷲގެ ޛާތުފުޅަށް އިބަﷲ ދެއްވާފައިވާ ނުވަތަ އިބަﷲގެ ފޮތުގައި އިބަﷲ ބާވައިލައްވާފައިވާ ނުވަތަ އިބަﷲގެ ޚަލްގުތަކުގެ ތެރެއިން އެއްވެސް މީހަކަށް އިބަﷲ އުނގަންނަވައިދެއްވާފައިވާ ނުވަތަ އިބަﷲގެ ޙަޟުރަތުން ޣައިބުގެ ޢިލްމުގައި އިބަﷲ ޚާއްޞަކުރައްވާފައިވާ އިބަﷲގެ ޛާތުފުޅަށް ނިސްބަތްވެގެންވާ ހުރިހައި އިސްމުފުޅެއް މެދުވެރިކޮށް، މިއަޅާގެ ހިތުގެ ބަހާރު ކަމުގައްޔާއި، މިއަޅާގެ ހިތުގެ ނޫރު ކަމުގައްޔާއި، މިއަޅާގެ ހިތާމަ ފިލުވައިދޭ އަދި މިއަޅާގެ ކަންބޮޑުވުން ދުރުކޮށްދޭ އެއްޗެއް ކަމުގައި ގުރުއާން ލައްވައިދެއްވުމަށް އެދި އިބަﷲގެ ޙަޟުރަތުން ދަންނަވަމެވެ.,
مسند أحمد,758,""" لَا يُؤْمِنُ عَبْدٌ حَتَّى يُؤْمِنَ بِأَرْبَعٍ: حَتَّى يَشْهَدَ أَنْ لَا إِلَهَ إِلا اللَّهُ، وَأَنِّي رَسُولُ اللَّهِ، بَعَثَنِي بِالْحَقِّ، وَحَتَّى يُؤْمِنَ بِالْبَعْثِ بَعْدَ الْمَوْتِ، وَحَتَّى يُؤْمِنَ بِالْقَدَرِ ""","""ހަތަރުކަމަކަށް އީމާންނުވާ މީހާގެ އީމާންކަން ފުރިހަމަނުވާހުއްޓެވެ. ﷲ ފިޔަވައި އެހެން އިލާހަކު ނުވާކަމަށް ހެކިވުމާއި، ހަމަކަށަވަރުން ތިމަންކަލޭގެފާނީ ﷲ ޙައްގު ގޮތުގައި ފޮނުއްވި ރަސޫލެއްކަމަށް ހެކިވުމާއި، މަރުވުމަށްފަހު ދިރުއްވާނެކަމަށް އީމާންވުމާއި އަދި ގަދަރަށް އީމާންވުމެވެ.""",
مسند أحمد,1140,مَا تَنْظُرُونَ ! إِنْ أَشْرَبْ قَائِمًا فَقَدْ رَأَيْتُ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَشْرَبُ قَائِمًا ، وَإِنْ أَشْرَبْ قَاعِدًا فَقَدْ رَأَيْتُ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَشْرَبُ قَاعِدًا,ހަމަކަށަވަރުން ޢަލީގެފާނު ކޮޅަށްހުންނަވައި ފެންފޮދު ހިއްޕެއްވިއެވެ. ދެންފަހެ ބަޔަކުމީހުން އެކަންތައް މަނާކުރާފަދަ ނަޒަރަކުން އެކަލޭގެފާނާއި ދިމާލަށް ބެއްލެވިއެވެ. ފަހެ އެކަލޭގެފާނު ވިދާޅުވިއެވެ. ތިޔަބައިމީހުން ތިޔަ ބައްލަވަނީ ކޮންފަދައަކުންތޯއެވެ؟ ތިޔަބައިމީހުން ތިޔަ ބައްލަވަނީ ތިމަންކަލޭގެފާނު ކޮޅަށްހުރެ ފެންފޮދު ހިއްޕެވީތީކަމުގައިވަނީނަމަ، ފަހެ ހަމަކަށަވަރުން ނަބިއްޔާ ﷺ ކޮޅަށްހުންވައި ފެންފޮދުހިއްޕެވީތީ ތިމަންކަލޭގެފާނު ދެކެވަޑައިގަތީމެވެ. އަދި ތިޔަބައިމީހުން ތިޔަ ބައްލަވަނީ ތިމަންކަލޭގެފާނު އިށީނދެއިނދެ ފެންފޮދު ހިއްޕެވީތީކަމުގައިވަނީނަމަ، ފަހެ ހަމަކަށަވަރުން ނަބިއްޔާ ﷺ އިށީނދެއިންނަވައި ފެންފޮދުހިއްޕެވީތީ ތިމަންކަލޭގެފާނު ދެކެވަޑައިގަތީމެވެ.,
مسند أحمد,2035,حَدَّثَنَا عَبْدُ الصَّمَدِ ، حَدَّثَنَا جَرِيرُ بْنُ حَازِمٍ ، حَدَّثَنَا عَبْدُ الْمَلِكِ بْنُ عُمَيْرٍ ، عَنْ حُصَيْنِ بْنِ أَبِي الْحُرِّ ، عَنْ سَمُرَةَ بْنِ جُنْدُبٍ قَالَ : رَأَيْتُ رَسُولَ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ وَهُوَ يَحْتَجِمُ بِقَرْنٍ ، وَهُوَ يُشْرَطُ بِطَرَفِ سِكِّينٍ ، فَدَخَلَ رَجُلٌ مِنْ شَمْخٍ ، فَقَالَ لَهُ : لِمَ تُمَكِّنُ ظَهْرَكَ أَوْ عُنُقَكَ مِنْ هَذَا يَفْعَلُ بِهَا مَا أَرَى ؟ فَقَالَ : هَذَا الْحَجْمُ ، وَهُوَ مِنْ خَيْرِ مَا تَدَاوَيْتُمْ بِهِ .,"ސަމުރާ ބިން ޖުންދުބް ރިވާ ކުރެއްވިއެވެ: (ޖަނަވާރެއްގެ) ދަޅެއް ބޭނުންކޮށްގެން ރަސޫލު ﷲ ﷺ އަށް ހިޖާމާ ޖެއްސެވުނު ތަން ތިމަން ދުށީމެވެ. އަދި ނަބިއްޔާގެ ހަށިކޮޅުގައި ކެނޑުންވީ ވަޅިއެއްގެ ކޮޅު ބޭނުންކޮށްގެންނެވެ. ދެން ޝަމްޚުން އައި ފިރިހެނަކު ވަދެ ނަބިއްޔާއަށް ދެންނެވިއެވެ: އިބަ ނަބިއްޔާގެ ބުރަކަށިފުޅު ނުވަތަ ކަރުފުޅުގައި ތިމަންނައަށް މި ފެންނަ ކަންތައް ކުރަން ދެއްވަނީ ކީއްވެގެންތޯއެވެ؟ ނަބިއްޔާ ޙަދީޘް ކުރެއްވިއެވެ:""މިއީ ޙިޖާމާއެވެ. އަދި މިއީ ތިޔަބައިމީހުން ފަރުވާ ކުރުމަށް ބޭނުން ކުރާ އެންމެ ރަނގަޅު ތަކެތީގައި ހިމެނޭ ކަމެކެވެ.""",
مسند أحمد,2138,حَدَّثَنِي يَزِيدُ قَالَ : أَخْبَرَنَا مُحَمَّدُ بْنُ إِسْحَاقَ ، عَنْ دَاوُدَ بْنِ الْحُصَيْنِ ، عَنْ عِكْرِمَةَ ، عَنِ ابْنِ عَبَّاسٍ قَالَ : قِيلَ لِرَسُولِ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ : أَيُّ الْأَدْيَانِ أَحَبُّ إِلَى اللهِ ؟ قَالَ : الْحَنِيفِيَّةُ السَّمْحَةُ .,"ޢިބްނު ޢައްބާސް رضي الله عنهما ގެ އަރިހުން ރިވާވެގެންވެއެވެ. (قِيلَ لِرَسُولِ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: أَيُّ الْأَدْيَانِ أَحَبُّ إِلَى اللهِ؟ قَالَ:""الْحَنِيفِيَّةُ السَّمْحَةُ"") މާނައީ: ""ﷲ ގެ ރަސޫލާ ؛ އަށް ދެންނެވުނެވެ: 'ދީންތަކުގެ ތެރެއިން ﷲ އަށް އެންމެ ލޮބުވެތިކަން ބޮޑުވެގެންވަނީ ކޮން ދީނެއްތޯއެވެ؟' ޙަދީޘްކުރެއްވިއެވެ: 'ފަސޭހަވެގެންވާ ޙަނީފިއްޔަތެވެ.' رواه أحمد في المسند: 2107.",
