source,#,bodyAR,bodyDV,takhrij
سنن أبي داود,83,"هُوَ الطَّهُورُ مَاؤُهُ الْحِلُّ مَيْتَتُهُ""","""ކަނޑަކީ އެތާނގެ ފެންޠާހިރު އަދި އެތާނގެ މުޅަތަކެތި ޙަލާލު ކުރެވިފައިވާ ތަނެކެވެ.""",
سنن أبي داود,219,أنَّ النبيَّ صلَّى اللهُ عليهِ وسلَّمَ طاف ذات يومٍ على نسائِه يغتسلُ عند هذه وعند هذه قال قلتُ له يا رسولَ اللهِ ألا تجعلُه غسلًا واحدًا قال هذا أزكى وأطيبُ وأطهرُ,ހަމަކަށަވަރުން ނަބިއްޔާ صلى الله عليه و سلم އެއްދުވަހެއްގައި އެކަލޭގެފާނުގެ އަނބިއަނބިކަނބަލުންގެ އަރިހުގައި އެއްދާންކޮށް، ކޮންމެ އަނބިކަނބަލެއްގެ ގެކޮޅުގައި ހިނައިވަޑައިގަންނަވަމުން ގެންދެވިއެވެ. އަބޫ ރާފިޢު ވިދާޅުވިއެވެ. ފަހެ ތިމަން އެކަލޭގެފާނަށް ދެންނެވީމެވެ. އޭ ﷲގެ ރަސޫލާއެވެ! ހުރިހާ ހިނައިގަތުމެއް އެއް ހިނައިގަތުމަކަށް ނަހައްދަވަނީ ކީއްވެގެންތޯއެވެ؟ އެކަލޭގެފާނު ޙަދީޘްކުރެއްވިއެވެ. ” މިގޮތް މޮޅުއިތުރުވެފައި، ރިވެތިވެ، ޠާހިރުކަން ބޮޑުވެގެންވެއެވެ.,
سنن أبي داود,228,كان رسولُ اللهِ صلَّى اللهُ عليْهِ وسلَّمَ ينامُ وهوَ جنبٌ من غيرِ أن يمسَّ ماءً,ފެނުގައި ބީހުމެއްނެތި (ވުޟޫ އަދި ހިނައިގަތުމަކާއި ނުލާ) ޖުނުބުވެރި ހާލުގައި ރަސޫލުﷲ ﷺ އަވަހާރަފުޅުލައްޕަވައެވެ. އެއަށްފަހު ހޭފުޅުލައްވައި ހިނައިވަޑައިގަންނަވައެވެ.,
سنن أبي داود,258,أن اليهود كانت إذا حاضت منهم المرأة أخرجوها من البيت ولم يؤاكلوها ولم يشاربوها ولم يجامعوها في البيت فسئل رسول اللهِ ﷺ عن ذلك فأنزل الله سبحانه ( ويسألونك عن المحيض قل هو أذى فاعتزلوا النساء في المحيض ) إلى آخر الآية فقال رسول اللهِ ﷺ جامعوهن في البيوت واصنعوا كل شيء غير النكاح فقالت اليهود ما يريد هذا الرجل أن يدع شيئا من أمرنا إلا خالفنا فيه فجاء أسيد بن حضير وعبًاد بن بشر إلى النبي ﷺ فقالا يا رسول اللهِ إن اليهود تقول كذا وكذا أفلا ننكحهن في المحيض فتمعر وجه رسول اللهِ ﷺ حتى ظننا أن قد وجد عليهما فخرجا فاستقبلتهما هدية من لبن إلى رسول اللهِ ﷺ فبعث في آثارهما فسقاهما فظننا أنه لم يجد عليهما,ހަމަކަށަވަރުން ޔަހޫދީން، އެބައިމީހުންގެ ތެރެއިން އަންހެނަކު ޙައިޟުވެއްޖެކަމުގައި ވަނީނަމަ އޭނާ ގެއިން ނެރެލައެވެ. އަދި އޭނާއާ އެކީ ކެއިންބުއިމުން ދުރުވެއެވެ. އަދި އޭނާއާއި ގޭތެރޭގައި އެކުވެނޫޅެއެވެ. ފަހެ މިކަމާއި ބެހޭގޮތުން ރަސޫލﷲ صلى الله عليه و سلم އާއި ސުވާލުކުރެވުނެވެ. ދެން ﷲ ތަޢާލާ އެކަމާއި ބެހޭގޮތުން ވަހީ ބާވައިލެއްވިއެވެ. ( وَيَسْأَلُونَكَ عَنِ الْمَحِيضِ ۖ قُلْ هُوَ أَذًى فَاعْتَزِلُوا النِّسَاءَ فِي الْمَحِيضِ ۖ وَلَا تَقْرَبُوهُنَّ حَتَّىٰ يَطْهُرْنَ ۖفَإِذَا تَطَهَّرْنَ فَأْتُوهُنَّ مِنْ حَيْثُ أَمَرَكُمُ اللَّـهُ ۚ إِنَّ اللَّـهَ يُحِبُّ التَّوَّابِينَ وَيُحِبُّ الْمُتَطَهِّرِينَ ) سورة البقرة 222 މާނައީ: ” އަދި ޙައިޟާމެދު، ކަލޭގެފާނާ އެއުރެން ސުވާލުކުރެތެވެ. ކަލޭގެފާނު ވިދާޅުވާށެވެ! އެއީ އުނދަގޫ (ލިބެނިވި) ކަމެކެވެ. ފަހެ، ޙައިޟުގެ ދުވަސްވަރުގައި ތިޔަބައިމީހުން އަންހެނުންނާ ދުރުހެލިވާށެވެ! (އެބަހީ: ޖިމާޢުނުވާށެވެ!) އަދި އެކަނބަލުން ޙައިޟުގެކަންތައް ނިމި ޠާހިރު ވެއްޖައުމަށްދާނދެން ތިޔަބައިމީހުން އެކަނބަލުންނާ ގާތްނުވާށެވެ! ފަހެ އެކަނބަލުން ހިނައި ޠާހިރުވެއްޖެނަމަ، ﷲ ތިޔަބައިމީހުންނަށް އަމުރުކުރައްވާފައިވާ ފަދައިން އެކަނބަލުން ގާތަށް ތިޔަބައިމީހުން ދާށެވެ! (އެބަހީ: ޖިމާޢުވުން ހުއްދައެވެ.) ހަމަކަށަވަރުން، ގިނަގިނައިން ތައުބާވާ މީހުންދެކެ ﷲ ލޯބިވެ ވޮޑިގެންވެއެވެ. އަދި ޠާހިރުވާ މީހުން ދެކެވެސް އެކަލާނގެ ލޯބިވެވޮޑިގެންވެއެވެ. “ ފަހެ އެކަލޭގެފާނު ވިދާޅުވިއެވެ. އަނބިންނާއެކީ ގެތަކުގައި އެކުވެ އުޅޭށެވެ. އަދި ޖިމާޢުވުން ފިޔަވައި ހުރިހާކަމެއް ކުރާށެވެ. ފަހެ ޔަހޫދީން ބުންޏެވެ. ” އަހަރެމެންކުރާ އެއްވެސްކަމެއް، އެކަމަކާ ޚިލާފުނުވެ ދޫކޮށްލާކަށް މި ކަލޭގެފާނު ބޭނުންފުޅުނުވެއެވެ. ފަހެ އުސައިދު ބުން ޙުޟައިރާއި ޢައްބާދު ބުން ބިޝްރު ނަބިއްޔާ صلى الله عليه و سلم ގެ އަރިހަށް ވަޑައިގެން ވިދާޅުވިއެވެ. އޭ ﷲގެ ރަސޫލާއެވެ! ހަމަކަށަވަރުން ޔަހޫދީން އެވެނި މިވެނި އެއްޗެއް އެބަބުނެއެވެ. ފަހެ ޙައިޟުގެ ދުވަސްވަރުގައި އަނބިންނާއެކީ ތިމަންބޭކަލުން ޖިމާޢު ނުވާންވީހެއްޔެވެ؟ ހަމަކަށަވަރުން އެކަލޭގެފާނު އެދެބޭކަލުންނަށް ކޯފާއިސްކުރެއްވީކަމަށް ތިމަންބޭކަލުންނަށް ހީވާމިންވަރަށް ފަހެ އެކަލޭގެފާނުގެ މޫނުފުޅުގެ ކުލަ ތަޣައްޔަރުވިއެވެ. ފަހެ އެދެބޭކަލުން ނުކުވެވަޑައިގަތެވެ. އެހިނދު ރަސޫލުﷲ صلى الله عليه و سلم އަށް ހަދިޔާއެއްގެ ގޮތުގައި ކިރު ގެނެވުނެވެ. ދެން އެދެބޭކަލުން ވީތަނެއް ހޯއްދަވައި ގެންނެވައި އެކިރުން ބޯންދެއްވިއެވެ. ދެންފަހެ އެކަލޭގެފާނު އެދެބޭކަލުންނަށް ކޯފާއިސްނުކުރައްވާކަމުގައި ތިމަންބޭކަލުންނަށް ޔަގީންވިއެވެ.,
سنن أبي داود,268,ان رَسولُ اللهِ صلَّى اللهُ عليه وسلَّم يأمُرُ إحدانا إذا كانت حائِضًا أن تتَّزِرَ ثمَّ يُضاجِعُها زَوجُها. وقال مَرَّةً: يُباشِرُها,އެކަމަނާ ވިދާޅުވިއެވެ. ތިމަންބޭކަނބަލުންގެ ތެރެއިން ބޭކަނބަލަކު ޙައިޟުގެ ހާލުގައި ވަނީނަމަ އުނަގަނޑުން ތިރީގައި ފޮތިގަނޑެއް އަނުމަށް ރަސޫލުﷲ صلى الله عليه و سلم އަމުރުކުރައްވާކަމުގައި ވިއެވެ. އެއްއަށްފަހު އެބޭކަނބަލަކާއެކީ އަވަހާރަފުޅުލައްޕަވައެވެ. އެހެން ރިވާޔަތެއްގައި އެކަމަނާ ވިދާޅުވެފައިވެއެވެ. (އެއަށްފަހު) އެބޭކަނބަލަކާއެކީ ލޯބިކުރައްވައެވެ.,
سنن أبي داود,272,أنَّ النَّبيَّ صلَّى اللَّهُ عليهِ وسلَّمَ كانَ إذا أرادَ منَ الحائضِ شيئًا ألقى على فَرجِها ثوبًا,ހަމަކަށަވަރުން ރަސޫލުﷲ صلى الله عليه و سلم ހަޢިޟުވެރިވެފައިވާ އަނބިކަނބަލެއްގެ ކިބައިން ކަމެއް ބޭނުންވެއްޖެ ހިނދެއްގައި (އެބަހީ: ލޯބިކުރައްވަން އެދިވަޑައިގެންފި ހިނދެއްގައި) އެކަނބަލެއްގެ ޢައުރަ ގުނަވަން ފޮތިކޮޅަކުން ނިވާކުރައްވައެވެ. އެއަށްފަހު އެކަލޭގެފާނު އެދިވަޑައިގަންނަވާކަންތައް ކުރައްވައެވެ. (އެބަހީ: ލޯބިކުރައްވައެވެ.),
سنن أبي داود,345,من غسَّلَ يومَ الجمعةِ واغتسلَ ثمَّ بَكَّرَ وابتَكرَ ومشى ولم يرْكب ودنا منَ الإمامِ فاستمعَ ولم يلغُ كانَ لَهُ بِكلِّ خطوةٍ عملُ سنةٍ أجرُ صيامِها وقيامِها,أوس بن أوس رضي الله عنه ވިދާޅުވެފައި ވެއެވެ. ތިމަންނަ ރަސޫލާ صلى الله عليه و سلم ޙަދީޘްފުޅު ކުރައްވަނިކޮށް އަޑުއެއްސެވީމެވެ. “ހުކުރު ދުވަހުގައި މީހަކު ހިނައިގަނެ، އެ ހިނައިގަތުން ފުރިހަމަ ހިނެއިގަތުމެއްގައި ހަދައި، އެދުވަހުގައި ވީހާވެސް ކުރިން މިސްކިތައް ގޮސް، އަދި އޭނާ އެދުވަހުގައި ހުކުރުނަމާދަށް ދިޔައީ ހިނގާފަ، އެއްވެސް ސަވާރީއަކަށް ނާރައެވެ. އަދި މިސްކިތުގައި އިމާމާއި ވީހާވެސް ކައިރިއަށް ޖެހި އެގޮތުގައި ގާއިމްވެ އިދެ، އިމާމްގެ ޚުޠުބާއަށް އަޑުއެހުމުގައި ދެމިހުރެ އިތުރު އެއްވެސް ބޭކާރު ކަމެއް ނުކުރެއެވެ. އޭނާއަށް ޘަވާބުގެ ގޮތުގައި އެ ނަމާދަށް ދިއުމަށްޓަކައި އެޅި ކޮންމެ ފިޔަވަޅަކަށް އެއް އަހަރުގެ ޘަވާބުވެއެވެ. އެއީ ކޮންމެ ފިޔަވަޅަކަށް އެއްއަހަރުގެ ރޯދައާއި އެއްއަހަރުގެ ނަމާދު ގާއިމްކުރުމުގެ އަޖުރެވެ.”,
سنن أبي داود,354,مَن تَوضَّأَ يَومَ الجُمُعةِ فبِها ونِعمَتْ، ومَنِ اغتَسَلَ فهو أفضَلُ.,ހުކުރު ދުވަހު (ހުކުރު ނަމާދަށް) ވުޟޫކޮށްފި މީހަކަށް އެކަން ފުދިގެންވެއެވެ. އަދި ހިނައިގެންފި މިހާ ދަންނާށެވެ. ފަހެ ހިނައިގަތުން އިތުރުކަން ބޮޑުވެގެންވެއެވެ.,
سنن أبي داود,494,مُرُوا الصبيَّ بالصلاةِ إذا بلغ سَبْعَ سِنِينَ ، وإذا بلغ عَشْرَ سِنِينَ فاضرِبوه عليها,ހަތްއަހަރު ފުރުމުން ދަރިފުޅަށް ނަމާދުކުރަން އަމުރު ކުރާށެވެ. އަދި ދިހައަހަރުވުމުން އަދަބުދީގެން ނަމަވެސް ނަމާދުކުރުވާށެވެ.,
سنن أبي داود,495,مُرُوا أولادَكم بالصَّلاةِ وهم أبناءُ سَبعِ سِنينَ، واضربوهم عليها وهم أبناءُ عَشرٍ، وفَرِّقوا بينهم في المضاجِعِ,ތިޔަބައިމީހުންގެ ދަރިންނަށް އެކުދިންގެ ޢުމުރުން 7 އަހަރުވުމުން ނަމާދަށް އަމުރުކުރާށެވެ. އަދި އެކުދިންގެ ޢުމުރުން 10 އަހަރުވުމުން ނަމާދު ނުކުރާނަމަ ތަޅައިގެންވިޔަސް އެކަން ކުރުވާށެވެ. އަދި އެކުދިންގެ ތަންމަތިތައް ވަކިކުރާށެވެ.,
