source,#,bodyAR,bodyDV,takhrij
سنن ابن ماجه,12,حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ، حَدَّثَنَا زَيْدُ بْنُ الْحُبَابِ، عَنْ مُعَاوِيَةَ بْنِ صَالِحٍ، حَدَّثَنِي الْحَسَنُ بْنُ جَابِرٍ، عَنِ الْمِقْدَامِ بْنِ مَعْدِيكَرِبَ الْكِنْدِيِّ، أَنَّ رَسُولَ اللهِ ﷺ قَالَ: يُوشِكُ الرَّجُلُ مُتَّكِئًا عَلَى أَرِيكَتِهِ يُحَدَّثُ بِحَدِيثٍ مِنْ حَدِيثِي، فَيَقُولُ: بَيْنَنَا وَبَيْنَكُمْ كِتَابُ اللهِ عَزَّ وَجَلَّ، فَمَا وَجَدْنَا فِيهِ مِنْ حَلَالٍ اسْتَحْلَلْنَاهُ، وَمَا وَجَدْنَا فِيهِ مِنْ حَرَامٍ حَرَّمْنَاهُ، أَلَّا وَإِنَّ مَا حَرَّمَ رَسُولُ اللهِ ﷺ مِثْلُ مَا حَرَّمَ اللهُ.,އަލްމިގްދާމު ބިން މަޢުދީ ކަރިބު ރިވާ ކުރެއްވިއެވެ: ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރެއްވިއެވެ: ”ސޮފާއެނދެއްގައި ލެނގިލައިގެން އިން މީހަކަށް، ތިމަން ނަބިއްޔާގެ ޙަދީޘްބަސްފުޅެއް ކިޔައިދެވޭ ހިނދު އޭނާ މިފަދައިން ބުނާނެ ދުވަސް ގާތްވެއްޖެއެވެ: ’ތިމަންމެންނާއި ތިޔަބައިމީހުންގެ ދެމެދު ވަނީ ﷲ ޢައްޒަ ވަޖައްލަގެ ފޮތެވެ. ވީމާ އޭގައި ޙަލާލު ކަމަށް ތިމަންމެންނަށް ފެނުނު އެއްޗެއް ޙަލާލު ކަމަށް ދެކޭނަމެވެ. އަދި އޭގައި ޙަރާމް ކަމަށް ތިމަންމެންނަށް ފެނުނު އެއްޗެއް ޙަރާމް ކަމަށް ދެކޭނަމެވެ.‘ ދަންނާށެވެ! ހަމަކަށަވަރުން ﷲގެ ރަސޫލާ ﷺ ޙަރާމް ކުރެއްވި އެއްޗެއް، ﷲ ޙަރާމް ކުރެއްވި އެއްޗަކާ ހަމަ އެއްފަދަވެގެންވެއެވެ.“,
سنن ابن ماجه,12,حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ، حَدَّثَنَا زَيْدُ بْنُ الْحُبَابِ، عَنْ مُعَاوِيَةَ بْنِ صَالِحٍ، حَدَّثَنِي الْحَسَنُ بْنُ جَابِرٍ، عَنِ الْمِقْدَامِ بْنِ مَعْدِيكَرِبَ الْكِنْدِيِّ، أَنَّ رَسُولَ اللهِ ﷺ قَالَ: يُوشِكُ الرَّجُلُ مُتَّكِئًا عَلَى أَرِيكَتِهِ يُحَدَّثُ بِحَدِيثٍ مِنْ حَدِيثِي، فَيَقُولُ: بَيْنَنَا وَبَيْنَكُمْ كِتَابُ اللهِ عَزَّ وَجَلَّ، فَمَا وَجَدْنَا فِيهِ مِنْ حَلَالٍ اسْتَحْلَلْنَاهُ، وَمَا وَجَدْنَا فِيهِ مِنْ حَرَامٍ حَرَّمْنَاهُ، أَلَّا وَإِنَّ مَا حَرَّمَ رَسُولُ اللهِ ﷺ مِثْلُ مَا حَرَّمَ اللهُ.,އަލްމިގްދާމު ބިން މަޢުދީ ކަރިބު ރިވާ ކުރެއްވިއެވެ: ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރެއްވިއެވެ: ”ސޮފާއެނދެއްގައި ލެނގިލައިގެން އިން މީހަކަށް، ތިމަން ނަބިއްޔާގެ ޙަދީޘްބަސްފުޅެއް ކިޔައިދެވޭ ހިނދު އޭނާ މިފަދައިން ބުނާނެ ދުވަސް ގާތްވެއްޖެއެވެ: ’ތިމަންމެންނާއި ތިޔަބައިމީހުންގެ ދެމެދު ވަނީ ﷲ ޢައްޒަ ވަޖައްލަގެ ފޮތެވެ. ވީމާ އޭގައި ޙަލާލު ކަމަށް ތިމަންމެންނަށް ފެނުނު އެއްޗެއް ޙަލާލު ކަމަށް ދެކޭނަމެވެ. އަދި އޭގައި ޙަރާމް ކަމަށް ތިމަންމެންނަށް ފެނުނު އެއްޗެއް ޙަރާމް ކަމަށް ދެކޭނަމެވެ.‘ ދަންނާށެވެ! ހަމަކަށަވަރުން ﷲ ގެ ރަސޫލާ ﷺ ޙަރާމް ކުރެއްވި އެއްޗެއް، ﷲ ޙަރާމް ކުރެއްވި އެއްޗަކާ ހަމަ އެއްފަދަވެގެންވެއެވެ.“,
سنن ابن ماجه,12,""" يُوشِكُ الرَّجُلُ مُتَّكِئًا عَلَى أَرِيكَتِهِ يُحَدَّثُ بِحَدِيثٍ مِنْ حَدِيثِي فَيَقُولُ بَيْنَنَا وَبَيْنَكُمْ كِتَابُ اللَّهِ عَزَّ وَجَلَّ فَمَا وَجَدْنَا فِيهِ مِنْ حَلاَلٍ اسْتَحْلَلْنَاهُ وَمَا وَجَدْنَا فِيهِ مِنْ حَرَامٍ حَرَّمْنَاهُ . أَلاَ وَإِنَّ مَا حَرَّمَ رَسُولُ اللَّهِ ـ ﷺ ـ مِثْلُ مَا حَرَّمَ اللَّهُ "" .","ތިޔައިގެ ތެރެއިން ބަޔަކު- އެބަހީ މިއުއްމަތުގެ ބަޔަކު- ތިމަން ކަލޭގެފާނުގެ ބަސްފުޅު ދޮގުކުރާނޭ ދުވަސް އައުން ވަރަށް ގާތެވެ. އެއިން މީހަކަށް ތިމަންކަލޭގެފާނުގެ ޙަދީޘެއް އިވޭހިނދު ބޮޑާކަމާއެކު ބޮޑު ގޮނޑީގައި ލެގިލައިގެން އިނދެ ބުނާނެއެވެ. ތިޔަބައިމީހުންނާ އަހަރެމެންނާ ދެމެދު މިވަނީ ﷲގެ ފޮތެވެ. ފަހެ، މިފޮތުގައި ޙަލާލުކަމުގައި އައިސްފައިވާ ކަމެއް ވިއްޔާ އެކަމެއް ޙަލާލު ކަމުގައި އަހަރެމެން ބަލައިގެންފާނަމެވެ. އަދި އެފޮތުގައި ޙަރާމްކަމެއް ކަމުގައި އައިސްފައިވާ ކަމެއްނަމަ އެކަމަކީ ޙަރާމްކަމެއް ކަމުގައި އަހަރެމެން ބަލައިގެންފާނަމެވެ. ދެން އިތުރު އެކަލޭގެފާނު ޙަދީޘްކުރެއްވިއެވެ. ދަންނާށެވެ! ހަމަކަށަވަރުން ﷲގެ ރަސޫލާ ޙަރާމްކުރައްވާ ކަންތައްތަކަކީ، ﷲ ޙަރާމްކުރައްވާ ކަންތައްތައް ފަދަ ކަންކަމެވެ.""",
سنن ابن ماجه,161,"لَا تَسُبُّوا أَصْحَابِي، فَوَالَّذِي نَفْسِي بِيَدِهِ، لَوْ أَنَّ أَحَدَكُمْ أَنْفَقَ مِثْلَ أُحُدٍ ذَهَبًا مَا أَدْرَكَ مُدَّ أَحَدِهِمْ، وَلَا نَصِيفَهُ""","""ތިމަންކަލޭގެފާނުގެ ޞަޙާބީންނަށް ކުޑައިމީސްބަސް ބުނެ ނަހަދާށެވެ. ފަހެ، އެކަލާނގެ އަތްޕުޅުގައި ތިމަންކަލޭގެފާނުގެ ނަފްސުވާ ކަލާނގެ ގަންދެއްވައި ޙަދީޘްކުރައްވަމެވެ. ތިޔަބައިމީހުންކުރެ މީހަކު އުޙުދު ފަރުބަދައާ އެއްވަރުގެ ރަން ހޭދަކުޅަކަމުގައިވިޔަސް އެބޭކަލުންގެ (މާތްކަމުގެ) މުއްދެއްގެ މިންވަރުވެސް އަދި މުއްދެއްގެ ބައިކުޅަބައި މިންވަރުވެސް ޙާޞިލު ނުކުރެވޭ ހުއްޓެވެ.""",
سنن ابن ماجه,179,إنَّ للَّهِ أَهْلينَ منَ النَّاسِ قالوا: يا رسولَ اللَّهِ ، من هُم ؟ قالَ: هم أَهْلُ القرآنِ ، أَهْلُ اللَّهِ وخاصَّتُهُ,' ހަމަކަށަވަރުން މީސްތަކުންގެ ތެރޭގައި ﷲ އަށް (ޚާއްޞަ) ބަޔަކުވެއެވެ.'' އަޞްޙާބުބޭކަލުން ދެންނެވިއެވެ: ''އޭ ﷲގެ ރަސޫލާއެވެ! އެއީ ކޮން ބައެއްތޯއެވެ؟'' އެކަލޭގެފާނު ދެންނެވިއެވެ: '' އެމީހުންނަކީ ގުރްއާނުގެ އަހުލުވެރިންނެވެ. އެއީ ﷲ ގެ އަހުލުވެރިންނެވެ. އަދި އެއީ އެކަލާނގެއަށް ޚާއްޞަ ވެގެންވާ ބެއެކެވެ. (އެބަހީ: އެބައިމީހުންނީ އެކަލާނގެ ޚާއްޞަ ލޮބުވެތިކަމެއް އަދި ގަދަރެއް ދެއްވާފައިވާ ބައެކެވެ.)'',
سنن ابن ماجه,247,"حَدَّثَنَا مُحَمَّدُ بْنُ الْحَارِثِ بْنِ رَاشِدٍ الْمِصْرِيُّ، حَدَّثَنَا الْحَكَمُ بْنُ عَبْدَةَ، عَنْ أَبِي هَارُونَ الْعَبْدِيِّ، عَنْ أَبِي سَعِيدٍ الْخُدْرِيِّ، عَنْ رَسُولِ اللَّهِ ـ صلى الله عليه وسلم ـ قَالَ "" سَيَأْتِيكُمْ أَقْوَامٌ يَطْلُبُونَ الْعِلْمَ فَإِذَا رَأَيْتُمُوهُمْ فَقُولُوا لَهُمْ مَرْحَبًا مَرْحَبًا بِوَصِيَّةِ رَسُولِ اللَّهِ ـ صلى الله عليه وسلم ـ وَاقْنُوهُمْ "" . قُلْتُ لِلْحَكَمِ مَا اقْنُوهُمْ قَالَ عَلِّمُوهُمْ .",އަބޫ ސަޢީދު އަލްޚުދްރީގެ އަރިހުން، ރަސޫލު ﷲ ﷺ ގެ އަރިހުން ރިވާވެގެންވެއެވެ: އެކަލޭގެފާނު ޙަދީޘް ކުރެއްވިއެވެ: ”ތިޔަބައިމީހުންގެ ގާތަށް އިލްމު ހޯދާ ބަޔަކު އަންނާނެއެވެ. ފަހެ ތިޔަބައިމީހުންނަށް އެބައިމީހުން ފެނިއްޖެ ނަމަ، ފަހެ އެބައިމީހުންނަށް ބުނާށެވެ: މަރުހަބާއެވެ. ރަސޫލު ﷲ ﷺ ގެ ވަސިއްޔަތައިގެން މަރުހަބާއެވެ. އަދި އެބައިމީހުންނަށް އުނގަންނައިދޭށެވެ.“,
سنن ابن ماجه,251,"قَالَ كَانَ رَسُولُ اللَّهِ ـ صلى الله عليه وسلم ـ يَقُولُ ‏ ""‏ اللَّهُمَّ انْفَعْنِي بِمَا عَلَّمْتَنِي وَعَلِّمْنِي مَا يَنْفَعُنِي وَزِدْنِي عِلْمًا وَالْحَمْدُ لِلَّهِ عَلَى كُلِّ حَالٍ ‏""‏ ‏.‏",އޭ الله އެވެ. އިބަ އިލާހު މި އަޅާއަށް އުނގަންނައިދެއްވި އެއްޗަކުން، މި އަޅާއަށް މަންފާކޮށްދެއްވާށިއެވެ. އަދި މި އަޅާއަށް މަންފާކުރާނެ ކަންތައްތައް މި އަޅާއަށް އުނގަންނައިދެއްވާށިއެވެ. އަދި މި އަޅާއަށް އިލްމު އިތުރުކޮށްދެއްވާށިއެވެ. ,
سنن ابن ماجه,425,عَنْ عَبْدِ اللَّهِ بْنِ عَمْرٍو أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَرَّ بِسَعْدٍ وَهُوَ يَتَوَضَّأُ فَقَالَ مَا هَذَا السَّرَفُ فَقَالَ أَفِي الْوُضُوءِ إِسْرَافٌ قَالَ نَعَمْ وَإِنْ كُنْتَ عَلَى نَهَرٍ جَارٍ,ޢަބްދު ﷲ ބިން ޢަމްރު ރިވާ ކުރެއްވިއެވެ: ސަޢުދުގެފާނު ވުޟޫ ކުރައްވަނިކޮށް، ރަސޫލު ﷲ ﷺ އެކަލޭގެފާނު ގާތުން ވަޑައިގެން ޙަދީޘް ކުރެއްވިއެވެ: ”މިއީ ކޮން އިސްރާފެއްތޯއެވެ؟“ ސަޢުދުގެފާނު ދެންނެވިއެވެ: ވުޟޫ ކުރުމުގައިވެސް އިސްރާފު ވޭތޯއެވެ؟ ނަބިއްޔާ ޙަދީޘް ކުރެއްވިއެވެ: ”އާދޭހެވެ. އެއީ ހިނގަހިނގާ ހުރި ކޯރެއް ކައިރީގައި ތިބާ ހުރިކަމުގައި ވިޔަސްމެއެވެ. “,
سنن ابن ماجه,639,مَن أتى حائضًا أوِ امرأةً في دُبرِها أو كاهنًا فصدَّقَه بما يقولُ فقد كفرَ بما أُنزلَ علَى محمَّدٍ,ޙައިޟުވެރި އަންހެނާއާއި ޖިމާޢުވާ މީހާ ނުވަތަ އަންހެނާގެ ފުރަގަސްފަރާތަށް ޖިމާޢުވާމީހާ ނުވަތަ ކާހިނެއްގެ ގާތަށްގޮސް އޭނާބުނާ އެއްޗެއް ތެދުކޮށްފިމީހާ ހަމަކަށްވަރުން މުޙައްމަދު صلى الله عليه و سلم ގެ މައްޗަށް ބާވައިލެއްވުނު އެއްޗެއްސަށް ކާފަރުވެއްޖެއެވެ.,
سنن ابن ماجه,738,من حفر ماءً لم يشرَبْ منه كَبِدٌ حَرَّى من جِنٍّ ، و لا إنسٍ ولا طائرٍ ، إلا آجَره اللهُ يومَ القيامةِ,މީހަކު ފެން (ވަޅެއް) ކޮނެދީފި ނަމަ، ޖިންނިއަކަސް އިންސިއަކަސް ނުވަތަ ދޫންޏަކަސް، އޭގެން ފެންބޯ ކޮންމެ ދިރޭ އެއްޗަކަށް ގިޔާމަތް ދުވަހު ﷲ އޭނާއަށް ސަވާބު ދެއްވާނެއެވެ.,
