source,#,bodyAR,bodyDV,takhrij
سنن النسائي,75,أَخْبَرَنَا يَحْيَى بْنُ حَبِيبِ بْنِ عَرَبِيٍّ، عَنْ حَمَّادٍ - وَالْحَارِثُ بْنُ مِسْكِينٍ قِرَاءَةً عَلَيْهِ وَأَنَا أَسْمَعُ، عَنِ ابْنِ الْقَاسِمِ، حَدَّثَنِي مَالِكٌ. (ح) وَأَخْبَرَنَا سُلَيْمَانُ بْنُ مَنْصُورٍ قَالَ: أَنْبَأَنَا عَبْدُ اللهِ بْنُ الْمُبَارَكِ - وَاللَّفْظُ لَهُ - عَنْ يَحْيَى بْنِ سَعِيدٍ، عَنْ مُحَمَّدِ بْنِ إِبْرَاهِيمَ، عَنْ عَلْقَمَةَ بْنِ وَقَّاصٍ، عَنْ عُمَرَ بْنِ الْخَطَّابِ رَضِيَ اللهُ عَنْهُ قَالَ: قَالَ رَسُولُ اللهِ ﷺ: إِنَّمَا الْأَعْمَالُ بِالنِّيَّةِ، وَإِنَّمَا لِامْرِئٍ مَا نَوَى، فَمَنْ كَانَتْ هِجْرَتُهُ إِلَى اللهِ وَإِلَى رَسُولِهِ فَهِجْرَتُهُ إِلَى اللهِ وَإِلَى رَسُولِهِ، وَمَنْ كَانَتْ هِجْرَتُهُ إِلَى دُنْيَا يُصِيبُهَا أَوِ امْرَأَةٍ يَنْكِحُهَا فَهِجْرَتُهُ إِلَى مَا هَاجَرَ إِلَيْهِ.,ޢުމަރު ބިން އަލްޚައްޠާބު رَضِيَ اللَّهُ عَنْهُ ރިވާ ކުރެއްވިއެވެ: ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރެއްވިއެވެ: ”ނިޔަތުގެ މައްޗަށް މެނުވީ އަމަލުތައް ބިނާ ވެގެނެއް ނުވެއެވެ. އަދި މީހަކަށް ވަނީ، ހަމައެކަނި އެ މީހަކު ނިޔަތް ގަތް ކަމެކެވެ. ވީމާ، މީހަކު ހިޖުރަ ކުރީ ﷲ އަށް އަދި އެ އިލާހުގެ ރަސޫލާއަށްޓަކައި ނަމަ، ފަހެ އޭނާގެ ހިޖުރަ ވަނީ ﷲ އަށް އަދި އެ އިލާހުގެ ރަސޫލާއަށެވެ. އަދި މީހަކު ހިޖުރަ ކުރީ ދުނިޔެ ހޯދުމަށް ނުވަތަ އަންހެނަކާ އިނުމަށް ކަމުގައި ވަނީ ނަމަ، ފަހެ އެ މީހެއްގެ ހިޖުރަ ވަނީ، އޭނާ އެ ހިޖުރަ ކުރި ކަމަކަށެވެ.“,b1
سنن النسائي,185,أَخْبَرَنَا عَمْرُو بْنُ مَنْصُورٍ قَالَ : حَدَّثَنَا عَلِيُّ بْنُ عَيَّاشٍ قَالَ : حَدَّثَنَا شُعَيْبٌ ، عَنْ مُحَمَّدِ بْنِ الْمُنْكَدِرِ قَالَ : سَمِعْتُ جَابِرَ بْنَ عَبْدِ اللهِ قَالَ : كَانَ آخِرَ الْأَمْرَيْنِ مِنْ رَسُولِ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ تَرْكُ الْوُضُوءِ مِمَّا مَسَّتِ النَّارُ .,أَصْحَابُ ބޭކަލެއްގެ ބަސްފުޅަކުން އެކަން އެނގުން: މިދެންނެވި ވާހަކައިގެ މިސާލަކީ މާތްﷲ ރުއްސުންލެއްވި ޖާބިރުގެފާނުގެ ބަސްފުޅެކެވެ. އެއީ: قَالَ جَابِرُ بنُ عَبْدِ اللهِ (كَانَ آخِرَ الأَمْرَيْنِ مِنْ رَسُولِ اللهِ ﷺ تَرْكُ الْوُضُوءِ مِمَّا مَسَّتِ النَّارُ) (أَخْرَجَهُ أَصْحَابُ السُّنَنِ) މާނައަކީ އަލިފާނުން ކެއްކި އެއްޗެއް ކައިބޮއި ހެދުމުން وُضُوءކުރަން ޖެހުމާއި، وُضُوءކުރަން ނުޖެހުމުގެ ގޮތުން ބަލާއިރު (އެބަހީ: وُضُوء ގެއްލުމާއި وُضُوء ނުގެއްލުމުގެ ގޮތުން ބަލާއިރު) رَسُولُ اللهِގެ އަރިހުން ސާބިތުވާ އެންމެ ފަހުގެ حُكْمއަކީ وُضُوءކުރަން ނުޖެހުމެވެ. އެބަހީ: وُضُوء ނުގެއްލުމެވެ. މިއެވެ.,
سنن النسائي,234,عَنْ سَعْدِ بْنِ هِشَامٍ، أَنَّ عَائِشَةَ، حَدَّثَتْهُ أَنَّ رَسُولَ اللَّهِ ﷺ كَانَ لاَ يُسَلِّمُ فِي رَكْعَتَىِ الْوَتْرِ. وفي لفظ ” كان يوتر بثلاث لا يقعد إلا في آخرهن “,ސަޢުދު އިބްނު ހިޝާމްގެ އަރިހުން ރިވާވެފައިވެއެވެ. ޢާއިޝާ رضي الله عنها އެކަލޭގެފާނު ގާތު ވިދާޅުވިއެވެ. “ހަމަކަށަވަރުން ރަސޫލުﷲ ﷺ ވިތުރި ނަމާދުގައި ދެރަކުޢަތް ކުރެއްވުމަށްފަހު ސަލާމް ނުދެއްވައެވެ.” އަދިވެސް އެހެން ރިވާޔަތެއްގައި ވެއެވެ. މާނަ: (ރަސޫލުﷲ ﷺ) ތިން ރަކުޢަތުން ވިތުރި ކުރައްވައެވެ. އެންމެ ފަހު ރަކުޢަތުގައި މެނުވީ އެކަލޭގެފާނު (އައްތަޙިއްޔާތަކަށް) އިށީނދެވަޑައި ނުގަންނަވައެވެ.”,
سنن النسائي,289,في الرَّجلِ يأتي امرأتَه وَهيَ حائضٌ يتصدَّقُ بدينارٍ أو بنصفِ دينارٍ,އަނބިމީހާ ޙައިޟުގެހާލުގައި ޖިމާޢުވެއްޖެމީހާ، ދީނާރަކުން ނުވަތަ ދީނާރެއްގެ ދެބައިކުޅަ އެއްބައިން ޞަދަގާތްކުރާށެވެ.,
سنن النسائي,609,أيُّ العمَلِ أحبُّ إلى اللَّهِ تَعالى ؟ الصَّلاةُ علَى وقتِها ، وبرُّ الوالدينِ ، والجِهادُ في سبيلِ اللَّهِ عزَّ وجلَّ,"އިބްނު މަސްޢޫދު ވިދާޅުވިއެވެ. ތިމަން ނަބިއްޔާ އަށް ސުވާލުދެންނެވީމެވެ. ﷲ ގެ ހަޒްރަތުގައި އެންމެ ހެޔޮކަންބޮޑު އަމަލަކީ ކޮބައިހެއްޔެވެ؟ ޙަދީޘްކުރެއްވިއެވެ. "" ނަމާދު އޭގެ ވަގުތުގައި އަދާކުރުމެވެ. ތިމަން ދެންނެވީމެވެ. ދެން ކޮންކަމެއްހެއްޔެވެ؟ ޙަދީޘްކުރެއްވިއެވެ. އެއަށްފަހު މައިންބަފައިންނަށް ހެޔޮޮކޮށްހިތުމެވެ...",
سنن النسائي,660,شغلَنا المشرِكونَ يومَ الخندقِ عن صلاةِ الظُّهرِ ، حتَّى غرَبتِ الشَّمسُ وذلِكَ قبلَ أن ينزلَ في القتالِ ما نزلَ ، فأنزلَ اللَّهُ عزَّ وجلَّ وَكَفَى اللَّهُ الْمُؤْمِنِينَ الْقِتَالَ فأمرَ رسولُ اللَّهِ بلالًا فأقامَ لصلاةِ الظُّهرِ فصلَّاها كما كانَ يصلِّيها لوقتِها ثمَّ أقامَ للعصرِ فصلَّاها كما كانَ يصلِّيها في وقتِها ثمَّ أذَّنَ للمَغربِ ، فصلَّاها كما كانَ يصلِّيها في وقتِها,ަބްދުއްރަޙްމާން ބިން އަބޫ ސައީދު އެކަލޭގެފާނުގެ ބައްޕާފުޅުގެ އަރިހުން ރިވާ ކުރެއްވިއެވެ. ބައްޕަ ވިދާޅުވިއެވެ. “ޚަންދަގުގެ ދުވަހުގައި ހަނގުރާމައިގެ ކަންތައްތަކުގައި އުޅެން ޖެހުމުގެ ސަބަބުން މުސްލިމުން މެންދުރު ނަމާދުނުކޮށް އުޅެނިކޮށް އިރު އޮއްސުނެވެ. ނަބިއްޔާ ޞައްލަﷲ ޢަލައިހި ވަސައްލަމަ ބަންގި ގޮވުމަށް ބިލާލުގެފާނަށް އަމުރުކުރެއްވިއެވެ. އޭގެ ފަހުގައި މެންދުރު ނަމާދަށް ގަމަތް ދެއްވިއެވެ. (މެންދުރު ނަމާދު ކުރެއްވިއެވެ.) އޭގެ ފަހުގައި ޢަޞްރު ނަމާދަށް ގަމަތް ދެއްވިއެވެ. (ޢަޞްރު ނަމާދު ކުރެއްވިއެވެ.) އޭގެ ފަހުގައި މަޣްރިބު ނަމާދަށް ގަމަތް ދެއްވިއެވެ. އަދި މަޣްރިބް ނަމާދުގެ ވަގުތުގައި ނަމާދު ކުރައްވާ ބީދައިން އެ ނަމާދުވެސް ކުރެއްވިއެވެ.,
سنن النسائي,660,شغلَنا المشرِكونَ يومَ الخندقِ عن صلاةِ الظُّهرِ ، حتَّى غرَبتِ الشَّمسُ وذلِكَ قبلَ أن ينزلَ في القتالِ ما نزلَ ، فأنزلَ اللَّهُ عزَّ وجلَّ وَكَفَى اللَّهُ الْمُؤْمِنِينَ الْقِتَالَ فأمرَ رسولُ اللَّهِ بلالًا فأقامَ لصلاةِ الظُّهرِ فصلَّاها كما كانَ يصلِّيها لوقتِها ثمَّ أقامَ للعصرِ فصلَّاها كما كانَ يصلِّيها في وقتِها ثمَّ أذَّنَ للمَغربِ ، فصلَّاها كما كانَ يصلِّيها في وقتِها,ޢަބްދުއްރަޙްމާން ބިން އަބޫ ސައީދު އެކަލޭގެފާނުގެ ބައްޕާފުޅުގެ އަރިހުން ރިވާ ކުރެއްވިއެވެ. ބައްޕަ ވިދާޅުވިއެވެ. “ޚަންދަގުގެ ދުވަހުގައި ހަނގުރާމައިގެ ކަންތައްތަކުގައި އުޅެން ޖެހުމުގެ ސަބަބުން މުސްލިމުން މެންދުރު ނަމާދުނުކޮށް އުޅެނިކޮށް އިރު އޮއްސުނެވެ. ނަބިއްޔާ ޞައްލަﷲ ޢަލައިހި ވަސައްލަމަ ބަންގި ގޮވުމަށް ބިލާލުގެފާނަށް އަމުރުކުރެއްވިއެވެ. އޭގެ ފަހުގައި މެންދުރު ނަމާދަށް ގަމަތް ދެއްވިއެވެ. (މެންދުރު ނަމާދު ކުރެއްވިއެވެ.) އޭގެ ފަހުގައި ޢަޞްރު ނަމާދަށް ގަމަތް ދެއްވިއެވެ. (ޢަޞްރު ނަމާދު ކުރެއްވިއެވެ.) އޭގެ ފަހުގައި މަޣްރިބު ނަމާދަށް ގަމަތް ދެއްވިއެވެ. އަދި މަޣްރިބް ނަމާދުގެ ވަގުތުގައި ނަމާދު ކުރައްވާ ބީދައިން އެ ނަމާދުވެސް ކުރެއްވިއެވެ.”,
سنن النسائي,850,"عَنْ أَبِي هُرَيْرَةَ، قَالَ جَاءَ أَعْمَى إِلَى رَسُولِ اللَّهِ ﷺ فَقَالَ إِنَّهُ لَيْسَ لِي قَائِدٌ يَقُودُنِي إِلَى الصَّلاَةِ فَسَأَلَهُ أَنْ يُرَخِّصَ لَهُ أَنْ يُصَلِّيَ فِي بَيْتِهِ فَأَذِنَ لَهُ فَلَمَّا وَلَّى دَعَاهُ قَالَ لَهُ "" أَتَسْمَعُ النِّدَاءَ بِالصَّلاَةِ "" . قَالَ نَعَمْ . قَالَ "" فَأَجِبْ "" .","އަބޫ ހުރައިރާ ރަޟީޔަﷲ ޢަންހުގެ ކިބައިން ރިވާވެގެންވެެވެ. ލޯފަންބޭކަލެއް ރަސޫލުﷲ ﷺ ގެ އަރިހަށް އައިސް ދެންނެވިއެވެ. ހަމަަކަށަވަރުން ތިމަންނާއަށް ނަމާދަށް ގެންގޮސްދީ ގެނެސްދޭނޭ މީހަކުނުވެއެވެ. އަދި އެކަލޭގެފާނު ގޭގައި ނަމާދުކުރުމަށް ހުއްދަ ދެއްވުމަށް ދެންނެވިއެވެ. ދެން ނަބިއްޔާ އެބޭކަލަކަށް ހުއްދަ ދެއްވިއެވެ. ދެން އެބޭކަލެއް އެނބުރި ދާންފެށުމުން ނަބިއްޔާ އެބޭކަލަކަށް ގޮވާލައްވާފައި ޙަދީޘްކުރެއްވިއެވެ: ""ނަމާދަށް ގޮވާ ބަންގީގެ އަޑު ތިބާއަށް އިވޭ ހެއްޔެވެ؟"" ދެންނެވިއެވެ. އާނއެކެވެ. ޙަދީޘްކުރެއްވިއެވެ: ""އިޖާބަދޭށެވެ""",
سنن النسائي,1297,"قَالَ رَسُولُ اللَّهِ ﷺ: ""مَنْ صَلَّى عَلَىَّ صَلاَةً وَاحِدَةً صَلَّى اللَّهُ عَلَيْهِ عَشْرَ صَلَوَاتٍ وَحُطَّتْ عَنْهُ عَشْرُ خَطِيئَاتٍ وَرُفِعَتْ لَهُ عَشْرُ دَرَجَاتٍ"".",ރަސޫލު ﷲ ﷺ ޙަދީޘް ކުރެއްވިއެވެ: ”ތިމަން ނަބިއްޔާގެ މައްޗަށް އެއް ސަލަވާތް ލައްވައިފި މީހަކަށް، ﷲ ދިހަ ސަލަވާތް އޭނާގެ މައްޗަށް ލައްވާނެއެވެ. އަދި އޭނާގެ ކިބައިން ދިހަ ފާފަ ފޮހެވޭނެއެވެ. އަދި އޭނާއަށް ދިހަ ދަރަޖަ އުފުލެވޭނެއެވެ.“,
سنن النسائي,1301,"حَدَّثَهُ أَنَّ رَسُولَ اللَّهِ صلى الله عليه وسلم دَخَلَ الْمَسْجِدَ إِذَا رَجُلٌ قَدْ قَضَى صَلاَتَهُ وَهُوَ يَتَشَهَّدُ فَقَالَ اللَّهُمَّ إِنِّي أَسْأَلُكَ يَا اللَّهُ بِأَنَّكَ الْوَاحِدُ الأَحَدُ الصَّمَدُ الَّذِي لَمْ يَلِدْ وَلَمْ يُولَدْ وَلَمْ يَكُنْ لَهُ كُفُوًا أَحَدٌ أَنْ تَغْفِرَ لِي ذُنُوبِي إِنَّكَ أَنْتَ الْغَفُورُ الرَّحِيمُ ‏.‏ فَقَالَ رَسُولُ اللَّهِ صلى الله عليه وسلم ‏ ""‏ قَدْ غُفِرَ لَهُ ‏""‏ ‏.‏ ثَلاَثًا ‏.‏",އޭ ﷲ އެވެ. ހަމަކަށަވަރުން މި އަޅާ އިބަ އިލާހަށް އެދި ދަންނަވަމެވެ. އޭ ﷲ އެވެ. ހަމަކަށަވަރުން އިބަ އިލާހީ އަލްވާޙިދުލް އަޙަދުއް ޞަމަދެވެ. (އެބަހީ: އެއްކައުވަންތަ އިލާހެވެ. ހަމައެކަނި އިލާހެވެ. އަދި ޚަލްގުތަކުންގެ އެންމެހާ ބޭނުންތަކެއް ފުއްދަވާދެއްވާ އިލާހެވެ.) އެ އިލާހަށް (އެއްވެސް ދަރިކަލަކު) އުފަންވެފައި ނުވާ، އެ އިލާހު (އެއްވެސް ފަރާތަކަށް) އުފަންވެވޮޑިގެން ނުވާ، އަދި އެ އިލާހާ ކުފޫހަމަވާ، އެ އިލާހާ އެއްފަދަވެގެންވާ އެއްވެސް ފަރާތަކު ނުވާ އިލާހެވެ. ވީމާ، މި އަޅާގެ ފާފަތައް ފުއްސަވާދެއްވުން އެދި އިބަ އިލާހުގެ ހަޒްރަތުގައި ދަންނަވަމެވެ. ހަމަކަށަވަރުން އިބަ އިލާހީ އަލްޣަފޫރުއް ރަޙީމެވެ. (އެބަހީ: ގިނަގިނައިން ފާފަ ފުއްސަވާ، ރަޙީމްވަންތަ އިލާހެވެ.),
