source,#,bodyAR,bodyDV,takhrij
السلسلة الصحيحة، الألباني,1078,إن طرفَ صاحبِ الصورِ منذُ وُكّلَ بهِ مُستعدّ ينظرُ نحو العرشِ ، مخافةَ أن يُؤمَرَ قبل أن يَرتدّ إليهِ طرفهُ ، كأنّ عينيهِ كوكبانِ دُرّيانِ,ހަމަކަށަވަރުން ތާޅަފިލި ފުމެލައްވާ މަލާއިކަތާ ވަނީ، އެކަން ކުރެއްވުމަށް ހަވާލުކުރެވުނީއްސުރެ، ޢަރްޝުއާ ދިމާލަށް (ހުއްޓުމެއް ނެތި) ބައްލަވައިގެން ތައްޔާރަށެވެ. އެއީ އެސްފިޔަ ޖަހައި ނުލެވެނީސް (އެކަން ކުރުމަށް) އަމުރު ކުރެވިދާނެ ކަމުގެ ބިރަށްޓަކައެވެ. އެ މަލާއިކަތާގެ ދެލޯ ވަނީ ވިދަވިދާ ހުރި ދެ ތަރިކެއް ފަދައިންނެވެ.,
السلسلة الصحيحة، الألباني,1421,(وَاذْكُرِ الْمَوْتَ فِي صَلَاتِكَ فَإِنَّ الرَّجُلَ إِذَا ذَكَرَ المَوْت فِي صَلَاتِهِ لَحَرِيٌّ أَنْ يُحْسِنَ صَلَاتَهُ,ތިބާ ނަމާދުކުރާއިރު މަރު ހަނދުމަކުރާށެވެ. ފަހެ ހަމަކަށަވަރުން އަޅާ، އޭނާގެ ނަމާދުގައި މަރު ހަނދުމަކުރާނަމަ، އޭނާގެ ނަމާދު ފުރިހަމަކުރުމަށް އަހައްމިތްތަތުކަން ދޭނެއެވެ.,
السلسلة الصحيحة، الألباني,3263,"""[اَلْمَغْضُوبِ عَلَيْهِمْ] : اَلْيَهُودُ، و [الضَالِّينَ] : اَلنَّصَارَى)","""އެބައިމީހުންގެ މައްޗަށް ކޯފާލެއްވިގެންވާ މީހުންނަކީ ޔަހޫދީންނެވެ. އަދި މަގުފުރެދިގެންވާ މީހުންނަކީ ނަޞާރާއިންނެވެ.""",
السلسلة الصحيحة، الألباني,3345,لقد نزل لموتِ سعدِ بنِ معاذٍ سبعون ألفَ ملَكٍ ، ما وَطِئوا الأرضَ قبلَها ، وقال حين دُفِنَ : سبحان اللهِ ! لو انفَلَتَ أحدٌ من ضَغطةِ القبرِ ؛ لانفلَتَ منها سعدٌ ، [ ولقد ضُمَّ ضمَّةً ، ثم أُفرِجَ عنه ],سُبْحَانَ اللَّهِ އެވެ! ކައްވަޅުގެ ފިއްލާލުމުން މީހަކު ސަލާމަތްވާނެނަމަ ހަމަކަށަވަރުން ސަޢުދުގެފާނު ސަލާމަތްވީހެވެ.,
السلسلة الصحيحة، الألباني,1/248,من أراد أن ينظرَ إلى رجلٍ قد قضى نحبَه فلْينظُرْ إلى طلحةَ بنِ عُبيدِ اللهِ,""" ޝަހީދުވެވަޑައިގެންފައިވާ ބޭކަލަކު ބިންމަތީގައި ހިނގާ ބިގާވަނިކޮށް ދުށުމަށް އެދެނީ ކާކުހެއްޔެވެ؟ ފަހެ އެމީހަކު طَلْحَةُ بْنُ عُبَيْدُ اللهِ އަށް ބަލާފައި ހުށިކަމެވެ.",
السلسلة الصحيحة، الألباني,5/498,تزوَّجوا الودودَ الوَلودَ فإنِّي مُكاثِرٌ بِكُمُ الأممَ,ތިޔަބައިމީހުންގެތެރެއިން އެންމެ ލޮބިވެތިކަން ބޮޑު އަދި ގިނައިން ދަރިމައިވާ އަންހެނުންނާއި ތިޔަބައިމީހުން ކައިވެނި ކުރާށެވެ. އެހެނީ ގިޔާމަތްދުވަހު ތިމަންކަލޭގެފާނުގެ އުއްމަތުގެ މީހުން ގިނަ ކަމާއިމެދު ތިމަން ކަލޭގެފާނު ފަޚުރުވެރިވެ ވަޑައިގަންނަވާހުށީމެވެ.,
السلسلة الصحيحة، الألباني,6/700,لمَّا كانَ يومُ أُحُدٍ وولَّى الناسُ كانَ رسولُ اللهِ صلَّى اللهُ عليهِ وسلَّمَ في ناحيةٍ في اثنَي عشرَ رجلًا من الأنصارِ ، وفيهِم طلحةُ بنُ عبيدِ اللهِ ، فأدركَهم المشركونَ ، فالتفتَ رسولُ اللهِ صلَّى اللهُ عليهِ وسلَّمَ وقالَ : مَن للقومِ ؟ فقالَ طلحةُ : أنَا . قالَ رسولُ اللهِ صلَّى اللهُ عليهِ وسلَّمَ : كمَا أنتَ . فقالَ رجلٌ مِن الأنصارِ : أنَا يا رسولَ اللهِ ، فقالَ : أنتَ ، فقاتلَ حتى قُتلَ ، ثمَّ التفتَ فإذا المشركونَ ، فقالَ : مَن للقومِ ؟ فقالَ طلحةُ : أنَا ، قالَ : كما أنتَ ، فقال رجلٌ مِن الأنصارِ : أنَا ، فقال : أنتَ ، فقاتلَ حتَّى قُتلَ ، ثمَّ لمْ يزلْ يقولُ ذلكَ ويخرجُ إليهِم رجلٌ مِن الأنصارِ ، فيُقاتِلُ قتالَ مَن قَبلَه حتَّى يُقتَلَ ، حتَّى بَقِيَ رسولُ اللهِ صلَّى اللهُ عليهِ وسلَّمَ وطلحةُ بنُ عبيدِ اللهِ ، فقال رسولُ اللهِ صلَّى اللهُ عليهِ وسلَّمَ : مَن للقومِ ؟ فقالَ طلحةُ : أنَا ، فقاتلَ طلحةُ قِتالَ الأحدَ عشَرَ حتَّى ضُرِبَت يدُه فقُطعَت أصابعُه فقال : حَسِّ ، فقالَ رسولُ اللهِ صلَّى اللهُ عليهِ وسلَّمَ لو قلتَ بسمِ اللهِ لطارَت بكَ الملائكةُ والناسُ ينظرونَ إليكَ ، ثمَّ ردَّ اللهُ المشركينَ,ފަހެ މުޝްރިކުން رسول الله ﷺގެ އަރިއަހަށް އައެވެ. އެމީހުން އިތުރުއެކަލޭގެފާނުގެ އަރިއަހުގައި ތިއްބެވިބޭކަލުންނަށް ބުންޏެވެ. ތިއައީކޮން ބައެއްހެއްޔެވެ؟ ތޮލްޙަތުގެފާނު ވިދާޅުވިއެވެ. ތިމަންނާއީމެވެ. ޖާބިރުގެފާނު ވިދާޅުވިއެވެ. އެމުޝްރިކުންނާއި ދިމާއަށް އަންޞާރިއްޔަބޭކަލުން ކުރިއަށް ނުކުންނެވިއެވެ. އެބޭކަލުން މުޝްރިކުންނާއި ހަނގުރާމަކުރެއްވިއެވެ. އެއްބޭކަލަކަށްފަހު އަނެއްބޭކަލަކު ޝަހީދުވެވަޑައި ގަންނަވަމުންގޮސް އެއެންމެބޭކަލުން ޝަހީދުވެވަޑައިގެންފުމަށް ދާނދެން ހަނގުރާމަ ކުރެއްވިއެވެ. އަންޞާރުންގެ އެންމެބޭކަލުން ޝަހީދުވެވަޑައިގެންނެވި ހިނދު ތަލްޙަތުގެފާނު ކުރިއަށް ނުކުމެވަޑައިގެންނެވިއެވެ. ޖާބިރުގެފާނު ވިދާޅުވިއެވެ. ދެން އުޙްދު ހަނގުރާމައިގާ ހަނގުރާމަކުރެއް ދިހަބޭކަލުންނެކޭ އެއްވަރަށް ތަލްޙަތުގެފާނު ހަނގުރާމަ ކުރައްވަމުން ގެންދެވިއެވެ. އެކަލޭގެފާނުގެ އަތްޕުޅުގައި ޖެހި އިގިލިފުޅުތައް ކުދިކުދިވެއްޖައުމަށް ދާނދެނެވެ. ފަހެ އެކަލޭގެފާނު ވިދާޅުވިއެވެ. ކުދިކުދިވެއްޖެއެވެ. ފަހެ ނަބިއްޔާ ﷺ ޙަދީޘުކުރެއްވިއެވެ. ކަލޭގެފާނު بِسْمِ اللهِ ވިދާޅުވިނަމައެވެ. ފަހެ ހަމަކަށަވަރުން މަލާއިކަތުން ކަލޭގެފާނު އުފުއްލަވާ ލެއްވީހެވެ. އަދި އޭރުމުސްލިމުން ބަލަމުންދާނެއެވެ. ދެންކީރިތިﷲ މުޝްރިކުން އަބުރާލެއްވިއެވެ.,
السلسلة الصحيحة، الألباني,7/363,أتيتُ رسولَ اللهِ صلَّى اللهُ عليهِ وسلَّمَ بخَزِيرَةٍ طَبَخْتُهَا لهُ فقلتُ لسَوْدَةَ والنبيُّ صلَّى اللهُ عليهِ وسلَّمَ بيني وبينَها فقلتُ لها كُلِي فأَبَتْ فقلتُ لتأكلَنَّ أو لأًلَطِخَنَّ وجهَكَ فأَبَتْ فوضعتْ يدي في الخَزِيرَةِ فطليتُ بها وجهَها فضحكَ النبيُّ صلَّى اللهُ عليهِ وسلَّمَ فوضعَ فَخِذَهُ لها وقال لسَوْدَةَ الْطُخِي وجهَها فلَطَخَتْ وجهي فضحكَ النبيُّ صلَّى اللهُ عليهِ وسلَّمَ أيضًا فمرَّ عمرُ فنادى يا عبدَ اللهِ يا عبدَ اللهِ فظنَّ النبيُّ صلَّى اللهُ عليهِ وسلَّمَ أنهُ سيدخلُ فقال لهما قُومَا فاغسلا وجوهَكما قالت عائشةُ فما زِلْتُ أهابُ عمرَ لهيبَةِ رسولِ اللهِ صلَّى اللهُ عليهِ وسلَّمَ إياهُ,އެއްދުވަހަކު ސައުދާ ރަޟިޔަﷲ ޢަންހާ ތިމަންކަމަނާމެނަށް (އެބަހީ: ޢާއިޝާ ރަޟިޔަﷲ ޢަންހާއާއި ރަސޫލުﷲ ޞައްލަﷲ ޢަލައިހި ވަސައްލަމައަށް) ޒިޔާރާތްކުރެއްވިއެވެ. ފަހެ، ރަސޫލުﷲ ޞައްލަﷲ ޢަލައިހި ވަސައްލަމަ އެކަލޭގެފާނުގެ އެއްފައިންޕުޅު ތިމަންކަމަނާގެ އުނގުފުޅަށް އަދި އަނެއް ފައިންޕުޅު އެކަމަނާގެ އުނގުފުޅަށް ލައްވައިގެން، ތިމަންކަމަނާއާއި އެކަމަނާއާއި ދޭތެރޭގައި އިށީނދެވަޑައިގަތެވެ. ތިމަންކަމަނާ އެކަމަނާއަށްޓަކައި، ‘ޙަރީރާ’ ނުވަތަ ‘ޚަޒީރާ'(މަސް ކުދިކޮށް ކޮށައިގެން ތައްޔާރުކުރާ ކާނާއެއް.) ކިޔާ ކާއެއްޗެއް ތައްޔާރުކުރައްވާ، އެކަމަނާއަށް ކޭންބެއްލެވުމަށް ދެންނެވުމުން އެކަމަނާ އެކަމާ އިންކާރު ކުރެއްވިއެވެ. ތިމަންކަމަނާ ވިދާޅުވީމެވެ. ކަމަނާއަށް ޖެހިވަޑައިގަންނަވާނީ ކެއިންބައްލަވާށެވެ. ނޫނީ ކަމަނާގެ މޫނުފުޅުގައި އުގުޅާލައްވާހުށީމެވެ. އެހެންނަމަވެސް އެކަމަނާ ކެއިންބެއްލެވުމަށް އިންކާރުކުރެއްވިއެވެ. އެހެންކަމުން ތިމަންކަމަނާ ތައްޔާރުކުރެއްވި ކާއެއްޗެހި ހުރި ތަށިން، ބައެއް ނަގައި އެކަމަނާގެ މޫނުފުޅުގައި ވަށާލީމެވެ. ރަސޫލުﷲ ޞައްލަﷲ ޢަލައިހި ވަސައްލަމަ ހިނިވަރުނަކުރައްވައި، އެކަމަނާގެ އުނގުފުޅުގައި އޮތް، އެކަލޭގެފާނުގެ ފައިންޕުޅު ނެންގެވިއެވެ. އެކަމަނާއަށް ތިމަންކަމަނާއާއި ދިމާއަށް ވަޑައިގަތުމަށް އެހީއެއްގެ ގޮތުންނެވެ. އެކަލޭގެފާނު އެކަމަނާއަށް ހަދީޘްކުރެއްވިއެވެ. ކަމަނާވެސް އެކަމަނާގެ މޫނުފުޅުގައި އުނގުޅުއްވާށެވެ. ދެން އެކަމަނާ އޭގެން ބައެއް ނަގައި ތިމަންކަމަނާގެ މޫނުފުޅުގައި ވަށާލެއްވިއެވެ. އަދި ރަސޫލުﷲ ޞައްލަﷲ ޢަލައިހި ވަސައްލަމަ ހިނިވަރުނަކުރެއްވިއެވެ…,
السلسلة الضعيفة، الألباني,2460,""" رَجَعْنَا مِنَ الْجِهَادِ الْأَصْغَرِ إِلَى الْجِهَادِ الْأَكْبَرِ""","""އަހަރެމެން އެނބުރި މިއައީ ކުޑަޖިހާދުން ބޮޑު ޖިހާދަށެވެ""",
السلسلة الضعيفة، الألباني,2908,كان مِنْ دُعائهِ صلَّى اللهُ عليهِ وسلَّمَ : اللهُمَّ إنا نسألُكَ مُوجِباتِ رحمتِكَ ، وعزائِمَ مغفرَتِكَ، والسلامةَ منْ كُلِ إثمٍ، والغنيمةَ منْ كُلِّ برٍّ، والفوزَ بالجنةِ، والنجاةَ بعونكَ منَ النارِ.,އޭ ﷲ އެވެ. އިބަ އިލާހުގެ ރަހްމަތް ލިބުން މެދުވެރިކުރުވާ ކަންތައްތަކާއި، ފާފަ ފުއްސެވުން މެދުވެރިކުރުވާ ސިފަތަކާއި، އެންމެހާ ފާފައަކުން ސަލާމަތްތެރިކަމާއި، އެންމެހާ ހެޔޮ ކަމެއްގެ ނަސީބާއި، ސުވަރުގެ ލިބުމުގެ ކާމިޔާބާއި، ނަރަކައިން މިންޖުވުން، މި އަޅާ އިބަ އިލާހުގެ ހަޒްރަތުން އެދި ދަންނަވަމެވެ.,
