source,#,bodyAR,bodyDV,takhrij
إعلام الموقعين، ابن القيم,2/14,هم في الأرض بمنزلة النجوم في السماء، بهم يهتدي الحيران في الظلماء، وحاجة الناس إليهم أعظم من حاجتهم إلى الطعام والشراب، وطاعتهم أفرض من طاعة الآباء والأمهات بنص الكتاب,"އިބްނުލް ގައްޔިމް އިލްމުވެރިންނާމެދު ވިދާޅުވެފައިވެއެވެ: ""ބިމުގައި އެ ބޭކަލުންގެ މަގާމު ވަނީ، އުޑުގައި ތަރިތަކުގެ މަގާމު ފަދައިންނެވެ. އެ ބޭކަލުން މެދުވެރިކޮށް، އަނދިރިކަމުގެ ތެރޭގައި ގެއްލިފައިވާ މީހާ ތެދުމަގު ލިބިގަނެއެވެ. އަދި ކެއިންބުއިމަށް މީސްތަކުން ޖެހިފައިވާ ބޭނުމަށްވުރެ އެ ބޭކަލުންނަށް ޖެހިފައިވާ ބޭނުން މާ ބޮޑެވެ. އަދި ގުރްއާނުގެ ނައްސުން (ސާބިތުވާ ގޮތުގައި)، މައިންބަފައިންނަށް ކިޔަމަންވުމަށްވުރެ އެ ބޭކަލުންނަށް ކިޔަމަންވުން ފަރުޟުކަން ބޮޑެވެ.""",
الأحاديث المختارة، المقدسي,896,وَأَخْبَرَنَا أَبُو أَحْمَدَ عَبْدُ اللهِ بْنُ أَحْمَدَ الْحَرْبِيُّ بِهَا ، أَنَّ هِبَةَ اللهِ بْنَ مُحَمَّدٍ أَخْبَرَهُمْ قِرَاءَةً عَلَيْهِ ، أَنَا الْحَسَنُ بْنُ عَلِيِّ بْنِ الْمُذْهِبِ بْنِ جَعْفَرٍ ، نَا عَبْدُ اللهِ بْنُ أَحْمَدَ ، حَدَّثَنِي أَبِي ، نَا بِشْرُ بْنُ شُعَيْبِ بْنِ أَبِي حَمْزَةَ ، حَدَّثَنِي أَبِي ، عَنِ الزُّهْرِيِّ ، حَدَّثَنِي أَبُو سَلَمَةَ بْنُ عَبْدِ الرَّحْمَنِ ، أَنَّ أَبَا الرَّدَّادِ اللَّيْثِيَّ أَخْبَرَهُ ، عَنْ عَبْدِ الرَّحْمَنِ بْنِ عَوْفٍ ، أَنَّهُ سَمِعَ رَسُولَ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ يَقُولُ : قَالَ اللهُ عَزَّ وَجَلَّ : أَنَا الرَّحْمَنُ ، وَأَنَا خَلَقْتُ الرَّحِمَ ، وَاشْتَقَقْتُ لَهَا مِنَ اسْمِي ، فَمَنْ وَصَلَهَا وَصَلَهُ اللهُ ، وَمَنْ قَطَعَهَا بَتَتُّهُ .,"ރަސޫލުﷲ ﷺ ޙަދީޘްކުރެއްވިއެވެ. (قَالَ اللَّهُ عَزَّ وَجَلَّ: أَنَا الرَّحْمَنُ، وَأَنَا خَلَقْتُ الرَّحِمَ، وَاشْتَقَقْتُ لَهَا مِنَ اسْمِي، فَمَنْ وَصَلَهَا وَصَلْتُهُ، وَمَنْ قَطَعَهَا بَتَتُّهُ) މާނައީ: "" ﷲ ޢައްޒަ ވަޖައްލަ ވަހީކުރެއްވިއެވެ: ތިމަން ﷲއަކީ އައްރަޙުމާންއެވެ. އަދި ރަޙިމު އުފެއްދެވީ ތިމަންކަލާނގެއެވެ. އަދި ރަޙިމަށް ނަން ދެއްވީ ތިމަން ﷲގެ ނަންފުޅުން ނެގިފައިވާ ނަމަކުންނެވެ. ރަޙިމުގެ ގުޅުން ގުޅުވައިފިމީހާއާ ތިމަން ﷲ ގުޅުން ބާއްވަވަމެވެ. އަދި ރަޙިމުގެ ގުޅުން ކަނޑައިފިމީހާޔާ ތިމަން ﷲ ގުޅުން ކަނޑުއްވަމެވެ.""",
الأحاديث المختارة، المقدسي,1392,أَخْبَرَنَا أَسْعَدُ بْنُ سَعِيدِ بْنِ رَوْحٍ - بِأَصْبَهَانَ - أَنَّ فَاطِمَةَ بِنْتَ عَبْدِ اللهِ الْجُوزْدَانِيَّةَ أَخْبَرَتْهُمْ، أَنَا مُحَمَّدُ بْنُ عَبْدِ اللهِ بْنِ رِيذَةَ، أَنَا سُلَيْمَانُ بْنُ أَحْمَدَ الطَّبَرَانِيُّ، نَا عَبْدُ اللهِ بْنُ أَحْمَدَ بْنِ حَنْبَلٍ، نَا سُرَيْجُ بْنُ يُونُسَ، نَا الْمُطَّلِبُ بْنُ زِيَادٍ، عَنْ زِيَادِ بْنِ عِلَاقَةَ، عَنْ أُسَامَةَ بْنِ شَرِيكٍ، قَالَ: قَالَ النَّبِيُّ ﷺ: فِي الْحَبَّةِ السَّوْدَاءِ شِفَاءٌ مِنْ كُلِّ دَاءٍ إِلَّا السَّامَ. الْمُطَّلِبُ: وَثَّقَهُ أَحْمَدُ وَيَحْيَى.,އުސާމާ ބިން ޝަރީކު ރިވާ ކުރެއްވިއެވެ: ނަބިއްޔާ ﷺ ޙަދީޘް ކުރެއްވިއެވެ: ”ކަޅުދިރީގައި މަރު ފިޔަވާ ކޮންމެ ބައްޔަކަށް ޝިފާވެއެވެ.“,
الإبانة الكبرى، ابن بطة,1/260,سَمِعْتُ أَبَا عَبْدِ اللَّهِ، يَقُولُ: «مَنْ رَدَّ حَدِيثَ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ، فَهُوَ ‌عَلَى ‌شَفَا ‌هَلَكَةٍ»,އަބޫ ޢަބްދު ﷲ (އިމާމު އަޙްމަދު) ވިދާޅުވިކަމަށް ރިވާވެގެންވެއެވެ: ނަބިއްޔާ ﷺ ގެ ޙަދީޘްފުޅެއް ރައްދުކޮށްފި މީހާ ވަނީ ހަލާކުގެ ތުންފަތްމަތީގައެވެ.,
الاستذكار، ابن عبدالبر,44603,إذا كانَ يومُ الجُمُعةِ كان على كلِّ بابٍ من أبوابِ المسجد ملائكةٌ يكتُبونَ الناسَ الأوَّلَ فالأوَّلَ، فالمُهَجِّرُ إلى الصَّلاةِ كالمُهدِي بَدَنةً، ثمَّ الذي يَليهِ كالمُهْدي بقَرةً ثمَّ الذِي يليهِ كالمُهْدِي الكَبْشَ حَتَّى ذكر الدَّجاجةَ والبيضةَ فإِذا جلَسَ الإِمامُ طَوَوُا الصُّحُفَ، واستمعوا الخُطبةَ.,أبو هريرة رضي الله عنه ވިދާޅުވެފައި ވެއެވެ. ނަބިއްޔާ صلى الله عليه و سلم ޙަދީޘްފުޅު ކުރެއްވިއެވެ. “ހުކުރު ދުވަހުގައި މަލާއިކަތުން މިސްކިތުގެ ދޮރުކޮޅު ތަކުގައި ދެމިތިއްބަވައެވެ. މިސްކިތައް ވަންނަ މީސްތަކުން އެންމެ ފުރަތަމަ އަދި އެއަށްފަހު ވަންނަ މީހުން އެތަރުތީބުން ލިޔުއްވައެވެ. އެންމެ ފުރަތަމަ ވަގުތުގައި މިސްކިތައް ވަންނަ މީހުންނަށް ޖަމަލެއް ހަދިޔާ ކުރުމުގެ ޘަވާބު ލިބިދެއެވެ. ދެވަނަ ވަގުތުގައި މިސްކިތައް ވަންނަ މީހުންނަށް ގެރިއެއް ހަދިޔާ ކުރުމުގެ ޘަވާބު ލިބިދެއެވެ. އެއަށްފަހު ތިންވަނަ ވަގުތުގައި ކަންބަޅިއެވެ. އެއަށްފަހު ކުކުޅެކެވެ. އެއަށްފަހު ކުކުޅުބިހެއް ހަދިޔާކުރުމުގެ ޘަވާބެއެވެ. އިމާމް ޚުޠުބާ ދިނުމަށް ނުކުތުމުން މަލާއިކަތުން ލިޔުއްވާ ފޮތްތަށް ބަންދު ކޮށްލެއްވުމަށް ފަހު ޒިކުރު އަޑުއެއްސެވުމަށް އިށީންނަވައެވެ.”,
الاعتصام، الشاطبي,1/112,"وَعَنِ ‌الْفُضَيْلِ بْنِ عِيَاضٍ: "" اتَّبِعْ طُرُقَ الْهُدَى وَلَا يَضُرُّكَ قِلَّةُ السَّالِكِينَ، وَإِيَّاكَ وَطُرُقَ الضَّلَالَةِ وَلَا تَغْتَرَّ ‌بِكَثْرَةِ ‌الْهَالِكِينَ """,އަދި ފުޟައިލު ބިން ޢިޔާޟު ވިދާޅުވިކަމަށް ރިވާވެގެންވެއެވެ: ހިދާޔަތުގެ މަގުތަކަށް ތަބާވާށެވެ. އަދި (އެ މަގުތަކުގައި) ހިނގައި އުޅޭ މީހުންގެ މަދުކަމުން ތިބާއަކަށް ގެއްލުމެއް ނުކުރާނެއެވެ. އަދި މަގުފުރެދުމުގެ މަގުތަކުން ސަމާލުވެ ރައްކާތެރިވާށެވެ. އަދި (އެ މަގުތަކުގައި ގެއްލި) ހަލާކުވެދާ މީހުންގެ ގިނަކަމުން ތިބާ ހެއްލުންތެރި ނުވާށެވެ.,
البداية والنهاية، ابن كثير,2/256,عن نَفَرٍ من أصحابِ رسولِ الله ﷺ قالوا له: يا رسولَ الله، أخبرنا عن نَفسِك. قال: (نعمْ، أنا دعوةُ أبي إبراهيمَ، وبُشرى عيسى، ورأتْ أمِّي حين حملتْ بي أنَّه خرج منها نورٌ أضاءَ لها قُصورَ الشَّام),އިބްނު އިސްޙާގް رضي الله عنه ރިވާކުރައްވާފައި ވެއެވެ. “އަޞްޙާބުބޭކަލުންގެ ތެރެއިން ބޭކަލުންތަކެއް ރަސޫލާ ﷺ ގެ އަރިހުގައި ދެންނެވިއެވެ. އޭ ﷲގެ ރަސޫލާއެވެ. ކަލޭގެފާނާ ބެހޭގޮތުން ތިމަންމެންނަށް ޚަބަރުދެއްވާށެވެ. ރަސޫލާ ﷺ ޙަދީޘް ކުރެއްވިއެވެ. “ތިމަން ކަލޭގެފާނަކީ، ތިމަންކަލޭގެފާނުގެ ބައްޕާފުޅު، އިބްރާހީމް عليه السلام ގެ ދުއާފުޅެވެ. އަދި ޢީސާ عليه السلام ގެ ފަރާތުން އައި ހެޔޮ ކަމެވެ. ތިމަންކަލޭގެފާނުގެ މަންމާފުޅު ތިމަންކަލޭގެފާނު ވިހޭހިނދު، އެކަމަނާގެ ހަށިގަނޑުން އައްޔެއް ނުކުންނަތަން، އެކަމަނާއަށް ފެނިވަޑައިގެންނެވިއެވެ. އަދި އެ އަލިން، ޝާމްކަރައިގެ ގަނޑުވަރުތައް އަލިކުރުވިއެވެ.” އަލް އަލްބާނީ رحمه الله ވިދާޅުވިއެވެ. “މި ޙަދިޘް ބަސްފުޅުގެ ސަނަދަކީ ވަރަށް ވަރުގަދަ، ރަނގަޅު ސަނަދެކެވެ.”,
الترغيب والترهيب، المنذري,44639,استَحْيُوا من اللهِ حقَّ الحياءِ قال قلنا يا نبيَّ اللهِ إنَّا لنستحيي والحمدُ للهِ قال ليس ذلك ولكنَّ الاستحياءَ من اللهِ حقَّ الحياءِ أن تحفَظَ الرَّأسَ وما وعَى وتحفَظَ البطنَ وما حوَى ولتذكُرِ الموتَ والبِلَى ومن أراد الآخرةَ ترك زِينةَ الدُّنيا فمن فعل ذلك فقد استحيا من اللهِ حقَّ الحياءِ,ޢަބްދުﷲ ބުނު މަސްޢޫދު رضي الله عنهގެ އަރިހުން ރިވާވެގެންވެއެވެ. ރަސޫލުﷲ ޞައްލަﷲ ޢަލައިހި ވަސައްލަމް ޙަދީޘް ކުރެއްވިއެވެ. ” ތިޔަބައިމީހުން ލަދުވެތިވުން ޙައްގުގޮތުގައި ﷲއަށް ލަދުވެތިވާށެވެ.” އެކަލޭގެފާނު ވިދާޅުވިއެވެ. ތިމަންބޭކަލުން ދެންނެވީމެވެ. އޭ ﷲގެ ރަސޫލާއެވެ. އަހަރެމެން ލަދުވެތިވަމެވެ. އަދި ﷲއަށް ޙަމްދުހުއްޓެވެ. އެކަލޭގެފާނު ޙަދީޘް ކުރެއްވިއެވެ. ” އެހެނަކުން ނޫނެވެ. އަދި އެހެނެއްކަމަކު ﷲ ތަޢަލާއަށް ޙައްގުގޮތުގައި ލަދުވެތިވުމަކީ ތިބާގެ ބޮލާއި، ބޮލާއި ގުޅިފައަވާ ގުނަންތައް ރައްކާތެރި ކުރުމެވެ. އަދި ބަނޑާއި، ބަނޑާއި ގުޅިފައިވާ ގުނަންތައް ރައްކާތެރި ކުރުމެވެ. އަދި މަރާއި، ފާނަވެދިޔުން ހަނދާން ކުރުމެވެ. އަދި ޢާޚިރަތަށް އެދޭމީހާ ދުނިޔޭގެ ޒީނަތްތެރިން ދޫކޮށްލައެވެ. އަދި މިގޮތަށް އަމަލުކޮށްފިމީހާ ﷲ ތަޢާލާއަށް ލަދުވެތިވުން ޙައްގުގޮތުގައި ލަދުވެތިވެއްޖެއެވެ.,
الترغيب والترهيب، المنذري,2/103,من لم يشكرِ القليلَ لم يشكرِ الكثيرَ ومن لم يشكرِ النَّاسَ لم يشكرِ اللهَ والتحدُّثُ بنعمةِ اللهِ شكرٌ وتركُها كفرٌ والجماعةُ رحمةٌ والفُرقةُ عذابٌ,❞ އައްނުޢްމާނު ބުނު ބަޝީރު رَضِيَ اللَّهُ عَنْهُ އަރިހުން، ވިދާޅުވިއެވެ: ނަބިއްޔު ﷺ ޙަފީޘް ކުރެއްވި އެވެ: • މަދު މިންވަރަކަށް ޝުކުރު ނުކުރާ މީހެއް، ގިނަ މިންވަރަކަށް ޝުކުރު ނުކުރާނެތެވެ. • މީސްތަކުންނަށް ޝުކުރުވެރި ނުވާ މީހާ، ﷲ އަށް ޝުކުރުވެރި ނުވާނެއެވެ. • އަދި ﷲ ގެ ނިޢްމަތްތަކާއި މެދު ވާހަކަ ދެއްކުމީ ޝުކުރެވެ. އެކަން އެއްލާލުމަކީ ކުފުރެވެ. • އަދި ޖަމާއަތަކީ ރަޙުމަތެވެ. ބައިބައިވުމީ ޢަޛާބެވެ. ❝,
الترغيب والترهيب، المنذري,2/161,""" مَنْ بَاعَ جِلْدَ أُضْحِيَّتِهِ فَلَا أُضْحِيَّةَ لَهُ""","""އެމީހެއްގެ އުޟްޙިޔާގެ ހަންވިއްކައިފި މީހަކަށް އުޟްޙިޔާއެއްނުވެއެވެ.""",
