bodyAR,bodyDV
الدروس المهمة لعامة الأمة,އުއްމަތުގެ ޢާއްމުންނަށްޓަކައި މުހިންމު ފިލާވަޅުތަކެއް
لسماحة الشيخ العلامة,ލިޔުއްވީ: ސަމާޙަތުއްޝައިޚު އަލްޢައްލާމާ
عبد العزيز بن عبد الله بن باز -رحمه الله-,ޢަބްދުލް ޢަޒީޒު ބްނު ޢަބްދު ﷲ ބްނު ބާޒު (ﷲ ރަޙުމަތް ލައްވާށި)
بسم الله الرحمن الرحيم,ރަޙްމާނުވަންތަ ރަޙީމުވަންތަ ﷲ ގެ އިސްމުފުޅުން އަޅު ފަށަމެވެ.
مقدمة المؤلف,މުއައްލިފުގެ މުޤައްދިމާ
الحمد لله رب العالمين ، والعاقبة للمتقين ، وصلى الله وسلم على عبده ورسوله نبينا محمد ، وعلى آله وأصحابه أجمعين .,އެންމެހާ ޙަމްދު ވަނީ ޢާލަމްތަކުގެ ވެރި ރައްބު ﷲ އަށެވެ. އަދި (ދުނިޔެއާއި އާޚިރަތުގައި) ރަނގަޅު ނިމުން ވަނީ ތަޤުވާވެރީންނަށެވެ. އަދި ﷲ އެއިލާހުގެ އަޅާ އަދި އެއިލާހުގެ ރަސޫލާ، އަހަރުމެންގެ ނަބިއްޔާ މުޙައްމަދުގެފާނަށް ޞަލަވާތާއި ސަލާމް ލައްވާށިއެވެ! އަދި އެކަލޭގެފާނުގެ އާލުންނާއި އެންމެހާ އަޞްޙާބުން ޝާމިލުކުރައްވާށިއެވެ.
أما بعد :,އެއަށްފަހު ދަންނައެވެ:
فهذه كلمات موجزة في بيان بعض ما يجب أن يعرفه العامة عن دين الإسلام ، سميتها : (الدروس المهمة لعامة الأمة) .,ފަހެ މިއީ ޢާއްމުންނަށް އިސްލާމްދީނާމެދު ކޮންމެހެންވެސް އެނގެންޖެހޭ ކަންކަން ބަޔާންކޮށްވާ ޚުލާޞާ ބަސްތަކެކެވެ. މީގެ ނަމަކަށް އަހަރެން ކިޔާފައިވަނީ (އުއްމަތުގެ ޢާއްމުންނަށްޓަކައި މުހިންމު ފިލާވަޅުތަކެއް) މިފަދައިންނެވެ.
وأسأل الله أن ينفع بها المسلمين ، وأن يتقبلها مني ، إنه جواد كريم .,އަދި އަހުރެން ﷲ އަށް ދުޢާ ދަންނަވަނީ މި ބަސްތަކުން މުސްލިމުންނަށް މަންފާ ދެއްވުމަށެވެ. އަދި އަޅުގެ ކިބައިން މި ޤަބޫލުކުރެއްވުމަށެވެ. ހަމަކަށަވަރުން އެއީ ދީލަތިވަންތަ މާތް އިލާހެވެ.
عبد العزيز بن عبد الله بن باز,ޢަބުދުލް ޢަޒީޒު ބްނު ޢަބްދު ﷲ ބްނު ބާޒު،
الدروس المهمة لعامة الأمة [1],އުއްމަތުގެ ޢާއްމުންނަށްޓަކައި މުހިންމު ފިލާވަޅުތަކެއް [1]
[1] مجموع فتاوى ومقالات متنوعة (3/ 288- 298) .,[1] މަޖުމޫޢު ފަތާވާ ވަ މަޤާލާތު މުތަނައްވިޢާ (3 / 288 -298)
الدرس الأول: سورة الفاتحة وقصار السور,ފުރަތަމަ ފިލާވަޅު: ފާތިޙާ ސޫރަތާއި ކުރު ސޫރަތްތައް
سورة الفاتحة وما أمكن من قصار السور ، من سورة الزلزلة إلى سورة الناس ، تلقينا ، وتصحيحًا للقراءة ، وتحفيظًا ، وشرحًا لما يجب فهمه .,ފާތިޙާ ސޫރަތާއި سورة الزلزلة އިން سورة الناس އަށް ކުޅަދާނަވި ބައެއް ކުރު ސޫރަތްތައް، ތަލްޤީނުކޮށް ލައިދިނުމާއި، ކިޔެވުން އިޞްލާޙުކުރުމާއި، ޙިފްޒުކުރުމާއި، އަދި އޮޅުންފިލަން ޖެހޭ ތަކެތި ޝަރަޙަކުރުން.
الدرس الثاني: أركان الإسلام,ދެވަނަ ފިލާވަޅު: އިސްލާމްދީނުގެ ރުކުންތައް
بيان أركان الإسلام الخمسة ، وأولها وأعظمها :,އިސްލާމްދީނުގެ ފަސް ރުކުން ބަޔާންކުރުން، އޭގެ އެންމެ ފުރަތަމައީ އަދި އެންމެ މާތްވެގެންވަނީ:
شهادة أن لا إله إلا الله ، وأن محمدا رسول الله بشرح معانيها ، مع بيان شروط لا إله إلا الله ، ومعناها : (لا إله) نافيا جميع ما يعبد من دون الله ، (إلا الله) مثبتا العبادة لله وحده لا شريك له .,ޝަހާދަތުގެ ދެ ކަލިމަ لا إله إلا الله އާއި محمدا رسول الله ގެ މާނަ ޝަރަޙަ ކުރުމާއެކު لا إله إلا الله ގެ ޝަރުޠުތައް ބަޔާންކުރުމެވެ. އަދި އެކަލިމައިގެ މާނައީ: (لا إله) ﷲ ފިޔަވައި އަޅުކަން ކުރެވޭ އެންމެހާ ތަކެތި ނަފީކުރުމެވެ. (إلا الله) އަޅުކަންތައް ހަމައެކަނި ﷲ އަށް ސާބިތު ކުރުމެވެ. އެއީ އެއްކައުވަންތަ އިލާހެވެ. އަދި އެ އިލާހަށް ޝަރީކަކު ނުވެއެވެ.
وأما شروط (لا إله إلا الله) فهي : العلم المنافي للجهل ، واليقين المنافي للشك ، والإخلاص المنافي للشرك، والصدق المنافي للكذب ، والمحبة المنافية للبغض ، والانقياد المنافي للترك ، والقبول المنافي للرد ، والكفر بما يعبد من دون الله .,ދެންފަހެ (لا إله إلا الله) ގެ ޝަރުޠުތައް ދަންނައެވެ، ފަހެ އެއީ: ނޭނގުން ނަފީކުރާ އެނގުމެވެ. އަދި ޝައްކު ނަފީކުރާ ޔަޤީންކަމެވެ. އަދި ޝިރުކު ނަފީކުރާ އިޚްލާޞްތެރިކަމެވެ. އަދި ދޮގުވެރިވުން ނަފީކުރާ ތެދުވެރިކަމެވެ. އަދި ރުޅިއައުން ނަފީކުރާ ލޯތްބެވެ. އަދި ދޫކޮށްލުން ނަފީކުރާ ބޯލެނބުމެވެ. އަދި ރައްދުކުރުން ނަފީކުރާ ޤަބޫލުކުރުމެވެ. އަދި ﷲ ފިޔަވައި އަޅުކަންވެވޭ ތަކެއްޗަށް ކާފަރުވުމެވެ.
وقد جمعت في البيتين الآتيين :,އަންނަނިވި ދެ ޅެންބައިތުގައި އެޝަރުޠުތައް ޖަމަޢަވެގެންވެއެވެ:
علم يقين وإخلاص وصدقك مع ... محبة وانقياد والقبول لها,ޢިލްމާއި ޔަޤީންކަމާއި އިޚްލާޞްތެރިކަމާއި އަދި ތިބާގެ ތެދުވެރިކަމެވެ. އެއީ ލޯބިވުމާއި، އެއަށް ބޯލެނބުމާއި ޤަބޫލުކުރުމާ އެކުގައިއެވެ.
وزيد ثامنها الكفران منك بما...سوى الإله من الأشياء قد ألها,އަދި އޭގެ އަށްވަނައަށް އިތުރުކޮށްލެވުނެވެ. (ޙައްޤު) އިލާހު ފިޔަވައި އަޅުކަންވެވޭ އެހެން ހުރިހާ އެއްޗަކަށް ތިބާ ކާފަރުމެވެ.
مع بيان شهادة أن محمدا رسول الله ، ومقتضاها : تصديقه فيما أخبر ، وطاعته فيما أمر ، واجتناب ما نهى عنه وزجر ، وألا يعبد الله إلا بما شرعه الله -عز وجل- ورسوله -صلى الله عليه وسلم- .,މުޙައްމަދުގެފާނީ ﷲ ގެ ރަސޫލާކަމަށް ހެކިވުމަކީ ކޮބައިކަން ބަޔާންކުރުމާ އެކުގައިއެވެ. އެ ކަލިމައިން ލާޒިމްކުރާ ކަމަކީ: އެކަލޭގެފާނު ޚަބަރުދެއްވި ކަންތަކުގައި އެކަލޭގެފާނު ތެދުކުރުމާއި، އެކަލޭގެފާނު އަމުރުކުރެެއްވި ކަންތަކުގައި ކިޔަމަންވުމާއި، އެކަލޭގެފާނު މަނާކުރައްވާ އިންޒާރުދެއްވި ކަންތަކުން އެއްކިބާވުމާއި، އަދި ﷲ ޢައްޒަ ވަޖައްލަ އާއި އެކަލާނގެ ރަސޫލާ ﷺ ޝަރުޢުކުރެއްވި ގޮތަށް މެނުވީ ﷲ އަށް އަޅުކަން ނުކުރުމެވެ.
ثم يبين للطالب بقية أركان الإسلام الخمسة ، وهي : الصلاة ، والزكاة ، وصوم رمضان ، وحج بيت الله الحرام لمن استطاع إليه سبيلا .,ދެން އެއަށްފަހު އިސްލާމްކަމުގެ ފަސްރުކުނުގެ ތެރެއިން ބާކީ ހުރި ކަންތައް ދަރިވަރަށް ބަޔާންކޮށްދެވޭނެއެވެ. އެއީ: ނަމާދު، ޒަކާތް، ރަމަޟާންމަހު ރޯދަ އަދި ކުޅަދާނަކަން ލިބިގެންވާ މީހާ ޙުރުމަތްތެރިވެގެންވާ ﷲ ގެފުޅަށް ޙައްޖުވުމެވެ.
الدرس الثالث: أركان الإيمان,ތިންވަނަ ފިލާވަޅު: އީމާންކަމުގެ ރުކުންތައް
وهي ستة : أن تؤمن بالله، وملائكته ، وكتبه ، ورسله ، وباليوم الآخر ، وتؤمن بالقدر خيره وشره من الله تعالى .,އެއީ ހައެކެވެ. އެއީ ތިބާ ﷲ އަށް އީމާންވުމާއި، އެ އިލާހުގެ މަލާއިކަތުންނާއި، އެ އިލާހު ބާވައިލެއްވި ފޮތްތަކާއި، އެ އިލާހުގެ ރަސޫލުންނާއި، އާޚިރަތް ދުވަހަށް އީމާންވުމާއި، މިންވަރަށް -އޭގެ ހެޔޮ މިންވަރާއި ނުބައި މިންވަރުވެސް- އެއީ ﷲ ތަޢާލާގެ ހަޟްރަތުންވާ އެއްޗެއްކަމަށް އީމާންވުމެވެ.
الدرس الرابع: أقسام التوحيد وأقسام الشرك,ހަތަރުވަނަ ފިލާވަޅު: ތައުޙީދުގެ ބައިތަކާއި ޝިރުކުގެ ބައިތައް
بيان أقسام التوحيد ، وهي ثلاثة : توحيد الربوبية ، وتوحيد الألوهية ، وتوحيد الأسماء والصفات .,ތައުޙީދުގެ ބައިތައް ބަޔާންކުރުން، އެއީ ތިނެކެވެ. ތައުޙީދުއް ރުބޫބިއްޔަތާއި، ތައުޙީދުލް އުލޫހިއްޔަތާއި، ތައުޙީދުލް އަސްމާއި ވައްޞިފާތިއެވެ.
