bodyAR,bodyDV
فَضَائِلُ وَآدَابُ المَسْجِدِ النَّبَوِيِّ وَأَحْكَامُ زِيَارَةِ قَبْرِ النَّبِيِّ ﷺ وَقَبْرَي صَاحِبَيْهِ رَضِيَ اللَّهُ عَنْهُمَا,މަސްޖިދުއް ނަބަވީގެ ފަޟާއިލުތަކާއި އަދަބުތަކާއި، އަދި ނަބިއްޔާ ﷺ ގެ ޤަބުރުފުޅަށާއި، އެކަލޭގެފާނުގެ ދެ ޞާޙިބުން رضي الله عنهما ގެ ޤަބުރުފުޅަށް ޒިޔާރަތްކުރުމުގެ ޙުކުމްތައް
إعداد,ތައްޔާރުކުރީ
اللَّجْنَةُ العِلْمِيَّةُ بِرِئَاسَةِ الشُّؤُونِ الدِّينِيَّةِ بِالمَسْجِدِ الحَرَامِ وَالمَسْجِدِ النَّبَوِيِّ,މަސްޖިދުލް ޙަރާމް އާއި މަސްޖިދުއް ނަބަވީގެ ދީނީ ކަންތަކާ ބެހޭ މަޖްލީހުގެ ރިޔާސަތުގެ ދަށުންވާ ޢިލްމީ ކޮމިޓީ
1447هـ,1447ހ
المقدمة,މުޤައްދިމާ
الحمد لله رب العالمين، والصلاة والسلام على المبعوث رحمة للعالمين، وعلى آله وصحبه ومن استنَّ بسنته، واهتدى بهديه إلى يوم الدين، أما بعد:,ޙަމްދުހުރީ ޢާލަމްތަކުގެ ވެރި ރައްބު ﷲ އަށެވެ. އަދި ޞަލަވާތާއި ސަލާމް ހުރީ ޢާލަމްތަކަށް ރަޙްމަތެއްކަމުގައި ފޮނުއްވުނު ކަލޭގެފާނަށެވެ. އަދި އެކަލޭގެފާނުގެ އާލުންނާއި އަޞްޙާބުންނާ، އަދި ޤިޔާމަތާ ހަމައަށް އެކަލޭގެފާނުގެ ސުންނަތުގައި ހިފައި، އެކަލޭގެފާނުގެ ހިދާޔަތުން ހިދާޔަތް ލިބިގަތް މީހުންވެސް މި ޞަލަވާތުގައި ޝާމިލުކުރަމެވެ. އެއަށްފަހު ދަންނައެވެ:
فهذه رسالة موجزة، تضمنت أهم فضائل المسجد النبوي، وآداب زيارته، وآداب زيارة قبر النبي، وقبري صاحبيه ﷺ، جمعناها لزائري المسجد النبوي، حتى يكونوا على علمٍ وبصيرة بفضل مسجد نبي الأمة ﷺ، وآداب زيارته والصلاة فيه، راجين من الكريم المنّان أن ينفع بها، ويجعلها صالحة، ولوجهه خالصة، إنه خير مسؤول، وأكرم مأمول.,ފަހެ މިއީ، މަސްޖިދުއް ނަބަވީގެ އެންމެ މުހިއްމު މާތް ކަންތަކާއި، އެ ތަނަށް ޒިޔާރަތްކުރުމުގެ އަދަބުތަކާއި، އަދި ނަބިއްޔާ ﷺ އާއި އެކަލޭގެފާނުގެ ދެ އެކުވެރިންގެ ޤަބުރުފުޅުތަކަށް ޒިޔާރަތްކުރުމުގެ އަދަބުތައް ހިމެނޭ ކުރު ރިސާލާއެކެވެ. އަހަރުމެން އެ ކަންކަން ޖަމަޢަކުރީ، މަސްޖިދުއް ނަބަވީއަށް ޒިޔާރަތްކުރާ މީހުންނަށްޓަކައެވެ. އެއީ މި އުއްމަތުގެ ނަބިއްޔާ ﷺ ގެ މިސްކިތްކޮޅުގެ މާތްކަމާއި، އެ ތަނަށް ޒިޔާރަތްކުރުމާއި އެތަނުގައި ނަމާދުކުރުމުގެ އަދަބުތަކާމެދު ޢިލްމާއި ބަޞީރަތުގެ މަތީގައި އެމީހުން ވުމަށްޓަކައެވެ. މިކަން މިކުރަނީ މިއިން ފައިދާކުރުމަށާއި، ޞާލިޙު ޢަމަލެއްކަމުގައި ލެއްވުމަށާއި، އަދި އެއިލާހުގެ ވަޖްހުފުޅު އެދިގެން ޚާލިޞްކޮށް ކުރެވުނު ކަމެއްކަމުގައި ލެއްވުން އެދި، ދީލަތިވަންތަ، ގިނަގިނައިން ދެއްވާ އިލާހުގެ ޙަޟްރަތުގައި ދަންނަވާ ޙާލުގައެވެ. ހަމަކަށަވަރުން އެއިލާހުއީ (ކަންކަމަށް އެދި) ސުވާލުވެވޭ އެންމެ ހެޔޮ ފަރާތެވެ. އަދި (ހެޔޮކަމަށް އެދި އެ ފަރާތެއްގެ ޙަޟްރަތުން) އުއްމީދުކުރެވޭ އެންމެ މާތް ފަރާތެވެ.
اللجنة العلمية,ޢިލްމީ ކޮމިޓީ
أولًا: فضائل المسجد النبوي,ފުރަތަމައަށް: މަސްޖިދުއް ނަބަވީގެ މާތްކަންތައް
قال الله تعالى:,الله ތަޢާލާ ވަޙީކުރެއްވިއެވެ:
