bodyAR,bodyDV
الرسالة العاشرة: التَّحْذِيرُ مِنْ بِنَاءِ المَسَاجِدِ عَلَى اَلقُبُورِ,ދިހަވަނަ ރިސާލާ: ޤަބުރު މަތީގައި މިސްކިތް ބިނާކުރުމާމެދު އިންޛާރުދިނުން
بسم الله، والحمد لله والصلاة والسلام على رسول الله.,ﷲ ގެ އިސްމުފުޅުން ފަށަމެވެ. އަދި އެކަލާނގެއަށް ޙަމްދު ހުއްޓެވެ. ޞަލަވާތާއި ސަލާމްހުރީ ﷲ ގެ ރަސޫލާއަށެވެ.
أَمَّا بَعْدُ: فقد اطلعت على ما نُشر في العدد الثالث من مجلة رابطة العلوم الإسلامية في باب (أخبار المسلمين في شهر): أن رابطة العلوم الإسلامية في المملكة الأردنية الهاشمية تنوي إشادة مسجد على الكهف الذي اكتشف حديثًا في قرية الرحيب، وهو الكهف الذي يقال: إن أهل الكهف الوارد ذكرهم في القرآن الكريم رقدوا فيه، انتهى.,"އެއަށްފަހު ދަންނައެވެ: ރާބިޠަތުލް ޢުލޫމިލް އިސްލާމިއްޔާ މަޖައްލާގެ ތިންވަނަ ޢަދަދުގައި ޝާއިޢުކޮށްފައިވާ ވާހަކައެއް އަހަރެން ބަލައިފީމެވެ. އެއީ ""މުސްލިމުންގެ ޚަބަރުތައް އެއް މަހުން"" ކޮލަމްގައި: މަމްލަކަތުލް އުރްދުނިއްޔާ އަލްހާޝިމިއްޔާ (އެބަހީ: އުރުދުން) ގައިވާ ރާބިޠަތުލް ޢުލޫމިލް އިސްލާމިއްޔާއިން، އައްރުޙައިބު ސަހަރުގައި، މިފަހުން އަލަށް ފެނިގެން އުޅޭ ހޮހޮޅައެއްގެ މަތީގައި މިސްކިތެއް އެޅުމަށް ނިޔަތްގަނެ ޤަޞްދުކުރާކަމަށެވެ. އެއީ ކީރިތި ޤުރްއާނުގައި ކަހްފުގެ އަހުލުވެރިންކަމުގައި އައިސްފައިވާ މީހުން ނިދާފައި ތިބި ހޮހޮޅަކަމަށް ބުނެވޭކަމަށެވެ. މިއެވެ."
ونظرًا لواجب النصح لله ولعباده؛ رأيتُ أن أوجه كلمة في المجلة نفسها لرابطة العلوم الإسلامية في المملكة الأردنية الهاشمية؛ مضمونها: نصيحة الرابطة عن تنفيذ ما نوته من إشادة مسجد على الكهف المذكور؛ وما ذاك إِلَّا لأن إشادة المساجد على قبور الأنبياء والصالحين وآثارهم مما جاءت الشريعة الإسلامية الكاملة بالمنع منه والتحذير عنه، ولعن من فعله؛ لكونه من وسائل الشرك، والغلو في الأنبياء والصالحين،,ﷲ އަށާއި އެކަލާނގެ އަޅުތަކުންނަށް އިޚްލާޞްތެރިވެ ނަޞޭޙަތްތެރިވުމުގެ ވާޖިބަށްޓަކައި؛ ހަމަ އެ މަޖައްލާގައި، އުރުދުންގައިވާ ރާބިޠަތުލް ޢުލޫމިލް އިސްލާމިއްޔާއަށް ބަހެއް އަމާޒުކުރަން އަހަރެންނަށް ފެނުނެވެ. އޭގައި އެކުލެވޭނީ: އެ ނަންގަނެފައިވާ ހޮހޮޅައިގެ މަތީގައި މިސްކިތެއް އެޅުމަށް ރާބިޠާއިން ކުރާ ޤަޞްދު ތަންފީޒުކުރުމާމެދު ނަޞޭޙަތެއް ދިނުމެވެ. އެހެން އެކަންކުރި ސަބަބަކީ: އެހެނީ ނަބިއްޔުންނާއި ޞާލިޙުންނާއި އެބޭކަލުންގެ އަޘަރުތަކުގެ މަތީގައި މިސްކިތްތައް އެޅުމަކީ ފުރިހަމަވެގެންވާ އިސްލާމީ ޝަރީޢަތުގައި އެކަން މަނާވެ، އަދި އިންޛާރާއި، އެކަންކުރާ ބަޔަކަށް ލަޢުނަތްވެސް އައިސްފައިވާކަމަކަށް ވުމުންނެވެ. އެއީ ޝިރުކުގެ ވަސީލަތްތަކުގެ ތެރޭގައި، އަދި ނަބިއްޔުންނާއި ޞާލިޙުންނާމެދު ޙައްދުފަހަނައެޅުމަށް ގެންދާ ވަސީލަތްތަކުގެ ތެރޭގައިވާ ކަމަކަށްވުމުންނެވެ.
والواقع شاهد بصحة ما جاءت به الشريعة، ودليل على أنها من عند الله جل جلاله، وبرهان ساطع وحجة قاطعة على صدق رسول الله ﷺ فيما جاء به عن الله وبلغه الأمة.,ކަންކަން މިހާރު ހިނގަމުންދާ ވާޤިޢު، ޝަރީޢަތުގައި އައިސްފައިވާ ކަންތަކުގެ ޞައްޙަކަމަށް ހެކިދެއެވެ. އަދި އެއީ ﷲ ޖައްލަ ޖަލާލުހޫގެ ޙަޟްރަތުންވާ ޝަރީޢަތެއްކަމަށްވާ ދަލީލެކެވެ. އަދި ﷲ ގެ ރަސޫލާ ﷺ، ﷲ ގެ ޙަޟްރަތުން ގެންނަވާ، އަދި އުއްމަތަށް ފޯރުކޮށްދެއްވި ކަންތަކުގައި ތެދުވެރިވެގެންވާކަމަށްވާ އަލިގަދަ ބުރުހާނެއް އަދި ކަނޑައެޅިގެންވާ ޙުއްޖަތެކެވެ.
وكل من تأمل أحوال العالم الإسلامي، وما حصل فيه من الشرك والغلو؛ بسبب إشادة المساجد على الأضرحة، وتعظيمها وفرشها وتجميلها، واتخاذ السدَنة لها علم يقينًا أنها من وسائل الشرك، وأن من محاسن الشريعة الإسلامية المنع منها، والتحذير من إشادتها.,އިސްލާމީ ދުނިޔޭގެ ޙާލަތު ހުރި ގޮތާައި، އަދި ޒިޔާރަތްތަކުގެ މަތީގައި މިސްކިތްތައް އަޅާ، އެ ތަންތަން މަތިކޮށް ކާރޕެޓުއަޅާ، ޖަރީކޮށް އަދި އެ ތަންތަނަށް ޚިދުމަތްކުރަން މީހުން ހަމަޖައްސާ، މި ކަންކަމާހެދި ހިނގާފައިވާ ޝިރުކާއި ޙައްދުފަހަނައެޅުމުގެ ކަންކަމާމެދު ވިސްނާ ފިކުރުކޮށްފި ކޮންމެ މީހަކަށް ޔަޤީންކޮށް އެނގިގެންދާނީ އެ ކަންކަމީ ޝިރުކުގެ ވަސީލަތްތަކެއް ކަމެވެ. އަދި އެކަންކަން މަނާކޮށް، މިސްކިތްތައް (ޤަބުރާއި ޒިޔާރަތްތަކުގެ މަތީގައި) އެޅުމާމެދު އިންޛާރުދެވިގެންވުމީ އިސްލާމީ ޝަރީޢަތުގެ ރިވެތި ރަނގަޅު ޞިފަތަކުންވާ ކަމެއްކަމެވެ.
ومما ورد في ذلك ما رواه الشيخان البخاري ومسلم رحمة الله عليهما عن عائشة رضي الله عنها قالت: قال رسول الله ﷺ:,އެކަމުގައި އައިސްފައިވާ ޚަބަރުތަކުގެ ތެރޭގައި: -ދެ ޝެއިޚުން- އަލްބުޚާރީ އާއި މުސްލިމް رحمة الله عليهما ، ޢާއިޝާ رضي الله عنها ވިދާޅުވިކަމަށް ރިވާކުރެއްވި ޙަދީޘްވެއެވެ. ﷲ ގެ ރަސޫލާ ﷺ ޙަދީޘްކުރެއްވިއެވެ:
«لَعَنَ اللَّهُ الْيَهُودَ وَالنَّصَارَى، اتَّخَذُوا قُبُورَ أَنْبِيَائِهِمْ مَسَاجِدَ، قالَتْ عَائِشَةُ: يُحَذِّرُ مَا صَنَعُوا، قالَتْ: وَلَوْلَا ذَلِكَ لَأُبْرِزَ قَبْرُهُ، غَيْرَ أَنَّهُ خُشِيَ أَنْ يُتَّخَذَ مَسْجِدًا».,"“ޔަހޫދީންނާއި ނަޞާރާއިންނަށް ﷲ ލަޢުނަތް ލައްވާށިއެވެ. އެއުރެންގެ ނަބިއްޔުންގެ ޤަބުރުތައް މިސްކިތްތަކެއްގެ ގޮތުގައި އެއުރެން ހެދިއެވެ."" ޢާއިޝާ ވިދާޅުވިއެވެ: އެކަލޭގެފާނު އެމީހުން އެކުރި ކަންތަކާމެދު އިންޛާރުދެއްވަނީއެވެ. އެކަމަނާ ވިދާޅުވިއެވެ: އެކަންތައް ނުވިނަމަ (އެބަހީ: އެކަލޭގެފާނުގެ ޤަބުރުކޮޅު މިސްކިތެއްގެ ގޮތުގައި ނަގާފާނޭކަމުގެ ބިރު ނެތްނަމަ) އެކަލޭގެފާނުގެ ޤަބުރުކޮޅު ފާޅުކޮށް ނެރެވުނީހެވެ. ނަމަވެސް އެކަލޭގެފާނުގެ ޤަބުރުކޮޅު މިސްކިތެއްގެ ގޮތުގައި ނަގާފާނޭކަމަށް ބިރުހީކުރެވުނީއެވެ."""
وفي الصحيحين أيضًا «أن أم سلمة وأم حبيبة رضي الله عنهما ذكرتا لرسول الله ﷺ كنيسة رأتاها بأرض الحبشة، وما فيها من الصور، فقال ﷺ:,"އަދިވެސް ދެ ޞަޙީޙުގައިވެއެވެ: ""އުންމު ސަލަމާ އާއި އުންމު ޙަބީބާ رضي الله عنهما އަށް ޙަބަޝާއިން އެ ދެކަނބަލުންނަށް ފެނިވަޑައިގެންނެވި، ތަޞްވީރުތަކެއް ހުރި ފައްޅިއެއްގެ ވާހަކަ ﷲ ގެ ރަސޫލާ ﷺގެ އަރިހުގައި ނަންގަތެވެ. ދެން އެކަލޭގެފާނު ﷺ ޙަދީޘްކުރެއްވިއެވެ:"
«أُولَئِكَ إِذَا مَاتَ فِيهِمُ الرَّجُلُ الصَّالِحُ؛ بَنَوْا عَلَى قَبْرِهِ مَسْجِدًا، وَصَوَّرُوا فِيهِ تِلْكَ الصُّوَرَ، أُولَئِكَ شِرَارُ الْخَلْقِ عِنْدَ اللَّهِ».,"“އެމީހުންގެ ތެރޭގައިވާ ޞާލިޙު މީހެއް މަރުވާހިނދު؛ އޭނާގެ ޤަބުރުގެ މަތީގައި މިސްކިތެއް އަޅައެވެ. އަދި އެތަނުގައި އެ ޞޫރަތައް ޞޫރަކޮށް ބަހައްޓައެވެ. ފަހެ އެމީހުންނީ ﷲ ގެ ޙަޟްރަތުގައި، ޚަލްޤުތަކުންގެ ތެރެއިން އެންމެ ނުބައިވެގެންވާ މީހުންނެވެ."""
