bodyAR,bodyDV
الرسالة الحادية عشرة: دَفْنُ المَوْتَى فِي المَسَاجِدِ,އެގާރަވަނަ ރިސާލާ: މިސްކިތްތަކުގައި މައްޔިތުން ވަޅުލުން
بسم الله، والحمد لله، والصلاة والسلام على رسول الله، وعلى آله ومن اهتدى بهداه، أَمَّا بَعْدُ:,ﷲ ގެ އިސްމުފުޅުން ފަށަމެވެ. އަދި އެކަލާނގެއަށް ޙަމްދު ހުއްޓެވެ. ޞަލަވާތާއި ސަލާމްހުރީ ﷲ ގެ ރަސޫލާއަށެވެ. އަދި އެކަލޭގެފާނުގެ އާލުންނަށާއި، އެކަލޭގެފާނުގެ ތެދުމަގުން ހިދާޔަތު ލިބިގަތް ބަޔަކަށެވެ. އެއަށްފަހު ދަންނައެވެ:
فقد اطلعت على صحيفة «الخرطوم» الصادرة في: ١٧/ ٤ / ١٤١٥هـ؛ فألفيتها قد نُشر فيها بيان بدفن السيد محمد الحسن الإدريسي بجوار أبيه في مسجدهم بمدينة أم درمان... إلخ.,"ފަހެ ހިޖުރީ ތާރީޚުން 17 / 4 / 1415 ގައި ޗާޕުކޮށްފައިވާ (ސޫދާނުގެ ނޫހެއްކަމުގައިވާ) ""އަލްޚުރްޠޫމު"" ނޫސް އަހަރެން ބަލައިފީމެވެ. ދެން އަހަރެންނަށް ފެނުނީ: އުންމު ދުރްމާނު ސަހަރުގައި ހުންނަ އެމީހުންގެ މިސްކިތު ތެރޭގައި، ސައްޔިދު މުޙައްމަދު އަލްޙަސަނު އަލްއިދްރީސީ އޭނާގެ ބައްޕަގެ މަހާނަ ކައިރީގައި ވަޅުލިކަމުގެ ބަޔާނެއް ފަތުރާފައިވާތަނެވެ...އހ"
وَلِمَا أوجب الله من النصح للمسلمين، وبيان إنكار المنكر؛ رأيتُ التنبيه على أن الدفن في المساجد أمر لا يجوز، بل هو من وسائل الشرك، ومن أعمال اليهود والنصارى التي ذمهم الله عليها، ولعنهم رسوله ﷺ، كما في الصحيحين عن عائشة رضي الله عنها، عن النبي ﷺ أنه قال:,މުސްލިމުންނަށް ނަޞޭޙަތްތެރިވެ، މުންކަރާތަށް އިންކާރުކުރުން ﷲ ތަޢާލާ ވާޖިބުކުރައްވާފައިވާކަމުން؛ މިސްކިތްތަކުގައި މީހުން ވަޅުލުން ހުއްދަވެގެން ނުވާކަން ސަމާލުކަމަށް ގެންނަން އަހަރެންނަށް ފެނުނެވެ. ކިއެއްތަ، އެއީ ޝިރުކަށް މަގުފަހި ކުރާ ވަސީލަތްތަކުގެ ތެރޭގައިވާ ކަމެކެވެ. އަދި އެއީ، ﷲ އެ ކަންތަކެއްގެ މައްޗަށް ޔަހޫދީންނާއި ނަޞާރާއިން ކުށްވެރިކުރައްވާ ނުބައިކުރައްވާ، އަދި އެކަލާނގެ ރަސޫލާ ﷺ ވެސް އެމީހުންނަށް ލަޢުނަތްލެއްވި، އެމީހުންގެ ޢަމަލުތަކުންވާ ކަމެކެވެ. އެއީ ދެ ޞަޙީޙުގައި، ޢާއިޝާ رضي الله عنهاގެ އަރިހުން ރިވާވެގެންވާ ގޮތަށެވެ. ނަބިއްޔާ ﷺ ޙަދީޘްކުރެއްވިއެވެ:
«لَعَنَ اللَّهُ الْيَهُودَ وَالنَّصَارَى، اتَّخَذُوا قُبُورَ أَنْبِيَائِهِمْ مَسَاجِدَ»،,“ޔަހޫދީންނާއި ނަޞާރާއިންނަށް ﷲ ލަޢުނަތް ލައްވާށިއެވެ. އެއުރެންގެ ނަބިއްޔުންގެ ޤަބުރުތައް މިސްކިތްތަކެއްގެ ގޮތުގައި އެއުރެން ހެދިއެވެ.”
وفي صحيح مسلم، عن جندب بن عبد الله، عن النبي ﷺ، أنه قال:,އަދި ޞަޙީޙު މުސްލިމްގައި، ޖުންދުބު ބްނު ޢަބްދި ﷲ ގެ އަރިހުން، ނަބިއްޔާ ﷺ ޙަދީޘްކުރެއްވިކަމަށް އައިސްފައިވެއެވެ:
«أَلَا وَإِنَّ مَنْ كَانَ قَبْلَكُمْ كَانُوا يَتَّخِذُونَ قُبُورَ أَنْبِيَائِهِمْ وَصَالِحِيهِمْ مَسَاجِدَ، أَلَا فَلَا تَتَّخِذُوا الْقُبُورَ مَسَاجِدَ؛ فَإِنِّي أَنْهَاكُمْ عَنْ ذَلِكَ».,“ދަންނާށެވެ! ހަމަކަށަވަރުން ތިޔަބައިމީހުންގެ ކުރިން އިސްވެދިޔަ މީހުން، އެއުރެންގެ ނަބިއްޔުންނާއި ޞާލިޙުންގެ ޤަބުރުތަކަކީ މިސްކިތްތަކެއް ކަމުގައި ހަދައި އުޅުނެވެ. ދަންނާށެވެ! ފަހެ ތިޔަބައިމީހުން ޤަބުރުތައް މިސްކިތްތަކެއްގެ ގޮތުގައި ނުހަދާހުށިކަމެވެ. ފަހެ ތިމަންކަލޭގެފާނު ތިޔަބައިމީހުންނަށް އެކަން ނަހީކުރައްވަމެވެ.”
والأحاديث في هذا المعنى كثيرة.,މި މާނައިގައިވާ ޙަދީޘްތައް ގިނަވެގެންވެއެވެ.
فالواجب على المسلمين في كل مكان ـ حكومات وشعوبًا ـ: أن يتقوا الله، وأن يحذروا ما نهى عنه، وأن يدفنوا موتاهم خارج المساجد، كما كان النبي ﷺ وأصحابه رضي الله عنهم يدفنون الموتى خارج المساجد، وهكذا أتباعهم بإحسان.,އެހެންކަމުން ކޮންމެ ތަނެއްގައިވާ މުސްލިމުންނަށް -ސަރުކާރުތަކާއި ރައްޔިތުންގެ މައްޗަށްވެސް- ވާޖިބުވެގެންވަނީ ﷲ އަށް ތަޤުވާވެރިވެ، އެކަލާނގެ ނަހީކުރެއްވި ކަންތަކުން ދުރުވެ، އެމީހުންގެ ތެރެއިން މަރުވާ މީހުން މިސްކިތްތަކުގެ ބޭރުގައި ވަޅުލުމެވެ. އެއީ ނަބިއްޔާ ﷺ އާއި އެކަލޭގެފާނުގެ އަޞްޙާބުން رضي الله عنهم ވެސް މައްޔިތުން، މިސްކިތްތަކުގެ ބޭރުގައި ފަސްދާނުލައްވަމުން ގެންދެވިގޮތަށެވެ. އަދި އެބޭކަލުންނަށް އިޙްސާންތެރިކަމާއެކު ތަބަޢަވީ ބޭކަލުންވެސް މިފަދައިން ކަންތައް ކުރެއްވި ގޮތަށެވެ.
وَأَمَّا وجود قبر النبي ﷺ وصاحبيه أبي بكر وعمر رضي الله عنهما في مسجده ﷺ؛ فليس به حجة على دفن الموتى في المساجد؛ لأنه ﷺ دُفن في بيته ـ في بيت عائشة رضي الله عنها ـ، ثم دُفن صاحباه معه، فلما وسع الوليد بن عبد الملك المسجد أدخل الحجرة فيه على رأس المائة الأولى من الهجرة، وقد أنكر عليه ذلك أهل العلم، ولكنه رأى أن ذلك لا يمنع من التوسعة، وأن الأمر واضح لا يَشتبه.,ދެންފަހެ ނަބިއްޔާ ﷺ އާއި އެކަލޭގެފާނުގެ ދެ ޞަޙާބީންކަމުގައިވާ އަބޫބަކުރު އަދި ޢުމަރު رضي الله عنهما ޤަބުރުކޮޅުތައް އެކަލޭގެފާނު ﷺގެ މިސްކިތްކޮޅުގައި ވުން ދަންނައެވެ! ފަހެ މިސްކިތުގައި މައްޔިތުން ވަޅުލާކަށް އެއިން ޙުއްޖަތެއް ނުވެއެވެ. އެހެނީ ނަބިއްޔާ ﷺ ފަސްދާނުލެވުނީ އެކަލޭގެފާނުގެ ގެކޮޅުގައިއެވެ. އެއީ ޢާއިޝާ رضي الله عنها ގެ ގެކޮޅެވެ. ދެން އެކަލޭގެފާނުގެ ދެ ޞަޙާބީން އެކަލޭގެފާނާއެކު ފަސްދާނުލެވުނެވެ. ދެން ހިޖުރައިން ފުރަތަމަ ސަތޭކައިގެ ފެށުނުކޮޅު އަލްވަލީދު ބްނު ޢަބްދުލް މަލިކު، މިސްކިތްކޮޅުގެ ޖާގަބޮޑުކޮށް ތަނަވަސްކުރިހިނދު؛ މިސްކިތްކޮޅަށް (ޢާއިޝަތުގެފާނުގެ) ކޮޓަރިކޮޅުވެސް ވެއްދިއެވެ. ޢިލްމުގެ އަހުލުވެރިން އެކަމަށް އޭނާއަށް އިންކާރުކުރެއްވިއެވެ. ނަމަވެސް އޭނާ ދެކުނީ އޭގެ ސަބަބުން ޖާގަ ތަނަވަސްކުރަން ހުރަހެއް ނޭޅޭނެކަމަށާއި، އަދި އެކަންތައް އެއްވެސް އޮޅުމެއްނެތި ސާފުކޮށްވާ ކަމަށެވެ.
