bodyAR,bodyDV
الرسالة الثانية عشرة: بَيَانُ كُفْرِ وَضَلَالِ مَنْ زَعَمَ أَنَّهُ يَجُوزُ لِأَحَدٍ الخُرُوجُ عَنْ شَرِيعَةِ مُحَمَّدٍ ﷺ,ބާރަވަނަ ރިސާލާ: އެއްވެސް މީހަކު މުޙައްމަދު ﷺގެ ޝަރީޢަތުން ބޭރުވުން ހުއްދަވެގެންވާކަމަށް ދަޢުވާކޮށްފި މީހާގެ ކާފަރުކަމާއި މަގުފުރެދުން ބަޔާންކުރުން
الحمد لله رب العالمين، والصلاة والسلام على خاتم الأنبياء والمرسلين نبينا محمد، وعلى آله وصحبه أجمعين.,ޙަމްދުހުރީ ޢާލަމްތަކުގެ ވެރި ރައްބު ﷲ އަށެވެ. އަދި ޞަލަވާތާއި ސަލާމްހުރިީ ނަބިއްޔުންނާއި ރަސޫލުން ޚަތިމްކުރެއްވި އަހަރުމެންގެ ނަބިއްޔާ މުޙައްމަދުގެފާނަށެވެ. އަދި އެކަލޭގެފާނުގެ އާލުންނާއި، އެންމެހާ ޞަޙާބީންގެ މައްޗަށެވެ.
أَمَّا بَعْدُ: فقد اطلعت على المقال المنشور بجريدة الشرق الأوسط بعددها رقم (٥٨٢٤) وتاريخ ٥/ ٦/ ١٤١٥ هـ، كتبه من سمى نفسه: عبد الفتاح الحايك، تحت عنوان: (الفهم الخاطئ).,"އެއަށްފަހު ދަންނައެވެ: 'އައްޝަރްޤުލް އަވްސަޠު' ނޫހުގެ ޢަދަދު ނަންބަރު: 5824، ތާރީޚު 5 / 6 / 1415ހ ގައި ޝާއިޢުކޮށްފައިވާ މަޒުމޫނެއް އަހަރެން ބަލައިފީމެވެ. އެ ލިޔެފައިވަނީ: ޢަބްދުލް ފައްތާޙު އަލްޙާޔިކުއޭ ކިޔޭ މީހަކު، ""އަލްފަހްމުލް ޚާޠިއު"" (ނުބައި ފަހްމު) ސުރުޚީގެ ދަށުންނެވެ."
وملخص المقال: إنكاره لِمَا هو معلوم من دين الإسلام بالضرورة، وبالنص والإجماع؛ وهو عموم رسالة محمد ﷺ إلى جميع الناس، وادعاؤه أن من لم يتبع محمدًا ﷺ ولم يطعه، بل بقي يهوديًّا أو نصرانيًّا فهو على دين حق، ثم تطاول على رب العالمين سبحانه في حكمته في تعذيب الكفار والعصاة، وجعل ذلك من العبث.,އެ މަޒުމޫނުގެ ޚުލާޞާއަކީ: އިސްލާމްދީނުގެ ޟަރޫރީކޮށް، އަދި ނައްޞުންނާއި އިޖްމާޢުންވެސް އެނގިގެންވާ ކަމަކަށް އިންކާރު ކުރުމެވެ. އެއީ މުޙައްމަދު ﷺގެ ރިސާލަތު ހުރިހާ މީސްތަކުންނަށް ޢާއްމުވެގެންވާކަމެވެ. އަދި އޭނާ ދަޢުވާކޮށްފައިވަނީ މުޙައްމަދު ﷺ އަށް ތަބަޢަނުވެ، އަދި އެކަލޭގެފާނަށް ކިޔަމަންނުވެ، އޭގެ ބަދަލުގައި ޔަހޫދީއެއް ނުވަތަ ނަޞާރާއެއްގެ ގޮތުގައި ދެމިހުރެއްޖެ މީހާވެސް ފަހެ އެވަނީ ޙައްޤު ދީނެއްގެ މަތީގައިކަމަށެވެ. ދެން އެއަށްފަހު، ކާފަރުންނާއި އުރެދުންތެރިންނަށް ޢާލަމްތަކުގެ ވެރި ރައްބު ސުބްޙާނަހޫ ޢަޛާބުދެއްވުމުގައިވާ އެކަލާނގެ ޙިކްމަތްފުޅަށް އޭނާ އަރައިގަނެ، އެކަމަކީ ބޭކާރުކަމެއް ކަމުގައި ކަނޑައެޅިއެވެ.
وقد قام بتحريف النصوص الشرعية، ووضعها في غير مواضعها، وفسرها بما يمليه هواه، وأعرض عن الأدلة الشرعية والنصوص الصريحة الدَّالة على عموم رسالة محمد ﷺ، وعلى كُفر من سمع به ولم يتبعه، وأن الله لا يَقبل غير الإسلام دينًا، إلى غير ذلك من النصوص الصريحة التي أعرض عنها؛ لينخدع بكلامه الجُهَّال،,އަދި ޝަރުޢީ ނައްޞުތައް ތަޙުރީފުކޮށް، އެ ނައްޞުތައް އޭގެ މަޤާމު ނޫން ތަންތަނަށް ފައްތާ، އޭނާގެ އަމިއްލަ އެދުން ލައިދޭގޮތަށް އެ ނައްޞުތައް ތަފްސީރުކޮށް މާނަކުރިއެވެ. އަދި މުޙައްމަދު ﷺގެ ރިސާލަތު ޢާއްމުވެގެންވާކަމާއި، އެކަލޭގެފާނުގެ އަޑުއަހާ ދެން ތަބަޢަނުވެއްޖެ މީހާ ކާފަރުވެގެންވާކަމަށް ދަލީލުކުރާ ޞަރީޙަ ސާފު ޝަރުޢީ ދަލީލުތަކާއި ނައްޞުތަކަށް އޭނާ ފުރަގަސްދިނެވެ. އަދި އިސްލާމްދީން ފިޔަވައި އެހެން ދީނެއް ﷲ ޤަބޫލުނުކުރައްވާނޭކަމާއި، އެނޫންވެސް ޞަރީޙަ ނައްޞުތަކުން އޭނާ މޫނު އަނބުރާލިއެވެ. އެއީ ތަންދޮރު ނުދަންނަ ޖާހިލުން އޭނާގެ ވާހަކަތަކުގެ މަޅީގައި ޖެހި ކެހިވެރިވެގެން ދިޔުމަށެވެ.
وهذا الذي فعله كفر صريح، وردة عن الإسلام، وتكذيب لله سبحانه وتعالى ولرسوله ﷺ، كما يَعلم ذلك مَن قرأ المقال من أهل العلم والإيمان.,އޭނާ ކޮށްފައިވާ މި ކަމަކީ ޞަރީޙަ ކުފުރުގެ ޢަމަލެކެވެ. އަދި އިސްލާމްދީނުން ބޭރުވެ މުރުތައްދުވުމެވެ. އަދި ﷲ ސުބްޙާނަހޫ ވަތަޢާލާ އާއި އެކަލާނގެ ރަސޫލާ ﷺ ދޮގުކުޅައުމެވެ. އެއީ ޢިލްމާއި އީމާންކަމުގެ އަހުލުވެރިންގެ ތެރެއިން އެ މަޒުމޫނު ކިޔައިފި މީހަކަށް އެނގޭނެ ފަދައިންނެވެ.
والواجب على ولي الأمر: إحالته للمحكمة؛ لاستتابته، والحكم عليه بما يقتضيه الشرع المطهر.,ވަލިއްޔުލް އަމްރު (ވެރިމީހާ) ގެ މައްޗަށް ވާޖިބުވެގެންވަނީ: އޭނާގެ ކަންތައް ކޯޓަށް ފޮނުވުމެވެ. އެއީ އޭނާ ލައްވާ ތައުބާވުމަށް، އަދި ޠާހިރުވެގެންވާ ޝަރުޢު ނިޔާކުރާ ގޮތެއްގެ މަތިން އޭނާގެ މައްޗަށް ޙުކުމް ކުރުމަށެވެ.
والله سبحانه وتعالى قد بَيَّن عموم رسالة محمد ﷺ، ووجوب اتباعه على جميع الثقلين، وذلك لا يجهله من له أدنى مسكة من علم من المسلمين.,ﷲ ސުބްޙާނަހޫ ވަތަޢާލާވަނީ، މުޙައްމަދު ﷺ ގެ ރިސާލަތު ޢާއްމުވެގެންވާކަމާއި، އެކަލޭގެފާނަށް ތަބަޢަވުން އިންސީންނާއި ޖިންނީންގެ މައްޗަށް ވާޖިބުވެގެންވާކަން ބަޔާންކުރައްވާފައިއެވެ. އެއީ މުސްލިމުންގެ ތެރެއިން ޢިލްމުގެ ކަންފުޅެއް ހުރި މީހަކުވެސް ޖާހިލުނުވާނޭ ކަމެކެވެ.
قال الله تعالى:,ﷲ ތަޢާލާ ވަޙީކުރެއްވިއެވެ:
﴿قُلۡ يَٰٓأَيُّهَا ٱلنَّاسُ إِنِّي رَسُولُ ٱللَّهِ إِلَيۡكُمۡ جَمِيعًا ٱلَّذِي لَهُۥ مُلۡكُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۖ لَآ إِلَٰهَ إِلَّا هُوَ يُحۡيِۦ وَيُمِيتُۖ فَـَٔامِنُواْ بِٱللَّهِ وَرَسُولِهِ ٱلنَّبِيِّ ٱلۡأُمِّيِّ ٱلَّذِي يُؤۡمِنُ بِٱللَّهِ وَكَلِمَٰتِهِۦ وَٱتَّبِعُوهُ لَعَلَّكُمۡ تَهۡتَدُونَ158﴾,(ކަލޭގެފާނު ވިދާޅުވާށެވެ! އޭ މީސްތަކުންނޭވެ! ހަމަކަށަވަރުން، ތިމަންކަލޭގެފާނީ، ތިޔަބައިމީހުން އެންމެންގެ ގާތަށް اللَّه ފޮނުއްވި ރަސޫލާއެވެ. އެކަލާނގެއީ، އުޑުތަކާއި ބިމުގެ ވެރިކަން އެކަލާނގެއަށް މިލްކުވެގެންވާ ރަސްކަލާނގެއެވެ. އެކަލާނގެ މެނުވީ ޙައްޤުވެގެން އަޅުކަންވެވޭ އިލާހަކު ނުވެއެވެ. ދިރުއްވަނީވެސް އަދި މަރުގަންނަވަނީވެސް، އެކަލާނގެއެވެ. ފަހެ، اللَّه އަށާއި އުއްމިއްޔަ (ލިޔަންކިޔަން ނުދަންނަ) ނަބިއްޔާ ކަމުގައިވާ އެކަލާނގެ ރަސޫލާއަށް ތިޔަބައިމީހުން އީމާންވާށެވެ! އެކަލޭގެފާނީ اللَّه އަށާއި އެކަލާނގެ ބަސްފުޅުތަކަށް އީމާންވާ ނަބިއްޔާއެވެ. އަދި ތިޔަބައިމީހުން، އެކަލޭގެފާނަށް ތަބަޢަވާށެވެ! (އެއީ) ތިޔަބައިމީހުން ތެދުމަގު ލިބިގަތުމަށްޓަކައެވެ.)
