bodyAR,bodyDV
الرسالة الأولى,ފުރަތަމަ ރިސާލާ
العَقِيدَةُ الصَّحِيحَةُ وَمَا يُضَادُّهَا,ޞައްޙަ ޢަޤީދާއާއި އެއާ އިދިކޮޅުވާ ކަންކަން
تأليف,ލިޔުއްވީ:
سماحة الشيخ,ސަމާޙަތުއް-ޝައިޚު:
عبد العزيز بن عبد الله بن باز,ޢަބްދުލް ޢަޒީޒު ބްނު ޢަބްދު ﷲ ބްނު ބާޒު،
الحمد لله وحده، والصلاة والسلام على من لا نبي بعده، وعلى آله وصحبه.,ޙަމްދުހުރީ އެއްކައުވަންތަ ﷲ އަށެވެ. ޞަލަވާތާއި ސަލާމް ހުރީ އެކަލޭގެފާނަށްފަހު އެހެން ނަބިއްޔެއް ނުވާ ކަލޭގެފާނަށެވެ. އަދި އެކަލޭގެފާނުގެ އާލުންނާއި އަޞްޙާބުންނަށެވެ.
أما بعد: فإنه لما كانت العقيدة الصحيحة هي أصل دين الإسلام، وأساس الملة، فلقد رأيت أن من المهم الحديث عن هذا الموضوع، والكتابة والتأليف في بيانه وتوضيحه.,އެއަށްފަހު ދަންނައެވެ: ފަހެ ޞައްޙަ ޢަޤީދާއަކީ އިސްލާމްދީނުގެ އަޞްލުކަމުގަޔާއި އަދި މިއްލަތުގެ އަސާސްކަމުގައި ވީހިނދު؛ މި މައުޟޫޢާމެދު ވާހަކަދައްކާ، އަދި މިކަން ބަޔާންކޮށް ސާފުކޮށްދިނުމުގައި ލިޔެ ތައުލީފުކުރުމަކީ މުހިއްމުކަމެއް ކަމުގައި އަހަރެންނަށް ފެނުނެވެ.
ومن المعلوم بالأدلة الشرعية من الكتاب والسنة: أن الأعمال والأقوال إنما تَصِح وتُقبل إذا صدرت عن عقيدة صحيحة، أما إن كانت العقيدة غير صحيحة فإنه يبطل ما يتفرع عنها من أعمال وأقوال، كما قال تعالى:,އަދި ޤުރްއާނާއި ސުންނަތުގެ ޝަރުޢީ ދަލީލުތަކުން އެނގިގެންވާކަމަކީ: ޢަމަލުތަކާއި ބަސްތައް ޞައްޙަވެ ޤަބޫލުކުރެވޭހުށީ ޞައްޙަ ޢަޤީދާއަކުން އައިސްފިނަމައެވެ. ދެންފަހެ، ޢަޤީދާ ޞައްޙަވެގެން ނުވާނަމަ؛ އެއިން ފަޅައިގެން އަންނަ ޢަމަލުތަކާއި ބަސްތައް ބާޠިލުކޮށްލައެވެ. އެއީ ﷲ ތަޢާލާ ވަޙީކުރެއްވި ފަދައިންނެވެ:
﴿...وَمَن يَكۡفُرۡ بِٱلۡإِيمَٰنِ فَقَدۡ حَبِطَ عَمَلُهُۥ وَهُوَ فِي ٱلۡأٓخِرَةِ مِنَ ٱلۡخَٰسِرِينَ﴾,(...އަދި އީމާންކަމަށް ކާފަރުވާމީހާ ފަހެ، ހަމަކަށަވަރުން، އެމީހާގެ ޢަމަލު ބާޠިލުވެގެންވެއެވެ. އަދި އޭނާވަނީ އާޚިރަތުގައި ގެއްލެނިވެގެންވާ މީހުންގެ ތެރެއިންނެވެ.)
[المائدة: 5].,[އަލްމާއިދާ: 5].
