bodyAR,bodyDV
الرسالة الثانية: في حُكْمِ الِاسْتِغاثَةِ بِالنَّبِيِّ ﷺ,ދެވަނަ ރިސާލާ: ނަބިއްޔާ ﷺ ގެ ކިބައިން ވާތްގަށް އެދުމުގެ ޙުކުމާމެދު
الحمد لله، والصلاة والسلام على رسول الله، وعلى آله وأصحابه ومن اهتدى بهداه.,ޙަމްދުހުރީ ﷲ އަށެވެ. އަދި ޞަލަވާތާއި ސަލާމް ހުރީ ﷲ ގެ ރަސޫލާއަށެވެ. އަދި އެކަލޭގެފާނުގެ އާލުންނަށާއި، އެކަލޭގެފާނުގެ އަޞްޙާބުންނަށާއި، އެކަލޭގެފާނުގެ ތެދުމަގުން ތެދުމަގު ލިބިގަތް ބަޔަކަށެވެ.
أما بعد: فقد نشرت صحيفة المجتمع الكويتية في عددها ١٥، الصادر ١٩/ ٤/ ١٣٩٠ هـ أبياتًا تحت عنوان: (في ذكرى المولد النبوي الشريف)، وكانت هذه أبيات تتضمن الاستغاثة بالنبي ﷺ، والاستنصار به؛ لإدراك الأمة ونصرها وتخليصها مما وقعت فيه من التفرق والاختلاف، بإمضاء مَن سمَّت نفسها: (آمنة)، وهذا نص من الأبيات المشار إليها:,"އެއަށްފަހު ދަންނައެވެ: ހިޖުރައިން 19 / 4 / 1390ހ އަހަރު ޕަބްލިޝްކޮށްފައިވާ: ""އަލްމުޖްތަމަޢުލް ކުވައިތިއްޔާ"" ނޫހުގެ ޢަދަދު 15 ގައި، 'ޝަރަފުވެރި ޢީދު މީލާދުގެ ޛިކުރާގައި' ގެ ސުރުޚީ ދަށުން ޅެންބައިތުތަކެއް ވަނީ ޝާއިޢުކޮށް ފަތުރާފައިއެވެ. މި ޅެންބައިތުތަކުގައި ނަބިއްޔާ ﷺގެ އަރިހުން ވާތްގަށް އެދުމާއި، އެކަލޭގެފާނު މެދުވެރިކޮށް ނަޞްރަށް އެދުން ހިމެނިފައިއެވެ. އެއީ އުއްމަތް ވެއްޓިފައިވާ ބައިބައިވުމާއި އިޚްތިލާފުން ސަލާމަތްކޮށްދީ، ނަޞްރުލިބި، އުއްމަތާ އަރާހަމަކުރުމަށްޓަކައިއެވެ. މި ބައިތުތައް ލައިދީފައިވަނީ ""އާމިނަތު"" އޭ ކިޔުނު މީހެކެވެ. އިޝާރާތްކުރެވުނު ބައިތުތައް އޭގެ ނައްޞުން މިވަނީއެވެ:"
يا رسول الله أدرك عالمًا... يشعل الحرب ويصلى مـن لظاها,"يا رسول الله أدرك عالمًا... يشعل الحرب ويصلى مـن لظاها
 (އޭ ﷲ ގެ ރަސޫލާއެވެ. ހަނގުރާމައިގެ ހުޅުގަނޑު ރޯކޮށް، އޭގެ އަނގުރު އަލިފާނަށް ވެއްޓިފައިވާ ޢާލަމަކާ އަރާހަމަކުރައްވާ ހިއްޕަވާށިއެވެ.)"
يا رسول الله أدرك أمـة... في ظلام الشك قـد طـال سراها,"يا رسول الله أدرك أمـة... في ظلام الشك قـد طـال سراها
 (އޭ ﷲ ގެ ރަސޫލާއެވެ! ޝައްކުގެ އަނދިރިކަމުގެ ތެރޭގައިވެ، އެ އަނދިރިގަނޑުގައި ހިނގުން ދިގުލާފައިވާ އުއްމަތާ އަރާހަމަކުރައްވާށެވެ.)"
يا رسول الله أدرك أمـة... في متاهات الأسى ضاعت رؤاها,"يا رسول الله أدرك أمـة... في متاهات الأسى ضاعت رؤاها
 (އޭ ﷲ ގެ ރަސޫލާއެވެ! ހިތާމައިގެ ވާދީގައި، ފެނުން ގެއްލިގޮސްފައިވާ އުއްމަތާ އަރާހަމަކުރައްވާށެވެ.)"
إلى أن قالت:,އެހެންގޮސް އެކަނބުލޭގެ ކިޔެވެ:
عجل النصر كما عجلتـه... يوم بدر حين ناديت الإله,"عجل النصر كما عجلتـه... يوم بدر حين ناديت الإله
 (ބަދުރު ހަނގުރާމައިގެ ދުވަހު ކަލޭގެފާނު، އިލާހަށް ދަންނަވައިގެން ނަޞްރު އަވަސްކުރެއްވި ގޮތަށް ނަޞްރު އަވަސްކުރައްވާށިއެވެ.)"
فاستحال الذل نصرًا رائعًا... إن لله جــنــودًا لا تـراهـا,"فاستحال الذل نصرًا رائعًا... إن لله جــنــودًا لا تـراهـا
 (ދެން އޭރުން ނިކަމެތިކަން، ކުޅަދާނަ ނަޞްރަކަށް ބަދަލުވެގެން ގޮސްދާނެއެވެ. ހަމަކަށަވަރުން ތިބާއަށް ނުފެންނަ ލަޝްކަރެއް ﷲ އަށް ލިބިވޮޑިގެންވެއެވެ.)"
(هكذا تُوجِّه هذه الكاتبة نداءها واستغاثتها إلى الرسول ﷺ، طالبةً منه إدراك الأمة بتعجيل النصر، ناسية ـ أو جاهلة ـ أن النصر بيد الله وحده، وليس بيد النبي ﷺ ولا غيره من المخلوقات، كما قال الله سبحانه في كتابه المبين:,މިގޮތަށް މި ލިޔުންތެރިޔާގެ ނިދާއާއި ވާގިއެދުން ރަސޫލާ ﷺ އަށް އަމާޒުކޮށް ޤަޞްދުކުރިއެވެ. އުއްމަތަށް ނަޞްރު ދެއްވުން އަވަސްކޮށްދިނުމަށް އެކަލޭގެފާނުގެ އަރިހުން އެދޭ ޙާލުގައިއެވެ. އެއީ ނަޞްރުދެއްވުން ނަބިއްޔާ ﷺގެ އަތްޕުޅަކު، އަދި އެހެން އެއްވެސް މަޚްލޫޤެއްގެ އަތަކުވެސް ނުވާކަމާއި، ނަޞްރުދެއްވުންވަނީ ހަމައެކަނި ﷲ ގެ އަތްޕުޅުގައިކަމާމެދު އެކަނބުލޭގެ ހަނދާންނެތިގެން -ނުވަތަ އެކަމާމެދު ޖާހިލުވެގެންވާ- ޙާލުގައިއެވެ. އެއީ ﷲ ސުބްޙާނަހޫ އެކަލާނގެ ބަޔާންވެގެންވާ ފޮތުގައި ވަޙީކުރެއްވި ފަދައިންނެވެ:
