bodyAR,bodyDV
الرسالة التاسعة: حُكْمُ السِّحْرِ وَالكَهَانَةِ وَمَا يَتَعَلَّقُ بِهَا [1],ނުވަވަނަ ރިސާލާ: ސިޙުރާއި ކަހީނުކަމުގެ ޙުކުމާއި އެއާ ގުޅިފައިވާ ކަންކަން [1]
[1] نشرت هذه الوصية في كراسة برقم 17 عن الرئاسة العامة لإدارات البحوث العلمية والإفتاء والدعوة والإرشاد عام 1402هـ.,[1] މި ވަޞިއްޔަތް ޝާއިޢުކޮށް ފަތުރާފައިވަނީ، އައްރިޔާސަތުލް ޢާއްމާ ލިއިދާރާތިލް ބުޙޫޘިލް ޢިލްމިއްޔާ ވަލްއިފްތާއު ވައްދަޢުވާ ވަލްއިރްޝާދު އިން ހިޖުރައިން 1402 ވަނަ އަހަރުގައި 17 ވަނަ ނަންބަރުގެ ލީފްލެޓެއްގައިއެވެ.
الحمد لله وحده، والصلاة والسلام على من لا نبي بعده، أما بعد:,ޙަމްދުހުރީ އެއްކައުވަންތަ ﷲ އަށެވެ. ޞަލަވާތާއި ސަލާމް ހުރީ އެކަލޭގެފާނަށްފަހު އެހެން ނަބިއްޔެއް ނުވާ ކަލޭގެފާނަށެވެ. އެއަށްފަހު ދަންނައެވެ:
فنظرًا لكثرة المشعوذين في الآونة الأخيرة ممن يدَّعون الطب ويعالجون عن طريق السحر أو الكهانة، وانتشارهم في بعض البلاد، واستغلالهم للسذج من الناس ممن يغلب عليهم الجهل؛ رأيت من باب النصيحة لله ولعباده أن أبين ما في ذلك من خطر عظيم على الإسلام والمسلمين؛ لما فيه من التعلق بغير الله تعالى، ومخالفة أمره وأمر رسوله ﷺ.,މިހާރަކަށް އައިސް ޑޮކްޓަރީކަމަށް ދަޢުވާކުރާ މީހުންގެ ތެރޭގައި ސިޙުރުވެރިން ގިނަކަމަށް ފެނި، އަދި ސިޙުރުވެރިކަން ނުވަތަ ކަހީނުކަމުން ލާފައި އެމީހުން ފަރުވާކޮށް، އަދި ބައެއް ބިންތަކުގައި އެމީހުން ފެތުރި، އަދި ޖާހިލުކަން ގަދަވެފައިވާ ބައެއް ރޯނުފިލާ ޢާއްމުން އެމީހުން ވާވައްދައިގެން އުޅޭތީވެ؛ ﷲ އާއި އެކަލާނގެ އަޅުތަކުންނަށް އިޚްލާޞްތެރިވެ ނަޞޭޙަތްތެރިވުމުގެ ބާބުން؛ އެކަމުގައި އިސްލާމްދީނަށާއި މުސްލިމުންގެ މައްޗަށް ހުރި ބޮޑުވެގެންވާ ނުރައްކާ ބަޔާންކޮށްދިނުމަށް އަހަރެންނަށް ފެނުނެވެ. އެއީ ﷲ ތަޢާލާ ފިޔަވައި އެހެން ފަރާތަކަށް ގުޅި ބަރޯސާވުމާއި، އެކަލާނގެ އަމުރުފުޅާއި އެކަލާނގެ ރަސޫލާ ﷺގެ އަމުރުފުޅާ ޚިލާފުވުން އެކަމުގައި ވާކަމަށްޓަކައިއެވެ.
فأقول مستعينًا بالله تعالى: يجوز التداوي اتفاقًا، وللمسلم أن يذهب إلى دكتور أمراض باطنية أو جراحية أو عصبية أو نحو ذلك؛ ليشخص له مرضه ويعالجه بما يناسبه من الأدوية المباحة شرعًا؛ حسبما يعرفه في علم الطب؛ لأن ذلك من باب الأخذ بالأسباب العادية ولا ينافي التوكل على الله، وقد أنزل الله سبحانه وتعالى الداء وأنزل معه الدواء؛ عرف ذلك من عرفه وجهله من جهله، ولكنه سبحانه لم يجعل شفاء عباده فيما حرمه عليهم.,އެގޮތުން ﷲ ތަޢާލާގެ ޙަޟްރަތުން އެހީ ހޯދާޙާލު އަހަރެން ބުނަމެވެ: ބޭސްފަރުވާ ކުރުމަކީ އިއްތިފާޤުން ހުއްދަ ކަމެކެވެ. މުސްލިމްމީހާ؛ އެތެރެހަށީގެ ބަލިތައް ބަލާ ޑޮކްޓަރެއް ގާތަށް، ނުވަތަ އޮޕަރޭޝަނާ، ނުވަތަ ނާރުތަކާ ބެހޭ، ނުވަތަ އެނޫންވެސް އެފަދަ ޑޮކްޓަރެއްގެ ގާތަށް އޭނާގެ ބަލި ބަލާ، އަދި އެއާ މުނާސަބުވާ، އަދި ޑޮކްޓަރީ ޢިލްމުގައި އެނގިފައިވާ މިންވަރަކުން ޝަރުޢީގޮތުން ހުއްދަވެގެންވާ ބޭސްތަކުން ފަރުވާކުރަން ހަމަ ދާންވީއެވެ. އެހެނީ އެއީ ޢާދައިގެ މައްޗަށްވާ ސަބަބުތަކުގައި ހިފުމުގެ ބާބުގައިވާ ކަމެކެވެ. އަދި ﷲ އަށް ވަކީލުކުރުން އެކަން ނަފީ ނުކުރެއެވެ. ﷲ ސުބްޙާނަހޫ ވަތަޢާލާ ބަލިމަޑުކަން ބާވައިލެއްވިއެވެ. އަދި އެއާއެކު އޭގެ ފަރުވާވެސް ބާވައިލެއްވިއެވެ. އެނގުނު މީހަކަށް އެ ފަރުވާ އެނގެއެވެ. އަދި ނޭނގުނު މީހަކަށް ނޭނގުނީއެވެ. ނަމަވެސް އަޅުތަކުންނަށް އެކަލާނގެ ޙަރާމްކުރައްވާފައިވާ ކަމެއްގައި، އެކަލާނގެ އެމީހުންނަށް ޝިފާ ލައްވާފައި ނުވެއެވެ.
فلا يجوز للمريض أن يذهب إلى الكهنة الذين يدَّعون معرفة المغيبات؛ ليعرف منهم مرضه، كما لا يجوز له أن يصدقهم فيما يخبرونه به فإنهم يتكلمون رجمًا بالغيب، أو يستحضرون الجن ليستعينوا بهم على ما يريدون، وهؤلاء حكمهم الكفر والضلال إذا ادعوا علم الغيب،,އެގޮތުން ޣައިބުގެ ކަންކަން އެނގޭކަމަށް ދަޢުވާކުރާ ކާހިނުންގެ ގާތަށް؛ ޖެހިފައިވާ ބަލި ދެނެގަތުމަށްޓަކައި ދިޔުން ބަލިމީހާއަށް ހުއްދަވެގެން ނުވެއެވެ. އެފަދައިންމެ، އެމީހުން ޚަބަރުދޭ ކަންކަން ތެދުކުރުންވެސް ހުއްދަވެގެން ނުވެއެވެ. އެހެނީ އެމީހުންނީ ހީއަކަށް ޣައިބުގެ ވާހަކަތައް ދައްކާ، ނުވަތަ އެމީހުން ބޭނުންވާ ކަންތަކަށް އެހީހޯދަން ޖިންނިން ގެނެސް އުޅޭ ބައެކެވެ. މިވެރިން ޣައިބުގެ ޢިލްމު އެނގޭކަމަށް ދަޢުވާކޮށްފިނަމަ މި މީހުންގެ ޙުކުމަކީ ކާފަރުވެ މަގުފުރެދިގެންވުމެވެ.
وقد روى مسلم في صحيحه أن النبي ﷺ قال:,މުސްލިމް އެކަލޭގެފާނުގެ ޞަޙީޙުގައި، ނަބިއްޔާ ﷺ ޙަދީޘްކުރެއްވިކަމަށް ރިވާކުރެއްވިއެވެ:
«مَنْ أَتَى عَرَّافًا فَسَأَلَهُ عَنْ شَيْءٍ، لَمْ تُقْبَلْ لَهُ صَلَاةٌ أَرْبَعِينَ يَوْمًا».,"""ޢައްރާފެއް (ކަހީނެއް ނުވަތަ އަތްބަލާ މީހެއް) ގެ ގާތަށް ގޮސް، ކަމަކާމެދު އޭނާގެ ގާތުން ސުވާލުކޮށްފި މީހާ؛ ސާޅީސް ދުވަހުގެ ނަމާދު އޭނާގެ ކިބައިން ޤަބޫލު ނުކުރެވޭހުއްޓެވެ."""
وعن أبي هريرة رضي الله عنه عن النبي ﷺ قال:,އަދި އަބޫ ހުރައިރާ رضي الله عنه ގެ އަރިހުން، ނަބިއްޔާ ﷺ ޙަދީޘްކުރެއްވިކަމަށް ރިވާކުރެވުނެވެ:
«مَنْ أَتَى كَاهِنًا فَصَدَّقَهُ بِمَا يَقُولُ، فَقَدْ كَفَرَ بِمَا أُنْزِلَ عَلَى مُحَمَّدٍ ﷺ».,"""ކާހިނެއްގެ ގާތަށް ގޮސް، ދެން އޭނާ ބުނާ އެއްޗެއް ތެދުކޮށްފި މީހާ؛ ފަހެ ހަމަކަށަވަރުން މުޙައްމަދު ﷺ ގެ މައްޗަށް ބާވައިލެއްވުނު އެއްޗަކަށް ކާފަރުވެއްޖެއެވެ."""
