bodyAR,bodyDV
حِصْنُ المُسْلِمِ مِنْ أَذْكَارِ الكِتَابِ وَالسُّنَّةِ,ޙިޞްނުލް މުސްލިމް - ޤުރްއާނާއި ސުންނަތުގެ ޛިކުރުތަކުން މުސްލިމްމީހާގެ ކިއްލާ
الفقير إلى اللَّهِ تعالى,ﷲ ތަޢާލާއަށް ފަޤީރުވެގެންވާ އަޅާ
د. سَعِيدُ بْنُ عَلِيِّ بْنِ وَهْفٍ القَحْطَانِيُّ,ޑ. ސަޢީދު ބްނު ޢަލީ ބްނު ވަހްފު އަލް-ޤަޙްޠާނީ
بسم الله الرحمن الرحيم,"(بسم الله الرحمن الرحيم)
 ރަޙްމާންވަންތަ ރަޙީމްވަންތަ ﷲ ގެ ނަންފުޅުން ފަށަމެވެ."
المقدمة,މުޤައްދިމާ
إِنَّ الحَمْدَ للَّهِ، نَحْمَدُهُ، وَنَسْتَعِينُهُ، وَنَسْتَغْفِرُهُ، وَنَعُوذُ بِاللَّهِ مِنْ شُرُورِ أَنْفُسِنَا، وَسَيِّئَاتِ أَعْمَالِنَا، مَنْ يَهْدِهِ اللَّهُ فَلَا مُضِلَّ لَهُ، وَمَنْ يُضْلِلْ فَلَا هَادِيَ لَهُ، وَأَشْهَدُ أَنْ لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ،,ހަމަކަށަވަރުން އެންމެހާ ޙަމްދެއްހުރީ ﷲ އަށެވެ. އަޅަމެން އެއިލާހުއަށް ޙަމްދުކުރަމެވެ. އަދި އެއިލާހުގެ ޙަޟްރަތުން އެހީތެރިކަމަށް އެދެމެވެ. އަދި އެއިލާހުގެ ޙަޟްރަތުން ފާފަފުއްސެވުމަށް އެދެމެވެ. އަދި އަޅަމެންގެ ނަފްސުތަކުގެ ނުބައިކަމުންނާއި، އަޅަމެންގެ ނުބައި ޢަމަލުތަކުގެ ނުބައިކަމުން ރައްކާތެރިކޮށްދެއްވުމަށް ﷲ ގެ ޙަޟްރަތުން އެދެމެވެ. ﷲ ތެދުމަގު ދައްކަވާ މީހަކު މަގުފުރައްދާނޭ އެކަކުވެސް ނުވެއެވެ. އަދި އެއިލާހު މަގުފުރައްދަވައިފި މީހަކަށް ތެދުމަގު ދެއްކޭނެ މީހަކު ނުވެއެވެ. އަދި ﷲ މެނުވީ ޙައްޤުވެގެން އަޅުކަންވެވޭ އިލާހަކު ނުވާކަމަށް އަޅު ހެކިވަމެވެ. އެއިލާހު އެއްކައުވަންތައެވެ. އެއިލާހުއަށް އެއްވެސް ޝަރީކަކު ނުވެއެވެ.
وَأَشْهَدُ أَنَّ مُحَمَّدًا عَبْدُهُ وَرَسُولُهُ، صَلَّى اللَّهُ عَلَيْهِ وَعَلَى آلِهِ وَأَصْحَابِهِ، وَمَنْ تَبِعَهُمْ بِإِحْسَانٍ إِلَى يَوْمِ الدِّينِ، وَسَلَّمَ تَسْلِيمًَا كَثِيرًَا، أَمَّا بَعْدُ:,އަދި މުޙައްމަދުގެފާނީ އެއިލާހުގެ އަޅާ އަދި ރަސޫލާ ކަމަށް އަޅު ހެކިވަމެވެ. އެކަލޭގެފާނަށާއި، އެކަލޭގެފާނުގެ އާލުންނާއި އަޞްޙާބުންނާއި، ޤިޔާމަތްދުވަހާ ހަމައަށް އިޙްސާންތެރިކަމާއެކު އެބޭކަލުންނަށް ތަބަޢަވީހާ ބައެއްގެ މައްޗަށް ﷲ ޞަލަވާތާއި ގިނަގުނަ ސަލާމް ލައްވާށިއެވެ. އެއަށްފަހު ދަންނައެވެ:
فَهَذَا مُخْتَصَرٌ اخْتَصَرْتُهُ مِنْ كِتَابِي: الذِّكْرُ وَالدُّعَاءُ وَالعِلَاجُ بِالرُّقَى مِنَ الكِتَابِ وَالسُّنَّةِ [1] اخْتَصَرْتُ فِيهِ قِسْمَ الأَذْكَارِ؛ لِيَكُونَ خَفِيفَ الحَمْلِ فِي الأَسْفَارِ.,ފަހެ މިއީ އަހަރެންގެ ފޮތް: (ޤުރްއާނާއި ސުންނަތުން ޛިކުރާއި ދުޢާ އަދި ރުޤްޔާއިން ފަރުވާ) [1] މިއިން ޚުލާޞާކުރި ފޮތެކެވެ. ޛިކުރުތަކުގެ ބައި އަހަރެން މީގައި ޚުލާޞާކޮށްލީމެވެ. އެއީ ދަތުރުތަކުގައި ލުއިކޮށް އުފުލޭ ފޮތެއްކަމުގައި ވުމަށެވެ.
[1] وقد طبع الأصل المذكور، وللَّه الحمد، مع تخريج أحاديثه تخريجًا موسعًا في أربعة مجلدات. حصن المسلم في المجلد الأول والثاني منها.,[1] ނަންގަނެވިފައިވާ އަޞްލުފޮތްވަނީ މިހާރު ޗާޕުކުރެވިފައެވެ. ﷲ އަށް ޙަމްދުހުއްޓެވެ. އެއީ އެ ފޮތުގެ ޙަދީޘްތައް ފުޅާކޮށް ނެރެ ތަޚްރީޖުކޮށްގެން ހަތަރު މުޖައްލަދުގައެވެ. ޙިޞްނުލް މުސްލިމް ފޮތްވަނީ އޭގެ ފުރަތަމަ އަދި ދެވަނަ މުޖައްލަދުގައެވެ.
وَقَدِ اقْتَصَرْتُ عَلَى مَتْنِ الذِّكْرِ، وَاكْتَفَيْتُ فِي تَخْرِيجِهِ بِذِكْرِ مَصْدَرٍ أَوْ مَصْدَرَيْنِ مِمَّا وُجِدَ فِي الأَصْلِ، وَمَنْ أَرَادَ مَعْرِفَةَ الصَّحَابِيِّ أَوْ زِيَادَةً فِي التَّخِرِيجِ فَعَلَيْهِ بِالرُّجُوعِ إِلَى الأَصْلِ،,އަހަރެން މީގައި ހަމައެކަނި ޛިކުރުގެ މަތަނު ގެނައުމުގެ މައްޗަށް ހަނިކޮށްލީމެވެ. އަދި އެ ޛިކުރެއް ތަޚްރީޖުކުރުމުގައި، އަޞްލު ފޮތުގައި އޮތް އެކެއް ނުވަތަ ދެ މަޞްދަރެއް ގެނެސްގެން ފުއްދާލީމެވެ. (ޛިކުރު އައިސްފައިވާ ޙަދީޘް ރިވާކުރި) ޞަޙާބީ ނުވަތަ ތަޚުރީޖު އިތުރަށް ހޯދަން ބޭނުން މީހަކު ފަހެ އަޞްލު ފޮތަށް ރުޖޫޢަވާށެވެ.
