bodyAR,bodyDV,foot
كَيفِيَّةُ صَلَاةِ النَّبِيِّ ﷺ,ނަބީ ﷺ ގެ ނަމާދުގެ ކައިފިއްޔަތު,ކައިފިއްޔަތު: ކަމެއް ކުރި ގޮތް ނުވަތަ ކުރީ ކިހިނެއްކަން.
سماحة الشيخ,ސަމާޙަތުއް-ޝައިޚު,
عبدالعزيز بن عبدالله بن باز,ޢަބްދުލް-ޢަޒީޒު ބްނު ޢަބްދު ﷲ ބްނު ބާޒް,
بسم الله الرحمن الرحيم,"(بسم الله الرحمن الرحيم)
 ﷲ، އައް-ރަޙްމާން، އައް-ރަޙީމުގެ ނަންފުޅުން (ފަށަމެވެ.)","އައް-ރަޙްމާނު: މާތް ﷲ ގެ ނަންފުޅެއް، ނުހަނު ރަޙްމަތް ލައްވާ ރަޙްމާނުވަންތަ އިލާހު
 އައް-ރަޙީމް: މާތް ﷲ ގެ ނަންފުޅެއް، ނުހަނު ރަޙްމު ކުރައްވާ ރަޙީމްވަންތަ އިލާހު."
الحمد لله وحده، والصلاة والسلام على عبده ورسوله نبينا محمد وآله وصحبه، أما بعد:,ޙަމްދު ހުރީ ހަމައެކަނި ﷲ އަށެވެ. އަދި ޞަލަވާތާއި ސަލާމް ހުރީ އެކަލާނގެ އަޅާ އަދި އެކަލާނގެ ރަސޫލު ކަމުގައިވާ، އަހަރެމެންގެ ނަބީ މުޙައްމަދު ﷺ ގެ މައްޗަށެވެ. އަދި އެއާއެކުގައި، އެކަލޭގެފާނުގެ އާލުންނާއި އަދި އެކަލޭގެފާނުގެ ޞަޙާބީންގެ މައްޗަށްވެސް މެއެވެ. އެއަށްފަހުގައި ދަންނައެވެ:,
فهذه كلمات موجزة في بيان صفة صلاة النبي ﷺ أردت تقديمها إلى كل مسلم ومسلمة ليجتهد كل من يطلع عليها في التأسي به في ذلك؛ لقوله ﷺ:,ފަހެ މިއީ، ނަބީ ﷺ ގެ ނަމާދުގެ ޞިފަ ބަޔާންކުރެއްވުމުގައިވާ ކުރު ޚުލާޞާ ކަލިމަތަކެކެވެ. އަހުރެން ބޭނުންވީ، ކޮންމެ މުސްލިމު ފިރިހެނަކާއި އަދި މުސްލިމު އަންހެނަކަށް މި ހުށަހަޅައި ދިނުމަށެވެ. އެއީ އެޔަށް ބަލައިފި ކޮންމެ މީހަކު، އެކަމުގައި އެކަލޭގެފާނަށް ތަބަޢަވުމަށް ގަދައަޅައި މަސައްކަތް ކުރުމަށްޓަކައިއެވެ. އެއީ އެކަލޭގެފާނު ﷺ ގެ މިބަސްފުޅަށްޓަކައެވެ:,
(صَلُّوا كَمَا رَأَيْتُمُونِي أُصَلِّي) [1].,"""ތިމަންކަލޭގެފާނު ނަމާދުކުޅަ ގޮތް ތިޔަބައިމީހުންނަށް ފެނުނު ފަދައިން ތިޔަބައިމީހުން ނަމާދުކުރާ ހުށިކަމެވެ.""[1]",
وإلى القارئ بيان ذلك:,އަދި ކިޔުންތެރިޔާއަށް އެކަމުގެ ބަޔާން ހުށަހަޅާލަމެވެ:,
[1] رواه البخاري، برقم (605).,[1] އެޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީއެވެ. އެއީ ނަމްބަރު (605) ގައެވެ.,
1- يسبغ الوضوء، وهو أن يتوضأ كما أمره اللّه عملًا بقوله سبحانه وتعالى:,1- ވުޟޫގައި އިސްބާޣުކުރާނީއެވެ. އަދި އެއީ އެކަމަށް ﷲ އަމުރު ކުރައްވާފައިވާ ގޮތަށް ވުޟޫކުރުމެވެ. އެއީ އެކަލާނގެ سبحانه وتعالى ގެ މިބަސްފުޅަށް ޢަމަލުކުރުމުގެ ގޮތުންނެވެ:,"އިސްބާޣުކުރުން: ފުރާފުރިހަމަކުރުން.
 ފިޤުހީ ގޮތުން ވުޟޫގައި އިސްބާޣުކުރުމަކީ، ވުޟޫގެ ހުރިހާ ފަރުޟުތަކާއި ސުންނަތްތަކާއި މުސްތަޙައްބާތުތައް އެންމެ ފުރިހަމައަށް އަދާކޮށް ވުޟޫ ފުރިހަމަ ކުރުމެވެ."
