bodyAR,bodyDV
المختصر في صفة العمرة وأحكامها,ޢުމްރާގެ ޞިފައާއި އަދި އޭގެ ޙުކުމްތަކާމެދުގައިވާ ކުރު ޚުލާޞާއެއް
الحمد لله رب العالمين، والصلاة والسلام على نبينا محمد، وعلى آله وصحبه أجمعين.الحمد لله رب العالمين، والصلاة والسلام على نبينا محمد، وعلى آله وصحبه أجمعين.,"الحمد لله رب العالمين، والصلاة والسلام على نبينا محمد، وعلى آله وصحبه أجمعين
 ޙަމްދުހުރީ ޢާލަމްތަކުގެ ވެރި ރައްބު ﷲ އަށެވެ. އަދި ޞަލަވާތާއި ސަލާމްހުރިީ އަހަރުމެންގެ ނަބިއްޔާ މުޙައްމަދުގެފާނުގެ މައްޗަށެވެ. އަދި އެކަލޭގެފާނުގެ އާލުންނާއި، އެންމެހާ ޞަޙާބީންގެ މައްޗަށެވެ."
أما بعد:,އެއަށްފަހު ދަންނައެވެ:
فهذه رسالة مختصرة في صفة العمرة وأحكامها وآدابها، حرصنا فيها على بيان غالب ما يحتاج إليه المعتمر.,ފަހެ މިއީ ޢުމްރާގެ ސިފައާއި، އަދި އޭގެ ޙުކުމްތަކާއި އަދަބުތަކާމެދުގައިވާ ކުރު ޚުލާޞާ ރިސާލާއެކެވެ. އަހަރުމެން މީގައި ސަމާލުކަން ދީފައިވާނީ: ޢުމްރާވާ މީހާއަށް، ޢާއްމުކޮށް ގިނަފަހަރު ޙާޖަތްޖެހި ބޭނުންވާ ކަންކަން ބަޔާންކުރުމުގެ މައްޗަށެވެ.
والله نسأل أن يجعلها خالصة لوجهه الكريم، وأن ينفع بها عموم المسلمين.,މި ރިސާލާ، ﷲ ގެ މާތް ވަޖްހުފުޅު އަދައިގެން ކުރެވުނު އިޚްލާޞްތެރި ކަމެއްކަމުގައި ލެއްވުން އެދި، އަދި ޢާއްމު އެންމެހާ މުސްލިމުންނަށް މިއިން ނަފާކުރުމަށް އެދި ދަންނަވަނީ، ﷲ ގެ ޙަޟްރަތަށެވެ.
اللجنة العلمية بجمعية خدمة المحتوى الإسلامي باللغات,"(އައް-ލަޖްނަތުލް-ޢިލްމިއްޔަތު ބިޖަމްޢިއްޔަތި ޚިދްމަތިލް-މުޙްތަވަލް-އިސްލާމީ ބިއް-ލުޣާތި)
 އެކި ބަސްބަހުން އިސްލާމީ އުފެއްދުންތަކަށް ޚިދުމަތްކުރާ ޖަމްޢިއްޔާގެ ޢިލްމީ ލަޖްނާ"
تمهيد,އިސްބަސް
أولًا: شروط قبول العبادة,ފުރަތަމައަށް: އަޅުކަން ޤަބޫލުވުމުގެ ޝަރުޠުތައް
العبادة لا تكون مقبولة عند الله تعالى إلا بشرطين:,ދެ ޝަރުޠަކާ ލައިގެން މެނުވީ ﷲ ތަޢާލާގެ ޙަޟްރަތުގައި އަޅުކަން ޤަބޫލުވެގެން ނުވެއެވެ:
الإخلاص، وذلك بأن يقصد بها وجه الله والدار الآخرة، قال الله تعالى:,(ފުރަތަމަ ޝަރުޠު:) އިޚްލާޞްތެރިވުމެވެ. އެއީ އެކަމަކުން ﷲ ގެ ވަޖްހުފުޅާއި އާޚިރަތުގެ ގޮވެތި ޤަޞްދުކުރުމެވެ. ﷲ ތަޢާލާ ވަޙީކުރެއްވިއެވެ:
