bodyAR,bodyDV
رِسَالَةٌ فِي الدِّمَاءِ الطَّبِيعِيَّةِ لِلنِّسَاءِ,އަންހެނުންގެ ޠަބީޢީ ލެއާ ބެހޭ ރިސާލާއެއް
بقلم فضيلة الشَّيخ العلَّامة,ލިޔުއްވީ: ފަޟީލަތުއް-ޝައިޚު އަލް-ޢައްލާމާ
محمَّدُ بْنُ صَالِحِ العُثَيْمِين,މުޙައްމަދު ބްނު ޞާލިޙު އަލް-ޢުޘައިމީން
غَفَرَ اللَّهُ لَهُ وَلِوَالِدَيهِ وَلِلْمُسْلِمِين,އެބޭފުޅާއާއި، އެބޭފުޅާގެ މައިންބަފައިންނާއި، އަދި މުސްލިމުންނަށް الله ފާފަ ފުއްސަވާށިއެވެ.
بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيم,"(بسم الله الرحمن الرحيم)
 ﷲ، އައް-ރަޙްމާން، އައް-ރަޙީމުގެ ނަންފުޅުން (ފަށަމެވެ.)"
الحَمدُ للَّهِ نحمدُه ونستعينُهُ ونستغفرُهُ، ونتوبُ إليه،,ﷲ އަށް ޙަމްދު ހުއްޓެވެ. އަޅަމެން އެއިލާހުއަށް ޙަމްދުކުރަމެވެ. އަދި އެއިލާހުގެ ޙަޟްރަތުން ވާގިވެރިކަމަށް އެދެމެވެ. އަދި އެއިލާހުގެ ޙަޟްރަތުން ފާފަ ފުއްސެވުމަށް އެދެމެވެ. އަދި އަޅަމެން އެއިލާހުއަށް ތަޥްބާވަމެވެ.
ونَعوذُ باللَّهِ مِن شُرورِ أنفُسِنا، ومِن سَيِّئاتِ أعمالِنا.,އަދި އަޅަމެންގެ އަމިއްލަ ނަފްސުތަކުގެ ނުބައިކަމުންނާއި، އަޅަމެންގެ ގޯސް ޢަމަލުތަކުގެ ނުބައިކަމުން الله ގެ ޙަޟްރަތުން ރައްކާތެރިކަން ހޯދަމެވެ.
مَنْ يهدِه اللَّهُ فلا مُضِلَّ له، ومَنْ يُضلِل فلا هاديَ له،,ﷲ ތެދުމަގު ދައްކަވައިފި މީހަކު، ފަހެ އޭނާ މަގުފުރައްދާނެ މީހަކު ނުވެއެވެ. އަދި އެއިލާހު މަގުފުރައްދަވައިފި މީހަކަށް، ފަހެ އޭނާއަށް ތެދުމަގު ދެއްކޭނެ މީހަކު ނުވެއެވެ.
وَأَشْهَدُ أَنْ لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَه,އަދި الله ފިޔަވައި ޙައްޤުވެގެން އަޅުކަންވެވޭ އެހެން އިލާހަކު ނުވާކަމަށް އަޅު ހެކިވަމެވެ. އެއިލާހު އެއްކައުވަންތަ ވެގެންވެއެވެ. އެއިލާހަށް ޝަރީކަކު ބައިވެރިޔަކު ނުވެއެވެ.
وأشهدُ أَنَّ محمدًا عبدُه ورسولُه،,އަދި މުޙައްމަދުގެފާނީ އެއިލާހުގެ އަޅާ އަދި ރަސޫލުކަމަށް އަޅު ހެކިވަމެވެ.
صلَّى اللَّهُ عليه وعلى آلِهِ وأصحابِه ومَن تبِعَهُم بإحسانٍ إلى يومِ الدِّينِ، وسلَّم تسليمًا.,الله އެކަލޭގެފާނަށާއި، އެކަލޭގެފާނުގެ އާލުންނާއި އަދި އެކަލޭގެފާނުގެ އަޞްޙާބުންގެ މައްޗަށް ޞަލަވާތާއި ސަލާމުން ސަލާމް ލައްވާށިއެވެ. އަދި ޤިޔާމަތާ ހަމައަށް ހެޔޮގޮތުގައި އެބޭކަލުންނަށް ތަބަޢަވި މީހުންނަށްވެސް މެއެވެ.
