bodyAR,bodyDV
رِسَالَتَانِ مُوجَزَتَانِ فِي الزَّكَاةِ وَالصِّيَامِ,ޒަކާތާއި ރޯދައާ ބެހޭ ޚުލާޞާ ދެ ރިސާލާ
لِسَمَاحَةِ الشَّيْخِ,ލިޔުއްވީ: ސަމާޙަތުއް-ޝައިޚު
عَبْدِ العَزِيزِ بْنِ عَبْدِ اللهِ بْنِ بَازٍ,ޢަބްދުލް-ޢަޒީޒު ބްނު ޢަބްދު ﷲ ބްނު ބާޒު
رَحِمَهُ اللهُ,رحمه الله އެވެ.
الرسالة الأولى,ފުރަތަމަ ރިސާލާ
فِي بُحُوثٍ هَامَّةٍ حَوْلَ الزَّكَاةِ,ޒަކާތާއި ބެހޭ މުހިއްމު ބަޙުޘްތަކެއް
بِسْمِ اللهِ الرَّحْمَنِ الرَّحِيمِ,ރަޙްމާނުވަންތަ، ރަޙީމުވަންތަ، ﷲ ގެ އިސްމުފުޅުން ފަށަމެވެ.
الحمد لله وحده، والصلاة والسلام على من لا نبي بعده، وعلى آله وصحبه، أما بعد:,ޙަމްދުހުރީ އެއްކައުވަންތަ ﷲ އަށެވެ. ޞަލަވާތާއި ސަލާމް ހުރީ އެކަލޭގެފާނަށްފަހު އެހެން ނަބިއްޔެއް ނުވާ ކަލޭގެފާނަށެވެ. އަދި އެކަލޭގެފާނުގެ އާލުންނާއި އަޞްޙާބުންނަށެވެ. އެއަށްފަހު ދަންނައެވެ:
فإن الباعث لكتابة هذه الكلمة هو النصح والتذكير بفريضة الزكاة التي تساهل بها الكثير من المسلمين فلم يخرجوها على الوجه المشروع مع عظم شأنها، وكونها أحد أركان الإسلام الخمسة التي لا يستقيم بناؤه إلا عليها؛ لقول النبي ﷺ:,ފަހެ، މި ބަސްކޮޅު ލިޔުމަށް ބާރުއެޅި ސަބަބަކީ، އެއީ އޭގެ ކަންތައް މަތިވެރިވެފައި، އަދި އިސްލާމްދީނުގެ ބިނާ އެ ރުކުންތަކުގެ މައްޗަށް މެނުވީ ޤާއިމުވެގެންނުވާ، އިސްލާމްދީނުގެ ފަސް ރުކުނުގެ ތެރެއިން ރުކުނެއް ކަމުގައި އެކަންތައް ވީނަމަވެސް، މުސްލިމުންގެ ތެރެއިން ގިނަ ބަޔަކު އެކަމަށް ފަރުވާކުޑަކޮށް، ޝަރުޢުވެގެންވާ ގޮތުގައި އަދާނުކުރާ ޒަކާތުގެ ފަރުޟާމެދު ނަޞޭޙަތްތެރިވެ ހަނދާންކޮށްދިނުމެވެ. އެއީ ނަބީ ﷺ ގެ މި ބަސްފުޅަށްޓަކައެވެ:
«بُنِيَ الإِسْلَامُ عَلَى خَمْسٍ: شَهَادَةِ أَنْ لَا إِلَهَ إِلَّا اللهُ وَأَنَّ مُحَمَّدًا رَسُولُ اللهِ، وَإِقَامِ الصَّلَاةِ، وَإِيتَاءِ الزَّكَاةِ، وَصَوْمِ رَمَضَانَ، وَحَجِّ البَيْتِ»[1]،,"""އިސްލާމްކަން ބިނާވެގެންވަނީ ފަސް ކަމެއްގެ މައްޗަށެވެ: ﷲ ފިޔަވައި ޙައްޤުވެގެން އަޅުކަންވެވޭ އިލާހަކު ނުވާކަމަށާއި މުޙައްމަދުގެފާނީ ﷲ ގެ ރަސޫލުކަމަށް ހެކިވުމާއި، ނަމާދު ޤާއިމްކުރުމާއި، ޒަކާތްދިނުމާއި، ރަމަޟާންމަހު ރޯދަހިފުމާއި، ގެފުޅަށް ޙައްޖުވުމެވެ."" [1]،"
