ayahW2W,ayahDV
بِسْمِ اللَّهِ = ﷲ ގެ ނަންފުޅުން އަޅުފަށަމެވެ. الرَّحْمَـٰنِ = އެންމެހައި خَلْقُ ތަކުންނަށް عَامُّ ކޮށް ދުނިޔޭގައި رحمة ލައްވާ. الرَّحِيمِ = مؤمن އަޅުންނަށް قيامة ދުވަހުން خَاصّ ގޮތެއްގައި رحمة ލައްވާ.,"• ފުރަތަމަ أَعُوذُ ގެމާނަ: ހެޔޮކަމާދުރުވެގެންވާ އަދި لَعْنَة ލެއްވި ފައްސައިލެވިގެންވާ شيطان އާގެ ފަރާތުން ސަލާމަތްވެ ރައްކާތެރިވުމަށް ﷲ ގެ حضرة ން މިއަޅާ حماية އާއި ރައްކާތެރިކަން ލިބިގަންނަމެވެ.
-------------
(1) ﷲ ގެ ނަންފުޅުން އަޅުފަށަމެވެ. އެކަލާނގެއީ އެންމެހައި خلق ތަކުންނަށް عامّ ކޮށް ދުނިޔޭގައި رحمة ލައްވާ ކަލާނގެއެވެ. އަދި މުއުމިނު އަޅުތަކުންނަށް قيامة ދުވަހުން خاصّ ގޮތެއްގައި رحمة ލައްވާ ކަލާނގެއެވެ."
الْحَمْدُ لِلَّهِ = އެންމެހައި تَعْرِيف އާއި ثَنَاء خَاصّ ވެ މިލްކުވެގެންވަނީ ﷲ އަށެވެ. رَبِّ الْعَالَمِينَ = އެއީ عالم ތައް ހައްދަވާބޮޑުކުރައްވާ އެތަކެތި تربيّة ކުރައްވާ އެތަކެތީގެ ވެރިކަލާނގެއެވެ. (عَالَم އަކީ ﷲ ފިޔަވައި ދެން އެހެން ހުރިހާ ތަކެއްޗެވެ.),(2) އެންމެހައި تَعْرِيف އާއި ثَنَاء خاصّ ވެ މިލްކުވެގެންވަނީ ﷲ އަށެވެ. އެކަލާނގެއީ عالم ތައް ހައްދަވާބޮޑުކުރައްވާ އެތަކެތި ތަރްބިއްޔަތު ކުރައްވާ އެތަކެތީގެވެރި ކަލާނގެއެވެ. (عَالَم ތަކަކީ ﷲ ފިޔަވައި ދެންހުރި ހުރިހާއެއްޗެކެވެ. والله أعلم.)
الرَّحْمَـٰنِ = އެންމެހައި خلق ތަކުންނަށް عامّ ކޮށް ދުނިޔޭގައި رحمة ލައްވާ. الرَّحِيمِ = مؤمن އަޅުންނަށް قيامة ދުވަހުން خَاصّ ގޮތެއްގައި رحمة ލައްވާ.,(3) އެކަލާނގެއީ އެންމެހައި خلق ތަކުންނަށް عامّ ގޮތެއްގައި رحمة ލައްވާ ކަލާނގެއެވެ. އަދި މުއުމިނުތަކުންނަށް قيامة ދުވަހުން خاصّ ގޮތެއްގައި رحمة ލައްވާ ކަލާނގެއެވެ.
مَالِكِ يَوْمِ الدِّينِ = عَمَلُ ތަކަށް ހިސާބުބައްލަވާ ދުވަހުގެވެރި.,(4) އެކަލާނގެއީ عمل ތަކަށް ހިސާބުބައްލަވާ ޖަޒާދެއްވާ ދުވަހުގެ ވެރިކަލާނގެއެވެ.
إِيَّاكَ نَعْبُدُ = އަޅަމެން އަޅުކަންކުރަނީ (އަދިކުރާނީވެސް) ހަމަ އެކަނި އިބަރަސްކަލާނގެއަށެވެ. وَإِيَّاكَ نَسْتَعِينُ = އަދި އަޅަމެން ވާގިއެދެނީ (އަދި އެދޭނީވެސް) ހަމަ އެކަނި އިބަރަސްކަލާނގެ حضرة ންނެވެ.,(5) (އަޅަމެންގެ رَبُّއެވެ.) އަޅަމެން އަޅުކަންކުރަނީ (އަދިކުރާނީވެސް) އިބަރަސްކަލާނގެއަށެވެ. އަދި އަޅަމެން ވާގިއެދެނީ (އަދިއެދޭނީވެސް) ހަމަ އިބަރަސްކަލާނގެ حضرة ންނެވެ.
اهْدِنَا الصِّرَاطَ = އަޅަމެނަށް މަގުދައްކަވާނދޭވެ. الْمُسْتَقِيمَ = ސީދާވެގެންވާ.,(6) އަޅަމެނަށް ސީދާވެގެންވާ ތެދުމަގު ދައްކަވާނދޭވެ.
"صِرَاطَ الَّذِينَ = އެބޭކަލުންގެ މަގެވެ. أَنْعَمْتَ عَلَيْهِمْ = އިބަރަސްކަލާނގެ އެބޭކަލުންގެ މައްޗަށް نعمة ލެއްވި. غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ = އެބައިމީހުންގެ މައްޗަށް ކޯފާލެއްވުނު މީހުންގެ މަގެއްނޫނެވެ. وَلَا الضَّالِّينَ = އަދި މަގުފުރެދިގެންވާ މީހުންގެ މަގެއްވެސް ނުމެނޫންމެއެވެ.
-------------
آمين އަޅަމެންގެ دعاء އިޖާބަކުރައްވާނދޭވެ.","(7) އެއީ އިބަރަސްކަލާނގެ އެބޭބޭކަލުންނަށް نعمة ލެއްވި (ރަސޫލުބޭކަލުންނާއި ނަބީބޭކަލުންނާއި ޝަހީދުންނާއި صدّيق ންފަދަ) ބޭބޭކަލުންގެ މަގެވެ. އަދި (ޔަހޫދީންފަދައިން) ކޯފާލެއްވުނު މީހުންގެ މަގެއްނޫނެވެ. އަދި (نصارى އިންފަދައިން) މަގުފުރެދުނުމީހުންގެ މަގެއްވެސްނުމެނޫންމެއެވެ.
• ދަންނައެ! آمين މިކަލިމައަކީ الحمد ގެ ބައެއްނޫނެވެ. އެއީ خاصّ دعاء އެކެވެ. އޭގެ މާނައަކީ އަޅަމެންގެ دعاء އިޖާބަކުރައްވާނދޭވެ. މިއެވެ.
• أَعُوذ އާއި بِسْم އާއި އަދި الحمد ގައި އެކުލެވިގެންވާ ބައެއް ކަލިމައާއިމެދު تفسير علم ވެރިން ދައްކަވާފައިވާ ދިގު تَفْصِيل ވާހަކައާއި إِخْتِلاَفُ މިކުޑަކުޑަ ތަރުޖަމާއަށް އުފުލައިގަނެވޭވަރު ނުވާތީއެވާހަކަތައް ﷲ توفيق ދެއްވި އެހެން ވަގުތެއްގައި ކޮންމެވެސް މިންވަރަކަށް بيان ކޮށްދިނުމުގެ قصد ގައި އިހަށް ބޭއްވީއެވެ. އެވާހަކަތައް އަޅުގަނޑުމެންނަށް ބަޔާންކޮށްދެވޭތޯ ޤަލަމްކޮޅުތައް حركات ކުރެއްވި ބޭބޭކަލުންނަށް ﷲ ހެޔޮ رحمة އާއި މާތް ދަރަޖަދެއްވާނދޭވެ! އަޅަމެން އޭގައި شامل ކުރައްވާނދޭވެ! آمين آمين آمين."
الم = (މިއަކުރުތަކުގެ މާނަ މޮޅަށް ދެނެވޮޑިގެންވަނީ ﷲ އެވެ.),"(1) މިއަކުރުތަކާއި ދެންވެސް ބައެއް ސޫރަތް ފެށޭތަންތާގައި ހުންނަ މިބާވަތުގެ ތަފާތު އަކުރުތަކުގެ ފުރިހަމަ މުރާދު މޮޅަށް ދެނެވޮޑިގެންވަނީ ހަމަ ﷲ އެވެ. އެއީ عامّ ކޮށް ހުރިހާ علم ވެރިންގެވެސް ފުރަތަމަބަހެވެ. އެޔާއެކުވެސް އެބޭކަލުން ތަފާތު رأى ތަކާއި خيال ތައް ފާޅުކުރައްވާފައިވެއެވެ. އޭގެތެރެއިން:
• قتادة ގެ އަރިހުން އައި ރިވާޔަތުގައިވަނީ އެއީ قرآن ގެ ނަންތަކުގެ ތެރެއިން ނަމެއްކަމަށެވެ.
• مُجَاهِدُ ގެ އަރިހުން އައި ރިވާޔަތުގައިވަނީ އެއީ الله تَعَالى ސޫރަތް ފައްޓަވައިދޭ فَوَاتِحُ ކަމަށެވެ. އެބަހީ: ފެށުންތަކެކެވެ.
• عبدالرّحمن بن زَيْد ގެ އަރިހުން އައި ރިވާޔަތުގައިވަނީ އެއީ ސޫރަތަށްވާ ނަމެއްކަމުގައެވެ.
• ابن عبّاس ވިދާޅުވިކަމަށް السّدّى ގެ އަރިހުންވާ ރިވާޔަތުގައިވަނީ އެއީ إسْمُ ﷲ الأعُظَمُ ކަމުގައެވެ.
• އަދި ابن عبّاس ގެ އެހެން ރިވާޔަތެއްގައިވަނީ އެއީ ﷲ ގެ إسْمُ ފުޅެއްކަމުގައެވެ.
• އަދި ابن عبّاس ގެ އެހެން ރިވާޔަތެއްގައިވަނީ އެއީ أَنَا ﷲ [أعلم]އެވެ. (އެބަހީ: ތިމަންރަސްކަލާނގެއީ ﷲ އެވެ. މޮޅަށް ދެނެވޮޑިގެންވަނީ ތިމަންރަސްކަލާނގެއެވެ.) އަދި أَبُو جَعْفَرُ الطَّبَرِي އެކަލޭގެފާނުންގެ މަޝްހޫރު تفسير جَامِعُ البَيَانُ ގައި މިނޫންވެސް ބައެއް تَأْوِيلُ ބަޔާންކުރައްވާފައިވެއެވެ.
• އަދި اِبْنُ كَثِيرއާއި އަދި ބައެއް ބޭކަލުން ވިދާޅުވަނީ އެއީ إعْجَازُ القرآن ގެތެރެއިންވާ ކަމެކެވެ. އެބަހީ: قرآن އާއިމެދު خلق ތަކުން ނުކުޅައްދައިލުމުގެ ބާބުގެތެރެއިންވާ ކަމެކެވެ. އެހެނީ خلق ތަކުންވަނީ قرآن އާއިމެދު ނުކުޅެދިފައެވެ. (وحي ކުރައްވާކަހަލައެވެ.) قرآن މިވަނީ ކަލޭމެންވެސް ދަންނަ މިފަދަ އަކުރުތަކުން އެކުލެވިގެންނެވެ. އެހެންވީއިރު ކަލޭމެންވެސް މިފަދަ قرآن އެއް ނުވަތަ ސޫރަތެއްނަމަވެސް ގެނެސްބަލާށެވެ. މިއެވެ.
ކޮންމެއަކަސް މިބާވަތުގެ އަކުރުތަކާއިމެދު ކުރެވިފައިވާ تَأْوِيل ތަކުގެ ތެރެއިން މި تَأْوِيل އާއިމެދު ވަރަށްގިނަބަޔަކު އާހޫންވެއެވެ. އެއީ ﷲ ގެ މުރާދުފުޅު ކަމުގައިވުންވެސް އެކަށީގެންވެއެވެ. والله أعلم."
ذَٰلِكَ الْكِتَابُ = އެފޮތް (ނުވަތަ މިފޮތް). لَا رَيْبَ فِيهِ = އެޔާމެދު އެއްވެސް ޝައްކެއްނެތެވެ. هُدًى لِّلْمُتَّقِينَ = އެއީ تقوى ވެރިންނަށްވާ ތެދުމަގެކެވެ.,"(2) މިފޮތް (އެބަހީ: މި قرآن) ދަންނައެވެ. މިފޮތާއިމެދު އެއްވެސް ޝައްކެއްނެތެވެ. އެއީ تقوى ވެރިންނަށްވާ ތެދުމަގެކެވެ. (އެހެންބަޔަކަށްނޫނެވެ. އަދި تقوى ވެރިނޫން މީހުންނަށް މިފޮތަކީ ބިރުވެރި ފޮތެއްކަމުގައި ވާނެއެވެ.)
• تقوىވެރިވުމަކީ: ބިރުވެތިވުމެވެ. ﷲ ގެ ކޯފާއާއި عَذَاب އަށް ބިރުގަތުމެވެ. އެކަމުން ރައްކާތެރިވުމެވެ. تقوى ވެރިކަން حاصل ވަނީ ﷲ حَرَام ކުރެއްވި ކަންތަކުން ރައްކާތެރިވެ އެކަންކަން ނުކުރުމުންނާއި އަދި އެކަލާނގެ فَرْض ކުރެއްވި ކަންތައް އަދާކުރުމުންނެވެ."
الَّذِينَ = އެމީހުންނީ (އެ ތަޤުވާވެރިންނަކީ). يُؤْمِنُونَ بِالْغَيْبِ = އެމީހުން غيب އަށް އީމާންވާމީހުންނެވެ. (غيب ތެދުކުރާ މީހުންނެވެ.) وَيُقِيمُونَ الصَّلَاةَ = އަދި އެމީހުން ނަމާދު قائم ކުރާމީހުންނެވެ. وَمِمَّا رَزَقْنَاهُمْ = އަދި ތިމަންރަސްކަލާނގެ އެމީހުންނަށް ދެއްވިތަކެތީން. يُنفِقُونَ = އެމީހުން ހޭދަކުރާމީހުންނެވެ.,(3) އެމީހުންނަކީ: އެބަހީ: އެ تقوى ވެރިންނަކީ غَيْب އަށް އީމާންވާމީހުންނެވެ. އަދި ނަމާދު قائم ކުރާމީހުންނެވެ. އަދި ތިމަންރަސްކަލާނގެ އެމީހުންނަށްދެއްވި رِزْقُ ން (ﷲ ގެ މަގުގައި) ހޭދަކުރާމީހުންނެވެ. (زكاة ދީ صَدَقة ދީހަދާމީހުންނެވެ.)
وَالَّذِينَ يُؤْمِنُونَ = އަދި އެއީ އީމާންވާމީހުންނެވެ. بِمَا أُنزِلَ إِلَيْكَ = ކަލޭގެފާނަށް ބާވައިލެއްވުނުތަކެއްޗަށް. وَمَا أُنزِلَ مِن قَبْلِكَ = އަދި ކަލޭގެފާނުންގެ ކުރީގައި ބާވައިލެއްވުނު ތަކެއްޗަށާއި. وَبِالْآخِرَةِ = އަދި آخرة އެދުވަހާއިމެދު. هُمْ يُوقِنُونَ = ކަނޑައެޅިގެން އެމީހުން يقين ކުރެއެވެ.,(4) އަދި އެމީހުންނަކީ: ކަލޭގެފާނަށް ބާވައިލެއްވުނު ތަކެއްޗަށާއި އަދި ކަލޭގެފާނުންގެ ކުރީގެ (ރަސޫލުބޭކަލުންނާއި ނަބީބޭކަލުންނަށް) ބާވައިލެއްވުނު ތަކެއްޗަށްވެސް އީމާންވާ މީހުންނެވެ. އަދި އެމީހުންނަކީ ކަނޑައެޅިގެން آخرة ދުވަސް އަންނާނެކަމަށް يقين ކުރާމީހުންނެވެ.
أُولَـٰئِكَ عَلَىٰ هُدًى = އެމީހުންވަނީ ތެދުމަގެއްގެ މަތީގައެވެ. مِّن رَّبِّهِمْ = އެމީހުންގެ رَبّ ގެ حضرة ންވާ. وَأُولَـٰئِكَ هُمُ = އަދި ހަމަ ކަނޑައެޅިގެން އެމީހުން އެއީއެވެ. الْمُفْلِحُونَ = ކާމިޔާބުވެ ނަސީބުވެރިވާނޭ މީހުންނަކީ.,"(5) އެމީހުން ދަންނައެވެ. އެމީހުން އެވަނީ އެމީހުންގެ رَبّ ގެ حضرة ންވާ ތެދުމަގުގެ މަތީގައެވެ. އަދި އެމީހުން އެއީ ކަނޑައެޅިގެން آخرة ދުވަހުން ކާމިޔާބުވެ نصيب ވެރިވާނޭ މީހުންނެވެ.
• ނޯޓް: غَيْب އަކީ ލޮލަށްނުފެނުމެވެ. غَيْبُ ގެ ތަކެއްޗަކީ ލޮލަށް ނުފެންނަ ތަކެއްޗެވެ. غَيْب އަށް إيْمَان ވުމަކީ ތިމާމެންގެ ލޮލަށް ނުފެންނަތަކެތީގެ ތެރެއިން އެތަކެތި ތެދުކޮށް އެތަކެއްޗަށް إيْمَان ވުން إسلام دين ގެ ފަރާތުން لاَزِمُ ކުރާ ތަކެއްޗާއި ކަންތަކެވެ. މިސާލަކަށް ﷲ ވޮޑިގެންވުން ސުވަރުގެޔާ ނަރަކަވާކަން މަރުވުމަށްފަހު ދިރުއްވައި مَحْشَرُ ކުރެއްވުން. ދެންވެސް މިބާވަތުގެ އެންމެހައި ކަންކަމެވެ.
• ނަމާދު ޤާއިމް ކުރުމަކީ ޝަރުތު ތަކާއި ރުކުން ތައް ފުރިހަމަކޮށް ވަގުތުން ވަގުތައް މެދުނުކަނޑައި رسول الله ﷺ އެންގެވި ގޮތަށް ކުރުމެވެ. އެހެންގޮތެއް ނޫ ނެވެ."
إِنَّ الَّذِينَ كَفَرُوا = ހަމަކަށަވަރުން، ކާފަރުވެއްޖެ މީސްތަކުން. سَوَاءٌ عَلَيْهِمْ = އެމީހުންގެ މައްޗަށް ހަމަހަމަވެގެންވެއެވެ. أَأَنذَرْتَهُمْ = ކަލޭގެފާނު އެމީހުންނަށް އިންޒާރުކުރެއްވިޔަސް. أَمْ لَمْ تُنذِرْهُمْ = ނުވަތަ ކަލޭގެފާނު އެމީހުންނަށް އިންޒާރު ނުކުރެއްވިޔަސް. لَا يُؤْمِنُونَ = އެމީހުން އީމާންނުވެއެވެ. / އީމާނެއް ނުވާނެއެވެ.,(6) ހަމަކަށަވަރުން ކާފަރުވީ މީސްތަކުން (ދަންނައެވެ!) އޭ رَسُول ﷲ އެވެ! އެމީހުންނަށް ކަލޭގެފާނު إنذار ކުރެއްވުމެކޭ އަދި ނުވަތަ އެމީހުންނަށް ކަލޭގެފާނު إِنْذَارُ ނުކުރެއްވުމެކޭ ހަމަހަމައެވެ. އެމީހުން އީމާނެއްނުވާނެއެވެ.
