wordAR,wordDV,wordEN,meanAR,meanDV,meanEN
,ދިވެހިރާއްޖެ,Maldives,,,Country Name
,ދިވެހިރާއްޖެ,Dhivehi Raajje/Maldives,,,Country Name (Local)
,,🇲🇻,,,Country Flag
,,300 km 2,,,Country Area
,,MV,,,Country Code (ISO 3166-1)
,ދިވެހި,Dhivehi/Divehi,,,Language Name
,ދިވެހި,,,,Language Name (Local)
,,dv,,,Language Code (ISO 639-1)
,,Asia,,,Continent
,,Southern Asia,,,Region
,މާލެ,Malé,,,Capital Name
,,4.1748,,,Capital Latitude
,,73.50888,,,Capital Longitude
,,#####,,,Postal Code Format
,,^(\d{5})$,,,Postal Code Regex
,,dv,,,Language Code (ISO 639-1)
,,div,,,Language Code (ISO 639-2)
,,div,,,Language Code (ISO 639-3)
,,462,,,Country Code (ISO 3166-1 Numeric)
,,MV,,,Country Code (ISO 3166-1 Alpha2)
,,MDV,,,Country Code (ISO 3166-1 Alpha3)
,,mv,,,TLD (Top Level Domain)
,,MV,,,Vehicle Code
,,MV,,,FIPS10
,,MV,,,UN LOCODE
,,MDV,,,STANAG 1059
,,MDV,,,IOC
,,MDV,,,FIFA
,,MLD,,,ITU
,,455,,,Maritime
,,472,,,MMC
,ދިވެހި ރުފިޔާ,Maldivian Rufiyaa,,,Currency Name
,,MVR,,,Currency Code
,.ރ,,,,Currency Symbol
,,462,,,Currency Numeric
,,100,,,Currency Subunit Value
,ލާރި,Laari,,,Currency Subunit Name
,,UTC+05:00,,,Timezone
,,island country and not landlocked,,,Borders
,,,,,
سند,ސަނަދު,chain of narration,سند الحديث هو الطريق الموصلة إلى متن الحديث، أي رواة الحديث، وسمي «سند» لأن كل راوي يُسنده إلى راوٍ حتى ينتهي السند إلى التابعي أو الصحابي.,ޙަދީޘް ރިވާކުރާ ރާވީންގެ ނަމުގެ ސިލްސިލާއެވެ.,Refers to the individuals who transmitted the hadith from the Prophet Muhammad ﷺ to later generations. The chain of narration is also known as the isnad.
إسناد,އިސްނާދު,chain of narration,,,
قال,ވަޙީ - ޙަދީޘް ކުރެއްވިއެވެ / ވިދާޅުވިއެވެ / ދެންނެވިއެވެ / ބުނުއްވިއެވެ / ބުންޏެވެ / ބުނެފިއެވެ / ބުނީމެވެ,said,,,
سمع,އަޑުއިވުނެވެ / އަޑުއެހީމެވެ / އަޑުއެއްސެވީމެވެ,heard,,,
قرأ,ކިޔެވެ / ކިޔުއްވިއެވެ / ކިޔަވައި ވިދާޅުވިއެވެ,read,,,
كتب,ލިޔުނެވެ / ލިޔުއްވިއެވެ,wrote,,,
أرسل,ފޮނުވިއެވެ / ފޮނުއްވިއެވެ - ލިޔުނެވެ / ލިޔުއްވިއެވެ,sent / wrote,,,
نقل,ނަގުލު ކުރިއެވެ / ކުރެއްވިއެވެ / ވިއެވެ / ވެގެންވެއެވެ,took / narrated,,,
أمر,އަމުރު ކުރިއެވެ / ކުރެއްވިއެވެ,ordered / commanded,,,
نهى,ނަހީ - މަނާ ކުރިއެވެ / ކުރެއްވިއެވެ,discouraged / forbade,,,
منع,މަނާ ކުރިއެވެ / ކުރެއްވިއެވެ,forbade,,,
أنكر,އިންކާރު / ކުރިއެވެ / ކުރެއްވިއެވެ,contradicted / disputed,,,
أرشد,އިރުޝާދު - ލަފާ ދިނެވެ / ދެއްވިއެވެ / ކުރިއެވެ / ކުރެއްވިއެވެ,guided,,,
أشار,އިޝާރާތް ކުރިއެވެ / ކުރެއްވިއެވެ,gestured,,,
سأل,ސުވާލު ކުރިއެވެ / ކުރެެއްވިއެވެ - އެހިއެވެ,asked,,,
أجاب,ޖަވާބު ދިނެވެ / ދެއްވިއެވެ,answered,,,
طلب,އެދުނެވެ / އެދިވަޑައިގަތެވެ,asked for,,,
وقف / توقف,ހުއްޓިއެވެ / ހުއްޓުނެވެ / ތަވައްގުފުވިއެވެ / ވަކި ގޮތެއް ނުނިންމައެވެ,stopped,,,
كلّم / تكلم,ވާހަކަ ދެއްކިއެވެ / ދެއްކެވިއެވެ,talked / spoke,,,
حدّث,ކިޔައި ދިނެވެ / ދެއްވިއެވެ - ވާހަކަ ދެއްކިއެވެ / ދެއްކެވިއެވެ,talked / spoke,,,
أخبر,ޚަބަރު ދިނެވެ / ދެއްވިއެވެ,told / narrated to,,,
أنبأ / نبّأ,އަންގައިދިނެވެ / އަންގަވައި ދެއްވިއެވެ - ޚަބަރު ދިނެވެ / ދެއްވިއެވެ,told / narrated to,,,
أخرج,ނެރުނެވެ / ނެރުއްވިއެވެ,narrated,,,
بلغ,ޚަބަރު ލިބުނެވެ / ލިބިވަޑައިގަތެވެ / އައެވެ / ފޯރިއެވެ,reached,,,
علم,އެނގުނެވެ / އެނގިވަޑައިގަތެވެ - ޢިލްމު ލިބުނެވެ / ލިބިވަޑައިގަތެވެ,knew,,,
دعا,ގޮވިއެވެ / ގޮވާލެއްވިއެވެ - ދުޢާ ކުރިއެވެ / ދައުވަތު ދިނެވެ,called,,,
ذكر,ޒިކުރު ކުރެއްވިއެވެ / ނަންގަތެވެ,mentioned,,,
روى,ރިވާ ވެގެންވެއެވެ / ރިވާ ކުރެއްވިއެވެ,narrated,,,
ورد,ވާރިދުވެގެން ވެއެވެ / އައެވެ / ކުރެއްވިއެވެ,narrated,,,
ثبت,ސާބިތުވެގެން ވެއެވެ,affirmed,,,
صح,ސައްހަވެގެން ވެއެވެ,authenticated,,,
اتفق,އިއްތިފާގުވެލެއްވިއެވެ / ވެވަޑައިގަތެވެ,agreed,,,
اختلف,އިޚްތިލާފުވެލެއްވިއެވެ / ވެވަޑައިގަތެވެ,differed,,,
دلّ,ދަލީލު ކުރިއެވެ - މަގުދެއްކިއެވެ,gestured,,,
دخل,ވެންނެވިއެވެ / ވަދެއްޖެއެވެ / ވަދެވަޑައިގަތެވެ,entered,,,
خرج,ނުކުމެެއްޖެއެވެ / ނުކުންނެވިއެވެ / ނުކުމެވަޑައިގަތެވެ,exited,,,
رجع,ރުޖޫއަ - އިޔާދަ - އަނބުރާލި,returned,,,
عاد,ރުޖޫއަ - އިޔާދަ - އަނބުރާލި,returned,,,
جاء,އައިސްފައިވެއެވެ / އައެވެ,came,,,
قدم,އައެވެ / އަރާހަމަވިއެވެ / ފޯރިއެވެ,arrived,,,
أتى,އައެވެ / އަތުވެއްޖެއެވެ / ވަޑައިގަތެވެ,came,,,
قام,ހުންނެވިއެވެ / ގައިމުވެގެން ހުންނެވިއެވެ / ކޮޅަށް ތެދުވިއެވެ,stood,,,
جلس,އިށީންނެވިއެވެ / މަޖްލިސްކުރިއެވެ,sat,,,
قابل / أقبل,ބައްދަލު ކުރެއްވިއެވެ / ބައްދަލުވިއެވެ / ދިމާވިއެވެ / ކުރިމަތިލިއެވެ / ގަބޫލުކުރެއްވިއެވެ / ބަލައިގަތެވެ,accepted,,,
لقي,ބައްދަލުވިއެވެ - ދިމާވިއެވެ / ވަޑައިގަތެވެ,met,,,
وجد,ވިއެވެ / ދިމާވިއެވެ / ބައްދަލުވިއެވެ / ފެނުނެވެ,found,,,
كان,ވިއެވެ / ވެއެވެ,was,,,
أرى,ދެކެމެވެ / ދެކިވަޑައިގަންނަމެވެ,I see,,,
رأى,ފެނުނެވެ / ފެނިވަޑައިފަތެވެ,saw,,,
عن / من,އަރިހުން / ކިބައިން / ފުށުން / ފަރާތުން / _ން,from,,,
لـ / إلى,އަށް / _އް / _ށް,for / to,,,
قد,ގައިމު / ހަމަގައިމު / ފަހަރެއްގައި / ހަމަކަށަވަރުން / ކަށަވަރެވެ,surely - certainly / maybe - perhaps,,,
إنّ / أنّ,ހަމަކަށަވަރުން / ކަށަވަރުން / ކަށަވަރެވެ,indeed / certainly / surely,,,
إذا / إذ,ނަމަ / ހިނދު,when / if,,,
لما,ހިނދު / އިރު,when,,,
ثم,ދެން / އެއަށްފަހު,then / afterwards,,,
فـ,ފަހެ / ދެން / އެއަށްފަހު,then / so,,,
و,އަދި,and,,,
لَحْدٌ,ބަނޑުދުރަ. ބަޑުދުރަލާ ކޮނެފައިވާ ކަށްވަޅު. އާނުކަނޑައި ކޮނެފައި ހުންނަ ވަޅުގެ އާނުގެ ދަށުން ހެދޭ ބާސަލަގަނޑޫ. ބަޅުގެ އެތެރޭގައި ގޮނިހެދިފައި އޮންނަ ތަން.,,,,
أَنَا,(ނ) އަހަރެން / އަހަރުން / އަހުރެން / އަނާ / އަޅުގަނޑު,"The Lahd (niche) refers to a place that is dug at the bottom of one of the sides of the grave in the side that is closest to the Qiblah, in which the deceased is placed on his right side facing the Qiblah, then this hole is filled in with bricks behind the deceased, then the dirt is filled in.",,,
أمل,އުއްމީދު,hope,,,
رجاء,(ގަދަނާޅާ) އެދުން,sincere hope,,,
طلب,(ގަދައަޅައި) އެދުން,demand hope,,,
لعل,ތޯ / ފަހަރެއްގައި,"maybe, perhaps, by chance",,,
عسى,ގާތް / ވެދާނެ,perhaps,,,
تمنى,(ނުވެދާނެކަމަކަށް) އެދުން / ނަމައޭ,wish,,,
,އަކަފޫޓު,square foot / square feet (ft2 or sq. ft.),,,
